"ROLE_MBR_ID","OBJ_ID","ROLE_ID","MBR_ID","MBR_TYP_CD"
"KFS1198","KFS1198","18","KFS5561408311","P"
"KFS1326","KFS1326","18","20","R"
"KFS1327","KFS1327","18","47","R"
"KFS1328","KFS1328","18","47","R"
"KFS1329","KFS1329","18","47","R"
"KFS1330","KFS1330","18","47","R"
"KFS1331","KFS1331","18","47","R"
"KFS1332","KFS1332","18","47","R"
"KFS1333","KFS1333","18","47","R"
"KFS1334","KFS1334","18","47","R"
"KFS1309","KFS1309","19","45","R"
"KFS972","KFS972","19","KFS3103108378","P"
"KFS973","KFS973","19","KFS1917101392","P"
"KFS1640","KFS1640","20","19","R"
"KFS953","KFS953","20","KFS3889504703","P"
"KFS954","KFS954","20","KFS4988707000","P"
"KFS955","KFS955","20","KFS1985208153","P"
"KFS956","KFS956","20","KFS1743101782","P"
"KFS1310","KFS1310","22","29","R"
"KFS976","KFS976","22","KFS4161901639","P"
"KFS977","KFS977","22","KFS4052406505","P"
"KFS978","KFS978","22","KFS2065607872","P"
"KFS979","KFS979","22","KFS2930203477","P"
"KFS980","KFS980","22","KFS2133704704","P"
"KFS981","KFS981","22","KFS2905401709","P"
"KFS982","KFS982","22","KFS3420506415","P"
"KFS983","KFS983","22","KFS3420502200","P"
"KFS984","KFS984","22","KFS3247002806","P"
"KFS985","KFS985","22","KFS5755900139","P"
"KFS986","KFS986","22","KFS2999000040","P"
"KFS987","KFS987","22","KFS3344600883","P"
"KFS988","KFS988","22","KFS1610003826","P"
"KFS989","KFS989","22","KFS1959008511","P"
"KFS990","KFS990","22","KFS4179703037","P"
"KFS991","KFS991","22","KFS1509103107","P"
"KFS992","KFS992","22","KFS6054309812","P"
"KFS1296","KFS1296","23","KFS3570803537","P"
"KFS1297","KFS1297","23","KFS5331201785","P"
"KFS1298","KFS1298","23","KFS4004609468","P"
"KFS1299","KFS1299","23","KFS3414509376","P"
"KFS1289","KFS1289","24","KFS4146202628","P"
"KFS1290","KFS1290","24","KFS4124805803","P"
"KFS1678","KFS1678","24","KFS2930203477","P"
"KFS1679","KFS1679","24","KFS3679505261","P"
"KFS1680","KFS1680","24","KFS6259500614","P"
"KFS1681","KFS1681","24","KFS3620801617","P"
"KFS1682","KFS1682","24","KFS1257009999","P"
"KFS1199","KFS1199","25","KFS1959008511","P"
"KFS1200","KFS1200","25","KFS5621906847","P"
"KFS1201","KFS1201","25","KFS5846500376","P"
"KFS1202","KFS1202","25","KFS2244704330","P"
"KFS1203","KFS1203","25","KFS2444607029","P"
"KFS1204","KFS1204","25","KFSU000000004","P"
"KFS1205","KFS1205","25","KFSI000000001","P"
"KFS1206","KFS1206","25","KFSI000000002","P"
"KFS1207","KFS1207","25","KFSI000000003","P"
"KFS1208","KFS1208","25","KFSI000000004","P"
"KFS1209","KFS1209","25","KFSI000000005","P"
"KFS1210","KFS1210","25","KFSC000000001","P"
"KFS1211","KFS1211","25","KFSC000000002","P"
"KFS1212","KFS1212","25","KFSC000000003","P"
"KFS1213","KFS1213","25","KFSC000000004","P"
"KFS1214","KFS1214","25","KFSC000000005","P"
"KFS1215","KFS1215","25","KFSD000000001","P"
"KFS1216","KFS1216","25","KFSD000000002","P"
"KFS1217","KFS1217","25","KFSD000000003","P"
"KFS1218","KFS1218","25","KFSD000000004","P"
"KFS1219","KFS1219","25","KFSD000000005","P"
"KFS1220","KFS1220","25","KFSA000000001","P"
"KFS1221","KFS1221","25","KFSA000000002","P"
"KFS1222","KFS1222","25","KFSA000000003","P"
"KFS1223","KFS1223","25","KFSA000000004","P"
"KFS1224","KFS1224","25","KFSA000000005","P"
"KFS1225","KFS1225","25","KFSM000000001","P"
"KFS1226","KFS1226","25","KFSM000000002","P"
"KFS1227","KFS1227","25","KFSM000000003","P"
"KFS1228","KFS1228","25","KFSM000000004","P"
"KFS1229","KFS1229","25","KFSM000000005","P"
"KFS1230","KFS1230","25","KFSU000000001","P"
"KFS1231","KFS1231","25","KFSU000000002","P"
"KFS1232","KFS1232","25","KFSU000000003","P"
"KFS1233","KFS1233","25","KFSU000000005","P"
"KFS1234","KFS1234","25","KFSH000000001","P"
"KFS1235","KFS1235","25","KFSH000000002","P"
"KFS1236","KFS1236","25","KFSH000000003","P"
"KFS1237","KFS1237","25","KFSH000000004","P"
"KFS1238","KFS1238","25","KFSH000000005","P"
"KFS1000","KFS1000","26","KFSA000000010","P"
"KFS1001","KFS1001","26","KFSC000000006","P"
"KFS1002","KFS1002","26","KFSC000000007","P"
"KFS1003","KFS1003","26","KFSC000000008","P"
"KFS1004","KFS1004","26","KFSC000000009","P"
"KFS1005","KFS1005","26","KFSC000000010","P"
"KFS1006","KFS1006","26","KFSD000000006","P"
"KFS1007","KFS1007","26","KFSD000000007","P"
"KFS1008","KFS1008","26","KFSD000000008","P"
"KFS1009","KFS1009","26","KFSD000000009","P"
"KFS1010","KFS1010","26","KFSD000000010","P"
"KFS1011","KFS1011","26","KFSH000000006","P"
"KFS1012","KFS1012","26","KFSH000000007","P"
"KFS1013","KFS1013","26","KFSH000000008","P"
"KFS1014","KFS1014","26","KFSH000000009","P"
"KFS1015","KFS1015","26","KFSH000000010","P"
"KFS1016","KFS1016","26","KFSI000000006","P"
"KFS1017","KFS1017","26","KFSI000000007","P"
"KFS1018","KFS1018","26","KFSI000000008","P"
"KFS1019","KFS1019","26","KFSI000000009","P"
"KFS1020","KFS1020","26","KFSI000000010","P"
"KFS1021","KFS1021","26","KFSM000000006","P"
"KFS1022","KFS1022","26","KFSM000000007","P"
"KFS1023","KFS1023","26","KFSM000000008","P"
"KFS1024","KFS1024","26","KFSM000000009","P"
"KFS1025","KFS1025","26","KFSM000000010","P"
"KFS1026","KFS1026","26","KFSU000000006","P"
"KFS1027","KFS1027","26","KFSU000000007","P"
"KFS1028","KFS1028","26","KFSU000000008","P"
"KFS1029","KFS1029","26","KFSU000000009","P"
"KFS1030","KFS1030","26","KFSU000000010","P"
"KFS1032","KFS1032","26","KFS6219408423","P"
"KFS1311","KFS1311","26","47","R"
"KFS1354","KFS1354","26","25","R"
"KFS994","KFS994","26","KFS4025604325","P"
"KFS995","KFS995","26","KFS5011403363","P"
"KFS996","KFS996","26","KFSA000000006","P"
"KFS997","KFS997","26","KFSA000000007","P"
"KFS998","KFS998","26","KFSA000000008","P"
"KFS999","KFS999","26","KFSA000000009","P"
"KFS1239","KFS1239","27","KFS2717708169","P"
"KFS1240","KFS1240","27","KFS4440008197","P"
"KFS1291","KFS1291","28","KFS4269702290","P"
"KFS1292","KFS1292","28","KFS3432106365","P"
"KFS1339","KFS1339","28","36","R"
"KFS1683","KFS1683","28","KFS4189500212","P"
"KFS1684","KFS1684","28","KFS2615708929","P"
"KFS1685","KFS1685","28","KFS3898405507","P"
"KFS1686","KFS1686","28","KFS2498300893","P"
"KFS1687","KFS1687","28","KFS5420400165","P"
"KFS1688","KFS1688","28","KFS4813308951","P"
"KFS1689","KFS1689","28","KFS4813308951","P"
"KFS1690","KFS1690","28","KFS5121105659","P"
"KFS1691","KFS1691","28","KFS5390502344","P"
"KFS1692","KFS1692","28","KFS4249202839","P"
"KFS1705","KFS1705","28","KFS2906405069","P"
"KFS1706","KFS1706","28","KFS2906405069","P"
"KFS1707","KFS1707","28","KFS2615708929","P"
"KFS1708","KFS1708","28","KFS2615708929","P"
"KFS1034","KFS1034","29","KFS5025501749","P"
"KFS1307","KFS1307","3","31","R"
"KFS958","KFS958","3","KFS6162502038","P"
"KFS959","KFS959","3","KFS2168808105","P"
"KFS1658","KFS1658","30","KFS2557302698","P"
"KFS1659","KFS1659","30","KFS2093401908","P"
"KFS911","KFS911","30","KFS5269109539","P"
"KFS912","KFS912","30","KFS3771303577","P"
"KFS913","KFS913","30","KFS4052406505","P"
"KFS914","KFS914","30","KFS3554107164","P"
"KFS1035","KFS1035","31","KFS1312601202","P"
"KFS1656","KFS1656","31","KFS4034202067","P"
"KFS1657","KFS1657","31","KFS5725905238","P"
"KFS1036","KFS1036","34","KFS2595106260","P"
"KFS1037","KFS1037","35","KFS5267600242","P"
"KFS1038","KFS1038","35","KFS2937208570","P"
"KFS1312","KFS1312","35","34","R"
"KFS1313","KFS1313","35","46","R"
"KFS1176","KFS1176","36","KFS6162502038","P"
"KFS1177","KFS1177","36","KFS1271304676","P"
"KFS1241","KFS1241","37","KFS2168808105","P"
"KFS1242","KFS1242","37","KFS1872708343","P"
"KFS1243","KFS1243","37","KFS2868007063","P"
"KFS1244","KFS1244","37","KFS1271304676","P"
"KFS1245","KFS1245","37","KFS3771303577","P"
"KFS1246","KFS1246","37","KFS6269308135","P"
"KFS1247","KFS1247","37","KFS3771303577","P"
"KFS1248","KFS1248","37","KFS1739701101","P"
"KFS1249","KFS1249","37","KFS2615105455","P"
"KFS1250","KFS1250","37","KFS3506305224","P"
"KFS1251","KFS1251","37","KFS5186102229","P"
"KFS1252","KFS1252","37","KFS4744906489","P"
"KFS1253","KFS1253","37","KFS1271304676","P"
"KFS1039","KFS1039","38","KFS4936104131","P"
"KFS1040","KFS1040","38","KFS4663701472","P"
"KFS1041","KFS1041","38","KFS3593407588","P"
"KFS1042","KFS1042","38","KFS6162502038","P"
"KFS1043","KFS1043","38","KFS2615708929","P"
"KFS1044","KFS1044","38","KFS4553801458","P"
"KFS1045","KFS1045","38","KFS2459709799","P"
"KFS1255","KFS1255","39","KFS2717804241","P"
"KFS1256","KFS1256","39","KFS4445203670","P"
"KFS1257","KFS1257","39","KFS2717804241","P"
"KFS1258","KFS1258","39","KFS6162502038","P"
"KFS1259","KFS1259","39","KFS6276904397","P"
"KFS1260","KFS1260","39","KFS2615708929","P"
"KFS1261","KFS1261","39","KFS6054309812","P"
"KFS1262","KFS1262","39","KFS6054309812","P"
"KFS1263","KFS1263","39","KFS6054309812","P"
"KFS1264","KFS1264","39","KFS6054309812","P"
"KFS1265","KFS1265","39","KFS6054309812","P"
"KFS1266","KFS1266","39","KFS6054309812","P"
"KFS1267","KFS1267","39","KFS6054309812","P"
"KFS1268","KFS1268","39","KFS6054309812","P"
"KFS1269","KFS1269","39","KFS2717804241","P"
"KFS1270","KFS1270","39","KFS4445203670","P"
"KFS1271","KFS1271","39","KFS6054309812","P"
"KFS1272","KFS1272","39","KFS2717804241","P"
"KFS1273","KFS1273","39","KFS4445203670","P"
"KFS1274","KFS1274","39","KFS6054309812","P"
"KFS1275","KFS1275","39","KFS6054309812","P"
"KFS1276","KFS1276","39","KFS6054309812","P"
"KFS1277","KFS1277","39","KFS6054309812","P"
"KFS1046","KFS1046","40","KFS1959008511","P"
"KFS1047","KFS1047","40","KFS3098006714","P"
"KFS1048","KFS1048","40","KFS4189500212","P"
"KFS1049","KFS1049","40","KFS3736906932","P"
"KFS1050","KFS1050","40","KFS5642104006","P"
"KFS1051","KFS1051","40","KFS5430509566","P"
"KFS1052","KFS1052","40","KFS5631302174","P"
"KFS1053","KFS1053","40","KFS5335901264","P"
"KFS1054","KFS1054","40","KFS2129506255","P"
"KFS1055","KFS1055","40","KFS4664304215","P"
"KFS1056","KFS1056","40","KFS4655304196","P"
"KFS1057","KFS1057","40","KFS2691706557","P"
"KFS1058","KFS1058","40","KFS2250505415","P"
"KFS1059","KFS1059","40","KFS1308508136","P"
"KFS1060","KFS1060","40","KFS1769006523","P"
"KFS1061","KFS1061","40","KFS1516803729","P"
"KFS1062","KFS1062","40","KFS2753204360","P"
"KFS1063","KFS1063","40","KFS6156606070","P"
"KFS1064","KFS1064","40","KFS6012204256","P"
"KFS1065","KFS1065","40","KFS2341000360","P"
"KFS1066","KFS1066","40","KFS3546008326","P"
"KFS1067","KFS1067","40","KFS6208601267","P"
"KFS1068","KFS1068","40","KFS4965407189","P"
"KFS1069","KFS1069","40","KFS5989900763","P"
"KFS1070","KFS1070","40","KFS1638600687","P"
"KFS1071","KFS1071","40","KFS4146202628","P"
"KFS1072","KFS1072","40","KFS6126708165","P"
"KFS1073","KFS1073","40","KFS4766504540","P"
"KFS1074","KFS1074","40","KFS2059604038","P"
"KFS1075","KFS1075","40","KFS2580507812","P"
"KFS1076","KFS1076","40","KFS4505504841","P"
"KFS1077","KFS1077","40","KFS5873409408","P"
"KFS1078","KFS1078","40","KFS1462106196","P"
"KFS1079","KFS1079","40","KFS3373403412","P"
"KFS1080","KFS1080","40","KFS6050504460","P"
"KFS1081","KFS1081","40","KFS4542806317","P"
"KFS1082","KFS1082","40","KFS2659604340","P"
"KFS1083","KFS1083","40","KFS1659405606","P"
"KFS1084","KFS1084","40","KFS4879901673","P"
"KFS1085","KFS1085","40","KFS4205601851","P"
"KFS1086","KFS1086","40","KFS3728902353","P"
"KFS1087","KFS1087","40","KFS1335003222","P"
"KFS1088","KFS1088","40","KFS1210506984","P"
"KFS1089","KFS1089","40","KFS6218206268","P"
"KFS1090","KFS1090","40","KFS4684100678","P"
"KFS1091","KFS1091","40","KFS4693407610","P"
"KFS1092","KFS1092","40","KFS3880605325","P"
"KFS1093","KFS1093","40","KFS3908907565","P"
"KFS1094","KFS1094","40","KFS5186100361","P"
"KFS1095","KFS1095","40","KFS1533606607","P"
"KFS1096","KFS1096","40","KFS3334505644","P"
"KFS1097","KFS1097","40","KFS1463708773","P"
"KFS1098","KFS1098","40","KFS5674104312","P"
"KFS1099","KFS1099","40","KFS4878002324","P"
"KFS1100","KFS1100","40","KFS5035908682","P"
"KFS1101","KFS1101","40","KFS5790902739","P"
"KFS1102","KFS1102","40","KFS5367103951","P"
"KFS1103","KFS1103","40","KFS3889504703","P"
"KFS1104","KFS1104","40","KFS2905707168","P"
"KFS1105","KFS1105","40","KFS3620801617","P"
"KFS1106","KFS1106","40","KFS1587202030","P"
"KFS1107","KFS1107","40","KFS4374009622","P"
"KFS1108","KFS1108","40","KFS4362904431","P"
"KFS1109","KFS1109","40","KFS5919702911","P"
"KFS1110","KFS1110","40","KFS4763403483","P"
"KFS1111","KFS1111","40","KFS4463509160","P"
"KFS1112","KFS1112","40","KFS5758507907","P"
"KFS1113","KFS1113","40","KFS1461200273","P"
"KFS1114","KFS1114","40","KFS6094500409","P"
"KFS1115","KFS1115","40","KFS5166508090","P"
"KFS1116","KFS1116","40","KFS5334003983","P"
"KFS1117","KFS1117","40","KFS4076302016","P"
"KFS1118","KFS1118","40","KFS3381303865","P"
"KFS1119","KFS1119","40","KFS3666809498","P"
"KFS1120","KFS1120","40","KFS3356000660","P"
"KFS1121","KFS1121","40","KFS1689406108","P"
"KFS1122","KFS1122","40","KFS1137304513","P"
"KFS1123","KFS1123","40","KFS4446301330","P"
"KFS1124","KFS1124","40","KFS4102006775","P"
"KFS1125","KFS1125","40","KFS5026506974","P"
"KFS1126","KFS1126","40","KFS5373008390","P"
"KFS1127","KFS1127","40","KFS1306901621","P"
"KFS1128","KFS1128","40","KFS5771807326","P"
"KFS1129","KFS1129","40","KFS1811109385","P"
"KFS1130","KFS1130","40","KFS1297209262","P"
"KFS1131","KFS1131","40","KFS2544403609","P"
"KFS1132","KFS1132","40","KFS2112807392","P"
"KFS1133","KFS1133","40","KFS2553103572","P"
"KFS1134","KFS1134","40","KFS5053009758","P"
"KFS1135","KFS1135","40","KFS4667608469","P"
"KFS1136","KFS1136","40","KFS3012703100","P"
"KFS1137","KFS1137","40","KFS1632009201","P"
"KFS1138","KFS1138","40","KFS3072201870","P"
"KFS1139","KFS1139","40","KFS1208309261","P"
"KFS1140","KFS1140","40","KFS2191200653","P"
"KFS1141","KFS1141","40","KFS3229901916","P"
"KFS1142","KFS1142","40","KFS1421900725","P"
"KFS1143","KFS1143","40","KFS5184906417","P"
"KFS1144","KFS1144","40","KFS2090102017","P"
"KFS1145","KFS1145","40","KFS5366808694","P"
"KFS1146","KFS1146","40","KFS1417202799","P"
"KFS1147","KFS1147","40","KFS1736801902","P"
"KFS1148","KFS1148","40","KFS1988505427","P"
"KFS1149","KFS1149","40","KFS2035402366","P"
"KFS1150","KFS1150","40","KFS4797500314","P"
"KFS1151","KFS1151","40","KFS1732407799","P"
"KFS1152","KFS1152","40","KFS4071101475","P"
"KFS1153","KFS1153","40","KFS4521601311","P"
"KFS1154","KFS1154","40","KFS5045201884","P"
"KFS1155","KFS1155","40","KFS5951409987","P"
"KFS1156","KFS1156","40","KFS2311506822","P"
"KFS1314","KFS1314","44","45","R"
"KFS1315","KFS1315","44","31","R"
"KFS1316","KFS1316","44","35","R"
"KFS1317","KFS1317","44","38","R"
"KFS1318","KFS1318","44","29","R"
"KFS1319","KFS1319","44","47","R"
"KFS1325","KFS1325","44","36","R"
"KFS1355","KFS1355","44","53","R"
"KFS1703","KFS1703","44","50","R"
"KFS1704","KFS1704","44","96","R"
"KFS1157","KFS1157","45","KFS3372102879","P"
"KFS1158","KFS1158","45","KFS3383108331","P"
"KFS1159","KFS1159","45","KFS1739701101","P"
"KFS1160","KFS1160","45","KFS1781003865","P"
"KFS1161","KFS1161","45","KFS5293405344","P"
"KFS1162","KFS1162","45","KFS5918604591","P"
"KFS1163","KFS1163","45","KFS6162502038","P"
"KFS1164","KFS1164","45","KFS3420506415","P"
"KFS1165","KFS1165","45","KFS2906405069","P"
"KFS1166","KFS1166","46","KFS4443702936","P"
"KFS1167","KFS1167","47","KFS2302909552","P"
"KFS1300","KFS1300","48","KFS3679505261","P"
"KFS1302","KFS1302","48","KFS2687501556","P"
"KFS1170","KFS1170","49","KFS6162502038","P"
"KFS1171","KFS1171","49","KFS6185006765","P"
"KFS1172","KFS1172","49","KFS2133704704","P"
"KFS1173","KFS1173","49","KFS5721404797","P"
"KFS1660","KFS1660","49","KFS1416100736","P"
"KFS1661","KFS1661","49","KFS5729300245","P"
"KFS1351","KFS1351","5","34","R"
"KFS915","KFS915","5","KFS1730300231","P"
"KFS916","KFS916","5","KFS3880605325","P"
"KFS917","KFS917","5","KFS4325800307","P"
"KFS918","KFS918","5","KFS2228809634","P"
"KFS919","KFS919","5","KFS3879106523","P"
"KFS920","KFS920","5","KFS1516709007","P"
"KFS921","KFS921","5","KFS3328902578","P"
"KFS922","KFS922","5","KFS1896903531","P"
"KFS923","KFS923","5","KFS5238208156","P"
"KFS924","KFS924","5","KFS3334505644","P"
"KFS925","KFS925","5","KFS5653408083","P"
"KFS926","KFS926","5","KFS4655607592","P"
"KFS927","KFS927","5","KFS1862105446","P"
"KFS928","KFS928","5","KFS5275603672","P"
"KFS929","KFS929","5","KFS4332503265","P"
"KFS930","KFS930","5","KFS4040902117","P"
"KFS1180","KFS1180","50","KFS6219408423","P"
"KFS1181","KFS1181","50","KFS4936104131","P"
"KFS1182","KFS1182","50","KFS3264700400","P"
"KFS960","KFS960","50","KFS3372102879","P"
"KFS974","KFS974","50","KFS6162502038","P"
"KFS975","KFS975","50","KFS5421008748","P"
"KFS1174","KFS1174","51","KFS3","P"
"KFS1655","KFS1655","53","37","R"
"KFS1","KFS1","54","KFS3898405507","P"
"KFS10","KFS10","54","KFS3098006714","P"
"KFS100","KFS100","54","KFS4965200876","P"
"KFS101","KFS101","54","KFS4287502068","P"
"KFS102","KFS102","54","KFS1184605262","P"
"KFS103","KFS103","54","KFS2329509434","P"
"KFS104","KFS104","54","KFS3247002806","P"
"KFS105","KFS105","54","KFS4205601851","P"
"KFS106","KFS106","54","KFS3420502200","P"
"KFS107","KFS107","54","KFS3909900391","P"
"KFS108","KFS108","54","KFS1581207819","P"
"KFS109","KFS109","54","KFS1469805442","P"
"KFS11","KFS11","54","KFS4189500212","P"
"KFS110","KFS110","54","KFS2591309555","P"
"KFS111","KFS111","54","KFS2860009297","P"
"KFS112","KFS112","54","KFS6065408755","P"
"KFS113","KFS113","54","KFS4597402875","P"
"KFS114","KFS114","54","KFS1545104915","P"
"KFS115","KFS115","54","KFS1290503526","P"
"KFS116","KFS116","54","KFS1975509930","P"
"KFS117","KFS117","54","KFS1183109030","P"
"KFS118","KFS118","54","KFS5967802348","P"
"KFS119","KFS119","54","KFS2254202107","P"
"KFS12","KFS12","54","KFS3644105427","P"
"KFS120","KFS120","54","KFS2726706560","P"
"KFS121","KFS121","54","KFS1998203566","P"
"KFS122","KFS122","54","KFS5561408311","P"
"KFS123","KFS123","54","KFS2367402565","P"
"KFS124","KFS124","54","KFS3264700400","P"
"KFS125","KFS125","54","KFS3296604185","P"
"KFS126","KFS126","54","KFS5652205916","P"
"KFS127","KFS127","54","KFS2532408486","P"
"KFS128","KFS128","54","KFS4041902980","P"
"KFS129","KFS129","54","KFS3709601315","P"
"KFS13","KFS13","54","KFS3736906932","P"
"KFS130","KFS130","54","KFS1335003222","P"
"KFS131","KFS131","54","KFS5949304259","P"
"KFS132","KFS132","54","KFS5518608449","P"
"KFS133","KFS133","54","KFS3998400688","P"
"KFS134","KFS134","54","KFS2057006123","P"
"KFS135","KFS135","54","KFS4263602369","P"
"KFS136","KFS136","54","KFS2724700273","P"
"KFS137","KFS137","54","KFS5594206387","P"
"KFS138","KFS138","54","KFS3106006335","P"
"KFS139","KFS139","54","KFS2244704330","P"
"KFS14","KFS14","54","KFS5068701724","P"
"KFS140","KFS140","54","KFS2885908053","P"
"KFS141","KFS141","54","KFS4182202259","P"
"KFS142","KFS142","54","KFS4154408215","P"
"KFS143","KFS143","54","KFS6182208707","P"
"KFS144","KFS144","54","KFS4553801458","P"
"KFS145","KFS145","54","KFS3241801877","P"
"KFS146","KFS146","54","KFS3083208092","P"
"KFS147","KFS147","54","KFS1701107778","P"
"KFS148","KFS148","54","KFS1680308253","P"
"KFS149","KFS149","54","KFS4545405888","P"
"KFS15","KFS15","54","KFS4971403958","P"
"KFS150","KFS150","54","KFS6269308135","P"
"KFS151","KFS151","54","KFS6272309454","P"
"KFS152","KFS152","54","KFS5065906725","P"
"KFS153","KFS153","54","KFS5121105659","P"
"KFS154","KFS154","54","KFS1781104312","P"
"KFS155","KFS155","54","KFS5598104606","P"
"KFS156","KFS156","54","KFS4835307856","P"
"KFS157","KFS157","54","KFS5370700381","P"
"KFS158","KFS158","54","KFS2871205128","P"
"KFS159","KFS159","54","KFS1110101123","P"
"KFS16","KFS16","54","KFS5430509566","P"
"KFS160","KFS160","54","KFS4809905701","P"
"KFS161","KFS161","54","KFS4797306442","P"
"KFS162","KFS162","54","KFS5469103838","P"
"KFS163","KFS163","54","KFS2123906967","P"
"KFS1639","KFS1639","54","KFS4431400488","P"
"KFS164","KFS164","54","KFS3953901363","P"
"KFS165","KFS165","54","KFS6076602019","P"
"KFS166","KFS166","54","KFS5388101202","P"
"KFS167","KFS167","54","KFS4676801285","P"
"KFS168","KFS168","54","KFS5594003018","P"
"KFS169","KFS169","54","KFS4425901434","P"
"KFS17","KFS17","54","KFS3344600883","P"
"KFS170","KFS170","54","KFS3072605934","P"
"KFS171","KFS171","54","KFS3271906388","P"
"KFS172","KFS172","54","KFS1391709836","P"
"KFS173","KFS173","54","KFS5049406169","P"
"KFS174","KFS174","54","KFS3622007882","P"
"KFS175","KFS175","54","KFS3127805179","P"
"KFS176","KFS176","54","KFS1977504222","P"
"KFS177","KFS177","54","KFS4219606069","P"
"KFS178","KFS178","54","KFS2200400621","P"
"KFS179","KFS179","54","KFS1396502519","P"
"KFS18","KFS18","54","KFS2999000040","P"
"KFS180","KFS180","54","KFS5511601466","P"
"KFS181","KFS181","54","KFS5340904165","P"
"KFS182","KFS182","54","KFS4949701040","P"
"KFS183","KFS183","54","KFS3114503350","P"
"KFS184","KFS184","54","KFS5163208565","P"
"KFS185","KFS185","54","KFS1701207121","P"
"KFS186","KFS186","54","KFS4984801399","P"
"KFS187","KFS187","54","KFS2422606713","P"
"KFS188","KFS188","54","KFS5759504722","P"
"KFS189","KFS189","54","KFS4663701472","P"
"KFS19","KFS19","54","KFS5631302174","P"
"KFS190","KFS190","54","KFS3771403079","P"
"KFS191","KFS191","54","KFS1873802777","P"
"KFS192","KFS192","54","KFS2266302958","P"
"KFS193","KFS193","54","KFS1143902789","P"
"KFS194","KFS194","54","KFS3303508289","P"
"KFS195","KFS195","54","KFS1541203472","P"
"KFS196","KFS196","54","KFS4212109427","P"
"KFS197","KFS197","54","KFS2645800726","P"
"KFS198","KFS198","54","KFS2219604689","P"
"KFS199","KFS199","54","KFS3209904483","P"
"KFS2","KFS2","54","KFS1509103107","P"
"KFS20","KFS20","54","KFS2210808811","P"
"KFS200","KFS200","54","KFS3541802074","P"
"KFS201","KFS201","54","KFS5505804257","P"
"KFS202","KFS202","54","KFS2381600911","P"
"KFS203","KFS203","54","KFS4762009731","P"
"KFS204","KFS204","54","KFS3084506625","P"
"KFS205","KFS205","54","KFS1893804727","P"
"KFS206","KFS206","54","KFS1860703812","P"
"KFS207","KFS207","54","KFS3491306639","P"
"KFS208","KFS208","54","KFS5268706644","P"
"KFS209","KFS209","54","KFS5269109539","P"
"KFS21","KFS21","54","KFS5335901264","P"
"KFS210","KFS210","54","KFS3236104556","P"
"KFS211","KFS211","54","KFS4615400247","P"
"KFS212","KFS212","54","KFS2037407017","P"
"KFS213","KFS213","54","KFS5238503444","P"
"KFS214","KFS214","54","KFS3506305224","P"
"KFS215","KFS215","54","KFS1851407732","P"
"KFS216","KFS216","54","KFS2168808105","P"
"KFS217","KFS217","54","KFS1997403090","P"
"KFS218","KFS218","54","KFS2210608902","P"
"KFS219","KFS219","54","KFS3075402167","P"
"KFS22","KFS22","54","KFS2133704704","P"
"KFS220","KFS220","54","KFS3608700794","P"
"KFS221","KFS221","54","KFS3091109681","P"
"KFS222","KFS222","54","KFS3379807602","P"
