kemid|corpus_val_hist_dt|corpus_val|ver_nbr|obj_id|
037MDSL103|20070630000000|103458.13|1.0|8529CD484EF3060AE0404F8189D81C0B|
037MDSL103|20080630000000|105290.02|1.0|8529CD484F16060AE0404F8189D81C0B|
037MDSL103|20090630000000|106408.04|1.0|8529CD484F3B060AE0404F8189D81C0B|
037MMED197|20070630000000|131466.93|1.0|8529CD484EF4060AE0404F8189D81C0B|
037MMED197|20080630000000|131388.51|1.0|8529CD484F17060AE0404F8189D81C0B|
037MMED197|20090630000000|131655.95|1.0|8529CD484F3C060AE0404F8189D81C0B|
037MPHC132|20070630000000|100000.0|1.0|8529CD484EF5060AE0404F8189D81C0B|
037MPHC132|20080630000000|99039.11|1.0|8529CD484F18060AE0404F8189D81C0B|
037MPHC132|20090630000000|99042.26|1.0|8529CD484F3D060AE0404F8189D81C0B|
037O009148|20070630000000|10808.05|1.0|8529CD484EF6060AE0404F8189D81C0B|
037O009148|20080630000000|11633.05|1.0|8529CD484F19060AE0404F8189D81C0B|
037O009148|20090630000000|11933.05|1.0|8529CD484F3E060AE0404F8189D81C0B|
037P003108|20070630000000|10040.02|1.0|8529CD484EF7060AE0404F8189D81C0B|
037P003108|20080630000000|20160.8|1.0|8529CD484F1A060AE0404F8189D81C0B|
037P003108|20090630000000|20160.8|1.0|8529CD484F3F060AE0404F8189D81C0B|
037P004148|20070630000000|254620.06|1.0|8529CD484EF8060AE0404F8189D81C0B|
037P004148|20080630000000|330169.4|1.0|8529CD484F1B060AE0404F8189D81C0B|
037P004148|20090630000000|396419.4|1.0|8529CD484F40060AE0404F8189D81C0B|
037P011291|20070630000000|15309.42|1.0|8529CD484EF9060AE0404F8189D81C0B|
037P011291|20080630000000|17459.42|1.0|8529CD484F1C060AE0404F8189D81C0B|
037P011291|20090630000000|19084.42|1.0|8529CD484F41060AE0404F8189D81C0B|
037RQ04222|20070630000000|9268.37|1.0|8529CD484EFA060AE0404F8189D81C0B|
037RQ04222|20080630000000|9268.37|1.0|8529CD484F1D060AE0404F8189D81C0B|
037RQ04222|20090630000000|9268.37|1.0|8529CD484F42060AE0404F8189D81C0B|
037RT04333|20070630000000|9578.0|1.0|8529CD484EFB060AE0404F8189D81C0B|
037RT04333|20080630000000|9578.0|1.0|8529CD484F1E060AE0404F8189D81C0B|
037RT04333|20090630000000|9678.0|1.0|8529CD484F43060AE0404F8189D81C0B|
037S012056|20070630000000|39394.67|1.0|8529CD484EFC060AE0404F8189D81C0B|
037S012056|20080630000000|40294.67|1.0|8529CD484F1F060AE0404F8189D81C0B|
037S012056|20090630000000|40969.67|1.0|8529CD484F44060AE0404F8189D81C0B|
037SC00501|20070630000000|107576.43|1.0|8529CD484EFD060AE0404F8189D81C0B|
037SC00501|20080630000000|107576.43|1.0|8529CD484F20060AE0404F8189D81C0B|
037SC00501|20090630000000|114442.15|1.0|8529CD484F45060AE0404F8189D81C0B|
037V009140|20070630000000|9270.0|1.0|8529CD484EFE060AE0404F8189D81C0B|
037V009140|20080630000000|10270.0|1.0|8529CD484F21060AE0404F8189D81C0B|
037V009140|20090630000000|11270.0|1.0|8529CD484F46060AE0404F8189D81C0B|
037V010080|20070630000000|100320.0|1.0|8529CD484F00060AE0404F8189D81C0B|
037V010080|20080630000000|100320.0|1.0|8529CD484F23060AE0404F8189D81C0B|
037V010080|20090630000000|100320.0|1.0|8529CD484F47060AE0404F8189D81C0B|
037WHMM024|20070630000000|298612.5|1.0|8529CD484F01060AE0404F8189D81C0B|
037WHMM024|20080630000000|298612.5|1.0|8529CD484F24060AE0404F8189D81C0B|
037WHMM024|20090630000000|298612.5|1.0|8529CD484F48060AE0404F8189D81C0B|
037X002044|20070630000000|298996.37|1.0|8529CD484F02060AE0404F8189D81C0B|
037X002044|20080630000000|298996.37|1.0|8529CD484F25060AE0404F8189D81C0B|
037X002044|20090630000000|298996.37|1.0|8529CD484F49060AE0404F8189D81C0B|
