kemid|kemid_fnd_src_seq|fnd_src_cd|opnd_frm_kemid|fnd_hist|fnd_src_adtnl_dta|row_actv_ind|ver_nbr|obj_id|
038P011463|1.0|MULT|032P011094|32-14872||Y|1.0|8529CD484C5D060AE0404F8189D81C0B|
038RPS1012|1.0|MULT||"38-33535, 35-53535, 38DS00013"||Y|1.0|8529CD484C5E060AE0404F8189D81C0B|
038RQ04162|1.0|DONOR||"38-34181, 35-54181"||Y|1.0|8529CD484C5F060AE0404F8189D81C0B|
038RR04087|1.0|DONOR||"38-31170, 35-51170"||Y|1.0|8529CD484C60060AE0404F8189D81C0B|
038RT04091|1.0|MULT||"38-37154, 32-17154"||Y|1.0|8529CD484C61060AE0404F8189D81C0B|
038RV04351|1.0|DONOR||"38-35223, 32-15223, 38RV04047, 32RV04206, 37RV04312"||Y|1.0|8529CD484C62060AE0404F8189D81C0B|
038SC01010|1.0|MULT||"38-30410, 35-50410"||Y|1.0|8529CD484C63060AE0404F8189D81C0B|
046G007720|1.0|DONOR||||Y|1.0|8529CD484C64060AE0404F8189D81C0B|
046G007CD0|1.0|DONOR||||Y|1.0|8529CD484C65060AE0404F8189D81C0B|
099PLTF013|1.0|POOL||||Y|1.0|8529CD484C66060AE0404F8189D81C0B|
099PLTF021|1.0|POOL||||Y|1.0|8529CD484C67060AE0404F8189D81C0B|
099PLTF997|1.0|POOL||||Y|1.0|8529CD484C68060AE0404F8189D81C0B|
099PMKT010|1.0|POOL||||Y|1.0|8529CD484C6D060AE0404F8189D81C0B|
099PSTF018|1.0|POOL||||Y|1.0|8529CD484C6B060AE0404F8189D81C0B|
099PSTF034|1.0|POOL||||Y|1.0|8529CD484C6C060AE0404F8189D81C0B|
909BTIP011|1.0|POOL||||Y|1.0|8529CD484C69060AE0404F8189D81C0B|
909ETIP018|1.0|POOL||||Y|1.0|8529CD484C6A060AE0404F8189D81C0B|
