prps_cd|prps_desc|row_actv_ind|obj_id|ver_nbr|
P|Professorship|Y|8529CD4849CB060AE0404F8189D81C0B|1.0|
P3|Professorship - Presidents Match Participant|Y|8529CD4849CC060AE0404F8189D81C0B|1.0|
PR|Professorship With Some Restriction|Y|8529CD4849CD060AE0404F8189D81C0B|1.0|
PR3|Professorship With Some Restriction - Presidents Match Participant|Y|8529CD4849CE060AE0404F8189D81C0B|1.0|
Q|Chair|Y|8529CD4849CF060AE0404F8189D81C0B|1.0|
Q3|Chair - Presidents Match Participant|Y|8529CD4849D0060AE0404F8189D81C0B|1.0|
QR|Chair With Some Restriction|Y|8529CD4849D1060AE0404F8189D81C0B|1.0|
QR3|Chair With Some Restriction - Presidents Match Participant|Y|8529CD4849D2060AE0404F8189D81C0B|1.0|
R|Research|Y|8529CD4849D3060AE0404F8189D81C0B|1.0|
RD|Research With ¿Restriction to Department, School or Program|Y|8529CD4849D4060AE0404F8189D81C0B|1.0|
RD3|Research With ¿Restriction to Department, School or Program - Presidents Match Participant|Y|8529CD4849D5060AE0404F8189D81C0B|1.0|
RR|Research With Some Restriction|Y|8529CD4849D6060AE0404F8189D81C0B|1.0|
RR3|Research With Some Restriction - Presidents Match Participant|Y|8529CD4849D7060AE0404F8189D81C0B|1.0|
SB|Scholarship - Undergraduate or Graduate|Y|8529CD4849D8060AE0404F8189D81C0B|1.0|
SB3|Scholarship - Undergraduate or Graduate - Presidents Match Participant|Y|8529CD4849D9060AE0404F8189D81C0B|1.0|
SBR|Scholarship - Undergraduate or Graduate With Some Restriction|Y|8529CD4849DA060AE0404F8189D81C0B|1.0|
SG|Scholarship - Graduate|Y|8529CD4849DB060AE0404F8189D81C0B|1.0|
SG3|Scholarship - Graduate - Presidents Match Participant|Y|8529CD4849DC060AE0404F8189D81C0B|1.0|
SGR|Scholarship - Graduate With Some Restriction|Y|8529CD4849DD060AE0404F8189D81C0B|1.0|
SH|Scholarship - Undergraduate - Honors Division|Y|8529CD4849DE060AE0404F8189D81C0B|1.0|
SHR|Scholarship - Undergraduate - Honors Division With Some Restriction|Y|8529CD4849DF060AE0404F8189D81C0B|1.0|
SU|Scholarship - Undergraduate|Y|8529CD4849E0060AE0404F8189D81C0B|1.0|
SU3|Scholarship - Undergraduate - Presidents Match Participant|Y|8529CD4849E1060AE0404F8189D81C0B|1.0|
SUR|Scholarship - Undergraduate With Some Restriction|Y|8529CD4849E2060AE0404F8189D81C0B|1.0|
TCA|Trust - Annuity|Y|8529CD4849E3060AE0404F8189D81C0B|1.0|
TCU|Trust - Unitrust|Y|8529CD4849E4060AE0404F8189D81C0B|1.0|
U|Undesignated|Y|8529CD4849E5060AE0404F8189D81C0B|1.0|
XA|Art Acquisition|Y|8529CD4849E6060AE0404F8189D81C0B|1.0|
XA3|Art Acquisition - Presidents Match Participant|Y|8529CD4849E7060AE0404F8189D81C0B|1.0|
XAR|Art Acquisition With Some Restriction|Y|8529CD4849E8060AE0404F8189D81C0B|1.0|
XL|Library Acquisition|Y|8529CD4849E9060AE0404F8189D81C0B|1.0|
XL3|Library Acquisition - Presidents Match Participant|Y|8529CD4849EA060AE0404F8189D81C0B|1.0|
XLR|Library Acquisition With Some Restriction|Y|8529CD4849EB060AE0404F8189D81C0B|1.0|
Z|Agency|Y|8529CD4849EC060AE0404F8189D81C0B|1.0|
ZR|Agency With Some Restriction|Y|8529CD4849ED060AE0404F8189D81C0B|1.0|
