freq_cd|freq_desc|ver_nbr|obj_id|
AL24|Annual month July on the 24th|1.0|8529CD484616060AE0404F8189D81C0B|
AL25|Annual month July on the 25th|1.0|8529CD484617060AE0404F8189D81C0B|
AL26|Annual month July on the 26th|1.0|8529CD484618060AE0404F8189D81C0B|
AL27|Annual month July on the 27th|1.0|8529CD484619060AE0404F8189D81C0B|
AL28|Annual month July on the 28th|1.0|8529CD48461A060AE0404F8189D81C0B|
AL29|Annual month July on the 29th|1.0|8529CD48461B060AE0404F8189D81C0B|
AL30|Annual month July on the 30th|1.0|8529CD48461C060AE0404F8189D81C0B|
AL31|Annual month July on the 31st|1.0|8529CD48461D060AE0404F8189D81C0B|
ALME|Annual month July on the Month End|1.0|8529CD48461E060AE0404F8189D81C0B|
AM01|Annual month March on the 1st|1.0|8529CD48461F060AE0404F8189D81C0B|
AM02|Annual month March on the 2nd|1.0|8529CD484620060AE0404F8189D81C0B|
AM03|Annual month March on the 3rd|1.0|8529CD484621060AE0404F8189D81C0B|
AM04|Annual month March on the 4th|1.0|8529CD484622060AE0404F8189D81C0B|
AM05|Annual month March on the 5th|1.0|8529CD484623060AE0404F8189D81C0B|
AM06|Annual month March on the 6th|1.0|8529CD484624060AE0404F8189D81C0B|
AM07|Annual month March on the 7th|1.0|8529CD484625060AE0404F8189D81C0B|
AM08|Annual month March on the 8th|1.0|8529CD484626060AE0404F8189D81C0B|
AM09|Annual month March on the 9th|1.0|8529CD484627060AE0404F8189D81C0B|
AM10|Annual month March on the 10th|1.0|8529CD484628060AE0404F8189D81C0B|
AM11|Annual month March on the 11th|1.0|8529CD484629060AE0404F8189D81C0B|
AM12|Annual month March on the 12th|1.0|8529CD48462A060AE0404F8189D81C0B|
AM13|Annual month March on the 13th|1.0|8529CD48462B060AE0404F8189D81C0B|
AM14|Annual month March on the 14th|1.0|8529CD48462C060AE0404F8189D81C0B|
AM15|Annual month March on the 15th|1.0|8529CD48462D060AE0404F8189D81C0B|
AM16|Annual month March on the 16th|1.0|8529CD48462E060AE0404F8189D81C0B|
AM17|Annual month March on the 17th|1.0|8529CD48462F060AE0404F8189D81C0B|
AM18|Annual month March on the 18th|1.0|8529CD484630060AE0404F8189D81C0B|
AM19|Annual month March on the 19th|1.0|8529CD484631060AE0404F8189D81C0B|
AM20|Annual month March on the 20th|1.0|8529CD484632060AE0404F8189D81C0B|
AM21|Annual month March on the 21st|1.0|8529CD484633060AE0404F8189D81C0B|
AM22|Annual month March on the 22nd|1.0|8529CD484634060AE0404F8189D81C0B|
AM23|Annual month March on the 23rd|1.0|8529CD484635060AE0404F8189D81C0B|
AM24|Annual month March on the 24th|1.0|8529CD484636060AE0404F8189D81C0B|
AM25|Annual month March on the 25th|1.0|8529CD484637060AE0404F8189D81C0B|
AM26|Annual month March on the 26th|1.0|8529CD484638060AE0404F8189D81C0B|
AM27|Annual month March on the 27th|1.0|8529CD484639060AE0404F8189D81C0B|
AM28|Annual month March on the 28th|1.0|8529CD48463A060AE0404F8189D81C0B|
AM29|Annual month March on the 29th|1.0|8529CD48463B060AE0404F8189D81C0B|
AM30|Annual month March on the 30th|1.0|8529CD48463C060AE0404F8189D81C0B|
AM31|Annual month March on the 31st|1.0|8529CD48463D060AE0404F8189D81C0B|
AMME|Annual month March on the Month End|1.0|8529CD48463E060AE0404F8189D81C0B|
AN01|Annual month November on the 1st|1.0|8529CD48463F060AE0404F8189D81C0B|
AN02|Annual month November on the 2nd|1.0|8529CD484640060AE0404F8189D81C0B|
AN03|Annual month November on the 3rd|1.0|8529CD484641060AE0404F8189D81C0B|
AN04|Annual month November on the 4th|1.0|8529CD484642060AE0404F8189D81C0B|
AN05|Annual month November on the 5th|1.0|8529CD484643060AE0404F8189D81C0B|
AN06|Annual month November on the 6th|1.0|8529CD484644060AE0404F8189D81C0B|
AN07|Annual month November on the 7th|1.0|8529CD484645060AE0404F8189D81C0B|
AN08|Annual month November on the 8th|1.0|8529CD484646060AE0404F8189D81C0B|
AN09|Annual month November on the 9th|1.0|8529CD484647060AE0404F8189D81C0B|
AN10|Annual month November on the 10th|1.0|8529CD484648060AE0404F8189D81C0B|
AN11|Annual month November on the 11th|1.0|8529CD484649060AE0404F8189D81C0B|
AN12|Annual month November on the 12th|1.0|8529CD48464A060AE0404F8189D81C0B|
AN13|Annual month November on the 13th|1.0|8529CD48464B060AE0404F8189D81C0B|
AN14|Annual month November on the 14th|1.0|8529CD48464C060AE0404F8189D81C0B|
AN15|Annual month November on the 15th|1.0|8529CD48464D060AE0404F8189D81C0B|
AN16|Annual month November on the 16th|1.0|8529CD48464E060AE0404F8189D81C0B|
AN17|Annual month November on the 17th|1.0|8529CD48464F060AE0404F8189D81C0B|
AN18|Annual month November on the 18th|1.0|8529CD484650060AE0404F8189D81C0B|
AN19|Annual month November on the 19th|1.0|8529CD484651060AE0404F8189D81C0B|
AN20|Annual month November on the 20th|1.0|8529CD484652060AE0404F8189D81C0B|
AN21|Annual month November on the 21st|1.0|8529CD484653060AE0404F8189D81C0B|
AN22|Annual month November on the 22nd|1.0|8529CD484654060AE0404F8189D81C0B|
AN23|Annual month November on the 23rd|1.0|8529CD484655060AE0404F8189D81C0B|
AN24|Annual month November on the 24th|1.0|8529CD484656060AE0404F8189D81C0B|
AN25|Annual month November on the 25th|1.0|8529CD484657060AE0404F8189D81C0B|
AN26|Annual month November on the 26th|1.0|8529CD484658060AE0404F8189D81C0B|
AN27|Annual month November on the 27th|1.0|8529CD484659060AE0404F8189D81C0B|
AN28|Annual month November on the 28th|1.0|8529CD48465A060AE0404F8189D81C0B|
AN29|Annual month November on the 29th|1.0|8529CD48465B060AE0404F8189D81C0B|
AN30|Annual month November on the 30th|1.0|8529CD48465C060AE0404F8189D81C0B|
ANME|Annual month November on the Month End|1.0|8529CD48465D060AE0404F8189D81C0B|
AO01|Annual month October on the 1st|1.0|8529CD48465E060AE0404F8189D81C0B|
AO02|Annual month October on the 2nd|1.0|8529CD48465F060AE0404F8189D81C0B|
AO03|Annual month October on the 3rd|1.0|8529CD484660060AE0404F8189D81C0B|
AO04|Annual month October on the 4th|1.0|8529CD484661060AE0404F8189D81C0B|
AO05|Annual month October on the 5th|1.0|8529CD484662060AE0404F8189D81C0B|
AO06|Annual month October on the 6th|1.0|8529CD484663060AE0404F8189D81C0B|
AO07|Annual month October on the 7th|1.0|8529CD484664060AE0404F8189D81C0B|
AO08|Annual month October on the 8th|1.0|8529CD484665060AE0404F8189D81C0B|
AO09|Annual month October on the 9th|1.0|8529CD484666060AE0404F8189D81C0B|
AO10|Annual month October on the 10th|1.0|8529CD484667060AE0404F8189D81C0B|
AO11|Annual month October on the 11th|1.0|8529CD484668060AE0404F8189D81C0B|
AO12|Annual month October on the 12th|1.0|8529CD484669060AE0404F8189D81C0B|
AO13|Annual month October on the 13th|1.0|8529CD48466A060AE0404F8189D81C0B|
AO14|Annual month October on the 14th|1.0|8529CD48466B060AE0404F8189D81C0B|
AO15|Annual month October on the 15th|1.0|8529CD48466C060AE0404F8189D81C0B|
AO16|Annual month October on the 16th|1.0|8529CD48466D060AE0404F8189D81C0B|
AO17|Annual month October on the 17th|1.0|8529CD48466E060AE0404F8189D81C0B|
AO18|Annual month October on the 18th|1.0|8529CD48466F060AE0404F8189D81C0B|
AO19|Annual month October on the 19th|1.0|8529CD484670060AE0404F8189D81C0B|
AO20|Annual month October on the 20th|1.0|8529CD484671060AE0404F8189D81C0B|
AO21|Annual month October on the 21st|1.0|8529CD484672060AE0404F8189D81C0B|
AO22|Annual month October on the 22nd|1.0|8529CD484673060AE0404F8189D81C0B|
AO23|Annual month October on the 23rd|1.0|8529CD484674060AE0404F8189D81C0B|
AO24|Annual month October on the 24th|1.0|8529CD484675060AE0404F8189D81C0B|
AO25|Annual month October on the 25th|1.0|8529CD484676060AE0404F8189D81C0B|
AO26|Annual month October on the 26th|1.0|8529CD484677060AE0404F8189D81C0B|
AO27|Annual month October on the 27th|1.0|8529CD484678060AE0404F8189D81C0B|
AO28|Annual month October on the 28th|1.0|8529CD484679060AE0404F8189D81C0B|
AO29|Annual month October on the 29th|1.0|8529CD48467A060AE0404F8189D81C0B|
AO30|Annual month October on the 30th|1.0|8529CD48467B060AE0404F8189D81C0B|
AO31|Annual month October on the 31st|1.0|8529CD48467C060AE0404F8189D81C0B|
AOME|Annual month October on the Month End|1.0|8529CD48467D060AE0404F8189D81C0B|
AS01|Annual month September on the 1st|1.0|8529CD48467E060AE0404F8189D81C0B|
AS02|Annual month September on the 2nd|1.0|8529CD48467F060AE0404F8189D81C0B|
AS03|Annual month September on the 3rd|1.0|8529CD484680060AE0404F8189D81C0B|
AS04|Annual month September on the 4th|1.0|8529CD484681060AE0404F8189D81C0B|
AS05|Annual month September on the 5th|1.0|8529CD484682060AE0404F8189D81C0B|
AS06|Annual month September on the 6th|1.0|8529CD484683060AE0404F8189D81C0B|
AS07|Annual month September on the 7th|1.0|8529CD484684060AE0404F8189D81C0B|
AS08|Annual month September on the 8th|1.0|8529CD484685060AE0404F8189D81C0B|
AS09|Annual month September on the 9th|1.0|8529CD484686060AE0404F8189D81C0B|
AS10|Annual month September on the 10th|1.0|8529CD484687060AE0404F8189D81C0B|
AS11|Annual month September on the 11th|1.0|8529CD484688060AE0404F8189D81C0B|
AS12|Annual month September on the 12th|1.0|8529CD484689060AE0404F8189D81C0B|
AS13|Annual month September on the 13th|1.0|8529CD48468A060AE0404F8189D81C0B|
AS14|Annual month September on the 14th|1.0|8529CD48468B060AE0404F8189D81C0B|
AS15|Annual month September on the 15th|1.0|8529CD48468C060AE0404F8189D81C0B|
AS16|Annual month September on the 16th|1.0|8529CD48468D060AE0404F8189D81C0B|
AS17|Annual month September on the 17th|1.0|8529CD48468E060AE0404F8189D81C0B|
AS18|Annual month September on the 18th|1.0|8529CD48468F060AE0404F8189D81C0B|
AS19|Annual month September on the 19th|1.0|8529CD484690060AE0404F8189D81C0B|
AS20|Annual month September on the 20th|1.0|8529CD484691060AE0404F8189D81C0B|
AS21|Annual month September on the 21st|1.0|8529CD484692060AE0404F8189D81C0B|
AS22|Annual month September on the 22nd|1.0|8529CD484693060AE0404F8189D81C0B|
AS23|Annual month September on the 23rd|1.0|8529CD484694060AE0404F8189D81C0B|
AS24|Annual month September on the 24th|1.0|8529CD484695060AE0404F8189D81C0B|
AS25|Annual month September on the 25th|1.0|8529CD484696060AE0404F8189D81C0B|
AS26|Annual month September on the 26th|1.0|8529CD484697060AE0404F8189D81C0B|
AS27|Annual month September on the 27th|1.0|8529CD484698060AE0404F8189D81C0B|
AS28|Annual month September on the 28th|1.0|8529CD484699060AE0404F8189D81C0B|
AS29|Annual month September on the 29th|1.0|8529CD48469A060AE0404F8189D81C0B|
AS30|Annual month September on the 30th|1.0|8529CD48469B060AE0404F8189D81C0B|
ASME|Annual month September on the Month End|1.0|8529CD48469C060AE0404F8189D81C0B|
AU01|Annual month June on the 1st|1.0|8529CD48469D060AE0404F8189D81C0B|
AU02|Annual month June on the 2nd|1.0|8529CD48469E060AE0404F8189D81C0B|
AU03|Annual month June on the 3rd|1.0|8529CD48469F060AE0404F8189D81C0B|
AU04|Annual month June on the 4th|1.0|8529CD4846A0060AE0404F8189D81C0B|
AU05|Annual month June on the 5th|1.0|8529CD4846A1060AE0404F8189D81C0B|
AU06|Annual month June on the 6th|1.0|8529CD4846A2060AE0404F8189D81C0B|
AU07|Annual month June on the 7th|1.0|8529CD4846A3060AE0404F8189D81C0B|
AU08|Annual month June on the 8th|1.0|8529CD4846A4060AE0404F8189D81C0B|
AU09|Annual month June on the 9th|1.0|8529CD4846A5060AE0404F8189D81C0B|
AU10|Annual month June on the 10th|1.0|8529CD4846A6060AE0404F8189D81C0B|
AU11|Annual month June on the 11th|1.0|8529CD4846A7060AE0404F8189D81C0B|
AU12|Annual month June on the 12th|1.0|8529CD4846A8060AE0404F8189D81C0B|
AU13|Annual month June on the 13th|1.0|8529CD4846A9060AE0404F8189D81C0B|
AU14|Annual month June on the 14th|1.0|8529CD4846AA060AE0404F8189D81C0B|
AU15|Annual month June on the 15th|1.0|8529CD4846AB060AE0404F8189D81C0B|
AU16|Annual month June on the 16th|1.0|8529CD4846AC060AE0404F8189D81C0B|
AU17|Annual month June on the 17th|1.0|8529CD4846AD060AE0404F8189D81C0B|
AU18|Annual month June on the 18th|1.0|8529CD4846AE060AE0404F8189D81C0B|
AU19|Annual month June on the 19th|1.0|8529CD4846AF060AE0404F8189D81C0B|
AU20|Annual month June on the 20th|1.0|8529CD4846B0060AE0404F8189D81C0B|
AU21|Annual month June on the 21st|1.0|8529CD4846B1060AE0404F8189D81C0B|
AU22|Annual month June on the 22nd|1.0|8529CD4846B2060AE0404F8189D81C0B|
AU23|Annual month June on the 23rd|1.0|8529CD4846B3060AE0404F8189D81C0B|
