"NMSPC_CD","CMPNT_CD","PARM_NM","OBJ_ID","VER_NBR","PARM_TYP_CD","VAL","PARM_DESC_TXT","EVAL_OPRTR_CD","APPL_ID"
"KFS-AR","CustomerAgingReportNotificationStep","NOTIFICATION_DAYS","KFS-TEM-PARM-135","1","CONFG","30","The timing of when the aging email notification should be sent. The value should 30, 60, 90 or AGE. When the AGE is entered, it assumes the value of the CUSTOMER_INVOICE_AGE parameter.","A","KFS"
"KFS-AR","CustomerBillingStatement","DEFAULT_FORMAT","KFSAR19","1","CONFG","SUMMARY","Set this value to ""SUMMARY"" if you generate the summary statement as default. Set this value to ""DETAIL"" if you generate the detailed statement as default","A","KFS"
"KFS-AR","CustomerBillingStatement","DUE_DATE_DAYS","KFSAR18","1","CONFG","30","Set the number of days that will be added to the system date to calculate the due date.","A","KFS"
"KFS-AR","CustomerInvoice","MAXIMUM_NUMBER_OF_DAYS_AFTER_CURRENT_DATE_FOR_INVOICE_DUE_DATE","KFS4","1","CONFG","90","This system parameter is used to determine the due date for the Customer Invoice.  It holds the number of days the invoice due date can be from the current date.","A","KFS"
"KFS-AR","CustomerInvoice","OBJECT_CONSOLIDATIONS","KFS5","1","CONFG","","Object Consolidation(s) restricted from use on a Customer Invoice document.","D","KFS"
"KFS-AR","CustomerInvoice","OBJECT_LEVELS","KFS6","1","CONFG","","Object Level(s) restricted from use on a Customer Invoice document.","D","KFS"
"KFS-AR","CustomerInvoiceWriteoff","ALLOW_SALES_TAX_LIABILITY_ADJUSTMENT_IND","KFS7","1","CONFG","Y","Controls the tax entries for accounts receivable write-off. The options include: Y: If your state allows an adjustment to sales tax liability for accounts receivable written off as bad debt, or N: If your state disallows an adjustment to sales tax liability. NOTE: parameter value N must be used with GLPE_WRITEOFF_GENERATION_METHOD=2.","A","KFS"
"KFS-AR","CustomerInvoiceWriteoff","APPROVAL_THRESHOLD","KFS8","1","CONFG","50","Writing off invoices of this value or higher requires Fiscal Officer approval.","A","KFS"
"KFS-AR","CustomerInvoiceWriteoff","GLPE_WRITEOFF_GENERATION_METHOD","KFS9","1","CONFG","1","This parameter controls how the entries for the accounts receivable writeoff are determined. The options include: 1: Record the writeoff in the same account as the income, with the writeoff object code specified on the chart table, or 2: Record the writeoff in the full accounting unit specified on the Organization Accounting Defaults eDoc.","A","KFS"
"KFS-AR","CustomerInvoiceWriteoff","GLPE_WRITEOFF_OBJECT_CODE_BY_CHART","KFS10","1","CONFG","","Identifies the writeoff object code to be used on the invoice writeoff transaction when parameter GLPE_WRITEOFF_GENERATION_METHOD = 1. The writeoff will be recorded in the same account that receives the income and the object code will be based on the income account's chart code. If GLPE_WRITEOFF_GENERATION_METHOD equals anything but 1 this parameter will not be used. ","A","KFS"
"KFS-AR","CustomerLoadStep","MAX_NUMBER_OF_RECORDS_PER_DOCUMENT","KFS11","1","CONFG","250","Set a limit on the number of customers that may be uploaded in a single batch.","A","KFS"
"KFS-AR","Document","ENABLE_SALES_TAX_IND","KFS12","1","CONFG","Y","Controls whether sales tax functionality within the AR module is enabled. If enabled indicators and tax calculations will be available on various Accounts Receivable documents. ","A","KFS"
"KFS-AR","DunningCampaign","DEFAULT_DUNNING_CAMPAIGN","KFS-CGB-PARM-013","1","CONFG","","The default value for the Dunning Campaign code for Agencies.","A","KFS"
"KFS-AR","DunningCampaign","DUNNING_LETTERS_FINAL_DAYS_PAST_DUE","KFS-CGB-PARM-009","1","CONFG","150","To set the value for FINAL days past due value used for sending strongly worded Dunning Letter requesting for payment.","A","KFS"
"KFS-AR","DunningCampaign","DUNNING_LETTERS_STATE_AGENCY_FINAL_DAYS_PAST_DUE","KFS-CGB-PARM-010","1","CONFG","150","To set the value for STATE AGENCY FINAL days past due value used for sending strongly worded Dunning Letter requesting for payment.","A","KFS"
"KFS-AR","InvoiceRecurrence","INVOICE_RECURRENCE_INTERVALS","KFS13","1","CONFG","M=Monthly;Q=Quarterly","These are the valid intervals for invoice recurrence.","A","KFS"
"KFS-AR","InvoiceRecurrence","MAXIMUM_RECURRENCES_BY_INTERVAL","KFS14","1","CONFG","M=12;Q=4","Maximum number of recurrences allowed by interval","A","KFS"
"KFS-AR","LockboxLoadStep","CONTACTS_TEXT","KFSCNTRB1343-1",1,"CONFG","SEE END OF MESSAGE FOR TRANSMISSION STATUS REPORT. {INSERT AR CONTACT INFORMATION HERE} (Primary contact listed above can revise recipients or contents of this message.)","This parameter is to store the details for AR lockbox contacts.","A","KFS"
"KFS-AR","LockboxLoadStep","SUMMARY_AND_ERROR_NOTIFICATION_EMAIL_SUBJECT","KFSCNTRB1343-2",1,"CONFG","Account Receivable Lock Box Payments","Email subject line for the lockbox load summary and error notification email.","A","KFS"
"KFS-AR","LockboxLoadStep","SUMMARY_AND_ERROR_NOTIFICATION_TO_EMAIL_ADDRESSES","KFSCNTRB1343-3",1,"CONFG","ar-lock-box-pmts-l@kuali.org","Email address to receive lockbox load summary and error notification email.","A","KFS"
"KFS-AR","OrganizationOptions","REMIT_TO_ADDRESS_EDITABLE_IND","KFS16","1","CONFG","N","This parameter controls whether the Remit to Address on the Accounts Receivable Organization Options is editable. When set to ""Y"" the Remit to Address is editable, when ""N"" the Remit to Address is not editable.","A","KFS"
"KFS-AR","OrganizationOptions","REMIT_TO_NAME_EDITABLE_IND","KFS17","1","CONFG","N","This parameter controls whether the Remit to Name on the Accounts Receivable Organization Options is editable. When set to ""Y"" the Remit to Name is editable, when ""N"" the Remit to Name is not editable.","A","KFS"
"KFS-AR","UpcomingMilestoneNotificationStep","CHECK_LIMIT_DAYS","KFS-CGB-PARM-011","1","CONFG","10","No of days (limit) to check for the Upcoming Milestones for the Award.","A","KFS"
"KFS-AR","UpcomingMilestoneNotificationStep","REMINDER_EMAIL_SUBJECT","KFS-CGB-PARM-012","1","CONFG","Upcoming Milestones Notification for Award.","Email subject line for upcoming Milestones for Award","A","KFS"
"KFS-BC","All","OLTP_LOCKOUT_ACTIVE_IND","KFSCNTRB65-2",1,"CONFG","N","Y/N indicator showing if the budget construction module is currently unavailable for Online Transaction Processing (OLTP). Y means the module is currently locked and cannot be used. N means the module is unlocked and available for use.","A","KFS"
"KFS-BC","BudgetConstruction","ANNUAL_WORKING_HOURS","KFS18","1","CONFG","2080","The total working hours in a year","A","KFS"
"KFS-BC","BudgetConstruction","BIWEEKLY_PAY_TYPE_CODES","KFS19","1","CONFG","B","The Labor Object table pay type code for hourly/biweekly pay.","A","KFS"
"KFS-BC","BudgetConstruction","BUDGET_AGGREGATION_CODES","KFS20","1","VALID","O","Allowed Object Budget Aggregation Code(s)","A","KFS"
"KFS-BC","BudgetConstruction","EXPENDITURE_OBJECT_TYPES","KFS21","1","VALID","EE;EX;ES;TE","Allowed Expenditure Object Type(s)","A","KFS"
"KFS-BC","BudgetConstruction","FRINGE_BENEFIT_DESIGNATOR_CODES","KFS22","1","VALID","F","Allowed value(s) found in field labeled Financial Object Fringe or Salary Code in the Labor Object Code table.","A","KFS"
"KFS-BC","BudgetConstruction","GENERATE_2PLG_SUB_FUND_GROUPS","KFS23","1","CONFG","SDCI","Used in Payrate import process to determine which accounts don't require a 2PLG","D","KFS"
"KFS-BC","BudgetConstruction","REVENUE_OBJECT_TYPES","KFS24","1","VALID","IN;IC;CH;TI","Allowed Revenue Object Type(s)","A","KFS"
"KFS-BC","BudgetConstruction","SALARY_SETTING_FUND_GROUPS","KFS25","1","VALID","CG","Fund groups that only allow accounting lines with objects found in the Labor Object table having Detail Position Required.","A","KFS"
"KFS-BC","BudgetConstruction","SALARY_SETTING_SUB_FUND_GROUPS","KFS26","1","VALID","SDCI","Subfund groups that only allow accounting lines with objects found in the Labor Object table having Detail Position Required.","A","KFS"
"KFS-BC","BudgetConstruction","WEEKLY_WORKING_HOURS","KFS27","1","CONFG","40","The total working hours in a week.","A","KFS"
"KFS-BC","BudgetConstructionIntendedIncumbent","EXTERNAL_INCUMBENT_FEED_IND","KFS28","1","CONFG","Y","Indicates whether the data for the budget construction intended incumbent table is populated from an external system or is maintained within the KFS.","A","KFS"
"KFS-BC","BudgetConstructionPayRateHolding","BIWEEKLY_PAY_OBJECT_CODES","KFS29","1","CONFG","","Expense Object Codes for Bi-Weekly pay. Determines which funding lines to pick up when doing a position pay adjustment with the Budget Payrate Import functionality.","A","KFS"
"KFS-BC","BudgetConstructionPosition","EXTERNAL_POSITION_FEED_IND","KFS30","1","CONFG","Y","Indicates whether the data for the budget construction position table is populated from an external system or is maintained within the KFS.","A","KFS"
"KFS-BC","GenesisBatchStep","SOURCE_FISCAL_YEAR","KFS31","1","CONFG","2010","Indicates the base fiscal year from which Genesis will create the new fiscal year budget documents.","A","KFS"
"KFS-CAB","All","OLTP_LOCKOUT_ACTIVE_IND","KFSCNTRB65-3",1,"CONFG","N","Y/N indicator showing if the capital asset module is currently unavailable for Online Transaction Processing (OLTP). Y means the module is currently locked and cannot be used. N means the module is unlocked and available for use.  ","A","KFS"
"KFS-CAB","Batch","BALANCE_TYPES","KFS32","1","CONFG","AC","Balance types allowed for transactions processed in CAB","A","KFS"
"KFS-CAB","Batch","CHARTS","KFS33","1","CONFG","","Set of chart codes excluded from CAB.","D","KFS"
"KFS-CAB","Batch","DOCUMENT_TYPES","KFS34","1","CONFG","ACLO;TF;YETF;AA;SACH","Set of document type codes that are excluded from CAB.","D","KFS"
"KFS-CAB","Batch","FISCAL_PERIODS","KFS35","1","CONFG","CB;BB","Fiscal periods that are excluded from CAB.","D","KFS"
"KFS-CAB","Batch","LAST_EXTRACT_TIME","KFS36","1","CONFG","06/01/2008 00:00:00","Last CAB extract time stamp which is modified every time batch runs successfully.","A","KFS"
"KFS-CAB","Batch","OBJECT_SUB_TYPES","KFS37","1","CONFG","AM;BY;BR;BX;CF;C1;C2;CM;CO;CP;ES;UC;UF;UO","Object Sub-Type codes allowed for transactions processed in CAB.","A","KFS"
"KFS-CAB","Batch","SUB_FUND_GROUPS","KFS38","1","CONFG","EXTAGY","Set of sub fund group codes excluded from CAB.","D","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_NUMBER_ON_PURCHASE_ORDER","KFS39","1","CONFG","","Requires the capital asset asset number for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_NUMBER_ON_REQUISITION","KFS40","1","CONFG","","Requires the capital asset asset number for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_TRANSACTION_TYPE_ON_PURCHASE_ORDER","KFS41","1","CONFG","","Requires the capital asset transaction type for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_TRANSACTION_TYPE_ON_REQUISITION","KFS42","1","CONFG","","Requires the capital asset transaction type for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_TYPE_ON_PURCHASE_ORDER","KFS43","1","CONFG","","Requires the capital asset asset type for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_ASSET_TYPE_ON_REQUISITION","KFS44","1","CONFG","","Requires the capital asset asset type for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_COMMENTS_ON_PURCHASE_ORDER","KFS45","1","CONFG","","Requires the capital asset comments for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_COMMENTS_ON_REQUISITION","KFS46","1","CONFG","","Requires the capital asset comments for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_DESCRIPTION_ON_PURCHASE_ORDER","KFS47","1","CONFG","","Requires the capital asset description for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_DESCRIPTION_ON_REQUISITION","KFS48","1","CONFG","","Requires the capital asset description for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_LOCATIONS_ADDRESS_ON_PURCHASE_ORDER","KFS49","1","CONFG","","Requires the capital asset location address for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_LOCATIONS_ADDRESS_ON_REQUISITION","KFS50","1","CONFG","","Requires the capital asset location address for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_LOCATIONS_QUANTITY_ON_PURCHASE_ORDER","KFS51","1","CONFG","","Requires the capital asset quantity per location for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_LOCATIONS_QUANTITY_ON_REQUISITION","KFS52","1","CONFG","","Requires the capital asset quantity per location for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_MANUFACTURER_ON_PURCHASE_ORDER","KFS53","1","CONFG","","Requires the capital asset manufacturer for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_MANUFACTURER_ON_REQUISITION","KFS54","1","CONFG","","Requires the capital asset manufacturer for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_MODEL_ON_PURCHASE_ORDER","KFS55","1","CONFG","","Requires the capital asset model for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_MODEL_ON_REQUISITION","KFS56","1","CONFG","","Requires the capital asset model for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_NOT_CURRENT_FISCAL_YEAR_ON_PURCHASE_ORDER","KFS57","1","CONFG","","Requires the capital asset not current fiscal year for the given Chart(s) when capital asset data is allowed on the Purchase Order.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_NOT_CURRENT_FISCAL_YEAR_ON_REQUISITION","KFS58","1","CONFG","","Requires the capital asset not current fiscal year for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_NUMBER_OF_ASSETS_ON_PURCHASE_ORDER","KFS59","1","CONFG","","Requires the capital asset number of assets for the given Chart(s) when capital asset data is allowed on the Purchase Order. ","A","KFS"
"KFS-CAB","Document","CHARTS_REQUIRING_NUMBER_OF_ASSETS_ON_REQUISITION","KFS60","1","CONFG","","Requires the capital asset number of assets for the given Chart(s) when capital asset data is allowed on the Requisition.","A","KFS"
"KFS-CAB","Document","FINANCIAL_PROCESSING_CAPITAL_OBJECT_SUB_TYPES","KFS61","1","CONFG","AM;CM;CF;CO;CP;UC;UF;UO;C1;C2;BR;BX;BY","Object Sub-Types that allow Capital Asset information to be entered on the Financial Processing documents.","A","KFS"
"KFS-CAB","Document","PURCHASING_ACCOUNTS_PAYABLE_OBJECT_LEVELS","KFS62","1","CONFG","","The Object Code level(s) designated specifically for Capital Assets in Purchasing/Accounts Payable documents.","A","KFS"
"KFS-CAB","Document","PURCHASING_ACCOUNTS_PAYABLE_POSSIBLE_OBJECT_LEVELS","KFS63","1","CONFG","","Object Code levels which indicate that the associated item may be a Capital Asset in Purchasing/Accounts Payable documents.","A","KFS"
"KFS-CAB","Document","PURCHASING_ASSET_TRANSACTION_TYPES_ALLOWING_ASSET_NUMBERS","KFS64","1","CONFG","MDEX;FABR","Capital Asset Transaction Type Codes which allow the item to have a Capital Asset Number on the Requisition and Purchase Order.","A","KFS"
"KFS-CAB","Document","PURCHASING_ASSET_TRANSACTION_TYPES_REQUIRING_RECURRING_PAYMENT_TERMS","KFS65","1","CONFG","LEAS","Capital Asset Transaction Type Codes which can be used if the document is of a recurring payment type on the Requisition and Purchase Order.","A","KFS"
"KFS-CAB","Document","PURCHASING_DEFAULT_ASSET_TYPE_WHEN_NOT_THIS_FISCAL_YEAR","KFS66","1","CONFG","40004","When the ""Not expected to be received in current fiscal year"" indicator is selected, default the asset type to this value.","A","KFS"
"KFS-CAB","Document","PURCHASING_OBJECT_SUB_TYPES","KFS67","1","CONFG","CL;CM;CO;AM;CF;UC;UF;UO","Capital Asset Financial Object Sub Type codes that require the item to collected information on the PURAP Capital Asset tab of Requisition and Purchase Order.","A","KFS"
"KFS-CAB","PreAssetTaggingStep","LAST_EXTRACT_DATE","KFS68","1","CONFG","6/1/2008","Last date on which the Pre Asset Tagging batch ran successfully.","A","KFS"
"KFS-CAB","PreAssetTaggingStep","OBJECT_SUB_TYPES","KFS69","1","CONFG","CM;CF;CO","Object Sub-Type codes eligible for extraction in the Pre Asset Tagging Extract Batch.","A","KFS"
"KFS-CAM","All","FISCAL_YEAR_END_MONTH_AND_DAY","KFSSYS7145-05","1","CONFG","0630","The month and day marking the last date of the fiscal year (0630 means June 30th).","A","KFS"
"KFS-CAM","All","OLTP_LOCKOUT_ACTIVE_IND","KFSCNTRB65-4",1,"CONFG","N","Y/N indicator showing if the capital asset management module is currently unavailable for Online Transaction Processing (OLTP). Y means the module is currently locked and cannot be used. N means the module is unlocked and available for use.","A","KFS"
"KFS-CAM","Asset","CAPITAL_ASSET_STATUS_CODES","KFS70","1","CONFG","A;C;R;S;U","Set of Status Codes to determine if an asset should be considered a Capital Asset","A","KFS"
"KFS-CAM","Asset","DEFAULT_FABRICATION_ASSET_MANUFACTURER","KFSCNTRB155","1","CONFG","UNIVERSITY CONSTRUCTED","Default manufacturer name to be used during Asset Fabrication.","A","KFS"
"KFS-CAM","Asset","DEFAULT_FABRICATION_ASSET_TYPE","KFS71","1","CONFG","40000","Default asset type value to be used during Asset Fabrication","A","KFS"
"KFS-CAM","Asset","EDITABLE_FIELDS_WHEN_TAGGED_PRIOR_FISCAL_YEAR","KFS72","1","CONFG","capitalAssetTypeCode;capitalAssetDescription;campusTagNumber","Set of fields which are editable by KFS-SYS Asset Manger, KFS-CAM Manager when the asset is tagged in a prior fiscal year.","A","KFS"
"KFS-CAM","Asset","FABRICATED_ACQUISITION_CODE","KFS617","1","CONFG","C","The Asset Acquisition Type code that will populate the ""Acquisition Type Code"" field when the Asset Fabrication document is initiated.","A","KFS"
"KFS-CAM","Asset","FEDERAL_CONTRIBUTIONS_OBJECT_SUB_TYPES","KFS73","1","CONFG","BF;CF;CO;LF;UF;UO","Set of Object SubType codes which require federal contribution for this asset","A","KFS"
"KFS-CAM","Asset","FEDERAL_OWNED_OBJECT_SUB_TYPES","KFS74","1","CONFG","CO;UO","Set of Object SubType codes owned by federal contributors. ","A","KFS"
"KFS-CAM","Asset","INVALID_ASSET_STATUS_BY_PRIOR_ASSET_STATUS","KFS75","1","CONFG","R=A,C,D,E,N,O,S,U;U=A,C,D,E,N,O,R,S","Set of invalid inventory status code transitions.","D","KFS"
"KFS-CAM","Asset","MANUFACTURER_REQUIRED_FOR_NON_MOVEABLE_ASSET_IND","KFSCAM102","1","CONFG","Y","Indicates whether or not the Manufacturer is required for a non-moveable asset.","A","KFS"
"KFS-CAM","Asset","MOVABLE_EQUIPMENT_OBJECT_SUB_TYPES","KFS76","1","CONFG","CM;CF;C1;C2;UC;UF;CO;UO;ES","Group of object sub-type code values used for Movable Equipment","A","KFS"
"KFS-CAM","Asset","NEW_ASSET_CONDITION_CODE","KFS668","1","CONFG","E","The Asset Condition code to be used when the Asset Global (Add) document is generated by processing a transaction using the Capital Asset Builder (CAB) create asset function","A","KFS"
"KFS-CAM","Asset","NON_MOVABLE_EQUIPMENT_OBJECT_SUB_TYPES","KFS77","1","CONFG","AM;BD;BF;BI;CP;IF;LA;LE;LI;LF;LR;BR;BY;BX","Group of object sub-type code values used for Non-Movable Equipment","A","KFS"
"KFS-CAM","Asset","OBJECT_SUB_TYPE_GROUPS","KFS78","1","CONFG","BD,BF;CM,CF,CO;UC,UF,UO;LI,LF","Set of object sub types codes that are used to validate that the asset payment being created has the same object sub type code in the existing payments.","A","KFS"
"KFS-CAM","Asset","RETIRED_STATUS_CODES","KFS79","1","CONFG","O;R;E","Set of Status codes which identify retired assets.","A","KFS"
"KFS-CAM","Asset","VALID_ASSET_STATUS_BY_PRIOR_ASSET_STATUS","KFS80","1","CONFG","A=C,S;C=A,S;S=A,C;N=O;O=N;E=D;D=E","Set of valid inventory status code transitions.","A","KFS"
"KFS-CAM","Asset","VENDOR_REQUIRED_FOR_NON_MOVEABLE_ASSET_IND","KFSCAM101","1","CONFG","Y","Indicates whether or not the vendor is required for a non-moveable asset.","A","KFS"
"KFS-CAM","AssetDepreciationStep","BLANK_OUT_BEGIN_MMDD","KFSMI6809_2","1","CONFG","","The depreciation blank out period begin month and day (in format MM/DD) when the job should not run automatically.","A","KFS"
"KFS-CAM","AssetDepreciationStep","BLANK_OUT_END_MMDD","KFSMI6809_3","1","CONFG","","The depreciation blank out period end month and day (in format MM/DD) when the job should not run automatically.","A","KFS"
"KFS-CAM","AssetDepreciationStep","BLANK_OUT_PERIOD_RUN_DATE","KFSMI6809_4","1","CONFG","","The run date (in format mm/dd/yyyy) to run the asset depreciation batch job during the blank out period.","A","KFS"
"KFS-CAM","AssetDepreciationStep","RUN_DATE","KFSMI6809_1","1","CONFG","","The run date to run the asset depreciation batch job during the blank out period.","A","KFS"
"KFS-CAM","AssetDepreciationStep","RUN_DATE_NOTIFICATION_EMAIL_ADDRESSES","KFSMI6809_5","1","CONFG","","This email list to send a notification when blank out period run date is not set or not in blank out period range.","A","KFS"
"KFS-CAM","AssetGlobal","CAPITALIZATION_LIMIT_AMOUNT","KFS81","1","CONFG","5000","Capitalization limit amount for a university","A","KFS"
"KFS-CAM","AssetGlobal","CAPITAL_OBJECT_ACQUISITION_CODES","KFS616","1","CONFG","F;G;S;T","All Capital Asset Acquisition Type codes not otherwise specified in the NEW_AQUISITION_CODE parameter. Allows system to identify non-capital asset acquisition type code(s) and then determines the availability of the following fields on the Asset Global (Add) document: Document Number Document Type Code and Posted Date.","D","KFS"
"KFS-CAM","AssetGlobal","CAPITAL_OBJECT_SUB_TYPES","KFS82","1","CONFG","CM;CF;CO;C1;C2;UC;UF;UO;AM;BD;BF;BI; ES;IF;LA;LE;LI;LF;LR;BR;BY;BX","List of capital object sub type codes","A","KFS"
"KFS-CAM","AssetGlobal","INVALID_ASSET_STATUSES_BY_ACQUISITION_TYPE","KFS83","1","CONFG","","Defines an invalid relationship between the asset status specified on an asset and the asset acquisition type.","D","KFS"
"KFS-CAM","AssetGlobal","INVALID_OBJECT_SUB_TYPES_BY_ACQUISITION_TYPE","KFS84","1","CONFG","A=CM,CF,CO,C1,C2,UC,UF,UO,AM,BD,BF,BI, ES,IF,LA,LE,LI,LF,LR,BR,BY,BX","Defines an invalid relationship between the asset acquisition type specified on an asset and the financial object sub type code.","D","KFS"
"KFS-CAM","AssetGlobal","MERGE_SEPARATE_RETIREMENT_REASONS","KFS85","1","CONFG","M;S","Retirement reasons that are restricted to central administration processing","A","KFS"
