attr_data_id|obj_id|ver_nbr|perm_id|kim_typ_id|kim_attr_defn_id|attr_val|
213|5B4F09744A45EF33E0404F8189D84F24|1.0|162|10|4|KR*|
216|5B4F09744A48EF33E0404F8189D84F24|1.0|163|16|4|KR*|
217|5B4F09744A49EF33E0404F8189D84F24|1.0|164|15|4|KR*|
218|5B4F09744A4AEF33E0404F8189D84F24|1.0|165|3|13|RiceDocument|
219|5B4F09744A4BEF33E0404F8189D84F24|1.0|166|12|4|KR*|
220|5B4F09744A4CEF33E0404F8189D84F24|1.0|167|8|13|KualiDocument|
221|5B4F09744A4DEF33E0404F8189D84F24|1.0|168|3|13|KualiDocument|
222|5B4F09744A4EEF33E0404F8189D84F24|1.0|290|8|13|RiceDocument|
223|5B4F09744A4FEF33E0404F8189D84F24|1.0|170|4|14|A|
225|5B4F09744A51EF33E0404F8189D84F24|1.0|172|4|14|F|
226|5B4F09744A52EF33E0404F8189D84F24|1.0|173|4|14|K|
237|5B4F09744A5DEF33E0404F8189D84F24|1.0|180|8|13|KualiDocument|
238|5B4F09744A5EEF33E0404F8189D84F24|1.0|180|8|16|PreRoute|
239|5B4F09744A5FEF33E0404F8189D84F24|1.0|181|8|13|KualiDocument|
240|5B4F09744A60EF33E0404F8189D84F24|1.0|181|8|15|R|
243|5B4F09744A63EF33E0404F8189D84F24|1.0|183|11|5|KimPrincipalImpl|
244|5B4F09744A64EF33E0404F8189D84F24|1.0|183|11|6|password|
249|5B6013B3AD121A9CE0404F8189D87094|1.0|167|8|16|PreRoute|
376|606763510FC496D3E0404F8189D857A2|1.0|259|9|13|KualiDocument|
379|606763510FC796D3E0404F8189D857A2|1.0|261|9|13|KualiDocument|
384|606763510FCE96D3E0404F8189D857A2|1.0|264|59|13|RiceDocument|
385|606763510FCF96D3E0404F8189D857A2|1.0|264|59|8|false|
431|6314CC58CF59B7B5E0404F8189D84439|1.0|306|11|5|IdentityManagementPersonDocument|
432|6314CC58CF5AB7B5E0404F8189D84439|1.0|306|11|6|taxId|
478|662384B381BA67A1E0404F8189D868A6|1.0|332|5|13|KualiDocument|
479|662384B381BB67A1E0404F8189D868A6|1.0|332|5|14|F|
480|662384B381BE67A1E0404F8189D868A6|1.0|333|5|13|KualiDocument|
481|662384B381BF67A1E0404F8189D868A6|1.0|333|5|14|K|
482|662384B381C267A1E0404F8189D868A6|1.0|334|5|13|KualiDocument|
483|662384B381C367A1E0404F8189D868A6|1.0|334|5|14|A|
701|A207FBACC3764793896D0D769F6DBBFF|1.0|701|10|5|RuleTemplate|
702|37F35D51EE714A8B8A66802F89626C50|1.0|702|10|5|EDocLiteStyle|
703|950DE6A28C144A9B87CA2CFD9FF337C8|1.0|703|10|5|EDocLiteDefinition|
707|D270B9BA7E494507AD0B5D184AB13479|1.0|707|10|5|RuleAttribute|
719|45EEFA6F23FD4015B927D1D19F482888|1.0|719|10|5|ParameterDetailType|
720|FFF2C6639C6041F1B148AA9901C8A1F7|1.0|720|10|5|ParameterNamespace|
721|6D489E39C0BC4890803E3A5F412297BE|1.0|721|10|5|ParameterType|
751|A3142D53EC1541BE92223181852C37CF|1.0|701|10|4|KR-WKFLW|
752|6250F01B4CA243FCBA64A93FE4EAFE83|1.0|702|10|4|KR-WKFLW|
753|E0F57E480CF646A585BC92E91AB5FB1D|1.0|703|10|4|KR-WKFLW|
757|266BD230C3AA40EB9FC8079FBB960DF0|1.0|707|10|4|KR-WKFLW|
768|160C75C4C8A3411D8856A50F38487EB2|1.0|719|10|4|KR-NS|
769|992DE7BE4C3C46F8AEDBE7925CBEE6B3|1.0|720|10|4|KR-NS|
770|330AAEB4459F4A34BBF8FECEA9E23404|1.0|721|10|4|KR-NS|
800|606763510FD296D3E0404F8189D857A2|1.0|801|10|4|KR-WKFLW|
801|606763510FD396D3E0404F8189D857A2|1.0|801|10|5|RuleTemplate|
802|606763510FD596D3E0404F8189D857A2|1.0|802|10|4|KR-WKFLW|
803|606763510FD696D3E0404F8189D857A2|1.0|802|10|5|EDocLiteStyle|
804|606763510FD896D3E0404F8189D857A2|1.0|803|10|4|KR-WKFLW|
805|606763510FD996D3E0404F8189D857A2|1.0|803|10|5|EDocLiteDefinition|
806|606763510FDB96D3E0404F8189D857A2|1.0|807|10|4|KR-WKFLW|
807|606763510FDC96D3E0404F8189D857A2|1.0|807|10|5|RuleAttribute|
814|606763510FE396D3E0404F8189D857A2|1.0|814|10|5|PessimisticLock|
819|606763510FE696D3E0404F8189D857A2|1.0|819|10|5|ParameterDetailType|
820|606763510FE996D3E0404F8189D857A2|1.0|820|10|5|ParameterNamespace|
821|606763510FEC96D3E0404F8189D857A2|1.0|821|10|5|ParameterType|
864|606763510FE296D3E0404F8189D857A2|1.0|814|10|4|KR-NS|
868|606763510FE596D3E0404F8189D857A2|1.0|819|10|4|KR-NS|
869|606763510FE896D3E0404F8189D857A2|1.0|820|10|4|KR-NS|
870|606763510FEB96D3E0404F8189D857A2|1.0|821|10|4|KR-NS|
873|606763510FF396D3E0404F8189D857A2|1.0|265|12|4|KR-WKFLW|
874|606763510FF496D3E0404F8189D857A2|1.0|265|12|2|org.kuali.rice.core.web.impex.IngesterAction|
880|ECCB8A6C-A0DA-5311-6A57-40F743EA334C|1.0|840|12|2|org.kuali.rice.ksb.messaging.web.ConfigViewerAction|
881|717e2c18-89e4-11df-98b1-1300c9ee50c1|1.0|841|3|13|KualiDocument|
882|B6FDEDA86F977F26E0402E0AA9D728AF|1.0|842|12|2|org.kuali.rice.core.web.cache.CacheAdminController|
883|B7DBFABEFD2C8CBFE0402E0AA9D757C9|1.0|843|67|4|KRMS_TEST|
884|aa1d1400-6155-4819-8bad-e5dd81f9871b|1.0|844|56|13|TermMaintenanceDocument|
885|c43bc7f5-949e-4a85-b173-6a53d81f2762|1.0|845|56|13|ContextMaintenanceDocument|
886|d3e373ca-296b-4834-bd66-ba159ebe733a|1.0|846|56|13|TermSpecificationMaintenanceDocument|
887|BD74D7B702AC02CEE0402E0AA9D75B2D|1.0|847|8|13|*|
888|BFCADCB34018249AE0402E0AA9D7065D|1.0|848|5|13|KualiDocument|
889|BFCADCB34019249AE0402E0AA9D7065D|1.0|848|5|14|C|
KR1000|D0C288607976E015E0406E0AC31D23C6|1.0|KR1000|4|14|C|
