perm_tmpl_id|obj_id|ver_nbr|nmspc_cd|nm|desc_txt|kim_typ_id|actv_ind|
35|5ADF18B6D4FC7954E0404F8189D85002|1.0|KR-IDM|Assign Role||18|Y|
36|5ADF18B6D5007954E0404F8189D85002|1.0|KR-IDM|Grant Permission||19|Y|
37|5ADF18B6D5047954E0404F8189D85002|1.0|KR-IDM|Grant Responsibility||20|Y|
38|5ADF18B6D5087954E0404F8189D85002|1.0|KR-IDM|Populate Group||21|Y|
4|5ADF18B6D4B17954E0404F8189D85002|1.0|KR-WKFLW|Blanket Approve Document||3|Y|
40|5ADF18B6D4AE7954E0404F8189D85002|1.0|KR-NS|Open Document||3|Y|
42|603B735FA6C4FE21E0404F8189D8083B|1.0|KR-NS|Create / Maintain Record(s)||56|Y|
43|603B735FA6C0FE21E0404F8189D8083B|1.0|KR-NS|View Inquiry or Maintenance Document Section||57|Y|
44|603B735FA6C1FE21E0404F8189D8083B|1.0|KR-NS|Modify Maintenance Document Section||57|Y|
45|606763510FC096D3E0404F8189D857A2|1.0|KR-NS|Add Note / Attachment||9|Y|
46|606763510FC196D3E0404F8189D857A2|1.0|KR-NS|View Note / Attachment||9|Y|
47|606763510FC296D3E0404F8189D857A2|1.0|KR-NS|Delete Note / Attachment||59|Y|
49|662384B381B867A1E0404F8189D868A6|1.0|KR-NS|Send Ad Hoc Request||5|Y|
5|5ADF18B6D4B27954E0404F8189D85002|1.0|KR-WKFLW|Route Document||3|Y|
51|430ad531-89e4-11df-98b1-1300c9ee50c1|1.0|KR-WKFLW|Add Message to Route Log||3|Y|
52|B7DBFABEFD2A8CBFE0402E0AA9D757C9|1.0|KR-RULE|KRMS Agenda Permission|View/Maintain Agenda|67|Y|
53|B7DBFABEFD578CBFE0402E0AA9D757C9|1.0|KR-KRAD|Open View||68|Y|
54|B7DBFABEFD588CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit View||68|Y|
55|B7DBFABEFD598CBFE0402E0AA9D757C9|1.0|KR-KRAD|Use View||69|Y|
56|B7DBFABEFD5A8CBFE0402E0AA9D757C9|1.0|KR-KRAD|View Field||70|Y|
57|B7DBFABEFD5B8CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit Field||70|Y|
58|B7DBFABEFD5C8CBFE0402E0AA9D757C9|1.0|KR-KRAD|View Group||71|Y|
59|B7DBFABEFD5D8CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit Group||71|Y|
60|B7DBFABEFD5E8CBFE0402E0AA9D757C9|1.0|KR-KRAD|View Widget||72|Y|
61|B7DBFABEFD5F8CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit Widget||72|Y|
62|B7DBFABEFD608CBFE0402E0AA9D757C9|1.0|KR-KRAD|Perform Action||73|Y|
63|B7DBFABEFD618CBFE0402E0AA9D757C9|1.0|KR-KRAD|View Line||71|Y|
64|B7DBFABEFD628CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit Line||71|Y|
65|B7DBFABEFD638CBFE0402E0AA9D757C9|1.0|KR-KRAD|View Line Field||74|Y|
66|B7DBFABEFD648CBFE0402E0AA9D757C9|1.0|KR-KRAD|Edit Line Field||74|Y|
67|B7DBFABEFD658CBFE0402E0AA9D757C9|1.0|KR-KRAD|Perform Line Action||75|Y|
68|BC5444677C24328CE0402E0AA9D77D80|1.0|KR-WKFLW|Recall Document||8|Y|
8|5ADF18B6D4B77954E0404F8189D85002|1.0|KR-NS|Take Requested Action||4|Y|
9|5ADF18B6D4BB7954E0404F8189D85002|1.0|KR-WKFLW|Ad Hoc Review Document||5|Y|
KR1000|CBA9C0DFF603E80EE040F90A05B97BE4|1.0|KR-WKFLW|Super User Approve Single Action Request||KR1000|Y|
KR1001|CBA9C0DFF604E80EE040F90A05B97BE4|1.0|KR-WKFLW|Super User Approve Document||KR1000|Y|
KR1002|CBA9C0DFF605E80EE040F90A05B97BE4|1.0|KR-WKFLW|Super User Disapprove Document||KR1000|Y|
KR1003|CEA27C3715288653E040F90A05B924A3|1.0|KR-SYS|Backdoor Restriction|Backdoor Restriction|KR1001|Y|
