role_perm_id|obj_id|ver_nbr|role_id|perm_id|actv_ind|
850|70086A2DF17C62E4E0404F8189D863CD|1.0|63|307|Y|
855|E83AB210-EB48-3BDE-2D6F-F6177869AE27|1.0|63|840|Y|
857|B6FDEDA86F987F26E0402E0AA9D728AF|1.0|63|842|Y|
858|B7DBFABEFD2F8CBFE0402E0AA9D757C9|1.0|98|843|Y|
859|45f8f55e-23d9-4278-ade8-ddfc870852e6|1.0|98|844|Y|
860|cd7cbc67-c0b2-4785-afa8-8c8d073b78df|1.0|98|845|Y|
861|83a270a0-1cdb-4440-ab8b-41cd8afc41d9|1.0|98|846|Y|
863|BFCADCB3401A249AE0402E0AA9D7065D|1.0|83|848|Y|
865|BFCADCB3401C249AE0402E0AA9D7065D|1.0|61|167|Y|
KR1000|D0C288607978E015E0406E0AC31D23C6|1.0|KR1001|KR1000|Y|
KR1001|D0C288607979E015E0406E0AC31D23C6|1.0|KR1001|181|Y|
