perm_id|obj_id|ver_nbr|perm_tmpl_id|nmspc_cd|nm|desc_txt|actv_ind|
332|662384B381B967A1E0404F8189D868A6|1.0|49|KR-SYS|Send FYI Request Kuali Document|Authorizes users to send FYI ad hoc requests for Kuali Documents|Y|
333|662384B381BD67A1E0404F8189D868A6|1.0|49|KR-SYS|Send Acknowledge Request Kuali Document|Authorizes users to send Acknowledge ad hoc requests for Kuali Documents|Y|
334|662384B381C167A1E0404F8189D868A6|1.0|49|KR-SYS|Send Approve Request Kuali Document|Authorizes users to send Approve ad hoc requests for Kuali Documents|Y|
378|5B4F09744953EF33E0404F8189D84F29|1.0|1|KR-IDM|Override Entity Privacy Preferences|Allows a user to override entity privacy preferences|Y|
701|04C7706012554535AF8DC48DC6CC331C|1.0|23|KR-WKFLW|Look Up Rule Template|Allow users to access the Rule Template lookup.|Y|
702|471FF4B19A4648D4B84194530AE22158|1.0|23|KR-WKFLW|Look Up Stylesheet|Allow users to access the Stylesheet lookup.|Y|
703|E6875070DC5B4FD59193F7445C33E7AB|1.0|23|KR-WKFLW|Look Up eDocLite|Allow users to access the eDocLite lookup.|Y|
707|28CE0127B8A14AB4BFD39920C5398A69|1.0|23|KR-WKFLW|Look Up Rule Attribute|Allow users to access the Rule Attribute lookup.|Y|
719|45F0E8E1B9784756A3C0582980912991|1.0|23|KR-NS|Look Up Parameter Component|Allow users to access the Parameter Component lookup.|Y|
720|FFF2C6639C6041F1B148AA9901C8A1F7|1.0|23|KR-NS|Look Up Namespace|Allow users to access the Namespace lookup.|Y|
721|B1BD57EE64274E62AC9425C7FF185A44|1.0|23|KR-NS|Look Up Parameter Type|Allow users to access the Parameter Type lookup.|Y|
801|606763510FD196D3E0404F8189D857A2|1.0|24|KR-WKFLW|Inquire Into Rule Template|Allow users to access the Rule Template inquiry.|Y|
802|606763510FD496D3E0404F8189D857A2|1.0|24|KR-WKFLW|Inquire Into Stylesheet|Allow users to access the Stylesheet inquiry.|Y|
803|606763510FD796D3E0404F8189D857A2|1.0|24|KR-WKFLW|Inquire Into eDocLite|Allow users to access the eDocLite inquiry.|Y|
807|606763510FDA96D3E0404F8189D857A2|1.0|24|KR-WKFLW|Inquire Into Rule Attribute|Allow users to access the Rule Attribute inquiry.|Y|
814|606763510FE196D3E0404F8189D857A2|1.0|24|KR-NS|Inquire Into Pessimistic|Allow users to access the Pessimistic Lock inquiry.|Y|
819|606763510FE496D3E0404F8189D857A2|1.0|24|KR-NS|Inquire Into Parameter Component|Allow users to access the Parameter Component inquiry.|Y|
820|606763510FE796D3E0404F8189D857A2|1.0|24|KR-NS|Inquire Into Namespace|Allow users to access the Namespace inquiry.|Y|
821|606763510FEA96D3E0404F8189D857A2|1.0|24|KR-NS|Inquire Into Parameter Type|Allow users to access the Parameter Type inquiry.|Y|
833|5B4F09744953EF33E0404F8189D84F25|1.0|38|KR-SYS|Populate Group KUALI Namespace|Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with the KUALI namespace.|Y|
834|5B4F09744953EF33E0404F8189D84F26|1.0|35|KR-SYS|Assign Role KUALI Namespace|Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for Roles with the KUALI namespace.|Y|
835|5B4F09744953EF33E0404F8189D84F27|1.0|36|KR-SYS|Grant Permission KUALI Namespace|Authorizes users to modify the information on the Permissions tab of the Role Document for roles with the KUALI namespace.|Y|
836|5B4F09744953EF33E0404F8189D84F28|1.0|37|KR-SYS|Grant Responsibility KUALI Namespace|Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with the KUALI namespace.|Y|
840|97469975-D110-9A65-5EE5-F21FD1BEB5B2|1.0|29|KR-BUS|Use Configuration Viewer Screen|Allows users to access the Configuration Viewer screen|Y|
841|65677409-89e4-11df-98b1-1300c9ee50c1|1.0|51|KUALI|Add Message to Route Log||Y|
842|B6FDEDA86F967F26E0402E0AA9D728AF|1.0|29|KR-SYS|Use Cache Adminstration Screen|Allows use of the cache administration screen|Y|
843|B7DBFABEFD2B8CBFE0402E0AA9D757C9|1.0|52|KR-RULE-TEST|Maintain KRMS Agenda|Allows creation and modification of agendas via the agenda editor|Y|
844|0dbce939-4f22-4e9b-a4bb-1615c0f411a2|1.0|42|KR-NS|Create Term Maintenance Document|Allows user to create a new Term maintainence document|Y|
845|cefeed6d-b5e2-40aa-9034-137db317b532|1.0|42|KR-NS|Create Context Maintenance Document|Allows user to create a new Context maintainence document|Y|
846|02bd9acd-48d9-4fec-acbd-6a441c5ea8c2|1.0|42|KR-NS|Create TermSpecification Maintenance Document|Allows user to create a new TermSpecification maintainence document|Y|
847|BD74D7B702AB02CEE0402E0AA9D75B2D|1.0|68|KR-WKFLW|Recall Document||Y|
848|BFCADCB34017249AE0402E0AA9D7065D|1.0|49|KR-SYS|Send Complete Request Kuali Document|Authorizes users to send Complete ad hoc requests for Kuali Documents|Y|
KR1000|D0C288607975E015E0406E0AC31D23C6|1.0|8|KUALI|Take Requested Complete Action|Authorizes users to take the Complete action on documents routed to them.|Y|
