postal_state_cd|postal_cntry_cd|obj_id|ver_nbr|postal_state_nm|actv_ind|
KS|US|56908AA37A17661BE0404F8189D81F46|1.0|KANSAS|Y|
KY|US|56908AA37A18661BE0404F8189D81F46|1.0|KENTUCKY|Y|
LA|US|56908AA37A19661BE0404F8189D81F46|1.0|LOUISIANA|Y|
MA|US|56908AA37A1A661BE0404F8189D81F46|1.0|MASSACHUSETTS|Y|
MB|CA|KFS-TEM-STATE-011|1.0|Manitoba|Y|
MD|US|56908AA37A1B661BE0404F8189D81F46|1.0|MARYLAND|Y|
ME|US|56908AA37A1C661BE0404F8189D81F46|1.0|MAINE|Y|
MH|US|56908AA37A41661BE0404F8189D81F46|1.0|MARSHALL ISLANDS|Y|
MI|MX|KFS-TEM-STATE-036|1.0|Michoacan|Y|
MI|US|56908AA37A1D661BE0404F8189D81F46|1.0|MICHIGAN|Y|
MN|US|56908AA37A1E661BE0404F8189D81F46|1.0|MINNESOTA|Y|
MO|MX|KFS-TEM-STATE-037|1.0|Morelos|Y|
MO|US|56908AA37A1F661BE0404F8189D81F46|1.0|MISSOURI|Y|
MP|US|56908AA37A42661BE0404F8189D81F46|1.0|NORTHERN MARIANA ISLANDS|Y|
MS|US|56908AA37A20661BE0404F8189D81F46|1.0|MISSISSIPPI|Y|
MT|US|56908AA37A21661BE0404F8189D81F46|1.0|MONTANA|Y|
NA|MX|KFS-TEM-STATE-038|1.0|Nayarit|Y|
NB|CA|KFS-TEM-STATE-012|1.0|New Brunswick|Y|
NC|US|56908AA37A22661BE0404F8189D81F46|1.0|NORTH CAROLINA|Y|
ND|US|56908AA37A23661BE0404F8189D81F46|1.0|NORTH DAKOTA|Y|
NE|US|56908AA37A24661BE0404F8189D81F46|1.0|NEBRASKA|Y|
NF|CA|KFS-TEM-STATE-013|1.0|Newfoundland|Y|
NH|US|56908AA37A25661BE0404F8189D81F46|1.0|NEW HAMPSHIRE|Y|
NJ|US|56908AA37A26661BE0404F8189D81F46|1.0|NEW JERSEY|Y|
NL|MX|KFS-TEM-STATE-039|1.0|Nuevo Leon|Y|
NM|US|56908AA37A27661BE0404F8189D81F46|1.0|NEW MEXICO|Y|
NS|AU|KFS-TEM-STATE-002|1.0|New South Wales|Y|
NS|CA|KFS-TEM-STATE-014|1.0|Nova Scotia|Y|
NT|AU|KFS-TEM-STATE-003|1.0|Northern Territory|Y|
NT|CA|KFS-TEM-STATE-015|1.0|Northwest Territories|Y|
NU|CA|KFS-TEM-STATE-016|1.0|Nunavut|Y|
NV|US|56908AA37A28661BE0404F8189D81F46|1.0|NEVADA|Y|
NY|US|56908AA37A29661BE0404F8189D81F46|1.0|NEW YORK|Y|
OA|MX|KFS-TEM-STATE-040|1.0|Oaxaca|Y|
OH|US|56908AA37A2A661BE0404F8189D81F46|1.0|OHIO|Y|
OK|US|56908AA37A2B661BE0404F8189D81F46|1.0|OKLAHOMA|Y|
ON|CA|KFS-TEM-STATE-017|1.0|Ontario|Y|
OR|US|56908AA37A2C661BE0404F8189D81F46|1.0|OREGON|Y|
PA|US|56908AA37A2D661BE0404F8189D81F46|1.0|PENNSYLVANIA|Y|
PE|CA|KFS-TEM-STATE-018|1.0|Prince Edward Island|Y|
PR|US|56908AA37A2E661BE0404F8189D81F46|1.0|PUERTO RICO|Y|
PU|MX|KFS-TEM-STATE-041|1.0|Puebla|Y|
PW|US|56908AA37A43661BE0404F8189D81F46|1.0|PALAU|Y|
QC|CA|KFS-TEM-STATE-019|1.0|Quebec|Y|
QL|AU|KFS-TEM-STATE-004|1.0|Queensland|Y|
QR|MX|KFS-TEM-STATE-042|1.0|Quintana Roo|Y|
QT|MX|KFS-TEM-STATE-043|1.0|Queretaro|Y|
RI|US|56908AA37A2F661BE0404F8189D81F46|1.0|RHODE ISLAND|Y|
SA|AU|KFS-TEM-STATE-005|1.0|South Australia|Y|
SC|US|56908AA37A30661BE0404F8189D81F46|1.0|SOUTH CAROLINA|Y|
SD|US|56908AA37A31661BE0404F8189D81F46|1.0|SOUTH DAKOTA|Y|
SI|MX|KFS-TEM-STATE-044|1.0|Sinaloa|Y|
SK|CA|KFS-TEM-STATE-020|1.0|Saskatchewan|Y|
SL|MX|KFS-TEM-STATE-045|1.0|San Luis Potosi|Y|
SO|MX|KFS-TEM-STATE-046|1.0|Sonora|Y|
TA|AU|KFS-TEM-STATE-006|1.0|Tasmania|Y|
TB|MX|KFS-TEM-STATE-047|1.0|Tabasco|Y|
TL|MX|KFS-TEM-STATE-048|1.0|Tlaxcala|Y|
TM|MX|KFS-TEM-STATE-049|1.0|Tamaulipas|Y|
TN|US|56908AA37A32661BE0404F8189D81F46|1.0|TENNESSEE|Y|
TX|US|56908AA37A33661BE0404F8189D81F46|1.0|TEXAS|Y|
UT|US|56908AA37A34661BE0404F8189D81F46|1.0|UTAH|Y|
VA|US|56908AA37A35661BE0404F8189D81F46|1.0|VIRGINIA|Y|
VE|MX|KFS-TEM-STATE-050|1.0|Veracruz|Y|
VI|AU|KFS-TEM-STATE-007|1.0|Victoria|Y|
VI|US|56908AA37A44661BE0404F8189D81F46|1.0|VIRGIN ISLANDS|Y|
VT|US|56908AA37A36661BE0404F8189D81F46|1.0|VERMONT|Y|
WA|AU|KFS-TEM-STATE-008|1.0|Western Australia|Y|
WA|US|56908AA37A37661BE0404F8189D81F46|1.0|WASHINGTON|Y|
WI|US|56908AA37A38661BE0404F8189D81F46|1.0|WISCONSIN|Y|
WV|US|56908AA37A39661BE0404F8189D81F46|1.0|WEST VIRGINIA|Y|
WY|US|56908AA37A3A661BE0404F8189D81F46|1.0|WYOMING|Y|
YT|CA|KFS-TEM-STATE-021|1.0|Yukon|Y|
YU|MX|KFS-TEM-STATE-051|1.0|Yucatan|Y|
ZA|MX|KFS-TEM-STATE-052|1.0|Zacatecas|Y|
