doc_typ_id|parnt_id|doc_typ_nm|doc_typ_ver_nbr|actv_ind|cur_ind|lbl|prev_doc_typ_ver_nbr|doc_typ_desc|doc_hdlr_url|post_prcsr|jndi_url|blnkt_appr_plcy|adv_doc_srch_url|rte_ver_nbr|notify_addr|appl_id|email_xsl|sec_xml|ver_nbr|blnkt_appr_grp_id|rpt_grp_id|grp_id|help_def_url|obj_id|doc_search_help_url|doc_hdr_id|
2699|2681|RoutingRuleDelegationMaintenanceDocument|0.0|1.0|1.0|Routing Rule Delegation||Routing Rule Delegation|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|||||A6DC8753-AF90-7A01-0EF7-E6D446529668|||
2708|2681|CampusMaintenanceDocument|0.0|1.0|1.0|CampusMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fcampus.htm|616D94CA-D08D-D036-E77D-4B53DB34CD95|||
2709|2681|CampusTypeMaintenanceDocument|0.0|1.0|1.0|CampusTypeMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fcampustype.htm|DE0B8588-E459-C07A-87B8-6ACD693AE70C|||
2710|2681|CountryMaintenanceDocument|0.0|1.0|1.0|CountryMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fcountry.htm|82EDB593-97BA-428E-C6E7-A7F3031CFAEB|||
2711|2681|CountyMaintenanceDocument|0.0|1.0|1.0|CountyMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fcounty.htm|C972E260-5552-BB63-72E6-A514301B0326|||
2712|2681|PostalCodeMaintenanceDocument|0.0|1.0|1.0|PostalCodeMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fpostalcode.htm|B79D1104-BC48-1597-AFBE-773EED31A110|||
2713|2681|StateMaintenanceDocument|0.0|1.0|1.0|StateMaintenanceDocument|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fstate.htm|EF2378F6-E770-D7BF-B7F1-C18881E3AFF0|||
2994|2681|IdentityManagementDocument|0.0|1.0|1.0|Undefined||||||||2|||||0.0|||||944596CD-A7FC-0DEE-EDE1-52A52BED85CC|||
2995|2994|IdentityManagementRoleDocument|0.0|1.0|1.0|Role|||${kim.url}/identityManagementRoleDocument.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Frole.htm|FEA8D9DD-0592-0525-B2BD-2F4BA811CF30|||
2996|2994|IdentityManagementGroupDocument|0.0|1.0|1.0|Group|||${kim.url}/identityManagementGroupDocument.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fgroup.htm|D9636763-7749-8F3F-4570-21181E977AE3|||
2997|2994|IdentityManagementPersonDocument|0.0|1.0|1.0|Person|||${kim.url}/identityManagementPersonDocument.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fperson.htm|14C95FE4-1497-82C6-CBBD-BF16AD81B845|||
2998|2994|IdentityManagementReviewResponsibilityMaintenanceDocument|0.0|1.0|1.0|Review Responsibility|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fresponsibility.htm|66413887-3C82-B12D-9563-0A893E8D1910|||
2999|2994|IdentityManagementGenericPermissionMaintenanceDocument|0.0|1.0|1.0|Permission|||${kr.url}/maintenance.do?methodToCall=docHandler|||||2|||||0.0||||default.htm?turl=WordDocuments%2Fpermission.htm|A3AE4787-018E-1F17-6EB6-F2F0F366774F|||
3000|2681|AgendaEditorMaintenanceDocument|0.0|1.0|1.0|KRMS Agenda Editor Maintenance Document||Create a KRMS Agenda|${kr.krad.url}/krmsAgendaEditor?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||ebd70731-4d33-4c0b-a958-2b9ca047ae07|||
3001|2681|AgendaMaintenanceDocument|0.0|1.0|1.0|Agenda Maintenance Document||Create a New Agenda|${kr.krad.url}/maintenance?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||3198b708-6e29-4b19-bf35-51473cf8a3d1|||
3002|2681|PeopleFlowMaintenanceDocument|0.0|1.0|1.0|PeopleFlowMaintenanceDocument|||${kr.krad.url}/peopleFlowMaintenance?methodToCall=docHandler|||||2|||||0.0|||||2c0a1333-f60b-47c4-a9b0-76f32f1ed97d|||
3003|2681|ContextMaintenanceDocument|0.0|1.0|1.0|KRMS Context Maintenance Document||Create a KRMS Context|${kr.krad.url}/maintenance?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||87413487-8306-4130-b2df-a5d0e42243f9|||
3004|2681|TermMaintenanceDocument|0.0|1.0|1.0|KRMS Term Maintenance Document||Create a KRMS Term|${kr.krad.url}/maintenance?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||bc83f80b-85c4-40fd-998c-ef53fdd97e3f|||
3005|2681|TermSpecificationMaintenanceDocument|0.0|1.0|1.0|KRMS Term Specification Maintenance Document||Create a KRMS Term Specification|${kr.krad.url}/maintenance?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||57e7ee1d-e44a-4154-9ba4-ee562c434c98|||
3007|2681|ComponentMaintenanceDocument|0.0|1.0|1.0|Component Maintenance Document||Create/edit a component|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fparametertype.htm|e9e0086b-30ce-4a9b-a2d6-564772076a1e|||
3008|2680|KFS|0.0|1.0|1.0|FinancialSystemDocument|||${kfs.url}/kr/maintenance.do?methodToCall=docHandler|org.kuali.kfs.sys.document.workflow.PostProcessor||||2||KFS|||4.0|||||fa66198b-94cf-42b5-9b76-90124fff61c7|||
3009|3008|FSSM|0.0|1.0|1.0|FinancialSystemSimpleMaintenanceDocument||||||||2|||||27.0|||||dd0fcbaa-0cf2-43f7-a43c-e21c90887984|||
3010|3008|KFSM|0.0|1.0|1.0|FinancialSystemComplexMaintenanceDocument||||||||2|||||7.0|||||908004c3-44a1-4c51-99f8-16c0ebfc5178|||
3011|3008|KFST|0.0|1.0|1.0|FinancialSystemTransactionalDocument||||||||2|||||19.0|||||fb20a2c9-e9d9-4627-8dc4-619f222a3fe5|${kfs.externalizable.help.url}/default.htm?turl=WordDocuments%2Ffinancialtransactions.htm||
3012||FSLO|0.0|1.0|1.0|Financial System - Ledger Only||||||||2|||||28.0|||||1c205826-89b4-4c85-a220-7d5952f07706|||
3013|3009|COSM|0.0|1.0|1.0|ChartSimpleMaintenanceDocument||||||||2|||||32.0|||||9a54659b-ea8a-4b60-80b7-5b02bf9f7653|||
3014|3009|FPSM|0.0|1.0|1.0|FinancialProcessingSimpleMaintenanceDocument||||||||2|||||18.0|||||d69ea0fc-8c1b-41bd-b3f6-a7713ea34a57|||
3015|3009|PDSM|0.0|1.0|1.0|PreDisbursementProcessorSimpleMaintenanceDocument||||||||2|||||13.0|||||1b80ee03-d219-4add-8f38-fc7e6ea3bfbf|||
3016|3009|VNSM|0.0|1.0|1.0|VendorSimpleMaintenanceDocument||||||||2|||||17.0|||||0b402852-8c4e-41e3-8386-9ad37b88b102|||
3017|3010|COA|0.0|1.0|1.0|ChartComplexMaintenanceDocument||||||||2|||||15.0|||||31dd65ee-a644-464a-a054-2b30fa69e447|||
3018|3010|VEND|0.0|1.0|1.0|VendorComplexMaintenanceDocument||||||||2|||||2.0|||||00c0564f-849e-4c9b-bf92-d30616f76fd9|||
3019|3011|GL|0.0|1.0|1.0|GeneralLedgerTransactionalDocument||||||||2|||||2.0|||||2231bc49-b2f1-4eb9-b2a1-0dad75061d83|||
3020|3011|FP|0.0|1.0|1.0|FinancialProcessingTransactionalDocument||||||||2|||||19.0|||||c343d054-1629-420e-b2b6-2df9ffd5bab0|||
3021|3009|AccessSecuritySimpleMaintenanceDocument|0.0|1.0|1.0|Access Security Simple Maintenance Documents||||||||2|||||5.0|||||9f8835e8-9a4c-40a0-8f7a-2d80ae74817f|||
3022|3009|ARSM|0.0|1.0|1.0|AccountsReceivableSimpleMaintenanceDocument||||||||2|||||6.0|||||f7573e44-cd83-4028-9270-fd67afc9088f|||
3023|3009|BCSM|0.0|1.0|1.0|BudgetConstructionSimpleMaintenanceDocument||||||||2|||||8.0|||||c0a92a22-48ea-4024-9d99-cd86a5c05ff3|||
3024|3009|CMSM|0.0|1.0|1.0|CapitalAssetManagementSimpleMaintenanceDocument||||||||2|||||12.0|||||c0f884bc-c121-45c2-a71e-04648c6d50a6|||
3025|3009|CGSM|0.0|1.0|1.0|ContractsAndGrantsSimpleMaintenanceDocument||||||||2|||||15.0|||||8722bcaf-2beb-40ea-916c-e308d257cb08|||
3026|3009|ECSM|0.0|1.0|1.0|EffortCertificationSimpleMaintenanceDocument||||||||2|||||5.0|||||b2393bca-e9b1-4ea3-b0ed-81fa9f83564c|||
3027|3009|LDSM|0.0|1.0|1.0|LaborDistributionSimpleMaintenanceDocument||||||||2|||||7.0|||||f37e5099-7cd2-49cc-b040-dda131ffc4fc|||
3028|3009|PRSM|0.0|1.0|1.0|PurchasingAccountsPayableSimpleMaintenanceDocument||||||||2|||||33.0|||||31433368-bd0d-4547-9531-d1f7c2f7b78a|||
3029|3009|TTSM|0.0|1.0|1.0|TemSimpleMaintenanceDocument||||||||2|||||27.0|||||16666f7c-d203-47a9-a130-5fc77c755945|||
3030|3010|ARM|0.0|1.0|1.0|AccountsReceivableComplexMaintenanceDocument||||||||2|||||5.0|||||35748a51-8425-4845-9729-e3626d6b95dd|||
3031|3010|CAMM|0.0|1.0|1.0|CapitalAssetManagementComplexMaintenanceDocument||||||||2|||||6.0|||||cbcd0feb-60ab-4a26-9770-451c5506d0f2|${kfs.externalizable.help.url}/default.htm?turl=WordDocuments%2Fassetmaintenancecustomdocumentsearch.htm||
3032|3010|CGM|0.0|1.0|1.0|ContractsAndGrantsComplexMaintenanceDocument||||||||2|||||3.0|||||d96e6621-f5cf-4cc2-b796-cdbdaf6217ac|||
3033|3010|CAB|0.0|1.0|1.0|CapitalAssetBuilderComplexMaintenanceDocument||||||||2|||||2.0|||||89a6bb92-03da-48c4-a73b-1f0da1630f18|||
3034|3011|AR|0.0|1.0|1.0|AccountsReceivableTransactionalDocument||||||||2|||||6.0|||||0c7343dc-cfe8-4677-8369-503405220008|||
3035|3011|BCT|0.0|1.0|1.0|BudgetConstructionTransactionalDocument||||||||2|||||2.0|||||fc87c244-19c2-49e6-a66a-aa54c50e2d1c|||
3036|3011|CAM|0.0|1.0|1.0|CapitalAssetManagementTransactionalDocument||||||||2|||||6.0|||||227b9e5d-7360-4550-98d8-834f0b7647d2|||
3037|3011|CG|0.0|1.0|1.0|ContractsAndGrantsTransactionalDocument||||||||2|||||2.0|||||37113b26-c3ef-46a4-91f1-c8d6104b107f|||
3038|3011|EC|0.0|1.0|1.0|EffortCertificationTransactionalDocument||||||||2|||||2.0|||||14ece067-8885-46ea-a481-a991dfa7b144|||
3039|3011|LD|0.0|1.0|1.0|LaborDistributionTransactionalDocument||||||||2|||||6.0|||||2176f0a0-4e9a-466c-89e4-43bf14cde127|||
3040|3011|PRAP|0.0|1.0|1.0|PurchasingAccountsPayableTransactionalDocument||||||||2|||||4.0|||||f185a96d-feb1-494d-92a7-f6575ac1e143|||
3041|3011|ET|0.0|1.0|0.0|EndowmentTransactionalDocument||||||||2|||||2.0|||||d2b1aaa7-e37e-4e29-951c-9277970c6bc2|||
3042|3011|TT|0.0|1.0|0.0|TravelTransactionalDocument||||||||1|||||4.0|||||5e0141f7-6a50-481c-8d7d-1f53e23c4400|||
3043|3016|PMAT|0.0|1.0|1.0|Address Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faddresstype.htm|a17fe494-3ed3-45f8-b550-9c3542def263|||
3044|3016|PMCP|0.0|1.0|1.0|Campus Parameter||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcampusparameter.htm|76c3781e-8044-413c-8512-efeeb1cd4a4e|||
3045|3016|PMCC|0.0|1.0|1.0|Commodity Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcommoditycode.htm|ed40d797-b49c-439f-bbd5-cbca339258c4|||
3046|3016|PMCT|0.0|1.0|1.0|Contact Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcontacttype.htm|2c7e6d7b-4ac3-4ab2-8944-3b8ff68191e9|||
3047|3016|PMCO|0.0|1.0|1.0|Contract Manager||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcontractmanager.htm|42297e55-9102-4bef-998f-14cb451e2d0a|||
3048|3016|PMOC|0.0|1.0|1.0|Ownership Type Category||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fownershiptypecategory.htm|7bc6495f-992a-48a8-8155-0e4b36fc65d8|||
3049|3016|PMOT|0.0|1.0|1.0|Ownership Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fownershiptype.htm|62c418cd-4c03-4712-ab08-760e8474eeb2|||
3050|3016|PMPA|0.0|1.0|1.0|Payment Terms Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpaymenttermstype.htm|7a56b02a-38ba-4d05-99fb-e2f825b57825|||
3051|3016|PMPT|0.0|1.0|1.0|Phone Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fphonetype.htm|ba1b5c0d-335a-4dc8-b7d5-ff9bdb8e9f35|||
3052|3016|PMCS|0.0|1.0|1.0|Cost Source||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcostsource.htm|3a25a21b-92fc-4279-8322-5b4013638c24|||
3053|3016|PMSP|0.0|1.0|1.0|Shipping Payment Terms||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fshippingpaymentterms.htm|fc7bb714-6c9b-4a6a-8efc-9daeef9944e7|||
3054|3016|PMSS|0.0|1.0|1.0|Shipping Special Conditions||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fshippingspecialconditions.htm|f2d697a2-43c3-4f02-944f-86121a4e1502|||
3055|3016|PMST|0.0|1.0|1.0|Shipping Title||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fshippingtitle.htm|18f71bd9-87b2-4242-84df-1adcf798910b|||
3056|3016|PMSD|0.0|1.0|1.0|Supplier Diversity||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fsupplierdiversity.htm|8f9257be-87cf-4d49-9d11-e0dccc2f5e95|||
3057|3016|PMIR|0.0|1.0|1.0|Vendor Inactive Reason||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fvendorinactivereason.htm|79ac3f8f-acdb-4938-9496-c5b44e17619a|||
3058|3016|PMVT|0.0|1.0|1.0|Vendor Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fvendortype.htm|1e609187-c5c3-46c7-b866-82320a3ce78e|||
3059|3019|GLCP|0.0|1.0|1.0|General Ledger Correction Process|||${kfs.url}/generalLedgerCorrection.do?methodToCall=docHandler|||||2|||||1.0||||default.htm?turl=WordDocuments%2Fgeneralledgercorrectionprocess.htm|6e5b56a1-3869-4943-a9f7-820396d92156|||
3060|3017|GORV|0.0|1.0|1.0|Organization Reversion Global||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Forganizationreversionglobal.htm|642ffd27-d6e9-4cfe-8029-665809a0cb4f|||
3061|3017|GSOB|0.0|1.0|1.0|Sub-Object Code Global||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fsubobjectcodeglobal.htm|cd62daf5-430b-4edf-b68e-d555389c43ab|||
3062|3017|GDLG|0.0|1.0|1.0|Account Delegate Global||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccountdelegateglobal.htm|8ca6c213-568e-42bf-86ec-4c6781f3282f|||
3063|3017|OR|0.0|1.0|1.0|Organization Review||||||||2|||||3.0|||||97081535-6bad-4de8-ad81-636747dc0c0d|||
3064|3017|ADEL|0.0|1.0|1.0|Account Delegate||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccountdelegate.htm|128d13c9-7a82-4596-82e7-cac1e0cdb29a|||
3065|3017|GDLM|0.0|1.0|1.0|Account Delegate Model||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccountdelegatemodel.htm|25b0b14d-b892-48d3-83b6-33f5ede415b3|||
3066|3017|GACC|0.0|1.0|1.0|Account Global||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccountglobal.htm|049e777c-c961-49a3-bafd-a8052f348b95|||
3067|3017|GOBJ|0.0|1.0|1.0|Object Code Global||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fobjectcodeglobal.htm|3934400c-ac95-4466-98fe-c4faa4c17e83|||
3068|3017|OBJT|0.0|1.0|1.0|Object Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fobjectcode.htm|b6505077-daa5-4aea-bc04-94672e03c99a|||
3069|3017|ORGN|0.0|1.0|1.0|Organization||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Forganization.htm|819c114f-5eac-4b6a-9976-203e93fe6acd|||
3070|3017|PROJ|0.0|1.0|1.0|Project Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fprojectcode.htm|46ce2fd2-f9a4-428d-bb6d-55022529a5cb|||
3071|3017|SACC|0.0|1.0|1.0|Sub-Account||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fsubaccount.htm|d7d1e519-1663-4aa6-a69b-ed7732f35a87|||
3072|3017|SOBJ|0.0|1.0|1.0|Sub-Object Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fsubobjectcode.htm|3270ac20-2d88-4395-ae70-cb6ed7c45e29|||
3073|3017|ACCT|0.0|1.0|1.0|Account||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccount.htm|bac4b14c-6627-4397-93ef-9f4c16b2ad5b|||
3074|3063|ORR|0.0|1.0|1.0|Organization Review Role||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Forganizationreview.htm|7eac99a0-c431-4dec-8446-cbbfa992608e|||
3075|3063|ORG|0.0|1.0|1.0|Organization Review Group||||||||2|||||1.0|||||cd650282-d79a-4781-8a52-019ec2789eaf|||
3076|3018|PVEN|0.0|1.0|1.0|Vendor||||||||2|||||1.0||||${kfs.externalizable.help.url}/default.htm?turl=WordDocuments%2Fvendorpven.htm|30f69601-850f-4fba-84a6-f84b645b2217|||
3077|3015|ACTC|0.0|1.0|1.0|Accounting Change Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Faccountingchangecode.htm|586e0f28-1cca-45ec-87ec-635b94464713|||
3078|3015|ABNK|0.0|1.0|1.0|ACH Bank||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fachbank.htm|a93010d5-5511-4bed-a6c7-d4cdc91deae4|||
3079|3015|ACTR|0.0|1.0|1.0|ACH Transaction Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fachtransactioncode.htm|d5d405a9-d074-45a1-80d5-e88a585359be|||
3080|3015|ACHT|0.0|1.0|1.0|ACH Transaction Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fachtransactiontype.htm|09e04f00-69ad-49ab-bed7-58d1a116265a|||
3081|3015|CSPR|0.0|1.0|1.0|Customer Profile||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcustomerprofile.htm|95dcc55f-8be5-449e-b1d1-2089faae6723|||
3082|3015|DBRG|0.0|1.0|1.0|Disbursement Number Range||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementnumberrange.htm|7c6f8720-84bf-4bbe-85f9-1cf3f19bf189|||
3083|3015|DSTP|0.0|1.0|1.0|Disbursement Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementtype.htm|a455f70d-0c9c-4943-9c61-b72b2755d073|||
3084|3015|PYTP|0.0|1.0|1.0|Payee Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpayeetype.htm|49beda4f-9687-438d-b195-d9e6c001db36|||
3085|3015|PMTC|0.0|1.0|1.0|Payment Change Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpaymentchange.htm|daef8b78-92a4-43c0-8dbe-2247c05c7d21|||
3086|3015|PMTS|0.0|1.0|1.0|Payment Status||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpaymentstatus.htm|6609df1f-8853-4efd-b003-e28ad9bfb498|||
3087|3015|PMTP|0.0|1.0|1.0|Payment Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpaymenttype.htm|e061efb1-5f53-43e3-bdd0-fe73f41489fa|||
3088|3015|PAAT|0.0|1.0|1.0|Payee ACH Account||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fpayeeachaccount.htm|801fd303-327c-407d-9db0-a8cb842c9406|||
3089|3014|CDS|0.0|1.0|1.0|Cash Drawer||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcashdrawer.htm|d33823e8-b554-4d9f-b1eb-ca0aa0f4f09a|||
3090|3014|CCTY|0.0|1.0|1.0|Credit Card Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcreditcardtype.htm|d1a10e0e-e68c-4eb2-8e3d-18f0a91bd9b5|||
3091|3014|CCVN|0.0|1.0|1.0|Credit Card Vendor||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fcreditcardvendor.htm|f95ab835-8bb3-4e40-b88b-b54f5e329d00|||
3092|3014|DVDL|0.0|1.0|1.0|Disbursement Voucher Documentation Location||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementvoucherdocumentationlocation.htm|038e4945-81b8-42aa-b8f4-1a8dc0eae95e|||
3093|3014|BFYC|0.0|1.0|1.0|Fiscal Year Function Control||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Ffiscalyearfunctioncontrol.htm|efffc8a7-2392-4b20-b8dc-8f2ae0f66fbe|||
3094|3014|BFNC|0.0|1.0|1.0|Function Control Code||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Ffunctioncontrolcode.htm|4e25d4ba-6249-4fc1-a516-4a58eb2ead22|||
3095|3014|DVTX|0.0|1.0|1.0|Non-Resident Alien Tax Percent||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fnonresidentalientaxpercent.htm|5b418340-99bb-4348-a0c5-bfa7d00d0ad8|||
3096|3014|DVOT|0.0|1.0|1.0|Disbursement Voucher Ownership Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fownershiptypemaintenancedocument.htm|0d823279-49e1-4814-8f57-eefbd935d04d|||
3097|3014|DVPR|0.0|1.0|1.0|Disbursement Voucher Payment Reason||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementvoucherpaymentreason.htm|152ed812-c617-45d5-9a06-1077051cd23d|||
3098|3014|DVCC|0.0|1.0|1.0|Disbursement Voucher Tax Control||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Ftaxcontrolcodemaintenancedocument.htm|64982ffd-b323-4733-8d3a-35db80351869|||
3099|3014|DVIC|0.0|1.0|1.0|Disbursement Voucher Tax Income Class||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementvouchertaxincomeclass.htm|828eebd6-2f0e-4d66-a5ef-669364dfaea5|||
3100|3014|DVTC|0.0|1.0|1.0|Disbursement Voucher Travel Company||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementvouchertravelcompany.htm|8ca7a326-552d-4e35-b2ce-10dbd23c0751|||
3101|3014|DVET|0.0|1.0|1.0|Disbursement Voucher Travel Expense Type||||||||2|||||1.0||||default.htm?turl=WordDocuments%2Fdisbursementvouchertravelexpensetype.htm|758fe008-5df4-49a7-aa6d-bc28baec6e86|||
