fin_coa_cd|fin_cons_obj_cd|obj_id|ver_nbr|fin_cons_obj_nm|fin_conobj_shrt_nm|fin_conobj_actv_cd|fin_report_sort_cd|
IU|IDIN|014F3DAF7411A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
IU|LIAB|014F3DAF7412A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
IU|OTRE|014F3DAF7413A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
IU|RSRX|014F3DAF7414A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
IU|SAPR|014F3DAF7415A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
IU|SCHL|014F3DAF7416A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
IU|STFE|014F3DAF7417A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
IU|TFEX|014F3DAF7418A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
IU|TFIN|014F3DAF7419A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
IU|TRSF|014F3DAF741AA448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
IU|TRVL|014F3DAF741BA448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
KO|ASEX|014F3DAF741CA448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
KO|ASRE|014F3DAF741DA448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
KO|ASST|014F3DAF741EA448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
KO|CMPN|014F3DAF741FA448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
KO|CPTL|014F3DAF7420A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
KO|FDBL|014F3DAF7421A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
KO|GENX|014F3DAF7422A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
KO|IDEX|014F3DAF7423A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
KO|IDIN|014F3DAF7424A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
KO|LIAB|014F3DAF7425A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
KO|OTRE|014F3DAF7426A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
KO|RSRX|014F3DAF7427A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
KO|SAPR|014F3DAF7428A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
KO|SCHL|014F3DAF7429A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
KO|STFE|014F3DAF742AA448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
KO|TFEX|014F3DAF742BA448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
KO|TFIN|014F3DAF742CA448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
KO|TRSF|014F3DAF742DA448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
KO|TRVL|014F3DAF742EA448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
NW|ASEX|014F3DAF742FA448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
NW|ASRE|014F3DAF7430A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
NW|ASST|014F3DAF7431A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
NW|CMPN|014F3DAF7432A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
NW|CPTL|014F3DAF7433A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
NW|FDBL|014F3DAF7434A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
NW|GENX|014F3DAF7435A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
NW|IDEX|014F3DAF7436A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
NW|IDIN|014F3DAF7437A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
NW|LIAB|014F3DAF7438A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
NW|OTRE|014F3DAF7439A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
NW|RSRX|014F3DAF743AA448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
NW|SAPR|014F3DAF743BA448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
NW|SCHL|014F3DAF743CA448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
NW|STFE|014F3DAF743DA448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
NW|TFEX|014F3DAF743EA448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
NW|TFIN|014F3DAF743FA448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
NW|TRSF|014F3DAF7440A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
NW|TRVL|014F3DAF7441A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
SB|ASEX|014F3DAF7442A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
SB|ASRE|014F3DAF7443A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
SB|ASST|014F3DAF7444A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
SB|CMPN|014F3DAF7445A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
SB|CPTL|014F3DAF7446A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
SB|FDBL|014F3DAF7447A448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
SB|GENX|014F3DAF7448A448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
SB|IDEX|014F3DAF7449A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
SB|IDIN|014F3DAF744AA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
SB|LIAB|014F3DAF744BA448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
SB|OTRE|014F3DAF744CA448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
SB|RSRX|014F3DAF744DA448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
SB|SAPR|014F3DAF744EA448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
SB|SCHL|014F3DAF744FA448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
SB|STFE|014F3DAF7450A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
SB|TFEX|014F3DAF7451A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
SB|TFIN|014F3DAF7452A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
SB|TRSF|014F3DAF7453A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
SB|TRVL|014F3DAF7454A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
SE|ASEX|014F3DAF7455A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
SE|ASRE|014F3DAF7456A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
SE|ASST|014F3DAF7457A448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
SE|CMPN|014F3DAF7458A448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
SE|CPTL|014F3DAF7459A448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
SE|FDBL|014F3DAF745AA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
SE|GENX|014F3DAF745BA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
SE|IDEX|014F3DAF745CA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
SE|IDIN|014F3DAF745DA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
SE|LIAB|014F3DAF745EA448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
SE|OTRE|014F3DAF745FA448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
SE|RSRX|014F3DAF7460A448E043814FD28EA448|1.0|RESERVES|RESERVES|Y|15|
SE|SAPR|014F3DAF7461A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|STATE APPROP|Y|02|
SE|SCHL|014F3DAF7462A448E043814FD28EA448|1.0|FINANCIAL AID|FIN AID|Y|08|
SE|STFE|014F3DAF7463A448E043814FD28EA448|1.0|STUDENT FEES|STUDENT FEES|Y|01|
SE|TFEX|014F3DAF7464A448E043814FD28EA448|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|N|14|
SE|TFIN|014F3DAF7465A448E043814FD28EA448|1.0|TRANSFER - INCOME|TRANSFER-INC|N|06|
SE|TRSF|014F3DAF7466A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|TRANSFER|Y|19|
SE|TRVL|014F3DAF7467A448E043814FD28EA448|1.0|TRAVEL|TRAVEL|Y|10|
UA|ASEX|014F3DAF7468A448E043814FD28EA448|1.0|ASSESSMENTS-EXPENDITURES|ASSESS-EXP|Y|13|
UA|ASRE|014F3DAF7469A448E043814FD28EA448|1.0|ASSESSMENTS-REVENUE|ASSESS-REV|Y|05|
UA|ASST|014F3DAF746AA448E043814FD28EA448|1.0|ASSETS|ASSETS|Y|16|
UA|CMPN|014F3DAF746BA448E043814FD28EA448|1.0|COMPENSATION|COMPENS|Y|07|
UA|CPTL|014F3DAF746CA448E043814FD28EA448|1.0|CAPITAL|CAPITAL|Y|11|
UA|FDBL|014F3DAF746DA448E043814FD28EA448|1.0|FUND BALANCE|FUND BAL|Y|18|
UA|GENX|014F3DAF746EA448E043814FD28EA448|1.0|GENERAL EXPENSE|GEN EXP|Y|09|
UA|IDEX|014F3DAF746FA448E043814FD28EA448|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|Y|12|
UA|IDIN|014F3DAF7470A448E043814FD28EA448|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|Y|04|
UA|LIAB|014F3DAF7471A448E043814FD28EA448|1.0|LIABILITIES|LIABILITIES|Y|17|
UA|OTRE|014F3DAF7472A448E043814FD28EA448|1.0|OTHER REVENUE|OTH REVENUE|Y|03|
