fin_coa_cd|org_cd|obj_id|ver_nbr|descrshort|company|setid_location|location|tax_location_cd|manager_unvl_id|manager_posn|budget_yr_end_dt|budget_lvl|gl_expense|eeo4_function|accident_ins|si_accident_num|hazard|estabid|riskcd|fte_edit_indc|dept_tenure_flg|tl_distrib_info|use_budgets|use_encumbrances|use_distribution|budget_deptid|dist_prorate_optn|hp_stats_dept_cd|hp_stats_faculty|accounting_owner|country_grp|iu_org_mail_drp_cd|iu_org_address_2|iu_org_address_3|iu_campus_cd|iu_campus_bldg|iu_campus_room|iu_posn_allow_fl|iu_tenure_allow_fl|iu_title_allow_fl|iu_occ_un_allow_fl|org_fscl_aprvr_uid|last_update_date|
BA|TRAN|11400DC3EE42041EE043814FD881041E|1.0|BA-TRAN|IU|IUBLA|BL|BL|4219606069| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BA-TRAN| | | | | | | | |BL|| |Y|N|Y|Y|4219606069|20021102000000|
BA|UTIL|11400DC3F366041EE043814FD881041E|1.0|BA-UTIL|IU||||||||||||||||||||||||||||||BL||||||||20030424000000|
BA|VSHP|11400DC3F437041EE043814FD881041E|1.0|BA-VSHP|IU||||||||||||||||||||||||||||||BL||||||||20040929000000|
BL|AAAI|11400DC3EE43041EE043814FD881041E|1.0|BL-AAAI|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AAAI|||||||||BL|||N|N|Y|N||20040730000000|
BL|AAAM|11400DC3EE44041EE043814FD881041E|1.0|BL-AAAM|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-AAAM| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|AACC|11400DC3F34A041EE043814FD881041E|1.0|BL-AACC|IU||||||||||||||||||||||||||||||BL|||||Y|||20040719000000|
BL|ACC|11400DC3EE45041EE043814FD881041E|1.0|BL-ACC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ACC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ACQU|11400DC3EE46041EE043814FD881041E|1.0|BL-ACQU|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ACQU| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ACSP|11400DC3EE47041EE043814FD881041E|1.0|BL-ACSP|IU||||5166900312||||||||||||||||||||||||||BL|||Y||||4054206419|20040810000000|
BL|ACTG|11400DC3EE48041EE043814FD881041E|1.0|BL-ACTG|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ACTG| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ACTR|11400DC3EE49041EE043814FD881041E|1.0|BL-ACTR|IU||||5049708811||||||||||||||||||||||||||BL|||Y||Y||4317202661|20041215000000|
BL|ADBS|11400DC3EE4A041EE043814FD881041E|1.0|BL-ADBS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ADBS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ADLP|11400DC3F3D7041EE043814FD881041E|1.0|BL-ADLP|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|ADMS|11400DC3EE4B041EE043814FD881041E|1.0|BL-ADMS|IU|IUBLA|BL|BL|4545405888||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ADMS|||||||||BL|||Y|N|Y|N|4186105395|20030927000000|
BL|ADST|11400DC3EE4C041EE043814FD881041E|1.0|BL-ADST|IU||||4406304317||||||||||||||||||||||||||BL|||Y||Y|Y|5224801613|20041215000000|
BL|AECC|11400DC3F43E041EE043814FD881041E|1.0|BL-AECC|IU||||||||||||||||||||||||||||||BL|||||||2843302291|20040923000000|
BL|AERO|11400DC3EE4D041EE043814FD881041E|1.0|BL-AERO|IU|IUBLA|BL|BL|1872708343||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AERO|||||||||BL|||Y|N|Y|N|4184008413|20040810000000|
BL|AFFA|11400DC3EE4E041EE043814FD881041E|1.0|BL-AFFA|IU|IUBLA|BL|BL|1872708343||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AFFA|||||||||BL|||Y|N|Y|Y|4601801939|20041201000000|
BL|AFRI|11400DC3EE4F041EE043814FD881041E|1.0|BL-AFRI|IU|IUBLA|BL|BL|5154406618||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AFRI|||||||||BL|||Y|N|Y|Y|5154406618|20040810000000|
BL|AFRO|11400DC3EE50041EE043814FD881041E|1.0|BL-AFRO|IU|IUBLA|BL|BL|2966509283||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AFRO|||||||||BL|||Y|Y|Y|Y|2620008671|20040810000000|
BL|AGP|11400DC3EE51041EE043814FD881041E|1.0|BL-AGP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-AGP| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|AHRV|11400DC3EE52041EE043814FD881041E|1.0|BL-AHRV|IU|IUBLA|BL|BL|1913605143||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AHRV|||||||||BL|||Y|N|Y|Y|1913605143|20040810000000|
BL|AIND|11400DC3EE53041EE043814FD881041E|1.0|BL-AIND|IU||||3909803874||||||||||||||||||||||||FRANKLIN HALL 116||BL||116|Y||Y||2325208621|20041215000000|
BL|ALPG|11400DC3EE54041EE043814FD881041E|1.0|BL-ALPG|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ALPG|||||||||BL|||N|N|Y|N||20040730000000|
BL|AMID|11400DC3EE55041EE043814FD881041E|1.0|BL-AMID|IU|IUBLA|BL|BL|3851402102||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AMID|||||||||BL|||Y|Y|Y|Y|3851402102|20040819000000|
BL|AMST|11400DC3EE56041EE043814FD881041E|1.0|BL-AMST|IU|IUBLA|BL|BL|5598509810||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AMST|||||||||BL|||Y|N|Y|Y|5598509810|20040819000000|
BL|AMUS|11400DC3EE57041EE043814FD881041E|1.0|BL-AMUS|IU||||1872708343||||||||||||||||||||||||||BL|||Y|N|Y|Y|4086809710|20040811000000|
BL|ANAT|11400DC3EE58041EE043814FD881041E|1.0|BL-ANAT|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ANAT| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ANPH|11400DC3EE5E041EE043814FD881041E|1.0|BL-ANPH|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ANPH| | | | | | | | |BL|| |N|Y|Y|N||20021102000000|
BL|ANTH|11400DC3EE59041EE043814FD881041E|1.0|BL-ANTH|IU|IUBLA|BL|BL|5601108543||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ANTH|||||||||BL|||Y|Y|Y|Y|5601108543|20040819000000|
BL|APHS|11400DC3EE5A041EE043814FD881041E|1.0|BL-APHS|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-APHS|||||||||BL|||Y|N|Y|N|2282004469|20041202000000|
BL|ARAC|11400DC3EE5B041EE043814FD881041E|1.0|BL-ARAC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ARAC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ARCH|11400DC3EE5C041EE043814FD881041E|1.0|BL-ARCH|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ARCH| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ARSC|11400DC3EE5D041EE043814FD881041E|1.0|BL-ARSC|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ARSC|||||||||BL|||N|N|Y|N|5331201785|20040811000000|
BL|ARSD|11400DC3EE5F041EE043814FD881041E|1.0|BL-ARSD|IU|IUBLA|BL|BL|3428005487||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ARSD|||||||||BL|||Y|N|Y|Y|1529707192|20040819000000|
BL|ARTS|11400DC3EE60041EE043814FD881041E|1.0|BL-ARTS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ARTS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ARVM|11400DC3EE61041EE043814FD881041E|1.0|BL-ARVM|IU|IUBLA|BL|BL|1529707192||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ARVM|||||||||BL|||Y|N|Y|N|2460007243|20040819000000|
BL|ASBE|11400DC3EE62041EE043814FD881041E|1.0|BL-ASBE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ASBE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ASDV|11400DC3EE63041EE043814FD881041E|1.0|BL-ASDV|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-ASDV|||||||||BL|||N|N|Y|Y||20040810000000|
BL|ASIA|11400DC3EE64041EE043814FD881041E|1.0|BL-ASIA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ASIA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|AST|11400DC3EE65041EE043814FD881041E|1.0|BL-AST|IU|IUBLA|BL|BL|5511601466||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-AST|||||||||BL|||Y|Y|Y|Y|5511601466|20040810000000|
BL|ATSI|11400DC3F3D8041EE043814FD881041E|1.0|BL-ATSI|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|AUDO|11400DC3EE66041EE043814FD881041E|1.0|BL-AUDO|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-AUDO| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|AUVS|11400DC3EE67041EE043814FD881041E|1.0|BL-AUVS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-AUVS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|AXSV|11400DC3EE68041EE043814FD881041E|1.0|BL-AXSV|IU|IUBLA|BL|BL|4988707000| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-AXSV| | | | | | | | |BL|| |Y|N|Y|Y|4075208273|20021102000000|
BL|BCEI|11400DC3EE69041EE043814FD881041E|1.0|BL-BCEI|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-BCEI|||||||||BL|||N|N|Y|N||20040730000000|
BL|BCLB|11400DC3EE6A041EE043814FD881041E|1.0|BL-BCLB|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-BCLB|||||||||BL|||N|N|Y|N||20040719000000|
BL|BCMI|11400DC3F3C5041EE043814FD881041E|1.0|BL-BCMI|IU|||||||||||||||||||||||||||SWAIN WEST|727 E. THIRD STREET|BLOOMINGTON, IN  47405-7105|BL|BL027|159|N|N|Y|N|1545104915|20040217000000|
BL|BCOM|11400DC3F38C041EE043814FD881041E|1.0|BL-BCOM|IU||||||||||||||||||||||||||||||BL|||||Y|||20030730000000|
BL|BCOR|11400DC3EE6B041EE043814FD881041E|1.0|BL-BCOR|IU||||||||||||||||||||||||||||||BL|||||Y||2843302291|20031208000000|
BL|BEPP|11400DC3EE6C041EE043814FD881041E|1.0|BL-BEPP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BEPP| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BFAC|11400DC3F34D041EE043814FD881041E|1.0|BL-BFAC|IU||||||||||||||||||||||||||||||BL|||||||1872708343|20030228000000|
BL|BFIN|11400DC3EE6D041EE043814FD881041E|1.0|BL-BFIN|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BFIN| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BI|11400DC3EE6E041EE043814FD881041E|1.0|BL-BI|IU|IUBLA|BL|BL|1701207121||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-BI|||||||||BL|||Y|Y|Y|Y|6076602019|20040819000000|
BL|BILI|11400DC3EE6F041EE043814FD881041E|1.0|BL-BILI|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BILI| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BIOC|11400DC3EE70041EE043814FD881041E|1.0|BL-BIOC|IU|IUBLA|BL|BL|1701207121||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-BIOC|||||||||BL|||Y|Y|Y|Y|6076602019|20040819000000|
BL|BL|11400DC3EE71041EE043814FD881041E|1.0|BL-BL|IU|IUBLA|BL|BL|1872708343||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-BL|||||||||BL|||N|N|N|N|1872708343|20031017000000|
BL|BLAN|11400DC3EE72041EE043814FD881041E|1.0|BL-BLAN|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BLAN| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BLIB|11400DC3EE73041EE043814FD881041E|1.0|BL-BLIB|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BLIB| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BLKC|11400DC3EE74041EE043814FD881041E|1.0|BL-BLKC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BLKC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BLLT|11400DC3EE75041EE043814FD881041E|1.0|BL-BLLT|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BLLT| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BOT|11400DC3EE76041EE043814FD881041E|1.0|BL-BOT|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BOT| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BRSS|11400DC3EE77041EE043814FD881041E|1.0|BL-BRSS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BRSS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BSCI|11400DC3EE78041EE043814FD881041E|1.0|BL-BSCI|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BSCI| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BSSP|11400DC3EE79041EE043814FD881041E|1.0|BL-BSSP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BSSP| | | | | | | | |BL|| |N|N|N|N||20021102000000|
BL|BUDG|11400DC3EE7A041EE043814FD881041E|1.0|BL-BUDG|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BUDG| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BUED|11400DC3F419041EE043814FD881041E|1.0|BL-BUED|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|BUEE|11400DC3EE7B041EE043814FD881041E|1.0|BL-BUEE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BUEE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BURE|11400DC3EE7C041EE043814FD881041E|1.0|BL-BURE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BURE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BURS|11400DC3EE7D041EE043814FD881041E|1.0|BL-BURS|IU|IUBLA|BL|BL|2982703845| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BURS| | | | | | | | |BL|| |Y|N|N|Y|2982703845|20021102000000|
BL|BUS|11400DC3EE7E041EE043814FD881041E|1.0|BL-BUS|IU|IUBLA|BL|BL|2039604860| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BUS| | | | | | | | |BL|| |Y|Y|Y|Y|1777902237|20021102000000|
BL|BUSA|11400DC3EE7F041EE043814FD881041E|1.0|BL-BUSA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BUSA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|BUSP|11400DC3EE80041EE043814FD881041E|1.0|BL-BUSP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-BUSP| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CAAA|11400DC3EE81041EE043814FD881041E|1.0|BL-CAAA|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-CAAA|||||||||BL|||Y|N|Y|N|3083208092|20041202000000|
BL|CACE|11400DC3EE82041EE043814FD881041E|1.0|BL-CACE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CACE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CACL|11400DC3EE83041EE043814FD881041E|1.0|BL-CACL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CACL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CAFS|11400DC3EE84041EE043814FD881041E|1.0|BL-CAFS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CAFS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CAGU|11400DC3EE85041EE043814FD881041E|1.0|BL-CAGU|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CAGU| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CAIS|11400DC3F3D9041EE043814FD881041E|1.0|BL-CAIS|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|CARL|11400DC3EE86041EE043814FD881041E|1.0|BL-CARL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CARL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CCCS|11400DC3EE87041EE043814FD881041E|1.0|BL-CCCS|IU|IUBLA|BL|BL|1872708343||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-CCCS|||||||||BL|||Y|N|N|Y|3317806328|20041201000000|
BL|CCCT|11400DC3EE88041EE043814FD881041E|1.0|BL-CCCT|IU||||||||||||||||||||||||||||||BL||||||||20030929000000|
BL|CCOG|11400DC3F469041EE043814FD881041E|1.0|BL-CCOG|IU||||||||||||||||||||||||||||||BL|||||Y||5454406993|20050304000000|
BL|CCSI|11400DC3F46D041EE043814FD881041E|1.0|BL-CCSI|IU||||||||||||||||||||||||||||||BL|||||Y||1250802481|20050304000000|
BL|CDCT|11400DC3EE89041EE043814FD881041E|1.0|BL-CDCT|IU||||3185208201||||||||||||||||||||||||||BL|||Y||Y|Y|4385708213|20030929000000|
BL|CECC|11400DC3F43D041EE043814FD881041E|1.0|BL-CECC|IU||||||||||||||||||||||||||||||BL|||||||2843302291|20040923000000|
BL|CEDP|11400DC3EE8A041EE043814FD881041E|1.0|BL-CEDP|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-CEDP|||||||||BL|||N|N|Y|N||20040730000000|
BL|CELA|11400DC3EE8B041EE043814FD881041E|1.0|BL-CELA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-CELA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|CEPC|11400DC3EE8C041EE043814FD881041E|1.0|BL-CEPC|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-CEPC|||||||||BL|||N|N|Y|N||20040730000000|
