rte_node_id|doc_typ_id|nm|typ|rte_mthd_nm|rte_mthd_cd|fnl_aprvr_ind|mndtry_rte_ind|actvn_typ|brch_proto_id|ver_nbr|content_fragment|grp_id|next_doc_stat|
2905|2997|GroupType|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2906|2997|RoleType|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2908|2998|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2910|2999|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2917|3007|Initiated|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|P||1.0||1||
2919|3009|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||27.0||||
2921|3010|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||7.0||||
2922|3010|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||5.0||||
2925|3037|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||2.0||||
2926|3037|ProjectManagement|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2928|3059|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2929|3059|autoApproveForAsynchronousProcessing|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S||1.0||||
2931|3061|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2932|3061|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2933|3061|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2934|3061|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2936|3062|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2937|3062|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2938|3062|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2939|3062|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2941|3064|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2942|3064|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2943|3064|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2945|3065|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2946|3065|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2947|3065|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2949|3066|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2950|3066|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2951|3066|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2953|3067|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2954|3067|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2956|3068|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2957|3068|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2958|3068|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2960|3069|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2961|3069|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2962|3069|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2964|3070|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2965|3070|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2967|3071|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2968|3071|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2969|3071|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2971|3072|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2972|3072|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2973|3072|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
2975|3073|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2976|3073|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2977|3073|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2978|3073|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2979|3073|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2980|3073|Chart|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2982|3074|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2983|3074|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2985|3075|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2986|3075|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
2988|3076|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2989|3076|RequiresApproval|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
2991|3076|Management|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S|2990|2.0||||
2992|3076|Initiator|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S|2990|2.0||||
2993|3076|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
2995|3076|Do Nothing|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|2994|2.0||||
2997|3110|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
2999|3111|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3001|3112|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3002|3112|CashManagement|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|1.0|S||1.0||||
3004|3113|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3006|3114|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3008|3115|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3010|3116|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3011|3116|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3012|3116|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3014|3117|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3015|3117|RequiresFullApproval|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3017|3117|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3016|2.0||||
3018|3117|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3016|2.0||||
3019|3117|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3016|2.0||||
3020|3117|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3016|2.0||||
3021|3117|JoinRequiresFullApproval|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3023|3117|Do Nothing|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3022|2.0||||
3025|3118|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3026|3118|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3027|3118|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3028|3118|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3029|3118|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3031|3119|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3032|3119|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3033|3119|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3034|3119|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3035|3119|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3037|3120|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3038|3120|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3039|3120|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3040|3120|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3041|3120|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3043|3121|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3044|3121|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3045|3121|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3046|3121|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3047|3121|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3049|3122|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3050|3122|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3051|3122|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3052|3122|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3054|3123|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3055|3123|AccountFullEdit|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3056|3123|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3057|3123|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3058|3123|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3060|3124|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3061|3124|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3062|3124|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3063|3124|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3064|3124|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3066|3125|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||5.0||||
3067|3125|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||5.0||||
3068|3125|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||5.0||||
3069|3125|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||5.0||||
3071|3126|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3072|3126|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3073|3126|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3074|3126|SubFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3076|3127|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3077|3127|PayeeIsPurchaseOrderVendor|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3079|3127|Purchasing|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3078|2.0||||
3080|3127|JoinPayeeIsPurchaseOrderVendor|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3082|3127|NoOpPayee|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3081|2.0||||
3083|3127|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||2.0||||
3084|3127|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||2.0||||
3085|3127|RequiresTaxReview|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||2.0||||
3087|3127|Tax|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3086|4.0||||
3088|3127|JoinRequiresTaxReview|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||4.0||||
3090|3127|NoOpTaxReview|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3089|4.0||||
3091|3127|Award|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||4.0||||
3092|3127|RequiresTravelReview|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||4.0||||
3094|3127|Travel|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3093|8.0||||
3095|3127|JoinRequiresTravelReview|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||8.0||||
3097|3127|NoOpTravelReview|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3096|8.0||||
3098|3127|Campus|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||8.0||||
3099|3127|PaymentMethod|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||8.0||||
3100|3127|RequiresSeparationOfDutiesReview|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||8.0||||
3102|3127|SeparationOfDuties|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S|3101|16.0||||
3103|3127|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||16.0||||
3105|3127|NoOp|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3104|16.0||||
3120|3186|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3121|3186|Lockbox|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|1.0|S||1.0||||
3122|3186|AssociatedWithElectronicPayment|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3124|3186|ElectronicPayment|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S|3123|2.0||||
3125|3186|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3127|3186|NoOp|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3126|2.0||||
3129|3188|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3130|3188|RequiresApproval|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3132|3188|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3131|2.0||||
3133|3188|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3135|3188|NoOp|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3134|2.0||||
3137|3189|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3138|3189|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3139|3189|AccountingOrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P||1.0||||
3141|3190|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3142|3190|HasReccurence|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3144|3190|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3143|2.0||||
3145|3190|Recurrence|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3143|2.0||||
3146|3190|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3148|3190|NoOp|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3147|2.0||||
3150|3191|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3151|3191|InvoiceRecurrenceIsInactivating|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3153|3191|RecurrenceCreator|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3152|2.0||||
3154|3191|JoinInvoiceRecurrenceIsInactivating|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3156|3191|NoOpInvoiceRecurrenceIsInactivating|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3155|2.0||||
3157|3191|InitiatedBySystemUser|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||2.0||||
3159|3191|NoOpInitiatedBySystemUser|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3158|4.0||||
3160|3191|JoinInitiatedBySystemUser|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||4.0||||
3162|3191|Recurrence|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3161|4.0||||
3163|3191|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|P|3161|4.0||||
3165|3192|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3166|3192|RequiresApproval|org.kuali.kfs.sys.document.workflow.SimpleBooleanSplitNode|||0.0|0.0|S||1.0||||
3168|3192|Management|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S|3167|2.0||||
3169|3192|Join|org.kuali.rice.kew.engine.node.SimpleJoinNode|||0.0|0.0|S||2.0||||
3171|3192|NoOp|org.kuali.rice.kew.engine.node.NoOpNode|||0.0|0.0|S|3170|2.0||||
3173|3193|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3174|3193|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3176|3194|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3177|3194|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3178|3194|Management|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3181|3211|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3182|3211|PlantFund|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3184|3212|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
3185|3212|Account|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3186|3212|OrganizationHierarchy|org.kuali.rice.kew.engine.node.RoleNode|org.kuali.rice.kew.role.RoleRouteModule|RM|0.0|0.0|S||1.0||||
3188|3213|AdHoc|org.kuali.rice.kew.engine.node.InitialNode|||0.0|0.0|S||1.0||||
