sub_fund_grp_cd|obj_id|ver_nbr|fund_grp_cd|sub_fund_grp_desc|subfundgrp_actv_cd|sub_fundgrp_typ_cd|fin_report_sort_cd|sub_fund_grp_wage_ind|fnd_grp_ba_rstr_lvl_cd|acct_rstrc_stat_cd|
HIEDUD|015D880780C66C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUE|015D880780C76C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUF|015D880780C86C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUG|015D880780C96C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUH|015D880780CA6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUJ|015D880780CB6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUK|015D880780CC6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUM|015D880780CD6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUN|015D880780CE6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUP|015D880780CF6C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUQ|015D880780D06C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUR|015D880780D16C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|Y|N|13|Y|N||
HIEDUX|015D880780D26C10E043814FD8816C10|1.0|CG|HIGHER EDUCATION|N|N|13|Y|N||
INTAGY|015D880780D36C10E043814FD8816C10|1.0|AF|INTERNAL AGENCY FUNDS|Y|N|37|N|N||
INTLOA|015D880780D46C10E043814FD8816C10|1.0|LF|INTERNAL LOAN FUND|Y|N|26|N|N||
LEEND|015D880780D56C10E043814FD8816C10|1.0|EN|LIFE ESTATE ENDOWMENTS|Y|N|29|N|N||
LOANFD|015D880780D66C10E043814FD8816C10|1.0|LF|LOAN FUNDS|Y|N|26|N|N||
MCLAR|015D880781196C10E043814FD8816C10|1.0|AE|CLARIAN HEALTH PARTNER FUNDS|Y|A|21|Y|N||
MHOUSE|015D880780D76C10E043814FD8816C10|1.0|GF|HOUSESTAFF SERVICES|Y|N|01|Y|N||
MLABS|015D8807811A6C10E043814FD8816C10|1.0|AE|MEDICAL LABORATORY SERVICES|Y|A|21|Y|N||
MPPLAN|015D8807811B6C10E043814FD8816C10|1.0|AE|MEDICAL PRACTICE PLAN FUNDS|Y|A|21|Y|N||
MPRACT|015D880780D86C10E043814FD8816C10|1.0|GF|MEDICAL PRACTICE FUNDS|Y|N|01|Y|N||
MPROF|015D880780D96C10E043814FD8816C10|1.0|GF|MEDICAL PROFESSIONAL SERVICES|Y|N|01|Y|N||
MSERV|015D8807811C6C10E043814FD8816C10|1.0|AE|MEDICAL SERVICES|Y|A|21|Y|N||
MWISH|015D880780DA6C10E043814FD8816C10|1.0|GF|WISHARD PROFESSIONAL SERVICES|Y|N|01|Y|N||
NONPRA|015D880780DB6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRB|015D880780DC6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRC|015D880780DD6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRD|015D880780DE6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRE|015D880780DF6C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRF|015D880780E06C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRG|015D880780E16C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRH|015D880780E26C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRJ|015D880780E36C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRK|015D880780E46C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRM|015D880780E56C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRN|015D880780E66C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRP|015D880780E76C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRQ|015D880780E86C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRR|015D880780E96C10E043814FD8816C10|1.0|CG|NON-PROFIT|Y|N|18|Y|N||
NONPRX|015D880780EA6C10E043814FD8816C10|1.0|CG|NON-PROFIT|N|N|18|Y|N||
OTGOVA|015D880780EB6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVB|015D880780EC6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVC|015D880780ED6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVD|015D880780EE6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVE|015D880780EF6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVF|015D880780F06C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVG|015D880780F16C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVH|015D880780F26C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVJ|015D880780F36C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVK|015D880780F46C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVM|015D880780F56C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVN|015D880780F66C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVP|015D880780F76C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVQ|015D880780F86C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVR|015D880780F96C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|Y|N|19|Y|N||
OTGOVX|015D880780FA6C10E043814FD8816C10|1.0|CG|OTHER GOVERNMENTAL|N|N|19|Y|N||
OTHFDS|015D880780FB6C10E043814FD8816C10|1.0|OF|OTHER FUNDS|Y|N|40|N|N||
PFCMR|015D880780FC6C10E043814FD8816C10|1.0|PF|CONSTRUCTION & MAJOR REMODELING|Y|N|33|N|N||
PFIP|015D880780FD6C10E043814FD8816C10|1.0|PF|INVESTMENT IN PLANT|Y|N|36|N|N||
PFRI|015D880780FE6C10E043814FD8816C10|1.0|PF|RETIREMENT OF INDEBTEDNESS|Y|N|34|N|N||
PFRR|015D880780FF6C10E043814FD8816C10|1.0|PF|RENEWAL AND REPLACEMENT|Y|N|35|N|N||
RESFEL|015D880781006C10E043814FD8816C10|1.0|RF|FELLOWSHIPS|Y|N|09|Y|N||
RESSCH|015D880781016C10E043814FD8816C10|1.0|RF|SCHOLARSHIPS|Y|N|08|Y|N||
RHAFNB|015D880781026C10E043814FD8816C10|1.0|EN|RILEY HOSPITAL AGENCY TRUST-AFNB|Y|N|30|N|N||
RHINB|015D880781036C10E043814FD8816C10|1.0|EN|RILEY HOSPITAL AGENCY TRUST-INB|Y|N|31|N|N||
RHMNB|015D880781046C10E043814FD8816C10|1.0|EN|RILEY HOSPITAL AGENCY TRUST-MNB|Y|N|32|N|N||
ROFDS|015D880781056C10E043814FD8816C10|1.0|RF|RESTRICTED OTHER FUNDS|Y|N|12|Y|N||
RSSAPP|015D880781066C10E043814FD8816C10|1.0|RF|SPECIAL STATE APPROPRIATIONS|Y|N|10|Y|N||
SDCI|015D880781076C10E043814FD8816C10|1.0|DS|OTHER DESIGNATED: IU INITIATIVES|Y|N|02|Y|N||
STATEA|015D880781086C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEB|015D880781096C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEC|015D8807810A6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATED|015D8807810B6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEE|015D8807810C6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEF|015D8807810D6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEG|015D8807810E6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEH|015D8807810F6C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEJ|015D880781106C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEK|015D880781116C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEM|015D880781126C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEN|015D880781136C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEP|015D880781146C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEQ|015D880781156C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATER|015D880781166C10E043814FD8816C10|1.0|CG|STATE FUNDS|Y|N|16|Y|N||
STATEX|015D880781176C10E043814FD8816C10|1.0|CG|STATE FUNDS|N|N|16|Y|N||
STUFF|196D4AE5469B6008E043814FD8816008|1.0|GF|STUFF FOR TESTING|Y|N|30|N|N||
WSAGY|015D880781186C10E043814FD8816C10|1.0|AF|WORK STUDY AGENCY FUNDS|Y|N|39|Y|N||
