cust_nbr|cust_addr_id|obj_id|ver_nbr|cust_addr_nm|cust_line_1_addr|cust_line_2_addr|cust_city_nm|cust_state_cd|cust_zip_cd|cust_cntry_cd|cust_addr_intl_prov_nm|cust_intl_mail_cd|cust_email_addr|cust_addr_type_cd|cust_addr_end_dt|inv_tmplt_cd|copies_to_print_qty|inv_trns_mthd_cd|env_to_print_qty|
BEC20257|1.0|48A7ED7FC13AFC83E0404F8189D860FE|1.0|YON CORPORATION|100652 MAIN STREET||ELK GROVE VIL|IL|60007|US||||P||||||
BES17387|1.0|48A7ED7FC01FFC83E0404F8189D860FE|1.0|BORST CORPORATION|100369 MAIN STREET||RICHFIELD|MN|55423|US||||P||||||
BKD17502|1.0|48A7ED7FC037FC83E0404F8189D860FE|1.0|GAMBOA CORPORATION|100393 MAIN STREET|CENTER 208G|INDIANAPOLIS|IN|46204|US||||P||||||
BKD17502|2.0|48A7ED7FC060FC83E0404F8189D860FE|1.0|GAMBOA CORPORATION|100434 MAIN STREET|SUITE 232G|INDIANAPOLIS|IN|46204|US||||A||||||
BLA23404|1.0|48A7ED7FC278FC83E0404F8189D860FE|1.0|POHL CORPORATION|100970 MAIN STREET||CHICAGO|IL|60657|US||||P||||||
BLU23320|1.0|48A7ED7FC23AFC83E0404F8189D860FE|1.0|RIZO INTERNATIONAL|100908 MAIN STREET|FLOOR 463R|CHICAGO|IL|60610|US||||P||||||
BLU665|1.0|48A7ED7FBEC5FC83E0404F8189D860FE|1.0|ROSSI COMPANY|100023 MAIN STREET|BOX 7R|INDIANAPOLIS|IN|46282|US||||P||||||
BLU665|2.0|48A7ED7FBFD6FC83E0404F8189D860FE|1.0|ROSSI COMPANY|100296 MAIN STREET||CARMEL|IN|46032|US||||A||||||
BLU665|3.0|48A7ED7FC111FC83E0404F8189D860FE|1.0|ROSSI COMPANY|100611 MAIN STREET|SUITE 314R|CARMEL|IN|46032|US||||A||||||
BMO21087|1.0|48A7ED7FC15CFC83E0404F8189D860FE|1.0|RUNYON CORPORATION|100686 MAIN STREET|SUITE 350R|CHICAGO|IL|60603|US||||P||||||
BMO21087|2.0|48A7ED7FC245FC83E0404F8189D860FE|1.0|RUNYON CORPORATION|100919 MAIN STREET||CHICAGO|IL|60603|US||||A||||||
BMO21087|3.0|48A7ED7FC25EFC83E0404F8189D860FE|1.0|RUNYON CORPORATION|100944 MAIN STREET|SUITE 480R|CHICAGO|IL|60603|US||||A||||||
BON21102|1.0|48A7ED7FC189FC83E0404F8189D860FE|1.0|DEBOER STORES|100731 MAIN STREET||MILWAUKEE|WI|53203|US||||P||||||
BOR17697|1.0|48A7ED7FC059FC83E0404F8189D860FE|1.0|LAYNE GROUP|100427 MAIN STREET||ANN ARBOR|MI|48108|US||||P||||||
BOS21717|1.0|48A7ED7FC1EFFC83E0404F8189D860FE|1.0|JOSEPH CORPORATION|100833 MAIN STREET|SUITE 427J|NEW YORK|NY|10018|US||||P||||||
BPE17237|1.0|48A7ED7FBFD8FC83E0404F8189D860FE|1.0|SIKORA CORPORATION|100298 MAIN STREET||WARRENVILLE|IL|60555|US||||P||||||
BPE17237|2.0|48A7ED7FC14EFC83E0404F8189D860FE|1.0|SIKORA CORPORATION|100672 MAIN STREET||WARRENVILLE|IL|60555|US||||A||||||
BRA17694|1.0|48A7ED7FC055FC83E0404F8189D860FE|1.0|SEVIER CORPORATION|100423 MAIN STREET|SUITE 225S|INDIANAPOLIS|IN|46225|US||||P||||||
BRI17239|1.0|48A7ED7FBFDBFC83E0404F8189D860FE|1.0|SIMONE CORPORATION|100301 MAIN STREET||WOODRIDGE|IL|60517|US||||P||||||
BRI17239|2.0|48A7ED7FC030FC83E0404F8189D860FE|1.0|SIMONE CORPORATION|100386 MAIN STREET||NASHVILLE|TN|37214|US||||A||||||
BRI21088|1.0|48A7ED7FC166FC83E0404F8189D860FE|1.0|LEHMANN GROUP|100696 MAIN STREET|TOWER 357L|CHICAGO|IL|60606|US||||P||||||
BRO21109|1.0|48A7ED7FC172FC83E0404F8189D860FE|1.0|THOMASON COMPANY|100708 MAIN STREET|SUITE 363T|CLEVELAND|OH|44114|US||||P||||||
CAM23613|1.0|48A7ED7FC28EFC83E0404F8189D860FE|1.0|BLAND CORPORATION|100992 MAIN STREET||HARRISON|OH|45030|US||||P||||||
CAP23322|1.0|48A7ED7FC252FC83E0404F8189D860FE|1.0|HALBERT CORPORATION|100932 MAIN STREET||CHICAGO|IL|60613|US||||P||||||
CAR15297|1.0|48A7ED7FBFBDFC83E0404F8189D860FE|1.0|GORDON HEALTH|100271 MAIN STREET||INDIANAPOLIS|IN|46278|US||||P||||||
CAR15297|2.0|48A7ED7FC010FC83E0404F8189D860FE|1.0|GORDON HEALTH|100354 MAIN STREET||DUBLIN|OH|43017|US||||A||||||
CAR15297|3.0|48A7ED7FC02CFC83E0404F8189D860FE|1.0|GORDON HEALTH|100382 MAIN STREET|SUITE 201G|PROVIDENCE|RI|02908|US||||A||||||
CAR15297|4.0|48A7ED7FC05AFC83E0404F8189D860FE|1.0|GORDON HEALTH|100428 MAIN STREET|SUITE 228G|PROVIDENCE|RI|02908|US||||A||||||
CAR15297|5.0|48A7ED7FC09DFC83E0404F8189D860FE|1.0|GORDON HEALTH|100495 MAIN STREET||MUNCIE|IN|47303|US||||A||||||
CAR15297|6.0|48A7ED7FC1BAFC83E0404F8189D860FE|1.0|GORDON HEALTH|100780 MAIN STREET||PAWTUCKET|RI|02860|US||||A||||||
CAR23323|1.0|48A7ED7FC251FC83E0404F8189D860FE|1.0|MCCLURG SOLUTIONS|100931 MAIN STREET||ST CHARLES|IL|60174|US||||P||||||
CAR23612|1.0|48A7ED7FC28FFC83E0404F8189D860FE|1.0|SNOOK CORPORATION|100993 MAIN STREET|SUITE 507S|THE WOODLANDS|TX|77380|US||||P||||||
CBI17242|1.0|48A7ED7FBFDDFC83E0404F8189D860FE|1.0|KAYSER COMPANY|100303 MAIN STREET|SUITE 156K|CHICAGO|IL|60606|US||||P||||||
CDW17258|1.0|48A7ED7FBFE1FC83E0404F8189D860FE|1.0|MAHAN CORPORATION|100307 MAIN STREET||VERNON HILLS|IL|60061|US||||P||||||
CEN22075|1.0|48A7ED7FC215FC83E0404F8189D860FE|1.0|BETHUNE SOLUTIONS|100871 MAIN STREET||CAROL STREAM|IL|60188|US||||P||||||
CER18335|1.0|48A7ED7FC07BFC83E0404F8189D860FE|1.0|LAROSE CORPORATION|100461 MAIN STREET||KANSAS CITY|MO|64117|US||||P||||||
CHA1031|1.0|48A7ED7FBEC6FC83E0404F8189D860FE|1.0|OTTE COMPANY|100024 MAIN STREET||FISHERS|IN|46038|US||||P||||||
CHA1031|2.0|48A7ED7FBEC7FC83E0404F8189D860FE|1.0|OTTE COMPANY|100025 MAIN STREET|SUITE 8O|SOUTH BEND|IN|46601|US||||A||||||
CHA1031|3.0|48A7ED7FBEC8FC83E0404F8189D860FE|1.0|OTTE COMPANY|100026 MAIN STREET|SUITE 9O|SOUTH BEND|IN|46601|US||||A||||||
CHA1031|4.0|48A7ED7FC277FC83E0404F8189D860FE|1.0|OTTE COMPANY|100969 MAIN STREET||LITTLETON|CO|80112|US||||A||||||
CHI22074|1.0|48A7ED7FC214FC83E0404F8189D860FE|1.0|DUGGAN GROUP|100870 MAIN STREET|SUITE 445D|BOLINGBROOK|IL|60143|US||||P||||||
CHI23864|1.0|48A7ED7FC29FFC83E0404F8189D860FE|1.0|COZART COMPANY|101009 MAIN STREET|SUITE 515C|CHICAGO|IL|60604|US||||P||||||
CHR17241|1.0|48A7ED7FBFD4FC83E0404F8189D860FE|1.0|VALE CORPORATION|100294 MAIN STREET|SUITE 153V|EDEN PRAIRIE|MN|55344|US||||P||||||
CHR17241|2.0|48A7ED7FC02FFC83E0404F8189D860FE|1.0|VALE CORPORATION|100385 MAIN STREET||CHICAGO|IL|60622|US||||A||||||
CHR17241|3.0|48A7ED7FC0E5FC83E0404F8189D860FE|1.0|VALE CORPORATION|100567 MAIN STREET||CHICAGO|IL|60614|US||||A||||||
CIB19331|1.0|48A7ED7FC0C1FC83E0404F8189D860FE|1.0|GIBBS ENTERPRISES|100531 MAIN STREET|SUITE 277G|INDIANAPOLIS|IN|46240|US||||P||||||
CIG17259|1.0|48A7ED7FBFE0FC83E0404F8189D860FE|1.0|DELGADILLO CORPORATION|100306 MAIN STREET||HARTFORD|CT|06152|US||||P||||||
CIG17259|2.0|48A7ED7FC02EFC83E0404F8189D860FE|1.0|DELGADILLO CORPORATION|100384 MAIN STREET|SUITE 203D|PHILADELPHIA|PA|19192|US||||A||||||
CIG17259|3.0|48A7ED7FC0B8FC83E0404F8189D860FE|1.0|DELGADILLO CORPORATION|100522 MAIN STREET|SUITE 275D|PHILADELPHIA|PA|19192|US||||A||||||
CIN1106|1.0|48A7ED7FBEC9FC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100027 MAIN STREET|SUITE 10M|INDIANAPOLIS|IN|46204|US||||P||||||
CIN1106|962.0|48A7ED7FBECAFC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100028 MAIN STREET||PLAINFIELD|IN|46168|US||||A||||||
CIN1106|963.0|48A7ED7FBECBFC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100029 MAIN STREET|SUITE 11M|INDIANAPOLIS|IN|46204|US||||A||||||
CIN1106|964.0|48A7ED7FBECCFC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100030 MAIN STREET||CINCINNATI|OH|45202|US||||A||||||
CIN1106|965.0|48A7ED7FBF61FC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100179 MAIN STREET|SUITE 99M|NEW ALBANY|IN|47150|US||||A||||||
CIN1106|966.0|48A7ED7FBF79FC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100203 MAIN STREET||CINCINNATI|OH|45201-5385|US||||A||||||
CIN1106|967.0|48A7ED7FBFCDFC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100287 MAIN STREET||PLAINFIELD|IN|46168|US||||A||||||
CIN1106|968.0|48A7ED7FC10FFC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100609 MAIN STREET||CLARKSVILLE|IN|47129|US||||A||||||
CIN1106|969.0|48A7ED7FC203FC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|100853 MAIN STREET||EVANSVILLE|IN|47708|US||||A||||||
CIN1110|1.0|48A7ED7FBECDFC83E0404F8189D860FE|1.0|KNUTH CORPORATION|100031 MAIN STREET|PO BOX 12K|BLOOMINGTON|IN|47402|US||||P||||||
