entity_afltn_id|obj_id|ver_nbr|entity_id|afltn_typ_cd|campus_cd|dflt_ind|actv_ind|last_updt_dt|
KFS1026|KFS1026|1.0|KFS1026|STAFF|BL|Y|Y|20121207232958|
KFS1027|KFS1027|1.0|KFS1027|STAFF|BL|Y|Y|20121207232958|
KFS1028|KFS1028|1.0|KFS1028|STAFF|BL|Y|Y|20121207232958|
KFS1029|KFS1029|1.0|KFS1029|STAFF|BL|Y|Y|20121207232958|
KFS1030|KFS1030|1.0|KFS1030|STAFF|BL|Y|Y|20121207232958|
KFS1031|KFS1031|1.0|KFS1031|STAFF|BL|Y|Y|20121207232958|
KFS1032|KFS1032|1.0|KFS1032|STAFF|BL|Y|Y|20121207232958|
KFS1033|KFS1033|1.0|KFS1033|STAFF|BL|Y|Y|20121207232958|
KFS1035|KFS1035|1.0|KFS1035|STAFF|BL|Y|Y|20121207232958|
KFS1036|KFS1036|1.0|KFS1036|STAFF|BL|Y|Y|20121207232958|
KFS1037|KFS1037|1.0|KFS1037|STAFF|BL|Y|Y|20121207232958|
KFS1038|KFS1038|1.0|KFS1038|STAFF|BL|Y|Y|20121207232958|
KFS1039|KFS1039|1.0|KFS1039|STAFF|BL|Y|Y|20121207232958|
KFS1040|KFS1040|1.0|KFS1040|STAFF|BL|Y|Y|20121207232958|
KFS1041|KFS1041|1.0|KFS1041|STAFF|BL|Y|Y|20121207232958|
KFS1042|KFS1042|1.0|KFS1042|STAFF|BL|Y|Y|20121207232958|
KFS1043|KFS1043|1.0|KFS1043|STAFF|BL|Y|Y|20121207232958|
KFS1044|KFS1044|1.0|KFS1044|STAFF|BL|Y|Y|20121207232958|
KFS1045|KFS1045|1.0|KFS1045|STAFF|BL|Y|Y|20121207232958|
KFS1046|KFS1046|1.0|KFS1046|STAFF|BL|Y|Y|20121207232958|
KFS1047|KFS1047|1.0|KFS1047|STAFF|BL|Y|Y|20121207232958|
KFS1048|KFS1048|1.0|KFS1048|STAFF|BL|Y|Y|20121207232958|
KFS1049|KFS1049|1.0|KFS1049|STAFF|BL|Y|Y|20121207232958|
KFS1050|KFS1050|1.0|KFS1050|STAFF|BL|Y|Y|20121207232958|
KFS1052|KFS1052|1.0|KFS1052|STAFF|BL|Y|Y|20121207232958|
KFS1053|KFS1053|1.0|KFS1053|STAFF|BL|Y|Y|20121207232958|
KFS1054|KFS1054|1.0|KFS1054|STAFF|BL|Y|Y|20121207232958|
KFS1055|KFS1055|1.0|KFS1055|STAFF|BL|Y|Y|20121207232958|
KFS1056|KFS1056|1.0|KFS1056|STAFF|BL|Y|Y|20121207232958|
KFS1057|KFS1057|1.0|KFS1057|STAFF|BL|Y|Y|20121207232958|
KFS1058|KFS1058|1.0|KFS1058|STAFF|BL|Y|Y|20121207232958|
KFS1059|KFS1059|1.0|KFS1059|STAFF|BL|Y|Y|20121207232958|
KFS1060|KFS1060|1.0|KFS1060|STAFF|BL|Y|Y|20121207232958|
KFS1061|KFS1061|1.0|KFS1061|STAFF|BL|Y|Y|20121207232958|
KFS1062|KFS1062|1.0|KFS1062|STAFF|BL|Y|Y|20121207232958|
KFS1063|KFS1063|1.0|KFS1063|STAFF|BL|Y|Y|20121207232958|
KFS1064|KFS1064|1.0|KFS1064|STAFF|BL|Y|Y|20121207232958|
KFS1065|KFS1065|1.0|KFS1065|STAFF|BL|Y|Y|20121207232958|
KFS1066|KFS1066|1.0|KFS1066|STAFF|BL|Y|Y|20121207232958|
KFS1067|KFS1067|1.0|KFS1067|STAFF|BL|Y|Y|20121207232958|
KFS1068|KFS1068|1.0|KFS1068|STAFF|IN|Y|Y|20121207232958|
KFS1069|KFS1069|1.0|KFS1069|STAFF|BL|Y|Y|20121207232958|
KFS1070|KFS1070|1.0|KFS1070|STAFF|BL|Y|Y|20121207232958|
KFS1071|KFS1071|1.0|KFS1071|STAFF|BL|Y|Y|20121207232958|
KFS1072|KFS1072|1.0|KFS1072|STAFF|BL|Y|Y|20121207232958|
KFS1073|KFS1073|1.0|KFS1073|STAFF|BL|Y|Y|20121207232958|
KFS1074|KFS1074|1.0|KFS1074|STAFF|BL|Y|Y|20121207232958|
KFS1075|KFS1075|1.0|KFS1075|STAFF|BL|Y|Y|20121207232958|
KFS1076|KFS1076|1.0|KFS1076|STAFF|BL|Y|Y|20121207232958|
KFS1077|KFS1077|1.0|KFS1077|STAFF|BL|Y|Y|20121207232958|
KFS1078|KFS1078|1.0|KFS1078|STAFF|BL|Y|Y|20121207232958|
KFS1079|KFS1079|1.0|KFS1079|STAFF|BL|Y|Y|20121207232958|
KFS1080|KFS1080|1.0|KFS1080|STAFF|BL|Y|Y|20121207232958|
KFS1081|KFS1081|1.0|KFS1081|STAFF|BL|Y|Y|20121207232958|
KFS1082|KFS1082|1.0|KFS1082|STAFF|BL|Y|Y|20121207232958|
KFS1083|KFS1083|1.0|KFS1083|STAFF|BL|Y|Y|20121207232958|
KFS1084|KFS1084|1.0|KFS1084|STAFF|BL|Y|Y|20121207232958|
KFS1085|KFS1085|1.0|KFS1085|STAFF|BL|Y|Y|20121207232958|
KFS1086|KFS1086|1.0|KFS1086|STAFF|BL|Y|Y|20121207232958|
KFS1087|KFS1087|1.0|KFS1087|STAFF|BL|Y|Y|20121207232959|
KFS1088|KFS1088|1.0|KFS1088|STAFF|BL|Y|Y|20121207232959|
KFS1089|KFS1089|1.0|KFS1089|STAFF|BL|Y|Y|20121207232959|
KFS1090|KFS1090|1.0|KFS1090|STAFF|BL|Y|Y|20121207232959|
KFS1091|KFS1091|1.0|KFS1091|STAFF|BL|Y|Y|20121207232959|
KFS1092|KFS1092|1.0|KFS1092|STAFF|BL|Y|Y|20121207232959|
KFS1093|KFS1093|1.0|KFS1093|STAFF|BL|Y|Y|20121207232959|
KFS1094|KFS1094|1.0|KFS1094|STAFF|BL|Y|Y|20121207232959|
KFS1095|KFS1095|1.0|KFS1095|STAFF|BL|Y|Y|20121207232959|
KFS1096|KFS1096|1.0|KFS1096|STAFF|BL|Y|Y|20121207232959|
KFS1097|KFS1097|1.0|KFS1097|STAFF|BL|Y|Y|20121207232959|
KFS1098|KFS1098|1.0|KFS1098|STAFF|BL|Y|Y|20121207232959|
KFS1099|KFS1099|1.0|KFS1099|STAFF|BL|Y|Y|20121207232959|
KFS1100|KFS1100|1.0|KFS1100|STAFF|BL|Y|Y|20121207232959|
KFS1101|KFS1101|1.0|KFS1101|STAFF|BL|Y|Y|20121207232959|
KFS1102|KFS1102|1.0|KFS1102|STAFF|BL|Y|Y|20121207232959|
KFS1103|KFS1103|1.0|KFS1103|STAFF|BL|Y|Y|20121207232959|
KFS1104|KFS1104|1.0|KFS1104|STAFF|IN|Y|Y|20121207232959|
KFS1105|KFS1105|1.0|KFS1105|STAFF|IN|Y|Y|20121207232959|
KFS1106|KFS1106|1.0|KFS1106|STAFF|BL|Y|Y|20121207232959|
KFS1107|KFS1107|1.0|KFS1107|STAFF|BL|Y|Y|20121207232959|
KFS1108|KFS1108|1.0|KFS1108|STAFF|BL|Y|Y|20121207232959|
KFS1109|KFS1109|1.0|KFS1109|STAFF|BL|Y|Y|20121207232959|
KFS1110|KFS1110|1.0|KFS1110|STAFF|BL|Y|Y|20121207232959|
KFS1111|KFS1111|1.0|KFS1111|STAFF|BL|Y|Y|20121207232959|
KFS1112|KFS1112|1.0|KFS1112|STAFF|BL|Y|Y|20121207232959|
KFS1113|KFS1113|1.0|KFS1113|STAFF|BL|Y|Y|20121207232959|
KFS1114|KFS1114|1.0|KFS1114|STAFF|BL|Y|Y|20121207232959|
KFS1115|KFS1115|1.0|KFS1115|STAFF|BL|Y|Y|20121207232959|
KFS1117|KFS1117|1.0|KFS1117|STAFF|BL|Y|Y|20121207232959|
KFS1122|KFS1122|1.0|KFS1122|STAFF|BL|Y|Y|20121207232959|
KFS1123|KFS1123|1.0|KFS1123|STAFF|BL|Y|Y|20121207232959|
KFS1124|KFS1124|1.0|KFS1124|STAFF|BL|Y|Y|20121207232959|
KFS1125|KFS1125|1.0|KFS1125|STAFF|BL|Y|Y|20121207232959|
KFS1137|KFS1137|1.0|KFS1137|STAFF|BL|Y|Y|20121207232959|
KFS1138|KFS1138|1.0|KFS1138|STAFF|BL|Y|Y|20121207232959|
KFS1143|KFS1143|1.0|KFS1143|STAFF|BL|Y|Y|20121207232959|
KFS1146|KFS1146|1.0|KFS1146|STAFF|BL|Y|Y|20121207232959|
KFS1165|KFS1165|1.0|KFS1165|STAFF|BL|Y|Y|20121207232959|
KFS1168|KFS1168|1.0|KFS1168|STAFF|BL|Y|Y|20121207232959|
KFS1172|KFS1172|1.0|KFS1172|STAFF|BL|Y|Y|20121207232959|
KFS1231|KFS1231|1.0|KFS1231|STAFF|BL|Y|Y|20121207232959|
KFS1232|KFS1232|1.0|KFS1232|STAFF|BL|Y|Y|20121207232959|
KFS1264|KFS1264|1.0|KFS1264|STAFF|BL|Y|Y|20121207232959|
KFS1309|KFS1309|1.0|KFS1309|STAFF|BL|Y|Y|20121207232959|
KFS1315|KFS1315|1.0|KFS1315|STAFF|BL|Y|Y|20121207232959|
KFS1334|KFS1334|1.0|KFS1334|STAFF|BL|Y|Y|20121207232959|
KFS1337|KFS1337|1.0|KFS1337|STAFF|BL|Y|Y|20121207232959|
KFS1361|KFS1361|1.0|KFS1361|STAFF|IN|Y|Y|20121207232959|
KFS1399|KFS1399|1.0|KFS1399|STAFF|BL|Y|Y|20121207232959|
KFS1423|KFS1423|1.0|KFS1423|STAFF|BL|Y|Y|20121207232959|
KFS1433|KFS1433|1.0|KFS1433|STAFF|BL|Y|Y|20121207232959|
KFS1438|KFS1438|1.0|KFS1438|STAFF|BL|Y|Y|20121207232959|
KFS1441|KFS1441|1.0|KFS1441|STAFF|BL|Y|Y|20121207232959|
KFS1444|KFS1444|1.0|KFS1444|STAFF|BL|Y|Y|20121207232959|
KFS1453|KFS1453|1.0|KFS1453|STAFF|BL|Y|Y|20121207232959|
KFS1455|KFS1455|1.0|KFS1455|STAFF|BL|Y|Y|20121207232959|
KFS1470|KFS1470|1.0|KFS1470|STAFF|BL|Y|Y|20121207232959|
KFS1482|KFS1482|1.0|KFS1482|STAFF|BL|Y|Y|20121207232959|
KFS1515|KFS1515|1.0|KFS1515|STAFF|BL|Y|Y|20121207232959|
KFS1520|KFS1520|1.0|KFS1520|STAFF|BL|Y|Y|20121207232959|
KFS1525|KFS1525|1.0|KFS1525|STAFF|BL|Y|Y|20121207232959|
KFS1526|KFS1526|1.0|KFS1526|STAFF|BL|Y|Y|20121207232959|
KFS1531|KFS1531|1.0|KFS1531|STAFF|BL|Y|Y|20121207232959|
KFS1545|KFS1545|1.0|KFS1545|STAFF|BL|Y|Y|20121207232959|
KFS1556|KFS1556|1.0|KFS1556|STAFF|BL|Y|Y|20121207232959|
KFS1574|KFS1574|1.0|KFS1574|STAFF|BL|Y|Y|20121207232959|
KFS1586|KFS1586|1.0|KFS1586|STAFF|BL|Y|Y|20121207232959|
KFS1599|KFS1599|1.0|KFS1599|STAFF|BL|Y|Y|20121207232959|
KFS1601|KFS1601|1.0|KFS1601|STAFF|BL|Y|Y|20121207232959|
KFS1603|KFS1603|1.0|KFS1603|STAFF|BL|Y|Y|20121207232959|
KFS1625|KFS1625|1.0|KFS1625|STAFF|BL|Y|Y|20121207232959|
KFS1637|KFS1637|1.0|KFS1637|STAFF|BL|Y|Y|20121207232959|
KFS1638|KFS1638|1.0|KFS1638|STAFF|BL|Y|Y|20121207232959|
KFS1656|KFS1656|1.0|KFS1656|STAFF|BL|Y|Y|20121207232959|
KFS1676|KFS1676|1.0|KFS1676|STAFF|BL|Y|Y|20121207232959|
KFS1686|KFS1686|1.0|KFS1686|STAFF|BL|Y|Y|20121207232959|
KFS1689|KFS1689|1.0|KFS1689|STAFF|BL|Y|Y|20121207232959|
KFS1705|KFS1705|1.0|KFS1705|STAFF|BL|Y|Y|20121207232959|
KFS1717|KFS1717|1.0|KFS1717|STAFF|BL|Y|Y|20121207232959|
KFS1731|KFS1731|1.0|KFS1731|STAFF|BL|Y|Y|20121207232959|
KFS1744|KFS1744|1.0|KFS1744|STAFF|BL|Y|Y|20121207232959|
KFS1747|KFS1747|1.0|KFS1747|STAFF|BL|Y|Y|20121207232959|
KFS1783|KFS1783|1.0|KFS1783|STAFF|IN|Y|Y|20121207232959|
KFS1861|KFS1861|1.0|KFS1861|STAFF|BL|Y|Y|20121207232959|
KFS1864|KFS1864|1.0|KFS1864|STAFF|BL|Y|Y|20121207232959|
KFS1870|KFS1870|1.0|KFS1870|STAFF|BL|Y|Y|20121207232959|
KFS1884|KFS1884|1.0|KFS1884|STAFF|BL|Y|Y|20121207232959|
KFS2018|KFS2018|1.0|KFS2018|STAFF|BL|Y|Y|20121207232959|
KFS2019|KFS2019|1.0|KFS2019|STAFF|BL|Y|Y|20121207232959|
KFS2049|KFS2049|1.0|KFS2049|STAFF|BL|Y|Y|20121207232959|
KFS2053|KFS2053|1.0|KFS2053|STAFF|BL|Y|Y|20121207232959|
KFS2062|KFS2062|1.0|KFS2062|STAFF|BL|Y|Y|20121207232959|
KFS2073|KFS2073|1.0|KFS2073|STAFF|BL|Y|Y|20121207232959|
KFS2075|KFS2075|1.0|KFS2075|STAFF|BL|Y|Y|20121207232959|
KFS2138|KFS2138|1.0|KFS2138|STAFF|BL|Y|Y|20121207232959|
KFS2163|KFS2163|1.0|KFS2163|STAFF|BL|Y|Y|20121207232959|
KFS2204|KFS2204|1.0|KFS2204|STAFF|BL|Y|Y|20121207232959|
KFS2224|KFS2224|1.0|KFS2224|STAFF|BL|Y|Y|20121207232959|
KFS2227|KFS2227|1.0|KFS2227|STAFF|BL|Y|Y|20121207232959|
KFS2230|KFS2230|1.0|KFS2230|STAFF|BL|Y|Y|20121207232959|
KFS2235|KFS2235|1.0|KFS2235|STAFF|BL|Y|Y|20121207232959|
KFS2236|KFS2236|1.0|KFS2236|STAFF|BL|Y|Y|20121207232959|
KFS2247|KFS2247|1.0|KFS2247|STAFF|BL|Y|Y|20121207232959|
KFS2284|KFS2284|1.0|KFS2284|STAFF|BL|Y|Y|20121207232959|
KFS2344|KFS2344|1.0|KFS2344|STAFF|BL|Y|Y|20121207232959|
KFS2369|KFS2369|1.0|KFS2369|STAFF|BL|Y|Y|20121207232959|
KFS2376|KFS2376|1.0|KFS2376|STAFF|BL|Y|Y|20121207232959|
KFS2377|KFS2377|1.0|KFS2377|STAFF|BL|Y|Y|20121207232959|
KFS2382|KFS2382|1.0|KFS2382|STAFF|BL|Y|Y|20121207232959|
KFS2383|KFS2383|1.0|KFS2383|STAFF|BL|Y|Y|20121207232959|
KFS2388|KFS2388|1.0|KFS2388|STAFF|BL|Y|Y|20121207232959|
KFS2389|KFS2389|1.0|KFS2389|STAFF|BL|Y|Y|20121207232959|
KFS2409|KFS2409|1.0|KFS2409|STAFF|BL|Y|Y|20121207232959|
KFS2412|KFS2412|1.0|KFS2412|STAFF|BL|Y|Y|20121207232959|
KFS2492|KFS2492|1.0|KFS2492|STAFF|BL|Y|Y|20121207232959|
KFS2533|KFS2533|1.0|KFS2533|STAFF|BL|Y|Y|20121207232959|
KFS2534|KFS2534|1.0|KFS2534|STAFF|BL|Y|Y|20121207232959|
KFS2535|KFS2535|1.0|KFS2535|STAFF|BL|Y|Y|20121207232959|
KFS2549|KFS2549|1.0|KFS2549|STAFF|BL|Y|Y|20121207232959|
KFS2550|KFS2550|1.0|KFS2550|STAFF|BL|Y|Y|20121207232959|
KFS2552|KFS2552|1.0|KFS2552|STAFF|BL|Y|Y|20121207232959|
KFS2554|KFS2554|1.0|KFS2554|STAFF|BL|Y|Y|20121207232959|
KFS2559|KFS2559|1.0|KFS2559|STAFF|BL|Y|Y|20121207232959|
KFS2566|KFS2566|1.0|KFS2566|STAFF|BL|Y|Y|20121207232959|
KFS2567|KFS2567|1.0|KFS2567|STAFF|BL|Y|Y|20121207232959|
KFS2568|KFS2568|1.0|KFS2568|STAFF|BL|Y|Y|20121207232959|
KFS2578|KFS2578|1.0|KFS2578|STAFF|BL|Y|Y|20121207232959|
KFS2582|KFS2582|1.0|KFS2582|STAFF|BL|Y|Y|20121207232959|
KFS2584|KFS2584|1.0|KFS2584|STAFF|BL|Y|Y|20121207232959|
KFS2587|KFS2587|1.0|KFS2587|STAFF|BL|Y|Y|20121207232959|
KFS2588|KFS2588|1.0|KFS2588|STAFF|BL|Y|Y|20121207232959|
KFS2593|KFS2593|1.0|KFS2593|STAFF|BL|Y|Y|20121207232959|
KFS2594|KFS2594|1.0|KFS2594|STAFF|BL|Y|Y|20121207232959|
KFS2595|KFS2595|1.0|KFS2595|STAFF|BL|Y|Y|20121207232959|
KFS2602|KFS2602|1.0|KFS2602|STAFF|BL|Y|Y|20121207232959|
KFS2606|KFS2606|1.0|KFS2606|STAFF|BL|Y|Y|20121207232959|
KFS2607|KFS2607|1.0|KFS2607|STAFF|BL|Y|Y|20121207232959|
KFS2612|KFS2612|1.0|KFS2612|STAFF|BL|Y|Y|20121207232959|
KFS2616|KFS2616|1.0|KFS2616|STAFF|BL|Y|Y|20121207232959|
KFS2621|KFS2621|1.0|KFS2621|STAFF|BL|Y|Y|20121207232959|
KFS2629|KFS2629|1.0|KFS2629|STAFF|BL|Y|Y|20121207232959|
KFS2631|KFS2631|1.0|KFS2631|STAFF|BL|Y|Y|20121207232959|
KFS2641|KFS2641|1.0|KFS2641|STAFF|BL|Y|Y|20121207232959|
KFS2646|KFS2646|1.0|KFS2646|STAFF|BL|Y|Y|20121207232959|
KFS2648|KFS2648|1.0|KFS2648|STAFF|BL|Y|Y|20121207232959|
KFS2651|KFS2651|1.0|KFS2651|STAFF|BL|Y|Y|20121207232959|
KFS2655|KFS2655|1.0|KFS2655|STAFF|BL|Y|Y|20121207232959|
KFS2656|KFS2656|1.0|KFS2656|STAFF|BL|Y|Y|20121207232959|
KFS2657|KFS2657|1.0|KFS2657|STAFF|BL|Y|Y|20121207232959|
KFS2658|KFS2658|1.0|KFS2658|STAFF|BL|Y|Y|20121207232959|
KFS2659|KFS2659|1.0|KFS2659|STAFF|BL|Y|Y|20121207232959|
KFS2693|KFS2693|1.0|KFS2693|STAFF|BL|Y|Y|20121207232959|
KFS2694|KFS2694|1.0|KFS2694|STAFF|BL|Y|Y|20121207232959|
KFS2695|KFS2695|1.0|KFS2695|STAFF|BL|Y|Y|20121207232959|
KFS2734|KFS2734|1.0|KFS2734|STAFF|BL|Y|Y|20121207232959|
KFS2742|KFS2742|1.0|KFS2742|STAFF|BL|Y|Y|20121207232959|
KFS2743|KFS2743|1.0|KFS2743|STAFF|BL|Y|Y|20121207232959|
KFS2744|KFS2744|1.0|KFS2744|STAFF|EA|Y|Y|20121207232959|
KFS2745|KFS2745|1.0|KFS2745|STAFF|BL|Y|Y|20121207232959|
KFS2746|KFS2746|1.0|KFS2746|STAFF|BL|Y|Y|20121207232959|
KFS2747|KFS2747|1.0|KFS2747|STAFF|BL|Y|Y|20121207232959|
KFS2748|KFS2748|1.0|KFS2748|STAFF|BL|Y|Y|20121207232959|
KFS2749|KFS2749|1.0|KFS2749|STAFF|IN|Y|Y|20121207232959|
KFS2750|KFS2750|1.0|KFS2750|STAFF|BL|Y|Y|20121207232959|
KFS2751|KFS2751|1.0|KFS2751|STAFF|NW|Y|Y|20121207232959|
KFS2752|KFS2752|1.0|KFS2752|STAFF|KO|Y|Y|20121207232959|
KFS2753|KFS2753|1.0|KFS2753|STAFF|BL|Y|Y|20121207232959|
KFS2754|KFS2754|1.0|KFS2754|STAFF|SB|Y|Y|20121207232959|
KFS2755|KFS2755|1.0|KFS2755|STAFF|BL|Y|Y|20121207232959|
KFS2756|KFS2756|1.0|KFS2756|STAFF|BL|Y|Y|20121207232959|
KFS2757|KFS2757|1.0|KFS2757|STAFF|EA|Y|Y|20121207232959|
KFS2758|KFS2758|1.0|KFS2758|STAFF|KO|Y|Y|20121207232959|
KFS2759|KFS2759|1.0|KFS2759|STAFF|IN|Y|Y|20121207232959|
KFS2760|KFS2760|1.0|KFS2760|STAFF|BL|Y|Y|20121207232959|
KFS2761|KFS2761|1.0|KFS2761|STAFF|BL|Y|Y|20121207232959|
KFS2762|KFS2762|1.0|KFS2762|STAFF|BL|Y|Y|20121207232959|
KFS2763|KFS2763|1.0|KFS2763|STAFF|IN|Y|Y|20121207232959|
KFS2764|KFS2764|1.0|KFS2764|STAFF|BL|Y|Y|20121207232959|
KFS2765|KFS2765|1.0|KFS2765|STAFF|BL|Y|Y|20121207232959|
KFS2766|KFS2766|1.0|KFS2766|STAFF|IN|Y|Y|20121207232959|
KFS2767|KFS2767|1.0|KFS2767|STAFF|BL|Y|Y|20121207232959|
KFS2768|KFS2768|1.0|KFS2768|STAFF|SB|Y|Y|20121207232959|
KFS2769|KFS2769|1.0|KFS2769|STAFF|SB|Y|Y|20121207232959|
KFS2770|KFS2770|1.0|KFS2770|STAFF|SB|Y|Y|20121207232959|
KFS2771|KFS2771|1.0|KFS2771|STAFF|EA|Y|Y|20121207232959|
KFS2772|KFS2772|1.0|KFS2772|STAFF|BL|Y|Y|20121207232959|
KFS2773|KFS2773|1.0|KFS2773|STAFF|BL|Y|Y|20121207232959|
KFS2774|KFS2774|1.0|KFS2774|STAFF|IN|Y|Y|20121207232959|
KFS2775|KFS2775|1.0|KFS2775|STAFF|BL|Y|Y|20121207232959|
KFS2776|KFS2776|1.0|KFS2776|STAFF|BL|Y|Y|20121207232959|
KFS2777|KFS2777|1.0|KFS2777|STAFF|IN|Y|Y|20121207232959|
KFS2778|KFS2778|1.0|KFS2778|STAFF|BL|Y|Y|20121207232959|
KFS2779|KFS2779|1.0|KFS2779|STAFF|IN|Y|Y|20121207232959|
KFS2780|KFS2780|1.0|KFS2780|STAFF|IN|Y|Y|20121207232959|
KFS2781|KFS2781|1.0|KFS2781|STAFF|IN|Y|Y|20121207232959|
KFS2782|KFS2782|1.0|KFS2782|STAFF|BL|Y|Y|20121207232959|
KFS2783|KFS2783|1.0|KFS2783|STAFF|IN|Y|Y|20121207232959|
KFS2784|KFS2784|1.0|KFS2784|STAFF|SB|Y|Y|20121207232959|
KFS2785|KFS2785|1.0|KFS2785|STAFF|SB|Y|Y|20121207232959|
KFS2786|KFS2786|1.0|KFS2786|STAFF|EA|Y|Y|20121207232959|
KFS2787|KFS2787|1.0|KFS2787|STAFF|IN|Y|Y|20121207232959|
KFS2788|KFS2788|1.0|KFS2788|STAFF|SE|Y|Y|20121207232959|
KFS2789|KFS2789|1.0|KFS2789|STAFF|BL|Y|Y|20121207232959|
KFS2790|KFS2790|1.0|KFS2790|STAFF|BL|Y|Y|20121207232959|
KFS2791|KFS2791|1.0|KFS2791|STAFF|IN|Y|Y|20121207232959|
KFS2792|KFS2792|1.0|KFS2792|STAFF|EA|Y|Y|20121207232959|
KFS2793|KFS2793|1.0|KFS2793|STAFF|BL|Y|Y|20121207232959|
KFS2794|KFS2794|1.0|KFS2794|STAFF|BL|Y|Y|20121207232959|
KFS2795|KFS2795|1.0|KFS2795|STAFF|BL|Y|Y|20121207232959|
KFS2796|KFS2796|1.0|KFS2796|STAFF|IN|Y|Y|20121207232959|
KFS2797|KFS2797|1.0|KFS2797|STAFF|BL|Y|Y|20121207232959|
KFS2798|KFS2798|1.0|KFS2798|STAFF|EA|Y|Y|20121207232959|
KFS2799|KFS2799|1.0|KFS2799|STAFF|BL|Y|Y|20121207232959|
KFS2800|KFS2800|1.0|KFS2800|STAFF|BL|Y|Y|20121207232959|
KFS2801|KFS2801|1.0|KFS2801|STAFF|BL|Y|Y|20121207232959|
KFS2802|KFS2802|1.0|KFS2802|STAFF|SB|Y|Y|20121207232959|
KFS2803|KFS2803|1.0|KFS2803|STAFF|SB|Y|Y|20121207232959|
KFS2804|KFS2804|1.0|KFS2804|STAFF|SB|Y|Y|20121207232959|
KFS2805|KFS2805|1.0|KFS2805|STAFF|BL|Y|Y|20121207232959|
KFS2806|KFS2806|1.0|KFS2806|STAFF|BL|Y|Y|20121207232959|
KFS2807|KFS2807|1.0|KFS2807|STAFF|IN|Y|Y|20121207232959|
KFS2808|KFS2808|1.0|KFS2808|STAFF|BL|Y|Y|20121207232959|
KFS2809|KFS2809|1.0|KFS2809|STAFF|EA|Y|Y|20121207232959|
KFS2810|KFS2810|1.0|KFS2810|STAFF|BL|Y|Y|20121207232959|
KFS2811|KFS2811|1.0|KFS2811|STAFF|BL|Y|Y|20121207232959|
KFS2812|KFS2812|1.0|KFS2812|STAFF|EA|Y|Y|20121207232959|
KFS2813|KFS2813|1.0|KFS2813|STAFF|KO|Y|Y|20121207232959|
KFS2814|KFS2814|1.0|KFS2814|STAFF|BL|Y|Y|20121207232959|
KFS2815|KFS2815|1.0|KFS2815|STAFF|IN|Y|Y|20121207232959|
KFS2816|KFS2816|1.0|KFS2816|STAFF|BL|Y|Y|20121207232959|
KFS2817|KFS2817|1.0|KFS2817|STAFF|KO|Y|Y|20121207232959|
KFS2818|KFS2818|1.0|KFS2818|STAFF|BL|Y|Y|20121207232959|
KFS2819|KFS2819|1.0|KFS2819|STAFF|BL|Y|Y|20121207232959|
KFS2820|KFS2820|1.0|KFS2820|STAFF|BL|Y|Y|20121207232959|
KFS2821|KFS2821|1.0|KFS2821|STAFF|BL|Y|Y|20121207232959|
KFS2822|KFS2822|1.0|KFS2822|STAFF|KO|Y|Y|20121207232959|
