position_nbr|effdt|obj_id|ver_nbr|jobcode|pos_eff_status|descr|descrshort|business_unit|deptid|posn_status|status_dt|budgeted_posn|std_hrs_default|std_hrs_frequency|pos_reg_temp|pos_fte|pos_sal_plan_dflt|pos_grade_dflt|
00000779|20030501000000|37C1865A9087E080E043814FD881E080|1.0|003830|A|Acct|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|T|1.0|AC1|FVX|
00000882|19010101000000|37C1865A9039E080E043814FD881E080|1.0|000132|A|Acct Rep|SUPP STF|IUBLA|BL-BI|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00000900|19010101000000|37C1865A9011E080E043814FD881E080|1.0|000132|A|Acct Ser Supr|SUPP STF|IUBLA|BL-BI|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00000900|20050701000000|37C1865A902AE080E043814FD881E080|1.0|000136|A|Additional Pay: Acad Services|AP - ACAD|IUBLA|BL-BI|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSX|
00000945|19010101000000|37C1865A8FD1E080E043814FD881E080|1.0|000132|A|Additional Pay: Staff Services|AP - Staff|IUBLA|BL-CHEM|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001001|19010101000000|37C1865A909EE080E043814FD881E080|1.0|000132|A|Additional Pay: Staff Services|AP - Staff|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001002|19010101000000|37C1865A8FB6E080E043814FD881E080|1.0|000132|A|Adjunct Faculty|Adjunct Fa|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001003|19010101000000|37C1865A8FA4E080E043814FD881E080|1.0|000132|A|Admin Coordinator|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001004|19010101000000|37C1865A8FB5E080E043814FD881E080|1.0|000132|A|Admin Coordinator|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001005|19010101000000|37C1865A9072E080E043814FD881E080|1.0|000132|A|Admin Coordinator|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001006|19010101000000|37C1865A8FB7E080E043814FD881E080|1.0|000132|A|Admin Secretary|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001007|19010101000000|37C1865A9073E080E043814FD881E080|1.0|000132|A|Admissions Asst|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001009|19010101000000|37C1865A909FE080E043814FD881E080|1.0|000132|A|Admissions Asst|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001010|19010101000000|37C1865A8F9CE080E043814FD881E080|1.0|000132|A|Anal/Prog Web & Database Appl|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001010|20050701000000|37C1865A8F9BE080E043814FD881E080|1.0|000136|A|Anal/Prog Web & Database Appl|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSX|
00001010|20070501000000|37C1865A8F9AE080E043814FD881E080|1.0|000132|A|Animal Lab Tech|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001011|19010101000000|37C1865A90A0E080E043814FD881E080|1.0|000132|A|Animal Lab Tech|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001012|19010101000000|37C1865A903AE080E043814FD881E080|1.0|000132|A|Animal Lab Tech|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|RSS|
00001013|19010101000000|37C1865A8FA7E080E043814FD881E080|1.0|000132|A|Animal Lab Tech|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001014|19010101000000|37C1865A8FDAE080E043814FD881E080|1.0|000132|A|Animal Research Faci|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00001104|19010101000000|37C1865A903BE080E043814FD881E080|1.0|000140|A|Animal Research Faci|PROF STF|IUBLA|BL-PHYS|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001104|20030501000000|37C1865A904FE080E043814FD881E080|1.0|003829|A|Animal Research Faci|PROF STF|IUBLA|BL-PHYS|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001108|19010101000000|37C1865A8FA6E080E043814FD881E080|1.0|000140|A|Animal Research Faci|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001108|20030501000000|37C1865A8FA5E080E043814FD881E080|1.0|003829|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001109|19010101000000|37C1865A8FDBE080E043814FD881E080|1.0|000140|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001110|19010101000000|37C1865A8FDCE080E043814FD881E080|1.0|000140|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001110|20030501000000|37C1865A8FF7E080E043814FD881E080|1.0|003829|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001111|19010101000000|37C1865A903CE080E043814FD881E080|1.0|000140|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001111|20030501000000|37C1865A9050E080E043814FD881E080|1.0|003829|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001112|19010101000000|37C1865A8FDDE080E043814FD881E080|1.0|000140|A|Associate Dean|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001112|20030501000000|37C1865A8FF8E080E043814FD881E080|1.0|003829|A|Associate Instructor|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001113|19010101000000|37C1865A8FDEE080E043814FD881E080|1.0|000140|A|Associate Vice President|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001113|20030501000000|37C1865A8FF9E080E043814FD881E080|1.0|003829|A|Associate Vice President|Associate|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001113|20070215000000|37C1865A900EE080E043814FD881E080|1.0|003829|I|Associate Vice President|Associate|IUBLA|BL-PSY|T|20070215000000|Y|40.0|W|T|1.0|AC1|RSP|
00001114|19010101000000|37C1865A9012E080E043814FD881E080|1.0|000140|A|Asst Dir|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSP|
00001114|20030501000000|37C1865A9022E080E043814FD881E080|1.0|003829|A|Asst Dir Transportation|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|RSP|
00001114|20070215000000|37C1865A9035E080E043814FD881E080|1.0|003829|I|Asst. Dir.|PROF STF|IUBLA|BL-PSY|T|20070215000000|Y|40.0|W|T|1.0|AC1|RSP|
00001185|19010101000000|37C1865A9000E080E043814FD881E080|1.0|000276|A|Asst. Dir.|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|W|T|0.0|AP| |
00001407|19010101000000|37C1865A8F99E080E043814FD881E080|1.0|000062|A|Clin Res Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|20.0|WC|T|0.5|AC2|FAX|
00001408|19010101000000|37C1865A903DE080E043814FD881E080|1.0|000062|A|Clin Res Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|20.0|W10C|T|0.5|AC2|FAX|
00001604|19010101000000|37C1865A8FDFE080E043814FD881E080|1.0|000197|A|Clin Res Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|20.0|W10C|T|0.5|AC3|SIN|
00001733|19010101000000|37C1865A8FD6E080E043814FD881E080|1.0|000185|A|Clinic Coord|PROF STF|IUBLA|BL-PHYS|A|19010101000000|N|20.0|WC|T|0.5|AC3|SGR|
00001736|19010101000000|37C1865A8F72E080E043814FD881E080|1.0|000185|A|Clinical Faculty|Clinical F|IUBLA|BL-PSY|A|19010101000000|N|20.0|W10C|T|0.5|AC3|SGR|
00001828|19010101000000|37C1865A8FD8E080E043814FD881E080|1.0|000193|A|Clinical Faculty|Clinical F|IUBLA|BL-PHYS|A|19010101000000|N|20.0|WC|T|0.5|AC3|SRS|
00001832|19010101000000|37C1865A8F92E080E043814FD881E080|1.0|000193|A|Clinical Res Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|20.0|WC|T|0.5|AC3|SRS|
00001833|19010101000000|37C1865A8F8FE080E043814FD881E080|1.0|000193|A|Clinical Res Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|20.0|W10C|T|0.5|AC3|SRS|
00001898|19010101000000|37C1865A903EE080E043814FD881E080|1.0|000204|A|Clinical Research Specialist|PROF STF|IUBLA|BL-BI|A|19010101000000|N|0.01|W|T|0.0|HR|HR|
00001909|19010101000000|37C1865A8FC5E080E043814FD881E080|1.0|000204|A|Comp Nw & Prog|SUPP STF|IUBLA|BL-CPEC|A|19010101000000|N|0.01|W|T|0.0|HR|HR|
00001952|19010101000000|37C1865A8F93E080E043814FD881E080|1.0|000204|A|Comp Ser Tech|SUPP STF|IUBLA|BL-NEUS|A|19010101000000|N|0.01|W|T|0.0|HR|HR|
00001964|19010101000000|37C1865A8F8CE080E043814FD881E080|1.0|000204|A|Comp Sys Analyst|PROF STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|W|T|0.0|HR|HR|
00002151|19010101000000|37C1865A9013E080E043814FD881E080|1.0|000208|A|Comp Sys Analyst|PROF STF|IUINA|IN-PSYC|A|19010101000000|N|0.01|W|T|0.0|HR|HR|
00002368|19010101000000|37C1865A90A1E080E043814FD881E080|1.0|000205|A|Computer Coordinator|SUPP STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|WP|T|0.0|HP|HP|
00002562|19010101000000|37C1865A8F8DE080E043814FD881E080|1.0|000294|A|Computer Nw & Prog|SUPP STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|WO|T|0.0|HO|HO|
00002689|19010101000000|37C1865A8FA0E080E043814FD881E080|1.0|000225|A|Computer Nw & Prog|SUPP STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|WK|T|0.0|WSU|WSU|
00002887|19010101000000|37C1865A8FE0E080E043814FD881E080|1.0|000218|A|Computer Serv Tech|SUPP STF|IUBLA|BL-BI|A|19010101000000|N|0.01|W|T|0.0|HS|HS|
00002965|19010101000000|37C1865A9014E080E043814FD881E080|1.0|000218|A|Cust Serv Asst Sr.|SUPP STF|IUBLA|BL-PSY|A|19010101000000|N|0.01|W|T|0.0|HS|HS|
00003272|19010101000000|37C1865A8F90E080E043814FD881E080|1.0|000308|A|Cust Serv Asst, Sr.|SUPP STF|IUBLA|BL-PSY|A|19010101000000|N|40.0|WF|T|1.0|FLP|RS|
00003988|19010101000000|37C1865A8FBAE080E043814FD881E080|1.0|000104|A|Customer Ser & Office Asst|SUPP STF|IUINA|IN-PSYC|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00004136|19010101000000|37C1865A903FE080E043814FD881E080|1.0|002200|A|Customer Ser Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0F|
00004136|20051111000000|37C1865A9068E080E043814FD881E080|1.0|002200|A|Customer Ser Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0F|
00004136|20051218000000|37C1865A9069E080E043814FD881E080|1.0|002276|A|Customer Ser Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0F|
00004239|19010101000000|37C1865A9074E080E043814FD881E080|1.0|002269|A|Customer Ser Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0F|
00004464|19010101000000|37C1865A8F57E080E043814FD881E080|1.0|000101|A|Customer Srv Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00004586|19010101000000|37C1865A90A2E080E043814FD881E080|1.0|000104|A|Customer Srv Asst Sr|SUPP STF|IUINA|IN-PSYC|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00004674|19010101000000|37C1865A8F62E080E043814FD881E080|1.0|000101|A|Customer Srv Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00004682|19010101000000|37C1865A8F65E080E043814FD881E080|1.0|001819|A|Customer Srv Asst Sr|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|PA|16|
00004682|20020701000000|37C1865A8F64E080E043814FD881E080|1.0|001819|A|Department Sec|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|UAS|
00004682|20030117000000|37C1865A8F63E080E043814FD881E080|1.0|002631|A|Department Sec|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|UAS|
00005047|19010101000000|37C1865A8FE1E080E043814FD881E080|1.0|000101|A|Dept Manager Fiscal Officer|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005149|19010101000000|37C1865A8FE2E080E043814FD881E080|1.0|000101|A|Dept Sec|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005207|19010101000000|37C1865A8FCDE080E043814FD881E080|1.0|000104|A|Director|Director|IUINA|IN-PSYC|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00005350|19010101000000|37C1865A9040E080E043814FD881E080|1.0|001137|A|Director|Director|IUBLA|BA-TRAN|A|19010101000000|Y|40.0|W|R|1.0|SM|0K|
00005350|20030511000000|37C1865A9053E080E043814FD881E080|1.0|001137|A|Director|Director|IUBLA|BA-PARK|A|19010101000000|Y|40.0|W|R|1.0|SM|0K|
00005489|19010101000000|37C1865A9075E080E043814FD881E080|1.0|000101|A|Director|Director|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005490|19010101000000|37C1865A9041E080E043814FD881E080|1.0|000101|A|Editorial Asst/Lab Secretary|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005491|19010101000000|37C1865A9042E080E043814FD881E080|1.0|000101|A|Editorial Spec|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005492|19010101000000|37C1865A8F71E080E043814FD881E080|1.0|000101|A|Eeg Technician|CLER STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005493|19010101000000|37C1865A8FE3E080E043814FD881E080|1.0|000101|A|Electronic Tech|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005494|19010101000000|37C1865A90A3E080E043814FD881E080|1.0|000101|A|Electronics Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005495|19010101000000|37C1865A9015E080E043814FD881E080|1.0|000101|A|Electronics Spec|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005496|19010101000000|37C1865A9043E080E043814FD881E080|1.0|000101|A|Electronics Speciali|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005497|19010101000000|37C1865A8F58E080E043814FD881E080|1.0|000101|A|Electronics Speciali|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005498|19010101000000|37C1865A8F5AE080E043814FD881E080|1.0|000101|A|Electronics Speciali|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00005498|20050101000000|37C1865A8F59E080E043814FD881E080|1.0|000101|A|Electronics Speciali|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005499|19010101000000|37C1865A9044E080E043814FD881E080|1.0|000101|A|Exec Dir Of Info Tech|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005500|19010101000000|37C1865A8FE4E080E043814FD881E080|1.0|000101|A|Exec Dir Of Info Tech|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005501|19010101000000|37C1865A8F5BE080E043814FD881E080|1.0|000101|A|Exec Dir Of Info Tech|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005502|19010101000000|37C1865A9016E080E043814FD881E080|1.0|000101|A|Exec Dir Tran|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005503|19010101000000|37C1865A90A4E080E043814FD881E080|1.0|000101|A|Exec Dir Tran|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005503|20051004000000|37C1865A90CBE080E043814FD881E080|1.0|000101|A|Executive Director, Transporta|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00005503|20070530000000|37C1865A90D1E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005504|19010101000000|37C1865A90A5E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005505|19010101000000|37C1865A9076E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005505|20070901000000|37C1865A909CE080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00005506|19010101000000|37C1865A8F66E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005507|19010101000000|37C1865A90A6E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005508|19010101000000|37C1865A8F5CE080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005509|19010101000000|37C1865A90A7E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005512|19010101000000|37C1865A9077E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005512|20030701000000|37C1865A908AE080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|FTX|
00005512|20050101000000|37C1865A908FE080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005513|19010101000000|37C1865A8F67E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005514|19010101000000|37C1865A8F68E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005515|19010101000000|37C1865A8F69E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005517|19010101000000|37C1865A9078E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005518|19010101000000|37C1865A9017E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00005544|19010101000000|37C1865A90A8E080E043814FD881E080|1.0|000053|A|Faculty/Instructor|Faculty/In|IUBLA|BL-RUAD|A|19010101000000|Y|25.2|W10|R|0.63|AC1|AAC|
00005544|20030603000000|37C1865A90B7E080E043814FD881E080|1.0|000053|A|Faculty/Instructor|Faculty/In|IUBLA|BL-RUAD|A|19010101000000|Y|40.0|W10|R|1.0|AC1|AAC|
00005544|20041201000000|37C1865A90C4E080E043814FD881E080|1.0|000053|A|Faculty/Instructor|Faculty/In|IUBLA|BL-RUAD|A|19010101000000|Y|40.0|W|R|1.0|AC1|AAC|
00007463|19010101000000|37C1865A9018E080E043814FD881E080|1.0|000132|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|RSS|
00007463|20060720000000|37C1865A9033E080E043814FD881E080|1.0|000132|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSS|
00007606|19010101000000|37C1865A9019E080E043814FD881E080|1.0|000137|A|Faculty/Instructor|Faculty/In|IUINA|IN-OTHN|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSX|
00007606|20070122000000|37C1865A9034E080E043814FD881E080|1.0|000137|I|Faculty/Instructor|Faculty/In|IUINA|IN-OTHN|T|20070122000000|Y|40.0|W|R|1.0|AC1|RSX|
00007960|19010101000000|37C1865A8F7AE080E043814FD881E080|1.0|001482|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|PA|10|
00007960|20050401000000|37C1865A8F79E080E043814FD881E080|1.0|004492|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|PAO|10|
00007960|20050701000000|37C1865A8F78E080E043814FD881E080|1.0|004492|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|WN|R|1.0|PAO|10|
00007960|20070801000000|37C1865A8F77E080E043814FD881E080|1.0|004492|A|Faculty/Instructor|Faculty/In|IUBLA|BL-LARS|A|19010101000000|Y|40.0|WN|R|1.0|PAO|10|
00007964|19010101000000|37C1865A8FE5E080E043814FD881E080|1.0|000101|A|Faculty/Instructor|Faculty/In|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00008115|19010101000000|37C1865A90A9E080E043814FD881E080|1.0|002325|A|Faculty/Instructor|Faculty/In|IUBLA|BA-TRAN|A|19010101000000|Y|40.0|W|R|1.0|SS|0A|
00008115|20030511000000|37C1865A90B4E080E043814FD881E080|1.0|002325|A|Faculty/Instructor|Faculty/In|IUBLA|BA-PARK|A|19010101000000|Y|40.0|W|R|1.0|SS|0A|
00008146|19010101000000|37C1865A8F5EE080E043814FD881E080|1.0|000023|A|Faculty/Instructor|Faculty/In|IUBLA|BL-COGS|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
