fdoc_nbr|fdoc_typ_cd|obj_id|ver_nbr|fdoc_100_dlr_amt|fdoc_50_dlr_amt|fdoc_20_dlr_amt|fdoc_10_dlr_amt|fdoc_5_dlr_amt|fdoc_2_dlr_amt|fdoc_1_dlr_amt|fdoc_othr_dlr_amt|cshr_stat_cd|
AH2092704|CD|13EDF6100FF84072E043814FD8814072|1.0||50.0|40.0||5.0||1.0||X|
AH2092704|CR|13EDF6100FF94072E043814FD8814072|1.0||50.0|40.0||5.0||1.0||R|
AI2817804|CD|13EDF61011254072E043814FD8814072|1.0|||80.0|50.0|35.0||26.0||X|
AI2817804|CR|13EDF61011264072E043814FD8814072|1.0|||80.0|50.0|35.0||26.0||R|
AI4908304|CD|13EDF6100D184072E043814FD8814072|1.0|||20.0||||4.0||X|
AI4908304|CR|13EDF6100D194072E043814FD8814072|1.0|||20.0||||4.0||R|
AI5597204|CD|13EDF61016864072E043814FD8814072|1.0|||40.0|40.0|10.0||4.0||X|
AI5597204|CR|13EDF61016874072E043814FD8814072|1.0|||40.0|40.0|10.0||4.0||R|
AI8766804|CD|13EDF61017D64072E043814FD8814072|1.0|||600.0|160.0|40.0||84.0||X|
AI8766804|CR|13EDF61017D74072E043814FD8814072|1.0|||600.0|160.0|40.0||84.0||R|
AI9421304|CD|13EDF61013304072E043814FD8814072|1.0|||80.0||15.0||1.0||X|
AI9421304|CR|13EDF61013314072E043814FD8814072|1.0|||80.0||15.0||1.0||R|
AJ0019904|CD|13EDF61015554072E043814FD8814072|1.0|||840.0|30.0|35.0||46.0||X|
AJ0019904|CR|13EDF61015564072E043814FD8814072|1.0|||840.0|30.0|35.0||46.0||R|
AK0137404|CD|13EDF6100DD74072E043814FD8814072|1.0|||160.0||15.0||2.0||X|
AK0137404|CR|13EDF6100DD84072E043814FD8814072|1.0|||160.0||15.0||2.0||R|
AK1550904|CD|13EDF6100C3C4072E043814FD8814072|1.0|||240.0||15.0||16.0||X|
AK1550904|CR|13EDF6100C3D4072E043814FD8814072|1.0|||240.0||15.0||16.0||R|
AK2708404|CD|13EDF610131C4072E043814FD8814072|1.0||50.0|1380.0|40.0|95.0||90.0||X|
AK2708404|CR|13EDF610131D4072E043814FD8814072|1.0||50.0|1380.0|40.0|95.0||90.0||R|
AK7942904|CD|13EDF610117A4072E043814FD8814072|1.0|||140.0|20.0|15.0||2.0||X|
AK7942904|CR|13EDF610117B4072E043814FD8814072|1.0|||140.0|20.0|15.0||2.0||R|
AK8814104|CD|13EDF61016544072E043814FD8814072|1.0|||1400.0|230.0|20.0||48.0||X|
AK8814104|CR|13EDF61016554072E043814FD8814072|1.0|||1400.0|230.0|20.0||48.0||R|
AK9668304|CD|13EDF61012A54072E043814FD8814072|1.0|||20.0|40.0|30.0||2.0||X|
AK9668304|CR|13EDF61012A64072E043814FD8814072|1.0|||20.0|40.0|30.0||2.0||R|
AL3375804|CD|13EDF61014044072E043814FD8814072|1.0||||20.0|10.0||7.0||X|
AL3375804|CR|13EDF61014054072E043814FD8814072|1.0||||20.0|10.0||7.0||R|
AL6785004|CD|13EDF610138C4072E043814FD8814072|1.0|100.0||220.0|40.0|15.0||1.0||X|
AL6785004|CR|13EDF610138D4072E043814FD8814072|1.0|100.0||220.0|40.0|15.0||1.0||R|
AL6952104|CD|13EDF61012FA4072E043814FD8814072|1.0|||300.0|10.0|20.0||7.0||X|
AL6952104|CR|13EDF61012FB4072E043814FD8814072|1.0|||300.0|10.0|20.0||7.0||R|
AL7710904|CD|13EDF610116E4072E043814FD8814072|1.0|||100.0||||||X|
AL7710904|CR|13EDF610116F4072E043814FD8814072|1.0|||100.0||||||R|
AM7820604|CD|13EDF6100EC94072E043814FD8814072|1.0||||10.0|5.0||||X|
AM7820604|CR|13EDF6100ECA4072E043814FD8814072|1.0||||10.0|5.0||||R|
AN1215604|CD|13EDF6100EEA4072E043814FD8814072|1.0|||20.0|20.0|5.0||12.0||X|
AN1215604|CR|13EDF6100EEB4072E043814FD8814072|1.0|||20.0|20.0|5.0||12.0||R|
AN4061504|CD|13EDF61011C14072E043814FD8814072|1.0||50.0|220.0|40.0|30.0||25.0||X|
AN4061504|CR|13EDF61011C24072E043814FD8814072|1.0||50.0|220.0|40.0|30.0||25.0||R|
AN7003604|CD|13EDF61011934072E043814FD8814072|1.0|||780.0|20.0|50.0||11.0||X|
AN7003604|CR|13EDF61011944072E043814FD8814072|1.0|||780.0|20.0|50.0||11.0||R|
AN7944404|CD|13EDF6100F454072E043814FD8814072|1.0|||340.0|10.0|45.0||27.0||X|
AN7944404|CR|13EDF6100F464072E043814FD8814072|1.0|||340.0|10.0|45.0||27.0||R|
AO1099604|CD|13EDF610126E4072E043814FD8814072|1.0|||40.0|10.0|5.0||4.0||X|
AO1099604|CR|13EDF610126F4072E043814FD8814072|1.0|||40.0|10.0|5.0||4.0||R|
AO2705604|CD|13EDF61014614072E043814FD8814072|1.0|||||10.0||2.0||X|
AO2705604|CR|13EDF61014624072E043814FD8814072|1.0|||||10.0||2.0||R|
AO4509404|CD|13EDF61011894072E043814FD8814072|1.0|||1740.0|40.0|80.0||51.0||X|
AO4509404|CR|13EDF610118A4072E043814FD8814072|1.0|||1740.0|40.0|80.0||51.0||R|
AO5751904|CD|13EDF6100F3F4072E043814FD8814072|1.0|100.0||40.0||5.0||||X|
AO5751904|CR|13EDF6100F404072E043814FD8814072|1.0|100.0||40.0||5.0||||R|
AP2415204|CD|13EDF61011134072E043814FD8814072|1.0||||10.0|||6.0||X|
AP2415204|CR|13EDF61011144072E043814FD8814072|1.0||||10.0|||6.0||R|
AP4586204|CD|13EDF610108F4072E043814FD8814072|1.0|||20.0|10.0|20.0||23.0||X|
AP4586204|CR|13EDF61010904072E043814FD8814072|1.0|||20.0|10.0|20.0||23.0||R|
AP4986004|CD|13EDF6100E594072E043814FD8814072|1.0|||520.0|20.0|25.0||3.0||X|
AP4986004|CR|13EDF6100E5A4072E043814FD8814072|1.0|||520.0|20.0|25.0||3.0||R|
AP5841704|CD|13EDF61015254072E043814FD8814072|1.0|||180.0|50.0|30.0||9.0||X|
AP5841704|CR|13EDF61015264072E043814FD8814072|1.0|||180.0|50.0|30.0||9.0||R|
AQ2305904|CD|13EDF6100E374072E043814FD8814072|1.0|||1420.0|150.0|185.0||91.0||X|
AQ2305904|CR|13EDF6100E384072E043814FD8814072|1.0|||1420.0|150.0|185.0||91.0||R|
AQ6370304|CD|13EDF61010BB4072E043814FD8814072|1.0|||20.0|20.0|||||X|
AQ6370304|CR|13EDF61010BC4072E043814FD8814072|1.0|||20.0|20.0|||||R|
AR4098804|CD|13EDF610168E4072E043814FD8814072|1.0|||200.0|80.0|40.0||17.0||X|
AR4098804|CR|13EDF610168F4072E043814FD8814072|1.0|||200.0|80.0|40.0||17.0||R|
AR4553704|CD|13EDF6100F064072E043814FD8814072|1.0|||500.0|20.0|5.0||13.0||X|
AR4553704|CR|13EDF6100F074072E043814FD8814072|1.0|||500.0|20.0|5.0||13.0||R|
AR7027804|CD|13EDF6100F354072E043814FD8814072|1.0|||680.0|140.0|95.0||73.0||X|
AR7027804|CR|13EDF6100F364072E043814FD8814072|1.0|||680.0|140.0|95.0||73.0||R|
AR7971704|CD|13EDF6100FC24072E043814FD8814072|1.0|||100.0|10.0|5.0||6.0||X|
AR7971704|CR|13EDF6100FC34072E043814FD8814072|1.0|||100.0|10.0|5.0||6.0||R|
AR9284104|CD|13EDF610146D4072E043814FD8814072|1.0||||10.0|||8.0||X|
AR9284104|CR|13EDF610146E4072E043814FD8814072|1.0||||10.0|||8.0||R|
AS0222804|CD|13EDF6100F224072E043814FD8814072|1.0|||680.0|20.0|5.0||23.0||X|
AS0222804|CR|13EDF6100F234072E043814FD8814072|1.0|||680.0|20.0|5.0||23.0||R|
AS6569504|CD|13EDF61010B54072E043814FD8814072|1.0|||60.0||||1.0||X|
AS6569504|CR|13EDF61010B64072E043814FD8814072|1.0|||60.0||||1.0||R|
AS8765604|CD|13EDF61017124072E043814FD8814072|1.0|||180.0|50.0|||11.0||X|
AS8765604|CR|13EDF61017134072E043814FD8814072|1.0|||180.0|50.0|||11.0||R|
AU1546904|CD|13EDF6100C3A4072E043814FD8814072|1.0|||100.0|20.0|||5.0||X|
AU1546904|CR|13EDF6100C3B4072E043814FD8814072|1.0|||100.0|20.0|||5.0||R|
AU3082504|CD|13EDF61015354072E043814FD8814072|1.0|||220.0|20.0|5.0||10.0||X|
AU3082504|CR|13EDF61015364072E043814FD8814072|1.0|||220.0|20.0|5.0||10.0||R|
AU4110104|CD|13EDF6100F804072E043814FD8814072|1.0||50.0|640.0|80.0|85.0||85.0||X|
AU4110104|CR|13EDF6100F814072E043814FD8814072|1.0||50.0|640.0|80.0|85.0||85.0||R|
AU6398904|CD|13EDF610161E4072E043814FD8814072|1.0|||280.0|10.0|5.0||3.0||X|
AU6398904|CR|13EDF610161F4072E043814FD8814072|1.0|||280.0|10.0|5.0||3.0||R|
AV0939704|CD|13EDF61016014072E043814FD8814072|1.0|||1240.0|110.0|60.0||44.0||X|
AV0939704|CR|13EDF61016024072E043814FD8814072|1.0|||1240.0|110.0|60.0||44.0||R|
AV3369104|CD|13EDF61017024072E043814FD8814072|1.0|||880.0|90.0|35.0||4.0||X|
AV3369104|CR|13EDF61017034072E043814FD8814072|1.0|||880.0|90.0|35.0||4.0||R|
AV4286904|CD|13EDF6100F314072E043814FD8814072|1.0||50.0|100.0|30.0|10.0||12.0||X|
AV4286904|CR|13EDF6100F324072E043814FD8814072|1.0||50.0|100.0|30.0|10.0||12.0||R|
AV4948304|CD|13EDF610114B4072E043814FD8814072|1.0||50.0|40.0||5.0||1.0||X|
AV4948304|CR|13EDF610114C4072E043814FD8814072|1.0||50.0|40.0||5.0||1.0||R|
AV7730804|CD|13EDF6100D384072E043814FD8814072|1.0||50.0|1080.0|80.0|100.0||34.0||X|
AV7730804|CR|13EDF6100D394072E043814FD8814072|1.0||50.0|1080.0|80.0|100.0||34.0||R|
AW6364304|CD|13EDF61014874072E043814FD8814072|1.0|||720.0|160.0|75.0||12.0||X|
AW6364304|CR|13EDF61014884072E043814FD8814072|1.0|||720.0|160.0|75.0||12.0||R|
AW7972304|CD|13EDF610107F4072E043814FD8814072|1.0||||20.0|20.0||||X|
AW7972304|CR|13EDF61010804072E043814FD8814072|1.0||||20.0|20.0||||R|
AW8927104|CD|13EDF61015DD4072E043814FD8814072|1.0|||||5.0||6.0||X|
AW8927104|CR|13EDF61015DE4072E043814FD8814072|1.0|||||5.0||6.0||R|
AX6664504|CD|13EDF61014FB4072E043814FD8814072|1.0|||20.0|10.0|||||X|
AX6664504|CR|13EDF61014FC4072E043814FD8814072|1.0|||20.0|10.0|||||R|
AX7556704|CD|13EDF61015614072E043814FD8814072|1.0||||10.0|5.0||4.0||X|
AX7556704|CR|13EDF61015624072E043814FD8814072|1.0||||10.0|5.0||4.0||R|
AX7870704|CD|13EDF61013A24072E043814FD8814072|1.0||||30.0|15.0||7.0||X|
AX7870704|CR|13EDF61013A34072E043814FD8814072|1.0||||30.0|15.0||7.0||R|
AX9156504|CD|13EDF610175C4072E043814FD8814072|1.0|||60.0|20.0|70.0||10.0||X|
AX9156504|CR|13EDF610175D4072E043814FD8814072|1.0|||60.0|20.0|70.0||10.0||R|
AY1682204|CD|13EDF6100E884072E043814FD8814072|1.0|||||5.0||||X|
AY1682204|CR|13EDF6100E894072E043814FD8814072|1.0|||||5.0||||R|
AY2228704|CD|13EDF6100E354072E043814FD8814072|1.0|||1460.0|250.0|140.0||64.0||X|
AY2228704|CR|13EDF6100E364072E043814FD8814072|1.0|||1460.0|250.0|140.0||64.0||R|
AZ3660104|CD|13EDF61015EB4072E043814FD8814072|1.0|||140.0|70.0|25.0||7.0||X|
AZ3660104|CR|13EDF61015EC4072E043814FD8814072|1.0|||140.0|70.0|25.0||7.0||R|
BA5206604|CD|13EDF6100CCA4072E043814FD8814072|1.0||100.0|1080.0|270.0|100.0||44.0||X|
BA5206604|CR|13EDF6100CCB4072E043814FD8814072|1.0||100.0|1080.0|270.0|100.0||44.0||R|
BB4513604|CD|13EDF61010E94072E043814FD8814072|1.0||50.0|120.0|40.0|15.0||12.0||X|
BB4513604|CR|13EDF61010EA4072E043814FD8814072|1.0||50.0|120.0|40.0|15.0||12.0||R|
BC3451404|CD|13EDF610174A4072E043814FD8814072|1.0|||||5.0||17.0||X|
BC3451404|CR|13EDF610174B4072E043814FD8814072|1.0|||||5.0||17.0||R|
BC4233504|CD|13EDF61012524072E043814FD8814072|1.0||||30.0|25.0||||X|
BC4233504|CR|13EDF61012534072E043814FD8814072|1.0||||30.0|25.0||||R|
BC6029104|CD|13EDF61015294072E043814FD8814072|1.0|||60.0|20.0|5.0||4.0||X|
BC6029104|CR|13EDF610152A4072E043814FD8814072|1.0|||60.0|20.0|5.0||4.0||R|
BD0308204|CD|13EDF610175E4072E043814FD8814072|1.0|||100.0|10.0|20.0||21.0||X|
BD0308204|CR|13EDF610175F4072E043814FD8814072|1.0|||100.0|10.0|20.0||21.0||R|
BD4448304|CD|13EDF6100E9E4072E043814FD8814072|1.0|||20.0||||4.0||X|
BD4448304|CR|13EDF6100E9F4072E043814FD8814072|1.0|||20.0||||4.0||R|
BD8658104|CD|13EDF6100ED34072E043814FD8814072|1.0|200.0||200.0||||4.0||X|
BD8658104|CR|13EDF6100ED44072E043814FD8814072|1.0|200.0||200.0||||4.0||R|
BD9722704|CD|13EDF61012244072E043814FD8814072|1.0||50.0|1020.0|130.0|170.0||8.0||X|
BD9722704|CR|13EDF61012254072E043814FD8814072|1.0||50.0|1020.0|130.0|170.0||8.0||R|
BE8106504|CD|13EDF610128E4072E043814FD8814072|1.0|||40.0|10.0|10.0||19.0||X|
BE8106504|CR|13EDF610128F4072E043814FD8814072|1.0|||40.0|10.0|10.0||19.0||R|
BF0055004|CD|13EDF6100BDD4072E043814FD8814072|1.0||50.0|1220.0|90.0|110.0||63.0||X|
BF0055004|CR|13EDF6100BDE4072E043814FD8814072|1.0||50.0|1220.0|90.0|110.0||63.0||R|
BF4953204|CD|13EDF6100FBC4072E043814FD8814072|1.0|||140.0|20.0|35.0||7.0||X|
BF4953204|CR|13EDF6100FBD4072E043814FD8814072|1.0|||140.0|20.0|35.0||7.0||R|
BF8577104|CD|13EDF61012C84072E043814FD8814072|1.0||50.0|80.0|30.0|5.0||4.0||X|
BF8577104|CR|13EDF61012C94072E043814FD8814072|1.0||50.0|80.0|30.0|5.0||4.0||R|
BG8017204|CD|13EDF6100C824072E043814FD8814072|1.0||50.0|900.0|140.0|170.0||21.0||X|
BG8017204|CR|13EDF6100C834072E043814FD8814072|1.0||50.0|900.0|140.0|170.0||21.0||R|
BH2304604|CD|13EDF61010124072E043814FD8814072|1.0|||||10.0||||X|
BH2304604|CR|13EDF61010134072E043814FD8814072|1.0|||||10.0||||R|
BH2425004|CD|13EDF61016CA4072E043814FD8814072|1.0|||280.0|30.0|20.0||8.0||X|
BH2425004|CR|13EDF61016CB4072E043814FD8814072|1.0|||280.0|30.0|20.0||8.0||R|
BI2013404|CD|13EDF61013BC4072E043814FD8814072|1.0|||300.0|40.0|40.0||3.0||X|
BI2013404|CR|13EDF61013BD4072E043814FD8814072|1.0|||300.0|40.0|40.0||3.0||R|
BI2031104|CD|13EDF61016B04072E043814FD8814072|1.0|||20.0|10.0|5.0||26.0||X|
BI2031104|CR|13EDF61016B14072E043814FD8814072|1.0|||20.0|10.0|5.0||26.0||R|
BI3125404|CD|13EDF6100BE74072E043814FD8814072|1.0|||200.0|60.0|20.0||32.0||X|
BI3125404|CR|13EDF6100BE84072E043814FD8814072|1.0|||200.0|60.0|20.0||32.0||R|
BI4449404|CD|13EDF61016684072E043814FD8814072|1.0|||940.0|190.0|195.0||104.0||X|
BI4449404|CR|13EDF61016694072E043814FD8814072|1.0|||940.0|190.0|195.0||104.0||R|
BI4616904|CD|13EDF6100D144072E043814FD8814072|1.0|||220.0|20.0|5.0||24.0||X|
BI4616904|CR|13EDF6100D154072E043814FD8814072|1.0|||220.0|20.0|5.0||24.0||R|
BI5259004|CD|13EDF6100D1A4072E043814FD8814072|1.0||||10.0|||||X|
BI5259004|CR|13EDF6100D1B4072E043814FD8814072|1.0||||10.0|||||R|
BI7461104|CD|13EDF61015C54072E043814FD8814072|1.0|||||||10.0||X|
BI7461104|CR|13EDF61015C64072E043814FD8814072|1.0|||||||10.0||R|
BJ2644104|CR|13EDF61011EF4072E043814FD8814072|1.0|||||10.0||6.0||R|
BJ4775504|CD|13EDF61012864072E043814FD8814072|1.0|||60.0|20.0|5.0||||X|
BJ4775504|CR|13EDF61012874072E043814FD8814072|1.0|||60.0|20.0|5.0||||R|
BJ7945404|CD|13EDF6100D864072E043814FD8814072|1.0|||560.0|60.0|135.0||30.0||X|
BJ7945404|CR|13EDF6100D874072E043814FD8814072|1.0|||560.0|60.0|135.0||30.0||R|
BJ9389704|CD|13EDF6100DCD4072E043814FD8814072|1.0||50.0|960.0|50.0|75.0||14.0||X|
BJ9389704|CR|13EDF6100DCE4072E043814FD8814072|1.0||50.0|960.0|50.0|75.0||14.0||R|
BK9440804|CD|13EDF61010254072E043814FD8814072|1.0|||20.0||||2.0||X|
BK9440804|CR|13EDF61010264072E043814FD8814072|1.0|||20.0||||2.0||R|
BK9997904|CD|13EDF6100C284072E043814FD8814072|1.0|||100.0|70.0|15.0||13.0||X|
BK9997904|CR|13EDF6100C294072E043814FD8814072|1.0|||100.0|70.0|15.0||13.0||R|
BL2002104|CD|13EDF6100E8C4072E043814FD8814072|1.0|||100.0|50.0|25.0||4.0||X|
BL2002104|CR|13EDF6100E8D4072E043814FD8814072|1.0|||100.0|50.0|25.0||4.0||R|
BM2017404|CD|13EDF61017DD4072E043814FD8814072|1.0|||1440.0|160.0|130.0||117.0||X|
BM2017404|CR|13EDF61017DE4072E043814FD8814072|1.0|||1440.0|160.0|130.0||117.0||R|
BM8543704|CD|13EDF61014ED4072E043814FD8814072|1.0|||80.0|10.0|45.0||14.0||X|
BM8543704|CR|13EDF61014EE4072E043814FD8814072|1.0|||80.0|10.0|45.0||14.0||R|
BN6033404|CD|13EDF6100DBF4072E043814FD8814072|1.0||50.0|1460.0|120.0|75.0||69.0||X|
BN6033404|CR|13EDF6100DC04072E043814FD8814072|1.0||50.0|1460.0|120.0|75.0||69.0||R|
BN8080704|CD|13EDF61011F44072E043814FD8814072|1.0||50.0|420.0||15.0||4.0||X|
BN8080704|CR|13EDF61011F54072E043814FD8814072|1.0||50.0|420.0||15.0||4.0||R|
BO0352704|CD|13EDF61011BB4072E043814FD8814072|1.0|||60.0|10.0|||||X|
BO0352704|CR|13EDF61011BC4072E043814FD8814072|1.0|||60.0|10.0|||||R|
BO1437204|CD|13EDF61010104072E043814FD8814072|1.0|||900.0|250.0|5.0||139.0||X|
BO1437204|CR|13EDF61010114072E043814FD8814072|1.0|||900.0|250.0|5.0||139.0||R|
BO1841904|CD|13EDF61015154072E043814FD8814072|1.0||50.0|380.0|20.0|||11.0||X|
BO1841904|CR|13EDF61015164072E043814FD8814072|1.0||50.0|380.0|20.0|||11.0||R|
BO5803904|CD|13EDF610135A4072E043814FD8814072|1.0|||280.0||20.0||24.0||X|
BO5803904|CR|13EDF610135B4072E043814FD8814072|1.0|||280.0||20.0||24.0||R|
BP5912004|CD|13EDF6100C644072E043814FD8814072|1.0|600.0|200.0|740.0|80.0|||6.0||X|
BP5912004|CR|13EDF6100C654072E043814FD8814072|1.0|600.0|200.0|740.0|80.0|||6.0||R|
BP7551504|CD|13EDF61011614072E043814FD8814072|1.0|||240.0|40.0|5.0||6.0||X|
BP7551504|CR|13EDF61011624072E043814FD8814072|1.0|||240.0|40.0|5.0||6.0||R|
BP8928604|CR|13EDF610160D4072E043814FD8814072|1.0|||80.0||5.0||||R|
BQ8365104|CD|13EDF61011704072E043814FD8814072|1.0|||||5.0||4.0||X|
BQ8365104|CR|13EDF61011714072E043814FD8814072|1.0|||||5.0||4.0||R|
BQ8395404|CD|13EDF6100C884072E043814FD8814072|1.0|||20.0||||7.0||X|
BQ8395404|CR|13EDF6100C894072E043814FD8814072|1.0|||20.0||||7.0||R|
BR6364004|CD|13EDF6100D2C4072E043814FD8814072|1.0|||||||12.0||X|
BR6364004|CR|13EDF6100D2D4072E043814FD8814072|1.0|||||||12.0||R|
BR6922404|CD|13EDF6100EF44072E043814FD8814072|1.0|||60.0||15.0||1.0||X|
BR6922404|CR|13EDF6100EF54072E043814FD8814072|1.0|||60.0||15.0||1.0||R|
BR7381204|CD|13EDF61016404072E043814FD8814072|1.0|||100.0|20.0|15.0||10.0||X|
BR7381204|CR|13EDF61016414072E043814FD8814072|1.0|||100.0|20.0|15.0||10.0||R|
BS0942004|CD|13EDF6100C984072E043814FD8814072|1.0|||20.0|10.0|||2.0||X|
BS0942004|CR|13EDF6100C994072E043814FD8814072|1.0|||20.0|10.0|||2.0||R|
BS6749304|CD|13EDF610153D4072E043814FD8814072|1.0|||40.0||||18.0||X|
BS6749304|CR|13EDF610153E4072E043814FD8814072|1.0|||40.0||||18.0||R|
BT6210104|CD|13EDF61018014072E043814FD8814072|1.0||50.0|20.0||||3.0||X|
BT6210104|CR|13EDF61018024072E043814FD8814072|1.0||50.0|20.0||||3.0||R|
BT8475104|CD|13EDF61014A54072E043814FD8814072|1.0|||180.0|40.0|20.0||13.0||X|
BT8475104|CR|13EDF61014A64072E043814FD8814072|1.0|||180.0|40.0|20.0||13.0||R|
BU5069804|CD|13EDF61013404072E043814FD8814072|1.0|||||5.0||20.0||X|
BU5069804|CR|13EDF61013414072E043814FD8814072|1.0|||||5.0||20.0||R|
BU8296204|CD|13EDF61013004072E043814FD8814072|1.0|||480.0|70.0|||||X|
BU8296204|CR|13EDF61013014072E043814FD8814072|1.0|||480.0|70.0|||||R|
BU9732204|CD|13EDF61017384072E043814FD8814072|1.0|||60.0|20.0|5.0||3.0||X|
BU9732204|CR|13EDF61017394072E043814FD8814072|1.0|||60.0|20.0|5.0||3.0||R|
BV4112604|CD|13EDF61011AF4072E043814FD8814072|1.0|||220.0|10.0|||20.0||X|
BV4112604|CR|13EDF61011B04072E043814FD8814072|1.0|||220.0|10.0|||20.0||R|
BV8209604|CD|13EDF61017304072E043814FD8814072|1.0|||60.0|10.0|5.0||2.0||X|
BV8209604|CR|13EDF61017314072E043814FD8814072|1.0|||60.0|10.0|5.0||2.0||R|
BW7848604|CD|13EDF61015A94072E043814FD8814072|1.0|||380.0|30.0|150.0||53.0||X|
BW7848604|CR|13EDF61015AA4072E043814FD8814072|1.0|||380.0|30.0|150.0||53.0||R|
BX1750904|CD|13EDF61011AB4072E043814FD8814072|1.0|||160.0|100.0|10.0||5.0||X|
BX1750904|CR|13EDF61011AC4072E043814FD8814072|1.0|||160.0|100.0|10.0||5.0||R|
BX3864604|CD|13EDF6100BF34072E043814FD8814072|1.0|||220.0|30.0|10.0||8.0||X|
BX3864604|CR|13EDF6100BF44072E043814FD8814072|1.0|||220.0|30.0|10.0||8.0||R|
BX4776404|CD|13EDF61011154072E043814FD8814072|1.0|||220.0|30.0|10.0||6.0||X|
BX4776404|CR|13EDF61011164072E043814FD8814072|1.0|||220.0|30.0|10.0||6.0||R|
BY9020504|CD|13EDF61017A44072E043814FD8814072|1.0|||820.0|110.0|95.0||92.0||X|
BY9020504|CR|13EDF61017A54072E043814FD8814072|1.0|||820.0|110.0|95.0||92.0||R|
BZ3034704|CD|13EDF610155B4072E043814FD8814072|1.0|||300.0|140.0|||49.0||X|
BZ3034704|CR|13EDF610155C4072E043814FD8814072|1.0|||300.0|140.0|||49.0||R|
BZ7387604|CD|13EDF61012A04072E043814FD8814072|1.0|||220.0|60.0|20.0||1.0||X|
BZ7387604|CR|13EDF61012A14072E043814FD8814072|1.0|||220.0|60.0|20.0||1.0||R|
CA7015604|CD|13EDF6100D7E4072E043814FD8814072|1.0||50.0|140.0|30.0|20.0||8.0||X|
CA7015604|CR|13EDF6100D7F4072E043814FD8814072|1.0||50.0|140.0|30.0|20.0||8.0||R|
CB1158704|CD|13EDF61012704072E043814FD8814072|1.0|||140.0||10.0||1.0||X|
CB1158704|CR|13EDF61012714072E043814FD8814072|1.0|||140.0||10.0||1.0||R|
CB6652104|CD|13EDF61016704072E043814FD8814072|1.0|||20.0|20.0|35.0||4.0||X|
CB6652104|CR|13EDF61016714072E043814FD8814072|1.0|||20.0|20.0|35.0||4.0||R|
CC0444804|CD|13EDF6100E804072E043814FD8814072|1.0||||10.0|||5.0||X|
CC0444804|CR|13EDF6100E814072E043814FD8814072|1.0||||10.0|||5.0||R|
CC7241004|CD|13EDF6100CD64072E043814FD8814072|1.0|||140.0|10.0|||||X|
CC7241004|CR|13EDF6100CD74072E043814FD8814072|1.0|||140.0|10.0|||||R|
CD3971304|CD|13EDF6100F644072E043814FD8814072|1.0|||||5.0||4.0||X|
CD3971304|CR|13EDF6100F654072E043814FD8814072|1.0|||||5.0||4.0||R|
CD5591304|CD|13EDF610178C4072E043814FD8814072|1.0||50.0||10.0|30.0||8.0||X|
