univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fin_balance_typ_cd|fin_obj_typ_cd|univ_fiscal_prd_cd|fdoc_typ_cd|fs_origin_cd|fdoc_nbr|trn_entr_seq_nbr|trn_ldgr_entr_desc|trn_ldgr_entr_amt|trn_debit_crdt_cd|transaction_dt|org_doc_nbr|project_cd|org_reference_id|fdoc_ref_typ_cd|fs_ref_origin_cd|fdoc_ref_nbr|fdoc_reversal_dt|trn_encum_updt_cd|trn_post_dt|timestamp|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|BK9997904|1.0|Description Hidden|202.25|C|20030808000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|BO1841904|1.0|Description Hidden|491.5|C|20030815000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|DL9669304|1.0|Description Hidden|153.0|C|20030807000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|DP1214904|1.0|Description Hidden|265.5|C|20030814000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|DW2179304|1.0|Description Hidden|563.25|C|20030819000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|EB2736704|1.0|Description Hidden|100.5|C|20030821000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|FH9388604|1.0|Description Hidden|76.5|C|20030805000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|FW4585504|1.0|Description Hidden|115.5|C|20030826000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|GP2730204|1.0|Description Hidden|287.75|C|20030821000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|GQ4001804|1.0|Description Hidden|194.0|C|20030825000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|JW0910504|1.0|Description Hidden|107.75|C|20030813000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|KC5525904|1.0|Description Hidden|598.75|C|20030829000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|MR2464804|1.0|Description Hidden|130.25|C|20030820000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|ND0594504|1.0|Description Hidden|141.25|C|20030811000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|PI3727904|1.0|Description Hidden|238.0|C|20030822000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|02|CR|02|QS4898404|1.0|Description Hidden|482.75|C|20030827000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|AD6131804|1.0|Description Hidden|1969.24|C|20030904000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|AV0939704|1.0|Description Hidden|1488.1|C|20030919000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|BG8017204|1.0|Description Hidden|1287.95|C|20030911000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|CW6126204|1.0|Description Hidden|574.25|C|20030904000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|FV1405704|1.0|Description Hidden|1440.75|C|20030923000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|FY3478104|1.0|Description Hidden|1194.25|C|20030930000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|HA8394504|1.0|Description Hidden|1612.25|C|20030915000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|HM2024204|1.0|Description Hidden|1631.25|C|20030924000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|IW2784504|1.0|Description Hidden|2670.9|C|20030929000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|KS3095004|1.0|Description Hidden|1537.05|C|20030930000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|PO7241604|1.0|Description Hidden|1435.7|C|20030910000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|QY1718704|1.0|Description Hidden|894.6|C|20030924000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|RP7646504|1.0|Description Hidden|1401.27|C|20030911000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|ST2412604|1.0|Description Hidden|1478.3|C|20030926000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|TP9357204|1.0|Description Hidden|1888.15|C|20030918000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|UF9080204|1.0|Description Hidden|645.4|C|20030917000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|UW6449804|1.0|Description Hidden|1886.9|C|20030905000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|VI7278204|1.0|Description Hidden|910.25|C|20030910000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|VR5884204|1.0|Description Hidden|434.5|C|20030903000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|WT1051004|1.0|Description Hidden|1999.75|C|20030922000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|XB6743104|1.0|Description Hidden|1692.85|C|20030908000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|XI8731504|1.0|Description Hidden|1521.25|C|20030916000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|AC|IN|03|CR|02|YF3828704|1.0|Description Hidden|1489.5|C|20030930000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|BB|IN|BB|BTRN|02|LQ3586804|1.0|Description Hidden|230000.0| |20030627000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1464|---|CB|IN|BB|BTRN|02|LQ3586804|1.0|Description Hidden|230000.0| |20030627000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|AA8333504|1.0|Description Hidden|232.76|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|AA8333504|2.0|Description Hidden|3120.12|D|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|AA8333504|3.0|Description Hidden|4878.52|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|AX8928404|1.0|Description Hidden|8.0|D|20030801000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BB8333704|1.0|Description Hidden|320.76|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BB8333704|2.0|Description Hidden|1023.76|D|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BB8333704|3.0|Description Hidden|3446.84|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BG6169004|1.0|Description Hidden|3801.76|D|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BI8479504|1.0|Description Hidden|1613.0|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BL7913004|1.0|Description Hidden|23.0|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BS6579604|1.0|Description Hidden|2223.36|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|BS6579604|2.0|Description Hidden|3183.52|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CE5342804|1.0|Description Hidden|699.84|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CE5342804|2.0|Description Hidden|699.84|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CG2511904|1.0|Description Hidden|6319.4|D|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CG2511904|2.0|Description Hidden|12564.42|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CQ4338104|1.0|Description Hidden|427.92|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CQ4338104|2.0|Description Hidden|427.92|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CV5712504|1.0|Description Hidden|1145.76|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|CV5712504|2.0|Description Hidden|1858.68|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DK2713304|1.0|Description Hidden|4573.8|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DK2713304|2.0|Description Hidden|8267.6|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DL3509904|1.0|Description Hidden|253.92|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DL3509904|2.0|Description Hidden|8670.48|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DL3509904|3.0|Description Hidden|14186.52|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DN6404804|1.0|Description Hidden|776.76|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DN6404804|2.0|Description Hidden|2362.44|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DS4139404|1.0|Description Hidden|4511.76|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DS4139404|2.0|Description Hidden|9825.67|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|DU2823704|1.0|Description Hidden|15.6|D|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|FR5375104|1.0|Description Hidden|507.84|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|FR5375104|2.0|Description Hidden|851.84|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|FS8236104|1.0|Description Hidden|78.0|D|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|FS8236104|2.0|Description Hidden|1402.68|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GN7128604|1.0|Description Hidden|1557.6|D|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GN7128604|2.0|Description Hidden|1557.6|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GP3175404|1.0|Description Hidden|1221.68|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GP3175404|2.0|Description Hidden|2296.16|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GS4420804|1.0|Description Hidden|3086.12|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|GS4420804|2.0|Description Hidden|7383.16|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HB4963604|1.0|Description Hidden|3335.04|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HB4963604|2.0|Description Hidden|3335.04|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HC5714004|1.0|Description Hidden|507.84|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HC5714004|2.0|Description Hidden|1066.76|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HI7907204|1.0|Description Hidden|5.0|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HK6854604|1.0|Description Hidden|232.76|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HK6854604|2.0|Description Hidden|699.84|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HK6854604|3.0|Description Hidden|1429.0|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HW2825604|1.0|Description Hidden|5118.72|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HW2825604|2.0|Description Hidden|5123.72|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HX5375204|1.0|Description Hidden|101.0|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HX5375204|2.0|Description Hidden|1049.76|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HX5375204|3.0|Description Hidden|2987.28|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|HY7583204|1.0|Description Hidden|785.92|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JH8929104|1.0|Description Hidden|320.76|C|20030801000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JH8929104|2.0|Description Hidden|507.84|D|20030801000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JH8929104|3.0|Description Hidden|1349.84|C|20030801000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JM3144104|1.0|Description Hidden|2257.44|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JM3144104|2.0|Description Hidden|2257.44|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JQ7436104|1.0|Description Hidden|96.0|D|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JQ7436104|2.0|Description Hidden|1067.76|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JX6853704|1.0|Description Hidden|88.0|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JX6853704|2.0|Description Hidden|1207.68|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|JX6853704|3.0|Description Hidden|2102.1|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KE7349604|1.0|Description Hidden|232.76|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KE7349604|2.0|Description Hidden|349.92|D|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KE7349604|3.0|Description Hidden|1039.92|C|20030725000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KK5032204|1.0|Description Hidden|1715.52|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KK5032204|2.0|Description Hidden|3575.7|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KL1216304|1.0|Description Hidden|80.0|D|20030812000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KN5031404|1.0|Description Hidden|253.92|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KN5031404|2.0|Description Hidden|1523.52|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KN5031404|3.0|Description Hidden|4604.36|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KO3509804|1.0|Description Hidden|4672.8|D|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|KO3509804|2.0|Description Hidden|14541.36|C|20030731000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LM6993904|1.0|Description Hidden|507.84|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LM6993904|2.0|Description Hidden|664.84|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LP2474604|1.0|Description Hidden|8526.92|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LP2474604|2.0|Description Hidden|8601.24|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LV2877404|1.0|Description Hidden|3177.12|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LV2877404|2.0|Description Hidden|10453.68|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LZ3470704|1.0|Description Hidden|3403.2|D|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|LZ3470704|2.0|Description Hidden|3408.2|C|20030724000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|MB3888304|1.0|Description Hidden|3374.12|D|20030723000000||----------|| | | || |20060914000000|20060914000000|
2009.0|BA|6044900|-----|1466|---|AC|IC|01|AVAD|02|MB3888304|2.0|Description Hidden|5301.4|C|20030723000000||----------|| | | || |20060914000000|20060914000000|
