dv_exp_cd|dv_exp_co_nm|obj_id|ver_nbr|row_actv_ind|frgn_cmpny|
PA|DELTA|059C8C53A239EA14E043814FD881EA14|1.0|Y|N|
PA|NORTHWEST|059C8C53A23AEA14E043814FD881EA14|1.0|Y|N|
PA|OTHER|059C8C53A23BEA14E043814FD881EA14|1.0|Y|N|
PA|SOUTHWEST|059C8C53A23CEA14E043814FD881EA14|1.0|Y|N|
PA|TRANS WORLD AIRLINES|059C8C53A23DEA14E043814FD881EA14|1.0|Y|N|
PA|U.S. AIRWAYS|059C8C53A23EEA14E043814FD881EA14|1.0|Y|N|
PA|UNITED AIRLINES|059C8C53A23FEA14E043814FD881EA14|1.0|Y|N|
PC|OTHER|059C8C53A240EA14E043814FD881EA14|1.0|Y|N|
PL|BEST WESTERN|059C8C53A241EA14E043814FD881EA14|1.0|Y|N|
PL|CENTURY SUITES|059C8C53A242EA14E043814FD881EA14|1.0|Y|N|
PL|COMFORT AND CLARION INNS|059C8C53A243EA14E043814FD881EA14|1.0|Y|N|
PL|COURTYARD|059C8C53A244EA14E043814FD881EA14|1.0|Y|N|
PL|DAYS INN|059C8C53A245EA14E043814FD881EA14|1.0|Y|N|
PL|FAIRFIELD INN|059C8C53A246EA14E043814FD881EA14|1.0|Y|N|
PL|GRANT STREET INN|059C8C53A247EA14E043814FD881EA14|1.0|Y|N|
PL|HAMPTON INN|059C8C53A248EA14E043814FD881EA14|1.0|Y|N|
PL|HOLIDAY INNS|059C8C53A249EA14E043814FD881EA14|1.0|Y|N|
PL|INDIANA MEMORIAL UNION|059C8C53A24AEA14E043814FD881EA14|1.0|Y|N|
PL|OTHER|059C8C53A24BEA14E043814FD881EA14|1.0|Y|N|
PL|RAMADA INNS|059C8C53A24CEA14E043814FD881EA14|1.0|Y|N|
PL|TRAVELODGE|059C8C53A24DEA14E043814FD881EA14|1.0|Y|N|
PL|UNIVERSITY PLACE|059C8C53A24EEA14E043814FD881EA14|1.0|Y|N|
PM|OTHER|059C8C53A24FEA14E043814FD881EA14|1.0|Y|N|
PM|RYDER|059C8C53A250EA14E043814FD881EA14|1.0|Y|N|
PM|U-HAUL|059C8C53A251EA14E043814FD881EA14|1.0|Y|N|
PO|PREPAID OTHER|059C8C53A252EA14E043814FD881EA14|1.0|Y|N|
PR|ALAMO|059C8C53A253EA14E043814FD881EA14|1.0|Y|N|
PR|AVIS|059C8C53A254EA14E043814FD881EA14|1.0|Y|N|
PR|BUDGET|059C8C53A255EA14E043814FD881EA14|1.0|Y|N|
PR|HERTZ|059C8C53A256EA14E043814FD881EA14|1.0|Y|N|
PR|NATIONAL|059C8C53A257EA14E043814FD881EA14|1.0|Y|N|
PR|OTHER|059C8C53A258EA14E043814FD881EA14|1.0|Y|N|
PT|BLOOMINGTON SHUTTLE SVC|059C8C53A259EA14E043814FD881EA14|1.0|Y|N|
PT|CLASSIC TOUCH|059C8C53A25AEA14E043814FD881EA14|1.0|Y|N|
PT|OTHER|059C8C53A25BEA14E043814FD881EA14|1.0|Y|N|
PT|YELLOW CAB CO.|059C8C53A25CEA14E043814FD881EA14|1.0|Y|N|
R|ALAMO|059C8C53A25DEA14E043814FD881EA14|1.0|Y|N|
R|AVIS|059C8C53A25EEA14E043814FD881EA14|1.0|Y|N|
R|BUDGET|059C8C53A25FEA14E043814FD881EA14|1.0|Y|N|
R|HERTZ|059C8C53A260EA14E043814FD881EA14|1.0|Y|N|
R|NATIONAL|059C8C53A261EA14E043814FD881EA14|1.0|Y|N|
R|OTHER|059C8C53A262EA14E043814FD881EA14|1.0|Y|N|
T|BLOOMINGTON SHUTTLE SVC|059C8C53A263EA14E043814FD881EA14|1.0|Y|N|
T|CLASSIC TOUCH|059C8C53A264EA14E043814FD881EA14|1.0|Y|N|
T|OTHER|059C8C53A265EA14E043814FD881EA14|1.0|Y|N|
T|YELLOW CAB CO.|059C8C53A266EA14E043814FD881EA14|1.0|Y|N|
