rsp_id|obj_id|ver_nbr|rsp_tmpl_id|nmspc_cd|nm|desc_txt|actv_ind|
125|KFS125|1.0|1|KFS-ENDOW|Review ETB EndowmentApprovers||Y|
126|KFSFP7037|1.0|1|KFS-FP|Review DV SeparationOfDuties||Y|
16|KFS16|1.0|1|KFS-CAM|Review FR Management||Y|
17|KFS17|1.0|1|KFS-CAM|Review ARG Purchasing||Y|
18|KFS18|1.0|1|KFS-CAM|Review MPAY PlantFund||Y|
19|KFS19|1.0|1|KFS-CAM|Review ARG ExternalTransfer||Y|
22|KFS22|1.0|1|KFS-CAM|Review ELR Borrower||Y|
26|KFS26|1.0|1|KFS-SYS|Review KFS Chart||Y|
29|KFS29|1.0|1|KFS-SYS|Review ACCT Account||Y|
3|KFS3|1.0|1|KFS-PURAP|Review REQS Organization||Y|
31|KFS31|1.0|1|KFS-SYS|Review KFS Award||Y|
4|KFS4|1.0|1|KFS-SYS|Review KFST AccountingOrganizationHierarchy||Y|
41|KFS41|1.0|1|KFS-EC|Review ECD ProjectManagement||Y|
44|KFS44|1.0|1|KFS-FP|Review CR CashManagement||Y|
46|KFS46|1.0|1|KFS-FP|Review DV Campus||Y|
48|KFS48|1.0|1|KFS-FP|Review DV Purchasing||Y|
49|KFS49|1.0|1|KFS-FP|Review DV Tax||Y|
5|KFS5|1.0|1|KFS-CG|Review KFS ResearchRisk||Y|
50|KFS50|1.0|1|KFS-FP|Review DV Travel||Y|
51|KFS51|1.0|1|KFS-FP|Review DV PaymentMethod||Y|
6|KFS6|1.0|1|KFS-PURAP|Review PUR Commodity||Y|
7|KFS7|1.0|1|KFS-SYS|Review KFS SubFund||Y|
71|KFS71|1.0|1|KFS-PURAP|Review AP ImageAttachment||Y|
73|KFS73|1.0|1|KFS-PURAP|Review PREQ Receiving||Y|
74|KFS74|1.0|1|KFS-PURAP|Review PREQ Tax||Y|
75|KFS75|1.0|1|KFS-PURAP|Review POA NewUnorderedItems||Y|
76|KFS76|1.0|1|KFS-PURAP|Review PO Budget||Y|
78|KFS78|1.0|1|KFS-PURAP|Review PO ContractManagement||Y|
80|KFS80|1.0|1|KFS-PURAP|Review PO Tax||Y|
81|KFS81|1.0|1|KFS-PURAP|Review PORH AccountsPayable||Y|
83|KFS83|1.0|1|KFS-PURAP|Review KFST SubAccount||Y|
85|KFS85|1.0|1|KFS-PURAP|Review REQS SeparationOfDuties||Y|
87|KFS87|1.0|2|KFS-SYS|Resolve Exception||Y|
91|KFS91|1.0|1|KFS-VND|Review PVEN Initiator||Y|
92|KFS92|1.0|1|KFS-VND|Review PVEN Management||Y|
94|KFS94|1.0|1|KFS-PURAP|Review RCVL OutstandingTransactions||Y|
95|KFS95|1.0|1|KFS-EC|Review ECD Management||Y|
97|KFS97|1.0|1|KFS-AR|Review INV Recurrence||Y|
99|KFS99|1.0|1|KFS-FP|Review PCDO AccountFullEdit||Y|
KFSCNTRB789-RSP1|KFSCNTRB789-RSP1|1.0|1|KFS-LD|Review ST Workstudy||Y|
KFSCNTRB789-RSP2|KFSCNTRB789-RSP2|1.0|1|KFS-EC|Review ECD Workstudy||Y|
