campus_cd|bldg_cd|obj_id|ver_nbr|bldg_nm|bldg_str_addr|bldg_addr_cty_nm|bldg_addr_st_cd|bldg_addr_zip_cd|altrnt_bldg_cd|row_actv_ind|bldg_addr_cntry_cd|
BL|BL465B|440146BC203880DAE043814FD88180DA|1.0|Career Development|625 N Jordan Ave|Bloomington|IN|47405-3192||Y|US|
BL|BL465E|440146BC203980DAE043814FD88180DA|1.0|Harlos House|1331 E 10th St|Bloomington|IN|47408-3964||Y|US|
BL|BL467P|440146BC203A80DAE043814FD88180DA|1.0|Parking Booth|600 N Jordan Ave|Bloomington|IN|47405-3190||Y|US|
BL|BL475|440146BC203B80DAE043814FD88180DA|1.0|Recreational Sports|1601 E Law Ln|Bloomington|IN|47408-2109||Y|US|
BL|BL523|440146BC203C80DAE043814FD88180DA|1.0|Hoosier Courts D/C|1150 N Union Ct|Bloomington|IN|47408-2314||Y|US|
BL|BL545|440146BC203D80DAE043814FD88180DA|1.0|Carillon|1640 E 17th St|Bloomington|IN|47408||Y|US|
BL|BL549|440146BC203E80DAE043814FD88180DA|1.0|Botany Greenhouse|2387 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL549A|440146BC203F80DAE043814FD88180DA|1.0|Junior Gardening|2371 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL549B|440146BC204080DAE043814FD88180DA|1.0|Pole Barn A|2397 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL549C|440146BC204180DAE043814FD88180DA|1.0|Pole Barn B|2397 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL549D|440146BC204280DAE043814FD88180DA|1.0|Barn|2371 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL549G|440146BC204380DAE043814FD88180DA|1.0|Botany Field Greenhouse|2389 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL550|440146BC204480DAE043814FD88180DA|1.0|Research Lab|Research Lab|Bloomington|IN|47405||Y|US|
BL|BL551|440146BC204580DAE043814FD88180DA|1.0|Hilltop Garden Center|2367 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL552|440146BC204680DAE043814FD88180DA|1.0|Fly Magnetic Center|2383 E 10th St|Bloomington|IN|47408||Y|US|
BL|BL561|440146BC204780DAE043814FD88180DA|1.0|Golf Clubhouse|1350 N SR 45/46 BYP|Bloomington|IN|47408||Y|US|
BL|BL561A|440146BC204880DAE043814FD88180DA|1.0|Golf Driving Range|1200 N SR 45/46 BYP|Bloomington|IN|47408||Y|US|
BL|BL565|440146BC204980DAE043814FD88180DA|1.0|U-School Building 1|2611 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL566|440146BC204A80DAE043814FD88180DA|1.0|Univ Info Tech Serv|2607 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL567|440146BC204B80DAE043814FD88180DA|1.0|U-School Building 3|2603 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL568|440146BC204C80DAE043814FD88180DA|1.0|U-School Building 4|2601 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL569|440146BC204D80DAE043814FD88180DA|1.0|Wrubel Computing Ct|2711 E 10th St|Bloomington|IN|47408-2671||Y|US|
BL|BL570|440146BC204E80DAE043814FD88180DA|1.0|Univ Info Tech Serv|2605 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL571|440146BC204F80DAE043814FD88180DA|1.0|Communication Svcs.|2715 E 10th St|Bloomington|IN|47408-2671||Y|US|
BL|BL572|440146BC205080DAE043814FD88180DA|1.0|Intercol. Athl. Gym|2721 E 10th St|Bloomington|IN|47408-2671||Y|US|
BL|BL573|440146BC205180DAE043814FD88180DA|1.0|Smith Research Center|2805 E 10th St|Bloomington|IN|47408-2619||Y|US|
BL|BL575|440146BC205280DAE043814FD88180DA|1.0|U-School Building 6|2609 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL576|440146BC205380DAE043814FD88180DA|1.0|Childrens Center|2613 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL577|440146BC205480DAE043814FD88180DA|1.0|ROTC Supply Center|2615 E 10th St|Bloomington|IN|47408-2603||Y|US|
BL|BL580|440146BC205580DAE043814FD88180DA|1.0|Disability & Community|2853 E 10th St|Bloomington|IN|47408-2601||Y|US|
BL|BL593|440146BC205680DAE043814FD88180DA|1.0|Baseball Facility||Bloomington|IN|47408||Y|US|
BL|BL594|440146BC205780DAE043814FD88180DA|1.0|Softball Facility||Bloomington|IN|47408||Y|US|
BL|BL595|440146BC205880DAE043814FD88180DA|1.0|Mellencamp Pavilion|1800 N Dunn St|Bloomington|IN|47408||Y|US|
BL|BL596|440146BC205980DAE043814FD88180DA|1.0|Future Marching Hundred Hall||Bloomington|IN|47405||Y|US|
BL|BL597|440146BC205A80DAE043814FD88180DA|1.0|Hayes Track Storage|1600 N Fee Ln|Bloomington|IN|47408-1617||Y|US|
BL|BL598|440146BC205B80DAE043814FD88180DA|1.0|Hayes Track Pressbox|1600 N Fee Ln|Bloomington|IN|47408-1617||Y|US|
BL|BL599|440146BC205C80DAE043814FD88180DA|1.0|Hayes Track Storage|1600 N Fee Ln|Bloomington|IN|47408-1617||Y|US|
BL|BL601|440146BC205D80DAE043814FD88180DA|1.0|Memorial Stadium|701 E 17th St|Bloomington|IN|47408-1578||Y|US|
BL|BL603|440146BC205E80DAE043814FD88180DA|1.0|Assembly Hall|1001 E 17th St|Bloomington|IN|47408-1590||Y|US|
BL|BL604|440146BC205F80DAE043814FD88180DA|1.0|Gladstein Fieldhouse|1101 E 17th St|Bloomington|IN|47408||Y|US|
BL|BL605|440146BC206080DAE043814FD88180DA|1.0|Outdoor Pool|1490 N Fee Ln|Bloomington|IN|47408||Y|US|
BL|BL605C|440146BC206180DAE043814FD88180DA|1.0|Headley School|1620 E Matlock Rd|Bloomington|IN|47408-1261||Y|US|
BL|BL605D|440146BC206280DAE043814FD88180DA|1.0|Headley Sch Garage|1620 E Matlock Rd|Bloomington|IN|47408-1261||Y|US|
BL|BL605F|440146BC206380DAE043814FD88180DA|1.0|Fee Ln Field Station|1800 N Fee Ln|Bloomington|IN|47408-1619||Y|US|
BL|BL605G|440146BC206480DAE043814FD88180DA|1.0|Thomas House|1800 N Fee Ln|Bloomington|IN|47408-1619||Y|US|
BL|BL605H|440146BC206580DAE043814FD88180DA|1.0|1704 N Fee Ln|1704 N Fee Ln|Bloomington|IN|47408-1618||Y|US|
BL|BL606|440146BC206680DAE043814FD88180DA|1.0|Sembower Concession|1200 N Fee Ln|Bloomington|IN|47406-7103||Y|US|
BL|BL606A|440146BC206780DAE043814FD88180DA|1.0|Sembwr DU Home Men|1200 N Fee Ln|Bloomington|IN|47406-7103||Y|US|
BL|BL606B|440146BC206880DAE043814FD88180DA|1.0|Sembwr DU Visitor Men|1200 N Fee Ln|Bloomington|IN|47406-7103||Y|US|
BL|BL606C|440146BC206980DAE043814FD88180DA|1.0|Sembower DU Home Wmn|1200 N Fee Ln|Bloomington|IN|47406-7103||Y|US|
BL|BL606D|440146BC206A80DAE043814FD88180DA|1.0|Sembower DU Visitor Wmn|1200 N Fee Ln|Bloomington|IN|47406-7103||Y|US|
BL|BL606E|440146BC206B80DAE043814FD88180DA|1.0|Softball Press Box||Bloomington|IN|47408||Y|US|
BL|BL606F|440146BC206C80DAE043814FD88180DA|1.0|Sembower Press Box||Bloomington|IN|47408||Y|US|
BL|BL607E|440146BC206D80DAE043814FD88180DA|1.0|Golf Maintenance|1480 N SR 45/46 BYP|Bloomington|IN|47408||Y|US|
BL|BL607G|440146BC206E80DAE043814FD88180DA|1.0|Golf Maint. Storage|1480 N SR 45/46 BYP|Bloomington|IN|47408||Y|US|
BL|BL607K|440146BC206F80DAE043814FD88180DA|1.0|Golf Pumphouse|1480 N SR 45/46 BYPASS|Bloomington|IN|47408||Y|US|
BL|BL608|440146BC207080DAE043814FD88180DA|1.0|Cyclotron|2401/2425(MPRI) N Milo Sampson Ln|Bloomington|IN|47408-1368||Y|US|
BL|BL608D|440146BC207180DAE043814FD88180DA|1.0|Cyclotron Storage|2401 Milo Sampson Ln|Bloomington|IN|47408-1368||Y|US|
BL|BL608F|440146BC207280DAE043814FD88180DA|1.0|Cyclotr Shed F|2401 Milo Sampson Ln|||||Y|US|
BL|BL608K|440146BC207380DAE043814FD88180DA|1.0|Cyclotron Stor2|2401 Milo Sampson Ln|Bloomington|IN|47408-1368||Y|US|
BL|BL609|440146BC207480DAE043814FD88180DA|1.0|Armstrong Concession/Restroom North|1601 N Fee Ln|Bloomington|IN|47408||Y|US|
BL|BL609A|440146BC207580DAE043814FD88180DA|1.0|Armstrong Con. Pressbox|1601 N Fee Ln|Bloomington|IN|47408||Y|US|
BL|BL609B|440146BC207680DAE043814FD88180DA|1.0|Armstrong Concessions/Restrooms|1601 N Fee Ln|Bloomington|IN|47408||Y|US|
BL|BL609C|440146BC207780DAE043814FD88180DA|1.0|Circle of Champions|1601 N Fee Ln|Bloomington|IN|47408||Y|US|
BL|BL609H|440146BC207880DAE043814FD88180DA|1.0|Field Hockey Storage|1550 N Fee Ln|Bloomington|IN|47405||Y|US|
BL|BL612|440146BC207980DAE043814FD88180DA|1.0|N. Fee Rec. Storage|1833 N Fee Ln|Bloomington|IN|47408-1604||Y|US|
BL|BL614|440146BC207A80DAE043814FD88180DA|1.0|ALF-Ruth Lilly Auxilary Library|851 N Range Rd|Bloomington|IN|47408-9453||Y|US|
BL|BL617P|440146BC207B80DAE043814FD88180DA|1.0|Research & Teaching Preserve||Bloomington|IN|47408||Y|US|
BL|BL652C|440146BC207C80DAE043814FD88180DA|1.0|Creole Institute|1105 E Atwater Ave|Bloomington|IN|47401-3701||Y|US|
BL|BL652F|440146BC207D80DAE043814FD88180DA|1.0|1211 E Atwater Ave|1211 E Atwater Ave|Bloomington|IN|47401-3703||Y|US|
BL|BL652G|440146BC207E80DAE043814FD88180DA|1.0|Journal American History|1215 E Atwater Ave|Bloomington|IN|47401-3703||Y|US|
BL|BL652H|440146BC207F80DAE043814FD88180DA|1.0|Polish Studies Center|1217 E Atwater Ave|Bloomington|IN|47401-3703||Y|US|
BL|BL652L|440146BC208080DAE043814FD88180DA|1.0|1125 E Atwater Ave (CLACS)|1125 E Atwater Ave|Bloomington|IN|47401-3701||Y|US|
BL|BL652M|440146BC208180DAE043814FD88180DA|1.0|Amer. Historical Revue|914 E Atwater Ave|Bloomington|IN|47401-3600||Y|US|
BL|BL652N|440146BC208280DAE043814FD88180DA|1.0|1211.5 E Atwater Ave|1211 1/2 E Atwater Ave|Bloomington|IN|47401-3703||Y|US|
BL|BL652P|440146BC208380DAE043814FD88180DA|1.0|Social Work|1127 E Atwater Ave|Bloomington|IN|47401-3701||Y|US|
BL|BL652Q|440146BC208480DAE043814FD88180DA|1.0|1129 E Atwater Ave|1129 E Atwater Ave|Bloomington|IN|47401-3701||Y|US|
BL|BL652R|440146BC208580DAE043814FD88180DA|1.0|1103 E Atwater Ave|1103 E Atwater Ave|Bloomington|IN|47401-3701||Y|US|
BL|BL653|440146BC208680DAE043814FD88180DA|1.0|Woodburn House|519 N College Ave|Bloomington|IN|47404-3830||Y|US|
BL|BL655|440146BC208780DAE043814FD88180DA|1.0|Wylie House Museum|307 E 2nd St|Bloomington|IN|47401-4701||Y|US|
BL|BL656|440146BC208880DAE043814FD88180DA|1.0|Goethe Link Observatory|8403 N Observatory Ln|Martinsville|IN|46151-6225||Y|US|
BL|BL658|440146BC208980DAE043814FD88180DA|1.0|IU Press|601 N Morton St|Bloomington|IN|47404-3778||Y|US|
BL|BL672|440146BC208A80DAE043814FD88180DA|1.0|Food Storage|600 N Rogers St|Bloomington|IN|47404-3701||Y|US|
BL|BL690|440146BC208B80DAE043814FD88180DA|1.0|Morgan-Monroe Observatory|5550 Main Forest Rd|Bloomington|IN|47405||Y|US|
BL|BL841|440146BC208C80DAE043814FD88180DA|1.0|Biology Storage Building||||||Y|US|
BL|BL994|440146BC208D80DAE043814FD88180DA|1.0|Indiana State Police District 33|2135 N Fee Ln|Bloomington|IN|47408-1645||Y|US|
