fdoc_nbr|fdoc_typ_cd|obj_id|ver_nbr|fdoc_50_cent_amt|fdoc_25_cent_amt|fdoc_10_cent_amt|fdoc_5_cent_amt|fdoc_1_cent_amt|fdoc_othr_cent_amt|fdoc_100_cent_amt|cshr_stat_cd|
AK0137404|CD|14034DEF1A1D4D8CE043814FD8814D8C|1.0||0.25|0.2|0.05||||X|
AK0137404|CR|14034DEF1A1E4D8CE043814FD8814D8C|1.0||0.25|0.2|0.05||||R|
AK1550904|CD|14034DEF176B4D8CE043814FD8814D8C|1.0||0.75||||||X|
AK1550904|CR|14034DEF176C4D8CE043814FD8814D8C|1.0||0.75||||||R|
AK2708404|CD|14034DEF18D04D8CE043814FD8814D8C|1.0||1.75|0.5||||3.0|X|
AK2708404|CR|14034DEF18D14D8CE043814FD8814D8C|1.0||1.75|0.5||||3.0|R|
AK7942904|CD|14034DEF1F834D8CE043814FD8814D8C|1.0||0.5||0.25||||X|
AK7942904|CR|14034DEF1F844D8CE043814FD8814D8C|1.0||0.5||0.25||||R|
AK8814104|CD|14034DEF1DBB4D8CE043814FD8814D8C|1.0||1.0||||||X|
AK8814104|CR|14034DEF1DBC4D8CE043814FD8814D8C|1.0||1.0||||||R|
AK9668304|CD|14034DEF17614D8CE043814FD8814D8C|1.0||0.75||||||X|
AK9668304|CR|14034DEF17624D8CE043814FD8814D8C|1.0||0.75||||||R|
AL3375804|CD|14034DEF1A4F4D8CE043814FD8814D8C|1.0||0.5||||||X|
AL3375804|CR|14034DEF1A504D8CE043814FD8814D8C|1.0||0.5||||||R|
AL6952104|CD|14034DEF18554D8CE043814FD8814D8C|1.0||2.75|||||2.0|X|
AL6952104|CR|14034DEF18564D8CE043814FD8814D8C|1.0||2.75|||||2.0|R|
AN1215604|CD|14034DEF1BBB4D8CE043814FD8814D8C|1.0||1.5||||||X|
AN1215604|CR|14034DEF1BBC4D8CE043814FD8814D8C|1.0||1.5||||||R|
AN4061504|CD|14034DEF1FEF4D8CE043814FD8814D8C|1.0||0.5||||||X|
AN4061504|CR|14034DEF1FF04D8CE043814FD8814D8C|1.0||0.5||||||R|
AN7003604|CD|14034DEF1FA44D8CE043814FD8814D8C|1.0||1.0||||||X|
AN7003604|CR|14034DEF1FA54D8CE043814FD8814D8C|1.0||1.0||||||R|
AN7944404|CD|14034DEF1C3A4D8CE043814FD8814D8C|1.0||0.75||0.5||||X|
AN7944404|CR|14034DEF1C3B4D8CE043814FD8814D8C|1.0||0.75||0.5||||R|
AO1099604|CD|14034DEF18FE4D8CE043814FD8814D8C|1.0||1.0||||||X|
AO1099604|CR|14034DEF18FF4D8CE043814FD8814D8C|1.0||1.0||||||R|
AO2705604|CD|14034DEF1AD84D8CE043814FD8814D8C|1.0||0.5||||||X|
AO2705604|CR|14034DEF1AD94D8CE043814FD8814D8C|1.0||0.5||||||R|
AO4509404|CD|14034DEF1F984D8CE043814FD8814D8C|1.0||1.75|0.7|0.1|0.1||1.0|X|
AO4509404|CR|14034DEF1F994D8CE043814FD8814D8C|1.0||1.75|0.7|0.1|0.1||1.0|R|
AP4586204|CD|14034DEF1E0D4D8CE043814FD8814D8C|1.0||0.75||||||X|
AP4586204|CR|14034DEF1E0E4D8CE043814FD8814D8C|1.0||0.75||||||R|
AP4986004|CD|14034DEF19184D8CE043814FD8814D8C|1.0||0.75||||||X|
AP4986004|CR|14034DEF19194D8CE043814FD8814D8C|1.0||0.75||||||R|
AQ2305904|CD|14034DEF19084D8CE043814FD8814D8C|1.0||1.75||0.5||||X|
AQ2305904|CR|14034DEF19094D8CE043814FD8814D8C|1.0||1.75||0.5||||R|
AR4098804|CD|14034DEF1DF94D8CE043814FD8814D8C|1.0||1.0||||||X|
AR4098804|CR|14034DEF1DFA4D8CE043814FD8814D8C|1.0||1.0||||||R|
AR4553704|CD|14034DEF1BE54D8CE043814FD8814D8C|1.0||0.5||||||X|
AR4553704|CR|14034DEF1BE64D8CE043814FD8814D8C|1.0||0.5||||||R|
AR7027804|CD|14034DEF1C204D8CE043814FD8814D8C|1.0||1.5|0.9|0.25|0.06|||X|
AR7027804|CR|14034DEF1C214D8CE043814FD8814D8C|1.0||1.5|0.9|0.25|0.06|||R|
AR7971704|CD|14034DEF1CEA4D8CE043814FD8814D8C|1.0||1.5||||||X|
AR7971704|CR|14034DEF1CEB4D8CE043814FD8814D8C|1.0||1.5||||||R|
AR9284104|CD|14034DEF1AF24D8CE043814FD8814D8C|1.0||1.0||||||X|
AR9284104|CR|14034DEF1AF34D8CE043814FD8814D8C|1.0||1.0||||||R|
AS0222804|CD|14034DEF1C034D8CE043814FD8814D8C|1.0||0.25||||||X|
AS0222804|CR|14034DEF1C044D8CE043814FD8814D8C|1.0||0.25||||||R|
AS8765604|CD|14034DEF1EAF4D8CE043814FD8814D8C|1.0||0.25|1.0|0.25||||X|
AS8765604|CR|14034DEF1EB04D8CE043814FD8814D8C|1.0||0.25|1.0|0.25||||R|
AU1546904|CD|14034DEF17694D8CE043814FD8814D8C|1.0||0.25||||||X|
AU1546904|CR|14034DEF176A4D8CE043814FD8814D8C|1.0||0.25||||||R|
AU3082504|CD|14034DEF1BDB4D8CE043814FD8814D8C|1.0||1.25|0.2|0.05|0.5|||X|
AU3082504|CR|14034DEF1BDC4D8CE043814FD8814D8C|1.0||1.25|0.2|0.05|0.5|||R|
AU4110104|CD|14034DEF1C904D8CE043814FD8814D8C|1.0||2.75|0.8|0.2||||X|
AU4110104|CR|14034DEF1C914D8CE043814FD8814D8C|1.0||2.75|0.8|0.2||||R|
AV0939704|CD|14034DEF1D284D8CE043814FD8814D8C|1.0||0.75|1.2|0.35|0.05|||X|
AV0939704|CR|14034DEF1D294D8CE043814FD8814D8C|1.0||0.75|1.2|0.35|0.05|||R|
AV3369104|CD|14034DEF1E994D8CE043814FD8814D8C|1.0||1.75|2.8|0.45||||X|
AV3369104|CR|14034DEF1E9A4D8CE043814FD8814D8C|1.0||1.75|2.8|0.45||||R|
AV4286904|CD|14034DEF1C184D8CE043814FD8814D8C|1.0||0.75||||||X|
AV4286904|CR|14034DEF1C194D8CE043814FD8814D8C|1.0||0.75||||||R|
AV7730804|CD|14034DEF19ED4D8CE043814FD8814D8C|1.0||1.75|0.9|0.25|0.35||2.0|X|
AV7730804|CR|14034DEF19EE4D8CE043814FD8814D8C|1.0||1.75|0.9|0.25|0.35||2.0|R|
AW6364304|CD|14034DEF1B184D8CE043814FD8814D8C|1.0||0.25|1.2|0.8||||X|
AW6364304|CR|14034DEF1B194D8CE043814FD8814D8C|1.0||0.25|1.2|0.8||||R|
AX7556704|CD|14034DEF1C344D8CE043814FD8814D8C|1.0||1.0||||||X|
AX7556704|CR|14034DEF1C354D8CE043814FD8814D8C|1.0||1.0||||||R|
AX7870704|CD|14034DEF19C74D8CE043814FD8814D8C|1.0||0.75|||||1.0|X|
AX7870704|CR|14034DEF19C84D8CE043814FD8814D8C|1.0||0.75|||||1.0|R|
AX9156504|CD|14034DEF1F1F4D8CE043814FD8814D8C|1.0||1.5||||||X|
AX9156504|CR|14034DEF1F204D8CE043814FD8814D8C|1.0||1.5||||||R|
AY2228704|CD|14034DEF19044D8CE043814FD8814D8C|1.0||2.25||||||X|
AY2228704|CR|14034DEF19054D8CE043814FD8814D8C|1.0||2.25||||||R|
AZ3660104|CD|14034DEF1D144D8CE043814FD8814D8C|1.0||0.25||||||X|
AZ3660104|CR|14034DEF1D154D8CE043814FD8814D8C|1.0||0.25||||||R|
BA5206604|CD|14034DEF19C34D8CE043814FD8814D8C|1.0||1.5||||||X|
BA5206604|CR|14034DEF19C44D8CE043814FD8814D8C|1.0||1.5||||||R|
BB4513604|CD|14034DEF1E9D4D8CE043814FD8814D8C|1.0||0.75||||||X|
BB4513604|CR|14034DEF1E9E4D8CE043814FD8814D8C|1.0||0.75||||||R|
BC3451404|CD|14034DEF1F074D8CE043814FD8814D8C|1.0||0.5||||||X|
BC3451404|CR|14034DEF1F084D8CE043814FD8814D8C|1.0||0.5||||||R|
BC4233504|CD|14034DEF18924D8CE043814FD8814D8C|1.0||2.75|0.8|0.2|0.25|||X|
BC4233504|CR|14034DEF18934D8CE043814FD8814D8C|1.0||2.75|0.8|0.2|0.25|||R|
BD0308204|CD|14034DEF1F234D8CE043814FD8814D8C|1.0||1.25||||||X|
BD0308204|CR|14034DEF1F244D8CE043814FD8814D8C|1.0||1.25||||||R|
BD9722704|CD|14034DEF18254D8CE043814FD8814D8C|1.0||0.25||||||X|
BD9722704|CR|14034DEF18264D8CE043814FD8814D8C|1.0||0.25||||||R|
BF0055004|CD|14034DEF196F4D8CE043814FD8814D8C|1.0|||1.3|0.2|0.3||2.0|X|
BF0055004|CR|14034DEF19704D8CE043814FD8814D8C|1.0|||1.3|0.2|0.3||2.0|R|
BF4953204|CD|14034DEF1CE44D8CE043814FD8814D8C|1.0||0.75|0.7|0.05||||X|
BF4953204|CR|14034DEF1CE54D8CE043814FD8814D8C|1.0||0.75|0.7|0.05||||R|
BF8247004|CD|14034DEF18634D8CE043814FD8814D8C|1.0||0.25||||||X|
BF8247004|CR|14034DEF18644D8CE043814FD8814D8C|1.0||0.25||||||R|
BF8577104|CD|14034DEF17CA4D8CE043814FD8814D8C|1.0||1.25|0.2|0.05||||X|
BF8577104|CR|14034DEF17CB4D8CE043814FD8814D8C|1.0||1.25|0.2|0.05||||R|
BG8017204|CD|14034DEF19A54D8CE043814FD8814D8C|1.0||5.75|0.1|0.1|||1.0|X|
BG8017204|CR|14034DEF19A64D8CE043814FD8814D8C|1.0||5.75|0.1|0.1|||1.0|R|
BH2425004|CD|14034DEF1E4D4D8CE043814FD8814D8C|1.0||1.0||||||X|
BH2425004|CR|14034DEF1E4E4D8CE043814FD8814D8C|1.0||1.0||||||R|
BI2013404|CD|14034DEF19F54D8CE043814FD8814D8C|1.0||1.0||||||X|
BI2013404|CR|14034DEF19F64D8CE043814FD8814D8C|1.0||1.0||||||R|
BI2031104|CD|14034DEF1E254D8CE043814FD8814D8C|1.0||0.75|0.6|0.15||||X|
BI2031104|CR|14034DEF1E264D8CE043814FD8814D8C|1.0||0.75|0.6|0.15||||R|
BI3125404|CD|14034DEF17394D8CE043814FD8814D8C|1.0||0.5|0.3|0.1|0.1||2.0|X|
BI3125404|CR|14034DEF173A4D8CE043814FD8814D8C|1.0||0.5|0.3|0.1|0.1||2.0|R|
BI4449404|CD|14034DEF1DD34D8CE043814FD8814D8C|1.0||1.25|1.8|0.25||||X|
BI4449404|CR|14034DEF1DD44D8CE043814FD8814D8C|1.0||1.25|1.8|0.25||||R|
BI4616904|CD|14034DEF1ADE4D8CE043814FD8814D8C|1.0||1.0|0.2|0.05||||X|
BI4616904|CR|14034DEF1ADF4D8CE043814FD8814D8C|1.0||1.0|0.2|0.05||||R|
BI5259004|CD|14034DEF1AE44D8CE043814FD8814D8C|1.0||1.0||||||X|
BI5259004|CR|14034DEF1AE54D8CE043814FD8814D8C|1.0||1.0||||||R|
BJ2644104|CR|14034DEF17714D8CE043814FD8814D8C|1.0||1.0||||||R|
BJ7945404|CD|14034DEF185D4D8CE043814FD8814D8C|1.0||0.75||0.2||||X|
BJ7945404|CR|14034DEF185E4D8CE043814FD8814D8C|1.0||0.75||0.2||||R|
BJ9389704|CD|14034DEF18BA4D8CE043814FD8814D8C|1.0|||0.3|0.2|||4.0|X|
BJ9389704|CR|14034DEF18BB4D8CE043814FD8814D8C|1.0|||0.3|0.2|||4.0|R|
BK9997904|CD|14034DEF198B4D8CE043814FD8814D8C|1.0||0.75||||||X|
BK9997904|CR|14034DEF198C4D8CE043814FD8814D8C|1.0||0.75||||||R|
BL2002104|CD|14034DEF1B784D8CE043814FD8814D8C|1.0||0.75||||||X|
BL2002104|CR|14034DEF1B794D8CE043814FD8814D8C|1.0||0.75||||||R|
BM2017404|CD|14034DEF1FB94D8CE043814FD8814D8C|1.0||0.75|1.1|2.55|1.5||4.0|X|
BM2017404|CR|14034DEF1FBA4D8CE043814FD8814D8C|1.0||0.75|1.1|2.55|1.5||4.0|R|
BM8543704|CD|14034DEF1B964D8CE043814FD8814D8C|1.0||0.75||||||X|
BM8543704|CR|14034DEF1B974D8CE043814FD8814D8C|1.0||0.75||||||R|
BN6033404|CD|14034DEF18A44D8CE043814FD8814D8C|1.0||0.75|1.6|0.45|0.05||1.0|X|
BN6033404|CR|14034DEF18A54D8CE043814FD8814D8C|1.0||0.75|1.6|0.45|0.05||1.0|R|
BO0352704|CD|14034DEF1FE34D8CE043814FD8814D8C|1.0||0.25||||||X|
BO0352704|CR|14034DEF1FE44D8CE043814FD8814D8C|1.0||0.25||||||R|
BO1437204|CD|14034DEF1D504D8CE043814FD8814D8C|1.0||2.0|||||4.0|X|
BO1437204|CR|14034DEF1D514D8CE043814FD8814D8C|1.0||2.0|||||4.0|R|
BO1841904|CD|14034DEF1BBF4D8CE043814FD8814D8C|1.0||1.5||||||X|
BO1841904|CR|14034DEF1BC04D8CE043814FD8814D8C|1.0||1.5||||||R|
BO5803904|CD|14034DEF194F4D8CE043814FD8814D8C|1.0||0.5||||||X|
BO5803904|CR|14034DEF19504D8CE043814FD8814D8C|1.0||0.5||||||R|
BP5912004|CD|14034DEF177E4D8CE043814FD8814D8C|1.0||2.75||0.25|0.04|||X|
BP5912004|CR|14034DEF177F4D8CE043814FD8814D8C|1.0||2.75||0.25|0.04|||R|
BP7551504|CD|14034DEF1F514D8CE043814FD8814D8C|1.0||1.5|3.1|0.15|1.0|||X|
BP7551504|CR|14034DEF1F524D8CE043814FD8814D8C|1.0||1.5|3.1|0.15|1.0|||R|
BQ8395404|CD|14034DEF19A94D8CE043814FD8814D8C|1.0||0.5||||||X|
BQ8395404|CR|14034DEF19AA4D8CE043814FD8814D8C|1.0||0.5||||||R|
BR6364004|CD|14034DEF18084D8CE043814FD8814D8C|1.0||2.75|0.4|0.1||||X|
BR6364004|CR|14034DEF18094D8CE043814FD8814D8C|1.0||2.75|0.4|0.1||||R|
BR7381204|CD|14034DEF1D924D8CE043814FD8814D8C|1.0||1.0|1.3|0.45||||X|
BR7381204|CR|14034DEF1D934D8CE043814FD8814D8C|1.0||1.0|1.3|0.45||||R|
BS0942004|CD|14034DEF17A04D8CE043814FD8814D8C|1.0||0.5||||||X|
BS0942004|CR|14034DEF17A14D8CE043814FD8814D8C|1.0||0.5||||||R|
BS6749304|CD|14034DEF1BF54D8CE043814FD8814D8C|1.0||2.25|||||1.0|X|
BS6749304|CR|14034DEF1BF64D8CE043814FD8814D8C|1.0||2.25|||||1.0|R|
BT6210104|CD|14034DEF1FF94D8CE043814FD8814D8C|1.0|||0.4|0.05|0.03|||X|
BT6210104|CR|14034DEF1FFA4D8CE043814FD8814D8C|1.0|||0.4|0.05|0.03|||R|
BT8475104|CD|14034DEF1B4C4D8CE043814FD8814D8C|1.0||1.5|||||1.0|X|
BT8475104|CR|14034DEF1B4D4D8CE043814FD8814D8C|1.0||1.5|||||1.0|R|
BU5069804|CD|14034DEF191C4D8CE043814FD8814D8C|1.0||1.0|0.3|0.05|0.01|||X|
BU5069804|CR|14034DEF191D4D8CE043814FD8814D8C|1.0||1.0|0.3|0.05|0.01|||R|
BU8296204|CD|14034DEF18654D8CE043814FD8814D8C|1.0|0.0|3.0|||||3.0|X|
BU8296204|CR|14034DEF18664D8CE043814FD8814D8C|1.0|3.0||||||3.0|R|
BU9732204|CD|14034DEF1EE94D8CE043814FD8814D8C|1.0||1.0||||||X|
BU9732204|CR|14034DEF1EEA4D8CE043814FD8814D8C|1.0||1.0||||||R|
BV4112604|CD|14034DEF1FD34D8CE043814FD8814D8C|1.0||1.0|0.1|0.15||||X|
BV4112604|CR|14034DEF1FD44D8CE043814FD8814D8C|1.0||1.0|0.1|0.15||||R|
BV8209604|CD|14034DEF1EE34D8CE043814FD8814D8C|1.0||0.5||||||X|
BV8209604|CR|14034DEF1EE44D8CE043814FD8814D8C|1.0||0.5||||||R|
BW7848604|CD|14034DEF1CA24D8CE043814FD8814D8C|1.0||8.75|0.8|2.2|1.0|||X|
BW7848604|CR|14034DEF1CA34D8CE043814FD8814D8C|1.0||8.75|0.8|2.2|1.0|||R|
BX3864604|CD|14034DEF17434D8CE043814FD8814D8C|1.0||0.5||||||X|
BX3864604|CR|14034DEF17444D8CE043814FD8814D8C|1.0||0.5||||||R|
BZ3034704|CD|14034DEF1C2C4D8CE043814FD8814D8C|1.0||0.5||0.15||||X|
BZ3034704|CR|14034DEF1C2D4D8CE043814FD8814D8C|1.0||0.5||0.15||||R|
BZ7387604|CD|14034DEF17564D8CE043814FD8814D8C|1.0||0.75||||||X|
BZ7387604|CR|14034DEF17574D8CE043814FD8814D8C|1.0||0.75||||||R|
CB6652104|CD|14034DEF1DDB4D8CE043814FD8814D8C|1.0||0.25||||||X|
CB6652104|CR|14034DEF1DDC4D8CE043814FD8814D8C|1.0||0.25||||||R|
CC7241004|CD|14034DEF17BE4D8CE043814FD8814D8C|1.0|||||||5.0|X|
CC7241004|CR|14034DEF17BF4D8CE043814FD8814D8C|1.0|||||||5.0|R|
CD5591304|CD|14034DEF1F4B4D8CE043814FD8814D8C|1.0||0.25||||||X|
CD5591304|CR|14034DEF1F4C4D8CE043814FD8814D8C|1.0||0.25||||||R|
CE2969504|CD|14034DEF1FE94D8CE043814FD8814D8C|1.0||1.5||||||X|
CE2969504|CR|14034DEF1FEA4D8CE043814FD8814D8C|1.0||1.5||||||R|
CE3353304|CD|14034DEF18434D8CE043814FD8814D8C|1.0|0.5|4.5|0.2|0.05||||X|
CE3353304|CR|14034DEF18444D8CE043814FD8814D8C|1.0|0.5|4.5|0.2|0.05||||R|
CF8572204|CD|14034DEF1BAF4D8CE043814FD8814D8C|1.0||1.0||||||X|
CF8572204|CR|14034DEF1BB04D8CE043814FD8814D8C|1.0||1.0||||||R|
CG8811604|CD|14034DEF18F64D8CE043814FD8814D8C|1.0||1.0|1.2|0.05||||X|
CG8811604|CR|14034DEF18F74D8CE043814FD8814D8C|1.0||1.0|1.2|0.05||||R|
CH6781404|CD|14034DEF1BA44D8CE043814FD8814D8C|1.0||0.25||||||X|
CH6781404|CR|14034DEF1BA54D8CE043814FD8814D8C|1.0||0.25||||||R|
CH9354504|CD|14034DEF179D4D8CE043814FD8814D8C|1.0||1.5||||||X|
CH9354504|CR|14034DEF179E4D8CE043814FD8814D8C|1.0||1.5||||||R|
CI4626504|CD|14034DEF1C754D8CE043814FD8814D8C|1.0||2.0||||||X|
CI4626504|CR|14034DEF1C764D8CE043814FD8814D8C|1.0||2.0||||||R|
CI8549004|CD|14034DEF186B4D8CE043814FD8814D8C|1.0||0.5|||||1.0|X|
CI8549004|CR|14034DEF186C4D8CE043814FD8814D8C|1.0||0.5|||||1.0|R|
CI9158804|CD|14034DEF1A834D8CE043814FD8814D8C|1.0||0.25||||||X|
CI9158804|CR|14034DEF1A844D8CE043814FD8814D8C|1.0||0.25||||||R|
CK1055804|CD|14034DEF1EF34D8CE043814FD8814D8C|1.0||1.5||||||X|
CK1055804|CR|14034DEF1EF44D8CE043814FD8814D8C|1.0||1.5||||||R|
CK4140904|CD|14034DEF188C4D8CE043814FD8814D8C|1.0||1.5||0.05||||X|
CK4140904|CR|14034DEF188D4D8CE043814FD8814D8C|1.0||1.5||0.05||||R|
CK8706004|CD|14034DEF1D6A4D8CE043814FD8814D8C|1.0||0.75||||||X|
CK8706004|CR|14034DEF1D6B4D8CE043814FD8814D8C|1.0||0.75||||||R|
CL8784404|CD|14034DEF1EE74D8CE043814FD8814D8C|1.0||0.75||||||X|
CL8784404|CR|14034DEF1EE84D8CE043814FD8814D8C|1.0||0.75||||||R|
CM1445204|CD|14034DEF1C0B4D8CE043814FD8814D8C|1.0||1.25||||||X|
CM1445204|CR|14034DEF1C0C4D8CE043814FD8814D8C|1.0||1.25||||||R|
CM3456504|CD|14034DEF1DA24D8CE043814FD8814D8C|1.0||0.25||||||X|
CM3456504|CR|14034DEF1DA34D8CE043814FD8814D8C|1.0||0.25||||||R|
CN1341704|CD|14034DEF19F34D8CE043814FD8814D8C|1.0||0.75|0.1|||||X|
CN1341704|CR|14034DEF19F44D8CE043814FD8814D8C|1.0||0.75|0.1|||||R|
CN5526704|CD|14034DEF199D4D8CE043814FD8814D8C|1.0||0.25||||||X|
CN5526704|CR|14034DEF199E4D8CE043814FD8814D8C|1.0||0.25||||||R|
CN8783304|CD|14034DEF1EE54D8CE043814FD8814D8C|1.0||0.75||||||X|
CN8783304|CR|14034DEF1EE64D8CE043814FD8814D8C|1.0||0.75||||||R|
CO3368304|CD|14034DEF18884D8CE043814FD8814D8C|1.0||0.5||||||X|
CO3368304|CR|14034DEF18894D8CE043814FD8814D8C|1.0||0.5||||||R|
CP3072904|CR|14034DEF1C8B4D8CE043814FD8814D8C|1.0||||||||R|
CP6289104|CD|14034DEF1A534D8CE043814FD8814D8C|1.0||1.25|0.2|0.05||||X|
CP6289104|CR|14034DEF1A544D8CE043814FD8814D8C|1.0||1.25|0.2|0.05||||R|
CQ7282504|CD|14034DEF1BA64D8CE043814FD8814D8C|1.0||0.25||||||X|
CQ7282504|CR|14034DEF1BA74D8CE043814FD8814D8C|1.0||0.25||||||R|
CR7492904|CD|14034DEF1DB14D8CE043814FD8814D8C|1.0||1.75|1.2|0.75|0.15|||X|
CR7492904|CR|14034DEF1DB24D8CE043814FD8814D8C|1.0||1.75|1.2|0.75|0.15|||R|
CR8995604|CD|14034DEF1A694D8CE043814FD8814D8C|1.0||1.0||||||X|
CR8995604|CR|14034DEF1A6A4D8CE043814FD8814D8C|1.0||1.0||||||R|
CT2700604|CD|14034DEF19FB4D8CE043814FD8814D8C|1.0||0.5||||||X|
CT2700604|CR|14034DEF19FC4D8CE043814FD8814D8C|1.0||0.5||||||R|
CT4447004|CD|14034DEF1B864D8CE043814FD8814D8C|1.0||0.25||||||X|
CT4447004|CR|14034DEF1B874D8CE043814FD8814D8C|1.0||0.25||||||R|
CV2457404|CD|14034DEF1B344D8CE043814FD8814D8C|1.0||0.75|0.2|0.05||||X|
CV2457404|CR|14034DEF1B354D8CE043814FD8814D8C|1.0||0.75|0.2|0.05||||R|
CV4909004|CD|14034DEF1E534D8CE043814FD8814D8C|1.0||0.5|0.2|0.25|0.05|||X|
CV4909004|CR|14034DEF1E544D8CE043814FD8814D8C|1.0||0.5|0.2|0.25|0.05|||R|
CW4895004|CD|14034DEF19BD4D8CE043814FD8814D8C|1.0||0.75||||||X|
CW4895004|CR|14034DEF19BE4D8CE043814FD8814D8C|1.0||0.75||||||R|
CW6126204|CD|14034DEF1D1C4D8CE043814FD8814D8C|1.0||0.25||||||X|
CW6126204|CR|14034DEF1D1D4D8CE043814FD8814D8C|1.0||0.25||||||R|
CX3849004|CD|14034DEF1AAD4D8CE043814FD8814D8C|1.0||2.25|0.2|0.05||||X|
CX3849004|CR|14034DEF1AAE4D8CE043814FD8814D8C|1.0||2.25|0.2|0.05||||R|
CX8222504|CD|14034DEF1DB94D8CE043814FD8814D8C|1.0||0.25||||||X|
CX8222504|CR|14034DEF1DBA4D8CE043814FD8814D8C|1.0||0.25||||||R|
CY2028604|CD|14034DEF1E234D8CE043814FD8814D8C|1.0||0.25||||||X|
CY2028604|CR|14034DEF1E244D8CE043814FD8814D8C|1.0||0.25||||||R|
CY9733704|CD|14034DEF1EEB4D8CE043814FD8814D8C|1.0||1.5||||||X|
CY9733704|CR|14034DEF1EEC4D8CE043814FD8814D8C|1.0||1.5||||||R|
CZ2464504|CD|14034DEF1D0C4D8CE043814FD8814D8C|1.0||1.0||||||X|
CZ2464504|CR|14034DEF1D0D4D8CE043814FD8814D8C|1.0||1.0||||||R|
CZ2701604|CD|14034DEF17F04D8CE043814FD8814D8C|1.0||1.25|0.9||0.05||1.0|X|
CZ2701604|CR|14034DEF17F14D8CE043814FD8814D8C|1.0||1.25|0.9||0.05||1.0|R|
CZ6111904|CD|14034DEF1E154D8CE043814FD8814D8C|1.0||0.25||||||X|
CZ6111904|CR|14034DEF1E164D8CE043814FD8814D8C|1.0||0.25||||||R|
DA2574804|CD|14034DEF1CB84D8CE043814FD8814D8C|1.0||1.0||||||X|
DA2574804|CR|14034DEF1CB94D8CE043814FD8814D8C|1.0||1.0||||||R|
DA3658704|CD|14034DEF1E094D8CE043814FD8814D8C|1.0||0.75||||||X|
