kemid|crnt_inc_csh|crnt_prin_csh|obj_id|ver_nbr|
037MDSL103|0.59|0.79|8529CD4850FA060AE0404F8189D81C0B|1.0|
037MMED197|0.1|0.42|8529CD4850FB060AE0404F8189D81C0B|1.0|
037MPHC132|0.25|0.37|8529CD4850FC060AE0404F8189D81C0B|1.0|
037O009148|0.3|0.37|8529CD4850FD060AE0404F8189D81C0B|1.0|
037P003108|0.14|0.05|8529CD4850FE060AE0404F8189D81C0B|1.0|
037P004148|0.46|0.17|8529CD4850FF060AE0404F8189D81C0B|1.0|
037P011291|0.83|0.4|8529CD485100060AE0404F8189D81C0B|1.0|
037RQ04222|0.66|0.09|8529CD485101060AE0404F8189D81C0B|1.0|
037RT04333|0.86|0.8|8529CD485102060AE0404F8189D81C0B|1.0|
037S012056|0.76|0.68|8529CD485103060AE0404F8189D81C0B|1.0|
037SC00501|0.08|0.11|8529CD485104060AE0404F8189D81C0B|1.0|
037V009140|0.26|0.22|8529CD485105060AE0404F8189D81C0B|1.0|
037V010080|0.59|0.0|8529CD485106060AE0404F8189D81C0B|1.0|
037WHMM024|0.04|0.23|8529CD485107060AE0404F8189D81C0B|1.0|
037X002044|0.43|0.09|8529CD485108060AE0404F8189D81C0B|1.0|
038A017011|0.54|0.5|8529CD485109060AE0404F8189D81C0B|1.0|
038AS00057|0.08|0.11|8529CD48510A060AE0404F8189D81C0B|1.0|
038AS06237|0.95|0.38|8529CD48510B060AE0404F8189D81C0B|1.0|
038AS17028|0.6|0.48|8529CD48510C060AE0404F8189D81C0B|1.0|
038AS53023|-280453.85|0.61|8529CD48510D060AE0404F8189D81C0B|1.0|
038B011179|0.36|0.04|8529CD48510E060AE0404F8189D81C0B|1.0|
038CC00118|0.45|0.54|8529CD48510F060AE0404F8189D81C0B|1.0|
038D008041|0.02|0.11|8529CD485110060AE0404F8189D81C0B|1.0|
038E009022|0.0|0.19|8529CD485111060AE0404F8189D81C0B|1.0|
038F002075|0.13|0.08|8529CD485112060AE0404F8189D81C0B|1.0|
038G003452|0.69|0.11|8529CD485113060AE0404F8189D81C0B|1.0|
038IU09022|0.76|0.02|8529CD485114060AE0404F8189D81C0B|1.0|
038K008027|0.56|0.46|8529CD485115060AE0404F8189D81C0B|1.0|
038L006228|0.5|0.47|8529CD485116060AE0404F8189D81C0B|1.0|
038MCCC134|0.88|0.38|8529CD485117060AE0404F8189D81C0B|1.0|
038MDSL325|0.59|-0.44|8529CD485118060AE0404F8189D81C0B|1.0|
038MPHC072|0.71|0.85|8529CD485119060AE0404F8189D81C0B|1.0|
038MSCI011|0.29|0.44|8529CD48511A060AE0404F8189D81C0B|1.0|
038N008222|0.76|0.1|8529CD48511B060AE0404F8189D81C0B|1.0|
038P011463|0.96|0.01|8529CD48511C060AE0404F8189D81C0B|1.0|
038RPS1012|0.45|0.72|8529CD48511D060AE0404F8189D81C0B|1.0|
038RQ04162|0.68|0.72|8529CD48511E060AE0404F8189D81C0B|1.0|
038RR04087|0.93|0.03|8529CD48511F060AE0404F8189D81C0B|1.0|
038RT04091|0.47|0.6|8529CD485120060AE0404F8189D81C0B|1.0|
038RV04351|0.27|0.03|8529CD485121060AE0404F8189D81C0B|1.0|
038SC01010|0.52|0.14|8529CD485122060AE0404F8189D81C0B|1.0|
046G007720|-6874.16|0.11|8529CD485123060AE0404F8189D81C0B|1.0|
099PLTF013|147872.64|-71720.29|8529CD485124060AE0404F8189D81C0B|1.0|
099PLTF021|-144031.64|906472.63|8529CD485125060AE0404F8189D81C0B|1.0|
099PLTF997|-2.6136658E8|2.350107391E8|8529CD485126060AE0404F8189D81C0B|1.0|
909BTIP011|178106.69|306301.15|8529CD485127060AE0404F8189D81C0B|1.0|
909ETIP018|-21004.26|664771.61|8529CD485128060AE0404F8189D81C0B|1.0|
