cg_prpsl_close_nbr|obj_id|ver_nbr|cg_last_closed_dt|cgawd_closed_cnt|cgprpsl_closed_cnt|person_user_id|cg_usr_initiate_dt|
120|237D10FAAC23C0B0E043814FD881C0B0|1.0|20040630000000|0.0|0.0|MESCHICK|20040722000000|
121|237D10FAAC24C0B0E043814FD881C0B0|1.0|20040731000000|313.0|316.0|MESCHICK|20040830000000|
122|237D10FAAC25C0B0E043814FD881C0B0|1.0|20040831000000|213.0|297.0|MESCHICK|20041018000000|
123|237D10FAAC26C0B0E043814FD881C0B0|1.0|20040930000000|242.0|347.0|MESCHICK|20041028000000|
124|237D10FAAC27C0B0E043814FD881C0B0|1.0|20041031000000|188.0|305.0|MESCHICK|20041207000000|
125|237D10FAAC28C0B0E043814FD881C0B0|1.0|20041130000000|147.0|266.0|MESCHICK|20041209000000|
126|237D10FAAC29C0B0E043814FD881C0B0|1.0|20041231000000|136.0|236.0|MESCHICK|20050107000000|
127|237D10FAAC2AC0B0E043814FD881C0B0|1.0|20050131000000|135.0|414.0|MESCHICK|20050207000000|
128|237D10FAAC2BC0B0E043814FD881C0B0|1.0|20050228000000|0.0|0.0|EWORKMAN|20050307000000|
129|237D10FAAC2CC0B0E043814FD881C0B0|1.0|20050228000000|177.0|397.0|EWORKMAN|20050307000000|
13|237D10FAABB8C0B0E043814FD881C0B0|1.0|19960630000000|120.0|283.0|SPOLLARD|19960809000000|
14|237D10FAABB9C0B0E043814FD881C0B0|1.0|19960731000000|325.0|190.0|SPOLLARD|19960830000000|
15|237D10FAABBAC0B0E043814FD881C0B0|1.0|19960831000000|144.0|153.0|DMCDEVIT|19960913000000|
16|237D10FAABBBC0B0E043814FD881C0B0|1.0|19960930000000|203.0|269.0|SPOLLARD|19961014000000|
17|237D10FAABBCC0B0E043814FD881C0B0|1.0|19961031000000|155.0|282.0|SPOLLARD|19961115000000|
18|237D10FAABBDC0B0E043814FD881C0B0|1.0|19961130000000|93.0|183.0|SPOLLARD|19961213000000|
19|237D10FAABBEC0B0E043814FD881C0B0|1.0|19961231000000|91.0|202.0|SPOLLARD|19970116000000|
2|237D10FAABADC0B0E043814FD881C0B0|1.0|19950831000000|189.0|197.0|SPOLLARD|19950920000000|
20|237D10FAABBFC0B0E043814FD881C0B0|1.0|19970131000000|154.0|253.0|SPOLLARD|19970213000000|
21|237D10FAABC0C0B0E043814FD881C0B0|1.0|19970228000000|112.0|239.0|EWORKMAN|19970313000000|
22|237D10FAABC1C0B0E043814FD881C0B0|1.0|19970331000000|107.0|206.0|SPOLLARD|19970411000000|
23|237D10FAABC2C0B0E043814FD881C0B0|1.0|19970430000000|140.0|299.0|SPOLLARD|19970513000000|
24|237D10FAABC3C0B0E043814FD881C0B0|1.0|19970531000000|207.0|321.0|EWORKMAN|19970612000000|
25|237D10FAABC4C0B0E043814FD881C0B0|1.0|19970630000000|162.0|270.0|EWORKMAN|19970718000000|
26|237D10FAABC5C0B0E043814FD881C0B0|1.0|19970731000000|0.0|0.0|SPOLLARD|19970819000000|
27|237D10FAABC6C0B0E043814FD881C0B0|1.0|19970731000000|308.0|176.0|EWORKMAN|19970820000000|
28|237D10FAABC7C0B0E043814FD881C0B0|1.0|19970831000000|154.0|152.0|SPOLLARD|19970913000000|
29|237D10FAABC8C0B0E043814FD881C0B0|1.0|19970930000000|187.0|303.0|SPOLLARD|19971014000000|
3|237D10FAABAEC0B0E043814FD881C0B0|1.0|19950930000000|1.0|0.0|SPOLLARD|19951027000000|
30|237D10FAABC9C0B0E043814FD881C0B0|1.0|19971031000000|156.0|241.0|SPOLLARD|19971120000000|
31|237D10FAABCAC0B0E043814FD881C0B0|1.0|19971130000000|80.0|228.0|EWORKMAN|19971215000000|
32|237D10FAABCBC0B0E043814FD881C0B0|1.0|19971231000000|109.0|199.0|SPOLLARD|19980120000000|
33|237D10FAABCCC0B0E043814FD881C0B0|1.0|19980131000000|147.0|250.0|SPOLLARD|19980213000000|
34|237D10FAABCDC0B0E043814FD881C0B0|1.0|19980228000000|147.0|239.0|EWORKMAN|19980317000000|
35|237D10FAABCEC0B0E043814FD881C0B0|1.0|19980331000000|132.0|240.0|SPOLLARD|19980415000000|
36|237D10FAABCFC0B0E043814FD881C0B0|1.0|19980430000000|126.0|232.0|SPOLLARD|19980515000000|
37|237D10FAABD0C0B0E043814FD881C0B0|1.0|19980531000000|125.0|272.0|SPOLLARD|19980618000000|
38|237D10FAABD1C0B0E043814FD881C0B0|1.0|19980630000000|136.0|254.0|SPOLLARD|19980721000000|
39|237D10FAABD2C0B0E043814FD881C0B0|1.0|19980731000000|297.0|232.0|SPOLLARD|19980814000000|
4|237D10FAABAFC0B0E043814FD881C0B0|1.0|19951031000000|147.0|267.0|SPOLLARD|19951117000000|
40|237D10FAABD3C0B0E043814FD881C0B0|1.0|19980831000000|168.0|184.0|SPOLLARD|19980918000000|
41|237D10FAABD4C0B0E043814FD881C0B0|1.0|19980930000000|240.0|260.0|SPOLLARD|19981021000000|
42|237D10FAABD5C0B0E043814FD881C0B0|1.0|19981031000000|146.0|261.0|SPOLLARD|19981117000000|
43|237D10FAABD6C0B0E043814FD881C0B0|1.0|19981130000000|110.0|269.0|SPOLLARD|19981216000000|
44|237D10FAABD7C0B0E043814FD881C0B0|1.0|19981231000000|87.0|167.0|SPOLLARD|19990120000000|
45|237D10FAABD8C0B0E043814FD881C0B0|1.0|19990131000000|144.0|252.0|SPOLLARD|19990216000000|
46|237D10FAABD9C0B0E043814FD881C0B0|1.0|19990228000000|123.0|251.0|SPOLLARD|19990317000000|
47|237D10FAABDAC0B0E043814FD881C0B0|1.0|19990331000000|156.0|265.0|SPOLLARD|19990416000000|
48|237D10FAABDBC0B0E043814FD881C0B0|1.0|19990430000000|118.0|283.0|SPOLLARD|19990517000000|
49|237D10FAABDCC0B0E043814FD881C0B0|1.0|19990531000000|139.0|316.0|SPOLLARD|19990616000000|
5|237D10FAABB0C0B0E043814FD881C0B0|1.0|19951130000000|95.0|190.0|SPOLLARD|19951211000000|
50|237D10FAABDDC0B0E043814FD881C0B0|1.0|19990630000000|184.0|283.0|SPOLLARD|19990726000000|
51|237D10FAABDEC0B0E043814FD881C0B0|1.0|19990731000000|297.0|202.0|SPOLLARD|19990820000000|
52|237D10FAABDFC0B0E043814FD881C0B0|1.0|19990831000000|184.0|194.0|SPOLLARD|19990921000000|
53|237D10FAABE0C0B0E043814FD881C0B0|1.0|19990930000000|195.0|280.0|SPOLLARD|19991104000000|
54|237D10FAABE1C0B0E043814FD881C0B0|1.0|19991031000000|191.0|301.0|SPOLLARD|19991122000000|
55|237D10FAABE2C0B0E043814FD881C0B0|1.0|19991130000000|106.0|306.0|SPOLLARD|19991213000000|
56|237D10FAABE3C0B0E043814FD881C0B0|1.0|19991231000000|121.0|197.0|SPOLLARD|20000113000000|
57|237D10FAABE4C0B0E043814FD881C0B0|1.0|20000131000000|170.0|252.0|SPOLLARD|20000221000000|
58|237D10FAABE5C0B0E043814FD881C0B0|1.0|20000229000000|150.0|285.0|SPOLLARD|20000315000000|
59|237D10FAABE6C0B0E043814FD881C0B0|1.0|20000331000000|153.0|279.0|SPOLLARD|20000413000000|
6|237D10FAABB1C0B0E043814FD881C0B0|1.0|19951231000000|94.0|254.0|DMCDEVIT|19960115000000|
60|237D10FAABE7C0B0E043814FD881C0B0|1.0|20000430000000|165.0|245.0|SPOLLARD|20000517000000|
61|237D10FAABE8C0B0E043814FD881C0B0|1.0|20000531000000|159.0|261.0|SPOLLARD|20000616000000|
62|237D10FAABE9C0B0E043814FD881C0B0|1.0|20000531000000|159.0|0.0|SPOLLARD|20000619000000|
63|237D10FAABEAC0B0E043814FD881C0B0|1.0|20000630000000|137.0|314.0|SPOLLARD|20000714000000|
64|237D10FAABEBC0B0E043814FD881C0B0|1.0|20000731000000|295.0|239.0|SPOLLARD|20000810000000|
65|237D10FAABECC0B0E043814FD881C0B0|1.0|20000831000000|0.0|0.0|SPOLLARD|20000919000000|
66|237D10FAABEDC0B0E043814FD881C0B0|1.0|20000831000000|236.0|245.0|SPOLLARD|20000919000000|
67|237D10FAABEEC0B0E043814FD881C0B0|1.0|20000930000000|225.0|280.0|SPOLLARD|20001018000000|
68|237D10FAABEFC0B0E043814FD881C0B0|1.0|20001031000000|199.0|243.0|SPOLLARD|20001128000000|
69|237D10FAABF0C0B0E043814FD881C0B0|1.0|20001130000000|91.0|285.0|SPOLLARD|20001220000000|
7|237D10FAABB2C0B0E043814FD881C0B0|1.0|19960131000000|130.0|229.0|SPOLLARD|19960219000000|
70|237D10FAABF1C0B0E043814FD881C0B0|1.0|20001231000000|109.0|174.0|SPOLLARD|20010118000000|
71|237D10FAABF2C0B0E043814FD881C0B0|1.0|20010131000000|165.0|273.0|SPOLLARD|20010222000000|
72|237D10FAABF3C0B0E043814FD881C0B0|1.0|20010228000000|141.0|214.0|SPOLLARD|20010322000000|
73|237D10FAABF4C0B0E043814FD881C0B0|1.0|20010331000000|143.0|242.0|SPOLLARD|20010420000000|
74|237D10FAABF5C0B0E043814FD881C0B0|1.0|20010430000000|0.0|0.0|SPOLLARD|20010526000000|
75|237D10FAABF6C0B0E043814FD881C0B0|1.0|20010430000000|160.0|301.0|SPOLLARD|20010529000000|
76|237D10FAABF7C0B0E043814FD881C0B0|1.0|20010531000000|164.0|323.0|SPOLLARD|20010709000000|
77|237D10FAABF8C0B0E043814FD881C0B0|1.0|20010630000000|171.0|325.0|SPOLLARD|20010802000000|
78|237D10FAABF9C0B0E043814FD881C0B0|1.0|20010630000000|2.0|1.0|SPOLLARD|20010807000000|
79|237D10FAABFAC0B0E043814FD881C0B0|1.0|20010731000000|284.0|259.0|ZTAN|20010912000000|
8|237D10FAABB3C0B0E043814FD881C0B0|1.0|19960229000000|0.0|0.0|SPOLLARD|19960319000000|
80|237D10FAABFBC0B0E043814FD881C0B0|1.0|20010831000000|196.0|213.0|ZTAN|20011015000000|
81|237D10FAABFCC0B0E043814FD881C0B0|1.0|20010930000000|232.0|310.0|SPOLLARD|20011119000000|
82|237D10FAABFDC0B0E043814FD881C0B0|1.0|20011031000000|180.0|283.0|ZTAN|20011213000000|
83|237D10FAABFEC0B0E043814FD881C0B0|1.0|20011130000000|129.0|228.0|ZTAN|20020111000000|
84|237D10FAABFFC0B0E043814FD881C0B0|1.0|20011231000000|124.0|187.0|ZTAN|20020124000000|
85|237D10FAAC00C0B0E043814FD881C0B0|1.0|20020131000000|164.0|420.0|SMCELHIN|20020311000000|
86|237D10FAAC01C0B0E043814FD881C0B0|1.0|20020228000000|156.0|259.0|ZTAN|20020411000000|
87|237D10FAAC02C0B0E043814FD881C0B0|1.0|20020331000000|149.0|281.0|ZTAN|20020418000000|
88|237D10FAAC03C0B0E043814FD881C0B0|1.0|20020430000000|173.0|295.0|ZTAN|20020522000000|
89|237D10FAAC04C0B0E043814FD881C0B0|1.0|20020531000000|187.0|286.0|ZTAN|20020625000000|
9|237D10FAABB4C0B0E043814FD881C0B0|1.0|19960229000000|127.0|199.0|SPOLLARD|19960322000000|
90|237D10FAAC05C0B0E043814FD881C0B0|1.0|20020630000000|167.0|311.0|ZTAN|20020723000000|
91|237D10FAAC06C0B0E043814FD881C0B0|1.0|20020630000000|1.0|1.0|ZTAN|20020724000000|
92|237D10FAAC07C0B0E043814FD881C0B0|1.0|20020731000000|310.0|283.0|ZTAN|20020906000000|
93|237D10FAAC08C0B0E043814FD881C0B0|1.0|20020831000000|196.0|224.0|ZTAN|20020925000000|
94|237D10FAAC09C0B0E043814FD881C0B0|1.0|20020930000000|216.0|304.0|ZTAN|20021108000000|
95|237D10FAAC0AC0B0E043814FD881C0B0|1.0|20021031000000|191.0|259.0|ZTAN|20021121000000|
96|237D10FAAC0BC0B0E043814FD881C0B0|1.0|20021130000000|89.0|260.0|ZTAN|20021223000000|
97|237D10FAAC0CC0B0E043814FD881C0B0|1.0|20021231000000|146.0|200.0|ZTAN|20030121000000|
98|237D10FAAC0DC0B0E043814FD881C0B0|1.0|20030131000000|168.0|383.0|ZTAN|20030224000000|
99|237D10FAAC0EC0B0E043814FD881C0B0|1.0|20030228000000|145.0|296.0|ZTAN|20030320000000|
