univ_fiscal_yr|fin_coa_cd|account_nbr|fin_object_cd|fin_sub_obj_cd|obj_id|ver_nbr|fin_sub_obj_cd_nm|fin_subobj_shrt_nm|fin_subobj_actv_cd|
2009.0|BA|6044900|1599|SAA|4FC56925-FD2A-446A-5F00-054A70FCF9A4|1.0|SHARON ALLGOOD CASH DRAWER|SAA Cash DRW|Y|
2009.0|BA|6044900|1599|VOK|9E408034-438D-D38A-20EF-F8242CDE8DF0|1.0|VELVEETA KNOX CASH DRAWER|VOK CASH DWR|N|
2009.0|BA|6044900|4008|POL|F86B4786-3B1F-D9FF-F9DF-15ED7449872E|1.0|POOLED BENEFITS|POOL|Y|
2009.0|BA|6044900|4008|TAX|FF543284-1FE0-FEB8-5324-C942288D2828|1.0|UNIVERSITY ADMIN CHARGE|ADM CRG|Y|
2009.0|BA|6044900|6000|DIR|BBB240F1-3394-1EAB-B907-14FB87815913|1.0|EXECUTIVE DIRECTOR'S TRAVEL|Exc Dir Trav|Y|
2009.0|BA|6044900|6100|BTE|70ACA87A-E539-2DA4-898C-21AE4EA66B38|1.0|B TYLER EASTON'S TRAVEL EXPENSES|BTE TRAVEL|Y|
2009.0|BA|6044900|6100|CLL|105783A4-EDFC-68C9-C63A-0A1225A8B27A|1.0|CAROL LEWIS' TRAVEL EXPENSES|CLL TRAVEL|Y|
2009.0|BA|6044900|6100|DIR|358558C1-4DA2-5CA7-82B7-38853B8DC9A4|1.0|EXECUTIVE DIRECTOR'S TRAVEL|Exc Dir OSt|Y|
2009.0|BA|6044900|6100|JAA|13BF181A-FFF1-55B6-6573-7A80FAFD2215|1.0|JAMES ARTHUR TRAVEL EXPENSES|JAA TRAVEL|Y|
2009.0|BA|6044900|6100|JAF|E7CA5410-8717-ADC4-3DAC-9204C8029CC5|1.0|JULIE FLAHERTY'S TRAVEL|JAF TRAVEL|Y|
2009.0|BA|6044900|6100|JDP|D3E81C6F-BC19-0001-5AC3-68EE616B6B3D|1.0|J. DOUGLAS PORTER'S TRAVEL|JDP TRAVEL|Y|
2009.0|BA|6044900|6100|KJM|6802D741-2BC8-1A86-E46F-4E89EF4CEEDA|1.0|KYLE MARTINDALE'S TRAVEL|KJM TRAVEL|Y|
2009.0|BA|6044900|6100|KSR|6E60238F-C519-9D14-131E-8EBF730B2CEE|1.0|KAREN RUCKRIEGEL'S TRAVEL EXPENSES|KSR TRAVEL|N|
2009.0|BA|6044900|6100|RPA|70D25C7F-554B-48C0-375F-E909250C80F4|1.0|R ABRAHAM'S TRAVEL EXPENSES|RPA TRAVEL|Y|
2009.0|BA|6044900|8117|CC|60174E2D-FB0A-97C6-C800-A5DF377DBC96|1.0|AR CREDIT CARD|ARCC|Y|
2009.0|BA|6044900|8117|RSP|39867137-B648-BF13-B56B-D4058A43F94C|1.0|AR E PERMIT RSP|AR RSP E per|Y|
2009.0|BA|6044900|9953|MAR|B8CB8311-3F7D-D570-3739-6DDBD4283B8B|1.0|MARKETING OH ALLOCATION|MARKETNG FEE|Y|
2009.0|BA|6044900|9977|POL|5C992E13-7D5B-80A4-58EE-85BB18A30F1D|1.0|POOLED BENEFITS|POOL|Y|
2009.0|BA|6044900|9977|TAX|AC72F6E4-9A14-A618-D49B-4F2EC8DEECF0|1.0|UNIVERSITY ADMIN CHARGE|ADM CRG|Y|
2009.0|BA|6044906|4008|POL|0E998AD9-E27F-1A4A-EA51-013F4249835F|1.0|POOLED BENEFITS|POOLED|Y|
2009.0|BA|6044906|9977|POL|A31F5921-BD7F-0AEC-1C4B-79D0E1967853|1.0|POOLED BENEFITS|POOLED|Y|
2009.0|BA|9020204|7468|REM|2E18E83B-E5B1-2BA8-1A97-2A1C5882EE40|1.0|REIMBURSABLES|reimb|Y|
2009.0|BA|9020391|7301|ASV|4A3FF828-394D-F2D0-7ABE-471378DCE219|1.0|ADDITIONAL SERVICES|ADD'T SVCS|Y|
2009.0|BA|9020391|7301|FEE|7C54AA11-50DA-535D-CA28-24CF560D76ED|1.0|ARCHITECTURAL|arch fees|Y|
2009.0|BA|9020391|7301|REM|DB7CBC6E-6FCB-0226-4C38-65B93B96FD8B|1.0|REIMBURSABLES|REIMB|Y|
2009.0|BL|0211101|5000|POS|683D47188E6C89DBE0404F8189D81447|1.0|POST IT NOTES|POST ITS|Y|
2009.0|BL|1031400|3000|WAC|25432F4D-2889-C9ED-3BF0-426B47D7937B|1.0|Animal Care Wages|Animal Care|Y|
2009.0|BL|1031400|3000|WBO|64151273-5CE1-B0D2-02E9-7486F6C4181F|1.0|Business Office Wages|Buss Office|Y|
2009.0|BL|1031400|3000|WGD|C4360389-9EFD-E6A9-2CFD-43753F0D6825|1.0|Grader Service Wages|Grader|Y|
2009.0|BL|1031400|3000|WIN|12B4CF98-DDDB-45BE-63F3-927D15664B27|1.0|Instructional Support Wages|Instruct.|Y|
2009.0|BL|1031400|3000|WMO|E5D095E6-C2B5-5A1D-77D6-18A83BDF0022|1.0|Main Office Wages|Main Office|Y|
2009.0|BL|1031400|3000|WTS|FEEB0E6D-0B90-2811-A45B-2400FED0EFFF|1.0|Tech Support Wages|Tech Support|Y|
2009.0|BL|1031400|5000|SAC|D26692CA-262F-F3FF-BF8E-65982B0A7869|1.0|Animal Care Supplies|Animal Care|Y|
2009.0|BL|1031400|5000|SAO|C48919E4-9EC8-A693-0D09-AF67E167548D|1.0|Advising Office Supplies|Advising Off|Y|
2009.0|BL|1031400|5000|SAS|E4D000D8-76AF-3FB0-397D-3E05B0EBD9EF|1.0|Academic Services Office|Academic Ser|Y|
2009.0|BL|1031400|5000|SBO|BC7BC079-C81A-68D7-0544-B245AF4E132A|1.0|Business Office Supplies|Buss Office|Y|
2009.0|BL|1031400|5000|SBS|071C3F32-AC97-1FF3-E771-DD6E8FB70CBB|1.0|Building Services Supplies|Bldg Service|Y|
2009.0|BL|1031400|5000|SCB|9130EEBE-6BDE-6FB5-B675-70CCEBA136BB|1.0|Supplies Cabinet|Supply Cab|Y|
2009.0|BL|1031400|5000|SCL|07A70A18-E9AC-75B8-0924-466D0FFDB461|1.0|Cause Library Supplies|CAUSE Supply|Y|
2009.0|BL|1031400|5000|SCO|846E53B9-EE03-6246-ED4C-5625E2A847AF|1.0|Chair's Office Supplies|Chair Office|Y|
2009.0|BL|1031400|5000|SCQ|F4D1EE11-800C-D9A4-B313-E61764659678|1.0|Colloquium Supplies|Colloquium|Y|
2009.0|BL|1031400|5000|SCS|F21A562B-B3CA-3A32-ED0E-5574BE705EC6|1.0|Clinical Sciences Supplies|Clinic|Y|
2009.0|BL|1031400|5000|SFC|90C261E9-765F-87B9-C55E-E758505CDEBD|1.0|Faculty Supplies|Faculty|Y|
2009.0|BL|1031400|5000|SFR|D93EEFAE-D96D-D10B-C1E9-542AC3AE0C04|1.0|Faculty Recruitment|Faculty Recr|Y|
2009.0|BL|1031400|5000|SGS|DC2A4F73-2E67-9EC9-CD7C-7F93E2A6468F|1.0|Grant Support Supplies|Gnt Support|Y|
2009.0|BL|1031400|5000|SLB|C83B8678-2293-C66A-A808-A6E0F1722B60|1.0|Labs Supplies|Labs Supply|Y|
2009.0|BL|1031400|5000|SLN|C69C8C48-E3E0-B6AB-3E48-A40A39D6FFB1|1.0|LAN Supplies|LAN|Y|
2009.0|BL|1031400|5000|SRF|37B0E6C9-330D-237D-023A-42CA5B932C06|1.0|Retired Faculty Supplies|Retired Fac|Y|
2009.0|BL|1031400|5000|SSC|8BE0A694-4C28-1CE2-5A3C-99AA2112405F|1.0|Secretarial Supplies|Secreterial|Y|
2009.0|BL|1031400|5000|SSR|E299E4F2-FDBD-2CBC-AE89-8A7D9C1D7F5E|1.0|Student Recruitment|GS Recruit|Y|
2009.0|BL|1031400|5000|SSS|B67AA045-BA95-E09F-EFC9-19285645DA18|1.0|Social Student Supplies|Social GS|Y|
2009.0|BL|1031400|5000|STS|52F32E39-A4D1-B435-BB54-9877A94CD8E9|1.0|Tech Support Supplies|Tech Support|Y|
2009.0|BL|1031400|7900|SBS|80EA8A21-769C-4038-FAA7-49E95DE313E8|1.0|S BREHM COMPENSATION|s brehm|Y|
2009.0|EA|0308160|8160|07|CC3DE74F-39A6-7E46-1342-B7941AD89683|1.0|SUM I BURSAR AR|SUM I AR|Y|
2009.0|EA|0308160|8160|08|A0AE2CCD-C5DF-BC5C-A102-E3B827D80D0B|1.0|FALL BURSAR AR|FALL AR|Y|
2009.0|EA|0308160|8160|09|629330D8-9148-75FB-4338-ACF093D80185|1.0|SPRING BURSAR AR|SPRING AR|Y|
2009.0|EA|0308160|8160|10|1DFCDD53-ABD6-FA68-F352-10DF1ED23A18|1.0|SUM II BURSAR AR|SUM II AR|Y|
2009.0|EA|0308460|8460|07|DA42B2AF-82FA-96F7-9765-3B233C81124A|1.0|SUMMER 1 PREPAID|SUM 1 PPD|Y|
2009.0|EA|0308460|8460|10|EF590CDC-A610-E48C-0DE8-2F98EDEDD411|1.0|SUMMER 2 PREPAID|SUM 2 PPD|Y|
2009.0|EA|0309060|9060|07|5F8B4B6E-2CB4-112B-5559-4A112E267A0F|1.0|SUM I DEF REV|SUM I DF RV|Y|
2009.0|EA|0309060|9060|10|A576598E-FAB8-9B8D-1EB9-6656CE8BF8C2|1.0|SUM II DEF REV|SUM II DF RV|Y|
2009.0|EA|0309060|9080|UNA|683D47188E6E89DBE0404F8189D81447|1.0|UNAPPLIED PAYMENTS|UNAPPLIED|Y|
2009.0|EA|0309465|9465|07|759968B5-D4BE-0690-707D-15C5A58B07E0|1.0|SUM II DEF REV|SUM II DF RV|Y|
2009.0|EA|0309465|9465|08|F1575366-DB74-0F01-80AF-7D77A8221DBE|1.0|FALL DEF REV|FALL DF RV|Y|
2009.0|EA|0309465|9465|09|FBC6A9DD-3F43-5288-979B-CE25D9F11D83|1.0|SPRING DEF REV|SPRING DF RV|Y|
2009.0|EA|0309465|9465|10|1C715582-2513-CA4B-C3A8-E896CD32722A|1.0|SUM II DEF REV|SUM II DF RV|Y|
2009.0|EA|0366500|4008|041|99A34575-7537-869B-8E39-20630C5E400D|1.0|Special Events Alloc|Spec Events|Y|
2009.0|EA|0366500|9977|041|88EDE7D8-2A59-8C1F-0E2F-EA73065199DA|1.0|Special Events Alloc|Spec Events|Y|
2009.0|EA|0366513|7900|020|55E7EF8C-D7A9-DE11-E2CC-3007B4321CE0|1.0|CAMPUS CONTINGEN|CAMPUS CONTI|Y|
2009.0|EA|0366513|7900|040|0A170383-C8FF-024B-6A61-AF34598DA977|1.0|COMP SERV ALLOC|COMP SERV AL|Y|
2009.0|EA|0366513|7900|046|6C090912-FA7C-7710-8626-C2BB04CC174C|1.0|RECLASS RESERVE|RECLASS RESE|Y|
2009.0|EA|0366513|7900|047|B94D3EB9-0373-E3F6-08C9-7347B4FA6DC2|1.0|LIBRARY AQUIT ALLO|LIBRARY AQUI|Y|
2009.0|EA|0366513|7900|048|B46FDEB6-A9C4-C3D5-1D96-D261E33B79E5|1.0|ENROLL INIT ALLOC|ENROLL INIT|Y|
2009.0|EA|0366513|7900|049|2BCFA0C2-B650-8BDA-CA90-8C8CBCFDCA22|1.0|RETIREMENT PAY ALL|RETIREMENT P|Y|
2009.0|EA|0366513|7900|050|EFD56825-350E-5633-454B-41EDC6E4A5A0|1.0|FUND BAL ADDITION|FUND BAL ADD|Y|
2009.0|EA|0366513|7900|051|FC08B766-3E86-38C9-85BA-C40FF9BF7A9F|1.0|STRATEGIC DIRECTIONS ALLOC|STR DIR ALLO|Y|
2009.0|EA|0366513|7900|052|5BDCFC4F-1289-4F99-6A1F-ADEDE3DD6D51|1.0|FAC TEACH FOR EXCELLENCE|FAC EXCEL-TE|Y|
2009.0|EA|0366513|7900|053|860B5A33-9931-F710-DA20-51066CE0DFB7|1.0|Quality Improvement Projects|Quality Impr|Y|
2009.0|EA|0366513|7900|BCP|38AF1345-B3B9-7458-F159-EF9CFC21A3ED|1.0|BUDGET CONTINGENCY PLAN|B C Plan|Y|
2009.0|EA|0366513|7900|RET|2B4208CB-7162-B559-C07C-88C8367F0FEB|1.0|1% RETENTION INITIATIVE|RETENTION|Y|
2009.0|EA|0366513|7900|UTX|744820BC-6E89-644D-3355-B90172C033BF|1.0|CONTINGENCY SAVINGS - UNIV TAX|Univ Tax Sav|Y|
2009.0|EA|0366520|4008|COL|3F3F9315-C5A6-EDCF-A7D8-36C78BE91660|1.0|COLOR COPIER OFFICE SERVICES|color copier|N|
2009.0|EA|0366520|4008|FOC|D02AC93E-7B9F-563D-0B3E-44AB27244B5E|1.0|Focus on Arts funding|Focus Art|Y|
2009.0|EA|0366520|4008|GRA|1C3B37A9-674C-E1BC-8C2E-91F31D5271A6|1.0|GRAF ENDOWED FACULTY|GRAF|Y|
2009.0|EA|0366520|4008|MLR|6314FCF1-6F51-F7C8-52DA-4541A470CD56|1.0|Mailroom Allocation|Mailroom|Y|
2009.0|EA|0366520|4008|WCT|5E6EF440-F51F-2C66-AF8D-307401F68309|1.0|WCTV support funds|WCTV|Y|
2009.0|EA|0366520|4078|PRO|86831A48-2E30-CF31-5052-84E60D1C837F|1.0|Professional Council Funds|Prof Counc|Y|
2009.0|EA|0366520|4078|STF|07AB3B3F-416D-BE93-1D04-9B33E4932446|1.0|Staff Council Funds|Staff Counc|Y|
2009.0|EA|0366520|7900|000|0801161D-C900-1BE4-097D-CF5790FA64E5|1.0|NEW BLDG START ALL|NEW BLDG STA|Y|
2009.0|EA|0366520|9977|COL|D3894326-7552-80A9-1F93-AFD49C889694|1.0|COLOR COPIER OFFICE SERVICES|color copier|N|
2009.0|EA|0366520|9977|FOC|9F938C92-E159-9417-22E5-F915D892DE64|1.0|Focus on Arts funding|Focus Art|Y|
2009.0|EA|0366520|9977|GRA|109981B9-77FC-1783-76DC-AC61656E9E08|1.0|GRAF ENDOWED FACULTY|GRAF|Y|
2009.0|EA|0366520|9977|MLR|A61ADB19-2901-016B-2BF3-36B5CA94D4DA|1.0|Mailroom Allocation|Mailroom|Y|
2009.0|EA|0366520|9977|WCT|AE138C53-8EB5-D516-9FF1-58F1437B4E5C|1.0|WCTV support funds|WCTV|Y|
2009.0|EA|0366530|1110|TEC|AB8F2A80-8304-0F38-6CE1-C7946C50AB21|1.0|TECH FUNDING|tech fund|Y|
2009.0|EA|0366530|1110|UNI|686A3B38-3EB5-785F-AD4F-AB9A02084C8E|1.0|UNIVERSITY INITIATIVES|univ init|Y|
2009.0|EA|0366530|4008|ERF|38CD4739-1B1A-8403-4C69-AB74B68BEE9A|1.0|Early Retirement Funding Res|Erly Ret Fnd|Y|
2009.0|EA|0366530|4008|FCT|879E1E33-9617-DC06-1902-5F7C909E9F19|1.0|FACULTY COLLOQ ON EXCELLANCE IN TEACHING|FACET|Y|
2009.0|EA|0366530|4008|SLC|8CB8D158-DDBA-539D-44B5-7744467A424E|1.0|STUDENT LOAN COLLECTIONS|Collections|Y|
2009.0|EA|0366530|4008|TEC|59FB1375-FBA1-6D0D-45D9-283BCF9AF8C0|1.0|BASE TECH FUND|tech fund|Y|
2009.0|EA|0366530|4008|UNI|BA68EEA3-860E-944E-B06D-11097F3D5FFB|1.0|UNIVERSITY INITIATIVES|UNIV INIT|Y|
2009.0|EA|0366530|9956|DFC|0A06E58B-3BFE-F63F-4FBF-D6EC285DC6B9|1.0|DEPENDENT FEE COURTESY|Fee courtesy|Y|
2009.0|EA|0366530|9956|DFS|73301266-D318-A989-F8DF-1AD119931350|1.0|DEPENDENT FEE COURTESY|Fee courtesy|N|
2009.0|EA|0366530|9977|ERF|4C51DFF0-87BC-269C-52CB-EE0265EB540A|1.0|Early Retirement Funding Res|Erly Ret Fnd|Y|
2009.0|EA|0366530|9977|FCT|87A767F3-F442-3D0F-A2A5-B2E800DAC773|1.0|FACULTY COLLOQ ON EXCELLANCE IN TEACHING|FACET|Y|
2009.0|EA|0366530|9977|SLC|B897CE5F-5768-B219-A1F7-C2A7C2F34D5F|1.0|STUDENT LOAN COLLECTIONS|Collections|Y|
2009.0|EA|0366530|9977|TEC|5BC44D14-90FA-00E2-D513-F21E18F3A26B|1.0|BASE TECH FUND|tech fund|Y|
2009.0|EA|0366530|9977|UNI|9C10F5CB-55FC-38BE-5B70-3AE4643B16A6|1.0|UNIVERSITY INITIATIVES|UNIV INIT|Y|
2009.0|EA|0366550|9970|UAC|8B0E9643-3D47-E241-B14C-3608ABE5919A|1.0|EQUIP REPLACE FUNDING UA COMPONENT|EQREP UA|Y|
2009.0|EA|0366571|4008|MSA|BBFAF531-2396-D50E-3EF3-50C4AE2AE356|1.0|MICROSOFT AGREEMENT|MICROSOFT|Y|
2009.0|EA|0366571|9977|MSA|EE80CA2D-8B60-D7EF-415F-205CD53D3E48|1.0|MICROSOFT AGREEMENT|MICROSOFT|Y|
2009.0|EA|0366586|1110|TEC|4DD92801-A158-CA5D-EF7A-C295F3BE3F6F|1.0|STATE APPROP TECHNOLOGY|TECHNOLOGY|Y|
2009.0|EA|0366586|1110|UNI|499BDE6A-D2E4-368B-CEE0-BB72ECD33DEE|1.0|STATE APPROP UNIVERSITY INITIATIVES|UNIV INITVE|Y|
2009.0|EA|0366600|4008|040|259946C8-1446-C72E-9397-7939A8CB45E9|1.0|Alumni alloc|alumni|N|
2009.0|EA|0366600|4008|041|B8FDA071-86DC-7420-8A2E-952A2AC6AE09|1.0|Special Events Allocation|Spec Events|Y|
2009.0|EA|0366600|4008|042|761F0376-5CDA-3478-18BD-2B285C46D264|1.0|Lively Arts Alloc|Lively Arts|Y|
2009.0|EA|0366600|4008|043|85077465-E86A-1753-E08D-057DE805C251|1.0|Gallery Allocation|Gallery|Y|
2009.0|EA|0366600|4008|ALU|97C68766-D2EE-33B4-0BC1-A96DECC8588F|1.0|ALUMNI RELATIONS|Alum|Y|
2009.0|EA|0366600|7900|040|99EAFAB6-980D-A51C-B82E-3DF8A4348C5B|1.0|ALUM ASSN ALLOT|ALUM ASSN AL|Y|
2009.0|EA|0366600|7900|041|2CB962EA-B635-25F3-EED3-E508F0520AF6|1.0|SPEC EVENT ALLOT|SPEC EVENT A|Y|
2009.0|EA|0366600|7900|042|68BB6CCB-CCBE-E772-A491-D084B4ADCBA7|1.0|LIVELY ARTS ALLOT|LIVELY ARTS|Y|
2009.0|EA|0366600|7900|043|4C739004-F042-63EF-1E10-024ED5B0DF4F|1.0|FUND RAISING ALL|FUND RAISING|Y|
2009.0|EA|0366600|9977|040|FBDA6F35-51FB-6A3E-E37D-8ED55D2B6F9E|1.0|Alumni alloc|alumni|N|
2009.0|EA|0366600|9977|041|F1AB0114-7BCE-C4FA-0B4D-48EA598363F5|1.0|Special Events Allocation|Spec Events|Y|
2009.0|EA|0366600|9977|042|42B250AB-F95C-E35A-1C72-5047EAB35A1D|1.0|Lively Arts Alloc|Lively Arts|Y|
2009.0|EA|0366600|9977|043|7A5E6123-D91A-621F-D228-0DECF0314606|1.0|Gallery Allocation|Gallery|Y|
2009.0|EA|0366600|9977|ALU|C2E0A4AC-8F15-48CB-05AD-499A1AA7F5B4|1.0|ALUMNI RELATIONS|Alum|Y|
2009.0|EA|0367200|9977|ONB|89B5E585-D909-A041-A378-8901D78839E6|1.0|ONBASE BUDGET ALLOCATION|ONB|Y|
2009.0|EA|0367235|9977|HMS|EAB53AD6-0F93-0388-9312-4EC801BAB345|1.0|HRMS BUDGET ALLOCATION|HRMS|Y|
2009.0|EA|0367287|0110|SDC|971102B3-000C-2454-11D9-9D75B7EB1BB7|1.0|SDC TUITION RESERVE|SDC TUIT RES|Y|
2009.0|EA|0367287|0703|WVR|95D17702-20F1-707D-B7A1-5A4DB104929B|1.0|PRIOR YEAR FEES-WVR|PRI YR F-WVR|Y|
2009.0|EA|0367287|0790|WVR|A0B87D22-DF2C-078D-21BA-C1FDB75CBE06|1.0|LATE REGISTRATION FEE WAIVER|LATE REG WVR|Y|
2009.0|EA|0367287|0791|WVR|F558B8D5-6975-1349-5950-38035EA49A6D|1.0|SUM2 NON CR HR FEE DEFERRED-WVR|S2NCR DF-WVR|Y|
2009.0|EA|0367287|0890|WVR|35C31D1E-0FCB-2707-3660-A13871E9B524|1.0|LATE REGISTRATION FEE WAIVER|LATE REG WVR|Y|
2009.0|EA|0367287|0891|WVR|CCC39E4E-A0F3-997C-6443-E8136FBB3023|1.0|FALL NON CR HR FEE DEFERRED-WVR|FLNCR DF-WVR|Y|
2009.0|EA|0367287|0990|WVR|46FAA93D-7038-E9B3-5A25-0B26D6942543|1.0|LATE REGISTRATION FEE WAIVER|LATE REG WVR|Y|
2009.0|EA|0367287|0991|WVR|CDE4362F-F775-53F9-D6BD-9F694C73D28C|1.0|SPRG NON CR HR FEE DEFERRED-WVR|SPNCR DF-WVR|Y|
2009.0|EA|0367287|1090|WVR|4F841F09-2683-A0CC-87A2-53EDFE6DE81D|1.0|LATE REGISTRATION FEE WAIVER|LATE REG WVR|Y|
2009.0|EA|0367287|1091|WVR|8A04F0EA-555B-2A2E-99F0-628E146F5BAF|1.0|SUM1 NON CR HR FEE DEFERRED-WVR|S1NCR DF-WVR|Y|
2009.0|EA|0367287|1800|WVR|F334B750-F2CF-69D3-7C86-2B568E1E6886|1.0|OTHER INCOME-WAIVER|OTHR INC-WVR|Y|
2009.0|EA|0367310|7900|000|F8B917F2-03C5-FE16-F61C-92DFE92072F8|1.0|WEEKEND COVER ALLOC|WKEND COVER|Y|
2009.0|EA|0367318|7000|NRE|83365E20-EA27-7706-1D5A-F0C3527601F7|1.0|NONRECURRING EQUIPMENT|NONRECURRING|Y|
2009.0|EA|0367525|2502|WRI|B858C0DB-A409-3F4C-D7A1-6D33FBEC1013|1.0|WRIGHT|WRIGHT|Y|
2009.0|EA|0367587|0110|SCH|C9EE3D6F-0649-F3DB-A0E7-8620112F527B|1.0|SCHOLAR CDV RESERVE|CDV SCHOL RE|Y|
2009.0|EA|0367720|5810|WVR|FA8E1804-2132-ABF8-7AB0-0984A82ABC5C|1.0|GRAD STUD FEE WVR|GRAD FEE WVR|Y|
2009.0|EA|0368000|2200|CTE|D414E400-01B5-0538-1F71-F3E51C888ACC|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368000|4616|CTE|23B03F9A-7C32-E740-F00A-7AA758CE3F91|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368000|7900|000|8173C430-29A6-8F0C-9B15-EDC1B8B0821A|1.0|UNALLOCATED|UNALLOCATED|Y|
2009.0|EA|0368000|7900|040|8E9FCB27-2607-995E-49C9-9A94BD457C18|1.0|ALLOC ECON ED CN|ALLOC ECON E|Y|
2009.0|EA|0368000|7900|CTE|EC4BC4D4-8AB9-BB6B-9CA8-05D1B2D33F93|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368000|9977|CHP|ABF99E42-7F24-FFE3-5121-07E4CE8BC349|1.0|CHP E219 BUDGET ALLOCATION|CHP|Y|
2009.0|EA|0368000|9977|EEC|AA2A886B-54A9-2641-E996-35C3DA6D9852|1.0|EEC BUDGET ALLOCATION|EEC|Y|
2009.0|EA|0368000|9977|GRF|C622F708-2850-3652-779F-0FCD2C53DFFD|1.0|GRAF E219 BUDGET ALLOCATION|GRF|Y|
2009.0|EA|0368010|2000|CTE|94AD210A-A44E-D976-7B4C-83E494CD14BD|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368014|4008|LAB|9CAE74BE-C9FE-481D-3D83-6DF066C902FA|1.0|COMPUTER LAB|COMP LAB|Y|
2009.0|EA|0368014|4008|MSA|2419110E-907C-9BE9-703B-3B0DE2A5AE49|1.0|MICROSOFT AGREEMENT|MICROSOFT|Y|
2009.0|EA|0368014|7900|000|D1F6F291-0E5E-1A93-49EC-F614F78EEC34|1.0|STU NETWORK ALLOC|STU NETWORK|Y|
2009.0|EA|0368014|9977|LAB|3661880C-5BEC-AFA0-7F14-8EE8720C3F98|1.0|COMPUTER LAB|COMP LAB|Y|
2009.0|EA|0368014|9977|MSA|7BC0C559-4F3D-875F-9741-A3177D3F8C00|1.0|MICROSOFT AGREEMENT|MICROSOFT|Y|
2009.0|EA|0368016|3000|CTE|EC7068BC-7356-C781-085B-59B732043E8F|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368016|3500|CTE|63EA893A-A432-F499-1166-EBFFA44B70BE|1.0|COMMITMENT TO EXCELLENCE|COMMITMENT|Y|
2009.0|EA|0368020|2000|CTE|98F93D4E-B64C-969A-360F-E5AE134E933C|1.0|COMMITMENT TO EXCELLENCE|CTE|Y|
2009.0|EA|0368020|2500|CTE|60718050-8B91-E383-DF74-4CF52FADCF5C|1.0|COMMITMENT TO EXCELLENCE|CTE|Y|
2009.0|EA|0368025|5199|000|F073EC71-890D-0A8F-2789-FEC1D27E2F70|1.0|TRANSFERS OF FUNDS|TRANSFERS OF|Y|
2009.0|EA|0368025|9900|000|48323D53-CFD7-C855-0B6C-4380EF83FAF4|1.0|TRANSFERS OF FUNDS|TRANSFERS OF|Y|
2009.0|EA|0368030|3500|CTE|60E43758-7510-ED18-4F6D-7E1A615849BC|1.0|COMMITMENT TO EXCELLENCE|CTE|Y|
2009.0|EA|0368035|2000|CTE|683D47188E6D89DBE0404F8189D81447|1.0|COMMITMENT|CTE|Y|
