kemid|pay_inc_seq|pay_inc_to_kemid|pay_inc_pct|pay_inc_strt_dt|pay_inc_term_dt|ver_nbr|obj_id|
038MCCC134|1.0|038MCCC134|1.0|20051101000000||1.0|8529CD484DB3060AE0404F8189D81C0B|
038MDSL325|1.0|038MDSL325|1.0|20070124000000||1.0|8529CD484DB4060AE0404F8189D81C0B|
038MPHC072|1.0|038MPHC072|1.0|20080124000000||1.0|8529CD484DB5060AE0404F8189D81C0B|
038MSCI011|1.0|038MSCI011|1.0|20051101000000||1.0|8529CD484DB6060AE0404F8189D81C0B|
038N008222|1.0|038N008222|1.0|20051101000000||1.0|8529CD484DB7060AE0404F8189D81C0B|
038P003213|1.0|038P003213|1.0|20051101000000||1.0|8529CD484DB8060AE0404F8189D81C0B|
038P011463|1.0|038P011463|1.0|20060731000000||1.0|8529CD484DB9060AE0404F8189D81C0B|
038RPS1012|1.0|038RPS1012|1.0|20051101000000||1.0|8529CD484DBA060AE0404F8189D81C0B|
038RQ04162|1.0|038RQ04162|1.0|20051101000000||1.0|8529CD484DBB060AE0404F8189D81C0B|
038RR04087|1.0|038RR04087|1.0|20051101000000||1.0|8529CD484DBC060AE0404F8189D81C0B|
038RT04091|1.0|038RT04091|1.0|20051101000000||1.0|8529CD484DBD060AE0404F8189D81C0B|
038RV04351|1.0|038RV04351|1.0|20060809000000||1.0|8529CD484DBE060AE0404F8189D81C0B|
038SC01010|1.0|038SC01010|1.0|20051101000000||1.0|8529CD484DBF060AE0404F8189D81C0B|
046G007720|1.0|046G007720|1.0|20051101000000||1.0|8529CD484DC0060AE0404F8189D81C0B|
046G007CD0|1.0|046G007CD0|1.0|20060223000000||1.0|8529CD484DC1060AE0404F8189D81C0B|
099PLTF013|1.0|099PLTF013|1.0|20051101000000||1.0|8529CD484DC2060AE0404F8189D81C0B|
099PLTF021|1.0|099PLTF021|1.0|20051101000000||1.0|8529CD484DC3060AE0404F8189D81C0B|
099PLTF997|1.0|099PLTF997|1.0|20070112000000||1.0|8529CD484DC4060AE0404F8189D81C0B|
099PMKT010|1.0|099PMKT010|1.0|20051101000000||1.0|8529CD484DC9060AE0404F8189D81C0B|
099PSTF018|1.0|099PSTF018|1.0|20051101000000||1.0|8529CD484DC7060AE0404F8189D81C0B|
099PSTF034|1.0|099PSTF034|1.0|20051101000000||1.0|8529CD484DC8060AE0404F8189D81C0B|
909BTIP011|1.0|909BTIP011|1.0|20051101000000||1.0|8529CD484DC5060AE0404F8189D81C0B|
909ETIP018|1.0|909ETIP018|1.0|20051101000000||1.0|8529CD484DC6060AE0404F8189D81C0B|
