fin_coa_cd|org_cd|org_rtng_mdl_nm|obj_id|ver_nbr|row_actv_ind|
IN|MDCO|CPHRHERRAN|186AB5398CFEE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|CPHRJONZ|186AB5398CFFE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|ENDC TARIQ|186AB5398D00E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|ENDCHERRAN|186AB5398D01E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|ENDCRINEH|186AB5398D02E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|ETHC NIKI|186AB5398D03E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|GAST JONZ|186AB5398D04E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|GASTHERRAN|186AB5398D05E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|GASTMIKEG|186AB5398D06E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|HEMO BAIG|186AB5398D07E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|HEMO JNOE|186AB5398D08E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|HEMO PUTT|186AB5398D09E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|HEMO TARIQ|186AB5398D0AE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|HEMOHERRAN|186AB5398D0BE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|IMMUHERRAN|186AB5398D0CE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|INFDHERRAN|186AB5398D0DE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|INFDPAYNE|186AB5398D0EE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|INTM NIKI|186AB5398D0FE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|INTMHERRAN|186AB5398D10E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|KATSHERRAN|186AB5398D11E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|MDCOSHARON|186AB5398D12E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|MRESHERRAN|186AB5398D13E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|MSDS VANCE|186AB5398D14E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|MSDS ZERN|186AB5398D15E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|NEPH VANCE|186AB5398D16E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|NEPHHERRAN|186AB5398D17E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|NEPHROSIEL|186AB5398D18E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|PULMDANEAL|186AB5398D19E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|PULMHERRAN|186AB5398D1AE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|RHEUDSTOMB|186AB5398D1BE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|RHEUHERRAN|186AB5398D1CE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|SHARON|186AB5398D1DE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|SHARONMISC|186AB5398D1EE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|TBAIG|186AB5398D1FE0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|TBAIG1|186AB5398D20E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|TBAIG2|186AB5398D21E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|TBAIG4|186AB5398D22E0BCE043814FD881E0BC|1.0|Y|
IN|MDCO|UMDA GERKE|186AB5398D23E0BCE043814FD881E0BC|1.0|Y|
IN|MDEP|SHARON A21|186AB5398D24E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|BIOSHERRAN|186AB5398D25E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|CARDHERRAN|186AB5398D26E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|CPHRHERRAN|186AB5398D27E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|CPHRMEEKS|186AB5398D28E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ENDC|186AB5398D29E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ENDCAARINE|186AB5398D2AE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ENDCHERRAN|186AB5398D2BE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ENDCHERREN|186AB5398D2CE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ETHCHERRAN|186AB5398D2DE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|GASTHERRAN|186AB5398D2EE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|HEMO TARIQ|186AB5398D2FE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|HEMOHERRAN|186AB5398D30E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|INFDHERRAN|186AB5398D31E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|INTMHERRAN|186AB5398D32E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|ITNMHERRAN|186AB5398D33E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|NEPHHERRAN|186AB5398D34E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|PULMHERRAN|186AB5398D35E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|REGIHERRAN|186AB5398D36E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|RHEUHERRAN|186AB5398D37E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|TARIQHEMO|186AB5398D38E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|TBAIG1|186AB5398D39E0BCE043814FD881E0BC|1.0|Y|
IN|MRES|TBAIG2|186AB5398D3AE0BCE043814FD881E0BC|1.0|Y|
IN|MRES|TBAIG4|186AB5398D3BE0BCE043814FD881E0BC|1.0|Y|
IN|NEUR|NEUR|186AB5398D3CE0BCE043814FD881E0BC|1.0|Y|
IN|NEUR|NEUR CG|186AB5398D3DE0BCE043814FD881E0BC|1.0|Y|
IN|OBGY|DOC ROUTE|186AB5398D3EE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PCDCBB2|186AB5398D3FE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPDCE1|186AB5398D40E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPDTS1|186AB5398D41E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPDVL|186AB5398D42E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDC2|186AB5398D43E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDC2A|186AB5398D44E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDG2|186AB5398D45E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDG2A|186AB5398D46E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDU1|186AB5398D47E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEDU2|186AB5398D48E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPEND1|186AB5398D49E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPERS2|186AB5398D4AE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPGAS1|186AB5398D4BE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPGEN4|186AB5398D4CE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPGEN4A|186AB5398D4DE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPHSRB|186AB5398D4EE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPINF3|186AB5398D4FE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPINF3A|186AB5398D50E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPMET1|186AB5398D51E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPNEF1|186AB5398D52E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPNEF2|186AB5398D53E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPPUL1|186AB5398D54E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPPUL2|186AB5398D55E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPPUL3|186AB5398D56E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPRHU3|186AB5398D57E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDPRHU3A|186AB5398D58E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDSPBEH3|186AB5398D59E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PEDSPBEH3A|186AB5398D5AE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PENOTLCM|186AB5398D5BE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEO-MAIN|186AB5398D5CE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOCSCAB|186AB5398D5DE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOCSCCM|186AB5398D5EE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOCSCDP1|186AB5398D5FE0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOCSCJW1|186AB5398D60E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOTLAB|186AB5398D61E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOTLCM|186AB5398D62E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOTLDP1|186AB5398D63E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOTLEC|186AB5398D64E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PNEOTLJW|186AB5398D65E0BCE043814FD881E0BC|1.0|Y|
IN|PED|PPEDCDCB|186AB5398D66E0BCE043814FD881E0BC|1.0|Y|
IN|PED|X|186AB5398D67E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|ACTIVEPROJ|186AB5398D68E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|ADULT-45'S|186AB5398D69E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|ADULT-PW|186AB5398D6AE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|CHILD-45'S|186AB5398D6BE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|IPR-45'S|186AB5398D6CE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|KAREN|186AB5398D6DE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|KAREN PRIM|186AB5398D6EE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|MARLAOLD|186AB5398D6FE0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|ND2868901|186AB5398D70E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|PSCG|186AB5398D71E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|PSGN|186AB5398D72E0BCE043814FD881E0BC|1.0|Y|
IN|PSYC|SAM LAURIE|186AB5398D73E0BCE043814FD881E0BC|1.0|Y|
IN|RADY|RAD092003|186AB5398D74E0BCE043814FD881E0BC|1.0|Y|
IN|RADY|RADY|186AB5398D75E0BCE043814FD881E0BC|1.0|Y|
IN|RADY|RADYNEW1|186AB5398D76E0BCE043814FD881E0BC|1.0|Y|
IN|SPON|WCPR1|186AB5398D77E0BCE043814FD881E0BC|1.0|Y|
IN|WCPR|CHK REQ|186AB5398D78E0BCE043814FD881E0BC|1.0|Y|
IN|WCPR|CREQ ERD|186AB5398D79E0BCE043814FD881E0BC|1.0|Y|
IN|WCPR|MERCER 1|186AB5398D7AE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|ADAF1|186AB5398D7BE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|ARSC1|186AB5398D7CE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|BUS1|186AB5398D7DE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|DEDU1|186AB5398D7EE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|EXAF|186AB5398D7FE0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|LIBR1|186AB5398D80E0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|LRC1|186AB5398D81E0BCE043814FD881E0BC|1.0|Y|
SB|ACCT|MFROST|186AB5398D82E0BCE043814FD881E0BC|1.0|Y|
SB|ACSP|GRANTS|186AB5398D83E0BCE043814FD881E0BC|1.0|Y|
SB|ADAF|ANITA'S|186AB5398D84E0BCE043814FD881E0BC|1.0|Y|
SB|ADAF|FROST/PRIM|186AB5398D85E0BCE043814FD881E0BC|1.0|Y|
UA|FMS|66CREQ ACC|186AB5398D86E0BCE043814FD881E0BC|1.0|Y|
UA|FMS|CONSTR|186AB5398D87E0BCE043814FD881E0BC|1.0|Y|
UA|FMS|CREQ CHEM|186AB5398D88E0BCE043814FD881E0BC|1.0|Y|
UA|FMS|CREQ SETUP|186AB5398D89E0BCE043814FD881E0BC|1.0|Y|
UA|FMS|GEOLOGY|186AB5398D8AE0BCE043814FD881E0BC|1.0|Y|
UA|FMS|JOLMESST|186AB5398D8BE0BCE043814FD881E0BC|1.0|Y|
UA|FMS|PHYSICS|186AB5398D8CE0BCE043814FD881E0BC|1.0|Y|
UA|FMS|REAL|186AB5398D8DE0BCE043814FD881E0BC|1.0|Y|
UA|UCSV|PRIMARY|186AB5398D8EE0BCE043814FD881E0BC|1.0|Y|
UA|VPIT|BLOOM|186AB5398D8FE0BCE043814FD881E0BC|1.0|Y|
UA|VPIT|BORECKY PC|186AB5398D90E0BCE043814FD881E0BC|1.0|Y|
UA|VPIT|C+G|186AB5398D91E0BCE043814FD881E0BC|1.0|Y|
UA|VPIT|INDY|186AB5398D92E0BCE043814FD881E0BC|1.0|Y|
UA|VPIT|TELECOM|186AB5398D93E0BCE043814FD881E0BC|1.0|Y|
