univ_fiscal_yr|fin_coa_cd|fin_obj_sub_type_cd|obj_id|ver_nbr|cptlztn_fobj_cd|accum_depr_fobj_cd|depr_exp_fobj_cd|row_actv_ind|
2009.0|BA|UO|5176F1952CF2CCDAE0404F8189D84656|1.0||||Y|
2009.0|BL|AM|5176F1952D04CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|BL|BD|5176F1952CF3CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|BL|BF|5176F1952CF4CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|BL|BI|5176F1952CFCCCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|BL|BR|5176F1952CF7CCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|BL|BX|5176F1952CF8CCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|BL|BY|5176F1952D05CCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|BL|C1|5176F1952CFACCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|BL|C2|5176F1952CFBCCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|BL|CF|5176F1952CF5CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|BL|CL|5176F1952D06CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|BL|CM|5176F1952CF6CCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|BL|CO|5176F1952D07CCDAE0404F8189D84656|1.0||||Y|
2009.0|BL|CP|5176F1952D08CCDAE0404F8189D84656|1.0||||Y|
2009.0|BL|ES|5176F1952CFFCCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|BL|IF|5176F1952D00CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|BL|LA|5176F1952D09CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|BL|LE|5176F1952D01CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|BL|LF|5176F1952D02CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|BL|LI|5176F1952D03CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|BL|LR|5176F1952CF9CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|BL|UC|5176F1952CFDCCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|BL|UF|5176F1952CFECCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|BL|UO|5176F1952D0ACCDAE0404F8189D84656|1.0||||Y|
2009.0|EA|AM|5176F1952D1CCCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|EA|BD|5176F1952D0BCCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|EA|BF|5176F1952D0CCCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|EA|BI|5176F1952D14CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|EA|BR|5176F1952D0FCCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|EA|BX|5176F1952D10CCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|EA|BY|5176F1952D1DCCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|EA|C1|5176F1952D12CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|EA|C2|5176F1952D13CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|EA|CF|5176F1952D0DCCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|EA|CL|5176F1952D1ECCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|EA|CM|5176F1952D0ECCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|EA|CO|5176F1952D1FCCDAE0404F8189D84656|1.0||||Y|
2009.0|EA|CP|5176F1952D20CCDAE0404F8189D84656|1.0||||Y|
2009.0|EA|ES|5176F1952D17CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|EA|IF|5176F1952D18CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|EA|LA|5176F1952D21CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|EA|LE|5176F1952D19CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|EA|LF|5176F1952D1ACCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|EA|LI|5176F1952D1BCCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|EA|LR|5176F1952D11CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|EA|UC|5176F1952D15CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|EA|UF|5176F1952D16CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|EA|UO|5176F1952D22CCDAE0404F8189D84656|1.0||||Y|
2009.0|FW|AM|5176F1952D31CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|FW|BD|5176F1952D23CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|FW|BF|5176F1952D24CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|FW|BI|5176F1952D29CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|FW|C2|5176F1952D28CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|FW|CF|5176F1952D25CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|FW|CL|5176F1952D32CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|FW|CM|5176F1952D26CCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|FW|CO|5176F1952D33CCDAE0404F8189D84656|1.0||||Y|
2009.0|FW|CP|5176F1952D34CCDAE0404F8189D84656|1.0||||Y|
2009.0|FW|ES|5176F1952D2CCCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|FW|IF|5176F1952D2DCCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|FW|LA|5176F1952D35CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|FW|LE|5176F1952D2ECCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|FW|LF|5176F1952D2FCCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|FW|LI|5176F1952D30CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|FW|LR|5176F1952D27CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|FW|UC|5176F1952D2ACCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|FW|UF|5176F1952D2BCCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|FW|UO|5176F1952D36CCDAE0404F8189D84656|1.0||||Y|
2009.0|HO|AM|5176F1952D42CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|HO|BD|5176F1952D37CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|HO|BF|5176F1952D38CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|HO|CF|5176F1952D39CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|HO|CL|5176F1952D43CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|HO|CM|5176F1952D3ACCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|HO|CO|5176F1952D44CCDAE0404F8189D84656|1.0||||Y|
2009.0|HO|CP|5176F1952D45CCDAE0404F8189D84656|1.0||||Y|
2009.0|HO|ES|5176F1952D3BCCDAE0404F8189D84656|1.0|8630|8930|5115|Y|
2009.0|HO|IF|5176F1952D3CCCDAE0404F8189D84656|1.0|8604|8904|5115|Y|
2009.0|HO|LA|5176F1952D46CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|HO|LE|5176F1952D3DCCDAE0404F8189D84656|1.0|8608|8908|5115|Y|
2009.0|HO|LF|5176F1952D3ECCDAE0404F8189D84656|1.0|8614|8913|5115|Y|
2009.0|HO|LI|5176F1952D3FCCDAE0404F8189D84656|1.0|8613|8913|5115|Y|
2009.0|HO|UC|5176F1952D40CCDAE0404F8189D84656|1.0|8618|8910|5115|Y|
2009.0|HO|UF|5176F1952D41CCDAE0404F8189D84656|1.0|8619|8910|5115|Y|
2009.0|HO|UO|5176F1952D47CCDAE0404F8189D84656|1.0||||Y|
2009.0|IA|AM|5176F1952D59CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|IA|BD|5176F1952D48CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|IA|BF|5176F1952D49CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|IA|BI|5176F1952D51CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|IA|BR|5176F1952D4CCCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|IA|BX|5176F1952D4DCCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|IA|BY|5176F1952D5ACCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|IA|C1|5176F1952D4FCCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|IA|C2|5176F1952D50CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|IA|CF|5176F1952D4ACCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|IA|CL|5176F1952D5BCCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|IA|CM|5176F1952D4BCCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|IA|CO|5176F1952D5CCCDAE0404F8189D84656|1.0||||Y|
2009.0|IA|CP|5176F1952D5DCCDAE0404F8189D84656|1.0||||Y|
2009.0|IA|ES|5176F1952D54CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|IA|IF|5176F1952D55CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|IA|LA|5176F1952D5ECCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|IA|LE|5176F1952D56CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|IA|LF|5176F1952D57CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|IA|LI|5176F1952D58CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|IA|LR|5176F1952D4ECCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|IA|UC|5176F1952D52CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|IA|UF|5176F1952D53CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|IA|UO|5176F1952D5FCCDAE0404F8189D84656|1.0||||Y|
2009.0|IN|AM|5176F1952D72CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|IN|BD|5176F1952D60CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|IN|BF|5176F1952D61CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|IN|BI|5176F1952D6ACCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|IN|BR|5176F1952D65CCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|IN|BX|5176F1952D66CCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|IN|BY|5176F1952D73CCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|IN|C1|5176F1952D68CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|IN|C2|5176F1952D69CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|IN|CF|5176F1952D63CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|IN|CL|5176F1952D74CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|IN|CM|5176F1952D64CCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|IN|CO|5176F1952D75CCDAE0404F8189D84656|1.0||||Y|
2009.0|IN|CP|5176F1952D76CCDAE0404F8189D84656|1.0||||Y|
2009.0|IN|ES|5176F1952D6DCCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|IN|IF|5176F1952D6ECCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|IN|LA|5176F1952D77CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|IN|LE|5176F1952D6FCCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|IN|LF|5176F1952D70CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|IN|LI|5176F1952D71CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|IN|LR|5176F1952D67CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|IN|NA|5176F1952D62CCDAE0404F8189D84656|1.0|8610|8910|5112|Y|
2009.0|IN|UC|5176F1952D6BCCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|IN|UF|5176F1952D6CCCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|IN|UO|5176F1952D78CCDAE0404F8189D84656|1.0||||Y|
2009.0|KO|AM|5176F1952D8ACCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|KO|BD|5176F1952D79CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|KO|BF|5176F1952D7ACCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|KO|BI|5176F1952D82CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|KO|BR|5176F1952D7DCCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|KO|BX|5176F1952D7ECCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|KO|BY|5176F1952D8BCCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|KO|C1|5176F1952D80CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|KO|C2|5176F1952D81CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|KO|CF|5176F1952D7BCCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|KO|CL|5176F1952D8CCCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|KO|CM|5176F1952D7CCCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|KO|CO|5176F1952D8DCCDAE0404F8189D84656|1.0||||Y|
2009.0|KO|CP|5176F1952D8ECCDAE0404F8189D84656|1.0||||Y|
2009.0|KO|ES|5176F1952D85CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|KO|IF|5176F1952D86CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|KO|LA|5176F1952D8FCCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|KO|LE|5176F1952D87CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|KO|LF|5176F1952D88CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|KO|LI|5176F1952D89CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|KO|LR|5176F1952D7FCCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|KO|UC|5176F1952D83CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|KO|UF|5176F1952D84CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|KO|UO|5176F1952D90CCDAE0404F8189D84656|1.0||||Y|
2009.0|NW|AM|5176F1952DA2CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|NW|BD|5176F1952D91CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|NW|BF|5176F1952D92CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|NW|BI|5176F1952D9ACCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|NW|BR|5176F1952D95CCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|NW|BX|5176F1952D96CCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|NW|BY|5176F1952DA3CCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|NW|C1|5176F1952D98CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|NW|C2|5176F1952D99CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|NW|CF|5176F1952D93CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|NW|CL|5176F1952DA4CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|NW|CM|5176F1952D94CCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|NW|CO|5176F1952DA5CCDAE0404F8189D84656|1.0||||Y|
2009.0|NW|CP|5176F1952DA6CCDAE0404F8189D84656|1.0||||Y|
2009.0|NW|ES|5176F1952D9DCCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|NW|IF|5176F1952D9ECCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|NW|LA|5176F1952DA7CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|NW|LE|5176F1952D9FCCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|NW|LF|5176F1952DA0CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|NW|LI|5176F1952DA1CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|NW|LR|5176F1952D97CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|NW|UC|5176F1952D9BCCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|NW|UF|5176F1952D9CCCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|NW|UO|5176F1952DA8CCDAE0404F8189D84656|1.0||||Y|
2009.0|SB|AM|5176F1952DBACCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|SB|BD|5176F1952DA9CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|SB|BF|5176F1952DAACCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|SB|BI|5176F1952DB2CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|SB|BR|5176F1952DADCCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|SB|BX|5176F1952DAECCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|SB|BY|5176F1952DBBCCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|SB|C1|5176F1952DB0CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|SB|C2|5176F1952DB1CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|SB|CF|5176F1952DABCCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|SB|CL|5176F1952DBCCCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|SB|CM|5176F1952DACCCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|SB|CO|5176F1952DBDCCDAE0404F8189D84656|1.0||||Y|
2009.0|SB|CP|5176F1952DBECCDAE0404F8189D84656|1.0||||Y|
2009.0|SB|ES|5176F1952DB5CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|SB|IF|5176F1952DB6CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|SB|LA|5176F1952DBFCCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|SB|LE|5176F1952DB7CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|SB|LF|5176F1952DB8CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|SB|LI|5176F1952DB9CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|SB|LR|5176F1952DAFCCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|SB|UC|5176F1952DB3CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|SB|UF|5176F1952DB4CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|SB|UO|5176F1952DC0CCDAE0404F8189D84656|1.0||||Y|
2009.0|SE|AM|5176F1952DD2CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|SE|BD|5176F1952DC1CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|SE|BF|5176F1952DC2CCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|SE|BI|5176F1952DCACCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|SE|BR|5176F1952DC5CCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|SE|BX|5176F1952DC6CCDAE0404F8189D84656|1.0|8640|8945|5117|Y|
2009.0|SE|BY|5176F1952DD3CCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|SE|C1|5176F1952DC8CCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|SE|C2|5176F1952DC9CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|SE|CF|5176F1952DC3CCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|SE|CL|5176F1952DD4CCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|SE|CM|5176F1952DC4CCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|SE|CO|5176F1952DD5CCDAE0404F8189D84656|1.0||||Y|
2009.0|SE|CP|5176F1952DD6CCDAE0404F8189D84656|1.0||||Y|
2009.0|SE|ES|5176F1952DCDCCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|SE|IF|5176F1952DCECCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|SE|LA|5176F1952DD7CCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|SE|LE|5176F1952DCFCCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|SE|LF|5176F1952DD0CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|SE|LI|5176F1952DD1CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|SE|LR|5176F1952DC7CCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|SE|UC|5176F1952DCBCCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|SE|UF|5176F1952DCCCCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|SE|UO|5176F1952DD8CCDAE0404F8189D84656|1.0||||Y|
2009.0|UA|AM|5176F1952DE9CCDAE0404F8189D84656|1.0|8615|||Y|
2009.0|UA|BD|5176F1952DD9CCDAE0404F8189D84656|1.0|8601|8901|5112|Y|
2009.0|UA|BF|5176F1952DDACCDAE0404F8189D84656|1.0|8605|8905|5112|Y|
2009.0|UA|BI|5176F1952DE1CCDAE0404F8189D84656|1.0|8629|8929|5129|Y|
2009.0|UA|BR|5176F1952DDDCCDAE0404F8189D84656|1.0|8601|8907|5117|Y|
2009.0|UA|BY|5176F1952DEACCDAE0404F8189D84656|1.0|8641|||Y|
2009.0|UA|C1|5176F1952DDFCCDAE0404F8189D84656|1.0|8627|8927|5127|Y|
2009.0|UA|C2|5176F1952DE0CCDAE0404F8189D84656|1.0|8628|8928|5128|Y|
2009.0|UA|CF|5176F1952DDBCCDAE0404F8189D84656|1.0|8611|8910|5115|Y|
2009.0|UA|CL|5176F1952DEBCCDAE0404F8189D84656|1.0|9603|||Y|
2009.0|UA|CM|5176F1952DDCCCDAE0404F8189D84656|1.0|8610|8910|5115|Y|
2009.0|UA|CO|5176F1952DECCCDAE0404F8189D84656|1.0||||Y|
2009.0|UA|CP|5176F1952DEDCCDAE0404F8189D84656|1.0||||Y|
2009.0|UA|ES|5176F1952DE4CCDAE0404F8189D84656|1.0|8630|8930|5156|Y|
2009.0|UA|IF|5176F1952DE5CCDAE0404F8189D84656|1.0|8604|8904|5157|Y|
2009.0|UA|LA|5176F1952DEECCDAE0404F8189D84656|1.0|8603|||Y|
2009.0|UA|LE|5176F1952DE6CCDAE0404F8189D84656|1.0|8608|8908|5158|Y|
2009.0|UA|LF|5176F1952DE7CCDAE0404F8189D84656|1.0|8614|8913|5159|Y|
2009.0|UA|LI|5176F1952DE8CCDAE0404F8189D84656|1.0|8613|8913|5159|Y|
2009.0|UA|LR|5176F1952DDECCDAE0404F8189D84656|1.0|8665|8965|5119|Y|
2009.0|UA|UC|5176F1952DE2CCDAE0404F8189D84656|1.0|8618|8933|5133|Y|
2009.0|UA|UF|5176F1952DE3CCDAE0404F8189D84656|1.0|8619|8933|5133|Y|
2009.0|UA|UO|5176F1952DEFCCDAE0404F8189D84656|1.0||||Y|
2010.0|BA|AM|1EC0E69B-5101-0F57-C313-44D14CEC3844|2.0|8615|||Y|
2010.0|BA|BD|28E76C56-4961-09C1-A010-880F7AF6747F|2.0|8601|8901|5112|Y|
2010.0|BA|BF|1C036605-09ED-0E63-A514-D42C1F353510|2.0|8605|8905|5112|Y|
2010.0|BA|BI|E226022B-AC42-067F-4E8A-BC5115834DEC|2.0|8629|8929|5129|Y|
2010.0|BA|BR|73C7A115-0ADA-D104-B19E-F1ED2A02D0F9|2.0|8601|8907|5117|Y|
2010.0|BA|BY|C214CD6F-5A46-8DB2-1D0A-6BCFAF726B22|2.0|8641|||Y|
2010.0|BA|C1|D5D2EF45-F40F-38C4-2231-82CF83E7990C|2.0|8627|8927|5127|Y|
2010.0|BA|C2|0739D75C-0720-94A6-881D-4DE6971913F2|2.0|8628|8928|5128|Y|
2010.0|BA|CF|84F81498-C569-AED9-8585-69D8A1DE178E|2.0|8611|8910|5115|Y|
2010.0|BA|CL|3F62E188-8814-F48B-2DF8-54943E7BBBBF|2.0|9603|||Y|
2010.0|BA|CM|10AE196B-B5A0-63E2-1340-41649742426B|2.0|8610|8910|5115|Y|
