fin_coa_cd|fin_obj_level_cd|obj_id|ver_nbr|fin_obj_level_nm|fin_objlvl_shrt_nm|fin_cons_obj_cd|fin_objlvl_actv_cd|fin_report_sort_cd|
BA|DEBT|014FEE34CB5F9BEEE043814FD8819BEE|1.0|FINANCIAL/DEBT SERVICES|DEBT SERV|GENX|Y|HP|
BA|DEFR|014FEE34CF589BEEE043814FD8819BEE|1.0|DEFERRED REVENUE|DEFERRED REV|LIAB|Y|DE|
BA|DEPR|014FEE34CF439BEEE043814FD8819BEE|1.0|DEPRECIATION|DEPRECIATION|GENX|Y|DR|
BA|FINA|014FEE34CB609BEEE043814FD8819BEE|1.0|STUDENT FINANCIAL AID|FINANCE AID|SCHL|Y|HA|
BA|FUBL|014FEE34CB619BEEE043814FD8819BEE|1.0|FUND BALANCE|FUND BALANCE|FDBL|Y|SK|
BA|GIFT|014FEE34CB629BEEE043814FD8819BEE|1.0|GIFTS|GIFTS|OTRE|Y|DF|
BA|HRCO|014FEE34CB639BEEE043814FD8819BEE|1.0|HOURLY COMPENSATION|HOURLY COMP|CMPN|Y|GK|
BA|ICOE|014FEE34CB649BEEE043814FD8819BEE|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|IDEX|Y|JF|
BA|ICOR|014FEE34CB659BEEE043814FD8819BEE|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|IDIN|Y|EA|
BA|INS1|014FEE34CB669BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL SUMMR 1|INSTRUC SUM1|STFE|Y|AP|
BA|INS2|014FEE34CB679BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL SUMMR 2|INSTRUC SUM2|STFE|Y|BA|
BA|INSF|014FEE34CB689BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL-FALL|INSTRUC FALL|STFE|Y|BK|
BA|INSS|014FEE34CB699BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL-SPRING|INSTR SPRING|STFE|Y|BV|
BA|INV|014FEE34CB6A9BEEE043814FD8819BEE|1.0|INVENTORY|INVENTORY|ASST|Y|PA|
BA|INVA|014FEE34CB6B9BEEE043814FD8819BEE|1.0|INVESTMENTS|INVEST|ASST|Y|PK|
BA|INVR|014FEE34CB6C9BEEE043814FD8819BEE|1.0|INVESTMENTS|INVEST|OTRE|Y|DA|
BA|NC|014FEE34CB6D9BEEE043814FD8819BEE|1.0|NON-CAPITAL EQUIPMENT|NON-CAPITAL|GENX|Y|LK|
BA|NORE|014FEE34CB6E9BEEE043814FD8819BEE|1.0|NOTES RECEIVABLE|NOTES REC|ASST|Y|NV|
BA|NOTP|014FEE34CB6F9BEEE043814FD8819BEE|1.0|NOTES PAYABLE|NOTES PAY|LIAB|Y|RV|
BA|OASS|014FEE34CB709BEEE043814FD8819BEE|1.0|OTHER|OTHER ASSETS|ASST|Y|PF|
BA|OEXP|014FEE34CB719BEEE043814FD8819BEE|1.0|OTHER SPECIFIC OPERATING EXPENSE|OTHER EXP|GENX|Y|LP|
BA|OLIA|014FEE34CB729BEEE043814FD8819BEE|1.0|OTHER LIABILITIES|OTHER LIAB|LIAB|Y|SF|
BA|OTH1|014FEE34CB739BEEE043814FD8819BEE|1.0|STUDENT FEES-OTHER SUMMER 1|OTHER SUM1|STFE|Y|AV|
BA|OTH2|014FEE34CB749BEEE043814FD8819BEE|1.0|STUDENT FEES-OTHER SUMMER 2|OTHER SUM2|STFE|Y|BF|
BA|OTHF|014FEE34CB759BEEE043814FD8819BEE|1.0|STUDENT FEES OTHER-FALL|OTHER FALL|STFE|Y|BP|
BA|OTHL|014FEE34CF779BEEE043814FD8819BEE|1.0|OTHER LONG-TERM LIAB|OTH LT LIAB|LIAB|Y|OL|
BA|OTHR|014FEE34CB769BEEE043814FD8819BEE|1.0|OTHER REVENUE|OTHER REV|OTRE|Y|DP|
BA|OTHS|014FEE34CB779BEEE043814FD8819BEE|1.0|STUDENT FEES OTHER -SPRING|OTHER SPRING|STFE|Y|CA|
BA|PART|014FEE34CB789BEEE043814FD8819BEE|1.0|PART-TIME INSTRUCTION - NON STUDENT|P-T INSTRUCT|CMPN|Y|FF|
BA|PHON|014FEE34CB799BEEE043814FD8819BEE|1.0|TELEPHONE & POSTAGE|TELE POST|GENX|Y|JV|
BA|PLNT|014FEE34CB7A9BEEE043814FD8819BEE|1.0|PLANT|PLANT|ASST|Y|PP|
BA|PRIN|014FEE34CB7B9BEEE043814FD8819BEE|1.0|PRINTING AND DUPLICATING|PRINT DUPL|GENX|Y|KA|
BA|PRSA|014FEE34CB7C9BEEE043814FD8819BEE|1.0|PROFESSIONAL SALARIES|PROF SAL|CMPN|Y|FP|
BA|R&M|014FEE34CB7D9BEEE043814FD8819BEE|1.0|REPAIRS AND MAINTENANCE|REPAIR MAINT|GENX|Y|KV|
BA|RENT|014FEE34CB7E9BEEE043814FD8819BEE|1.0|RENTS AND NON-CAPITAL LEASES|RENTS|GENX|Y|KP|
BA|RESA|014FEE34CB7F9BEEE043814FD8819BEE|1.0|PURCHASES FOR RESALE|RESALE|GENX|Y|LV|
BA|RESV|014FEE34CB809BEEE043814FD8819BEE|1.0|RESERVES|RESERVES|RSRX|Y|NA|
BA|S&E|014FEE34CB819BEEE043814FD8819BEE|1.0|SUPPLIES AND GENERAL EXPENSE|S&E|GENX|Y|LF|
BA|SAAC|014FEE34CB829BEEE043814FD8819BEE|1.0|SALARY ACCRUAL EXPENSES|SAL ACCRUAL|CMPN|Y|GF|
BA|SAAP|014FEE34CB839BEEE043814FD8819BEE|1.0|STUDENT ACADEMIC APPOINTEES|STUDENT ACAD|CMPN|Y|FK|
BA|SASV|014FEE34CB849BEEE043814FD8819BEE|1.0|SALES AND SERVICES|SALESSERV|OTRE|Y|DK|
BA|SERV|014FEE34CB859BEEE043814FD8819BEE|1.0|OTHER SERVICES|OTHER SERV|GENX|Y|KF|
BA|SINV|014FEE34CF649BEEE043814FD8819BEE|1.0|SHORT-TERM INVESTMENTS|S-T INVEST|ASST|Y|ST|
BA|STAP|014FEE34CB869BEEE043814FD8819BEE|1.0|STATE APPROPRIATIONS|STATE APPROP|SAPR|Y|CK|
BA|STUF|014FEE34CB879BEEE043814FD8819BEE|1.0|STUDENT FEES|STUDENT FEES|STFE|Y|AK|
BA|SUPL|014FEE34CB889BEEE043814FD8819BEE|1.0|SUPPLEMENTAL PAYS|SUPPLMNT PAY|CMPN|Y|GA|
BA|TAX|014FEE34CB899BEEE043814FD8819BEE|1.0|TAXES|TAXES|GENX|Y|HV|
BA|TAXP|014FEE34CB8A9BEEE043814FD8819BEE|1.0|TAXES PAYABLE|TAX PAY|LIAB|Y|RP|
BA|TRAN|014FEE34CB8B9BEEE043814FD8819BEE|1.0|TRANSFER OF FUNDS|TRANSFER|TRSF|Y|SP|
BA|TRAV|014FEE34CB8C9BEEE043814FD8819BEE|1.0|TRAVEL|TRAVEL|TRVL|Y|MK|
BA|TREX|014FEE34CF949BEEE043814FD8819BEE|1.0|TRANSFER - 5199 EXP|TRSF-EXPENSE|TRSF|Y|DZ|
BA|TRFE|014FEE34CB8D9BEEE043814FD8819BEE|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|TFEX|N|MV|
BA|TRFI|014FEE34CB8E9BEEE043814FD8819BEE|1.0|TRANSFER - INCOME|TRANSFER-INC|TFIN|N|EK|
BA|TRIN|014FEE34CB8F9BEEE043814FD8819BEE|1.0|TRANSFER - 1699 INC|TRNSF-INCOME|TRSF|Y|DV|
BA|UTIL|014FEE34CB909BEEE043814FD8819BEE|1.0|ENERGY AND UTILITIES|UTILITIES|GENX|Y|HK|
BA|VADJ|014FEE34CB919BEEE043814FD8819BEE|1.0|VALUATIONS AND ADJUSTMENTS|VAL AND ADJ|GENX|Y|JA|
BL|ACLI|014FEE34CB929BEEE043814FD8819BEE|1.0|ACCRUED LIABILITIES|ACCR LIAB|LIAB|Y|RK|
BL|ACPA|014FEE34CB939BEEE043814FD8819BEE|1.0|ACCOUNTS PAYABLE|ACCT PAY|LIAB|Y|RA|
BL|ACPY|014FEE34CB949BEEE043814FD8819BEE|1.0|ACCRUED PAYROLL|ACCR PAYROLL|LIAB|Y|RF|
BL|ACSA|014FEE34CB959BEEE043814FD8819BEE|1.0|ACADEMIC SALARIES|ACADEMIC SAL|CMPN|Y|FA|
BL|ADV|014FEE34CB969BEEE043814FD8819BEE|1.0|ADVERTISING AND PROMOTIONAL EXP|ADVERT PROMO|GENX|Y|LA|
BL|AR|014FEE34CB979BEEE043814FD8819BEE|1.0|ACCOUNTS RECEIVABLE|ACCT RECV|ASST|Y|NP|
BL|ASSE|014FEE34CB989BEEE043814FD8819BEE|1.0|ASSESSMENTS|ASSESSMENTS|GENX|Y|MF|
BL|BASE|014FEE34CB999BEEE043814FD8819BEE|1.0|ASSESMENTS EXPENDITURES|ASSESS EXP|ASEX|Y|MA|
BL|BASR|014FEE34CB9A9BEEE043814FD8819BEE|1.0|ASSESMENTS REVENUE|ASSESS REV|ASRE|Y|EF|
BL|BASS|014FEE34CB9B9BEEE043814FD8819BEE|1.0|BUDGET ASSETS|BUD ASSETS|ASST|Y|NF|
BL|BCAS|014FEE34CB9C9BEEE043814FD8819BEE|1.0|BEGINNING CASH|BEGIN CASH|OTRE|Y|AA|
BL|BCOM|014FEE34CB9D9BEEE043814FD8819BEE|1.0|BUDGET COMPENSATION|BUD COMPENSA|CMPN|Y|EV|
BL|BENF|014FEE34CB9E9BEEE043814FD8819BEE|1.0|BENEFITS|BENEFITS|CMPN|Y|GP|
BL|BFRE|014FEE34CB9F9BEEE043814FD8819BEE|1.0|BUDGET-FEE REMISSION|BUD FEE REM|SCHL|Y|GV|
BL|BGEX|014FEE34CBA09BEEE043814FD8819BEE|1.0|BUDGET-GENERAL EXPENSE|BUD GEN EXP|GENX|Y|HF|
BL|BISA|014FEE34CBA19BEEE043814FD8819BEE|1.0|BI-WEEKLY SALARIES|BIWEEK SAL|CMPN|Y|FV|
BL|BLIA|014FEE34CBA29BEEE043814FD8819BEE|1.0|BUDGET-LIABILITY|BUD LIABILIT|LIAB|Y|PV|
BL|BNDP|014FEE34CBA39BEEE043814FD8819BEE|1.0|BONDS PAYABLE|BONDS PAY|LIAB|Y|SA|
BL|BORE|014FEE34CBA49BEEE043814FD8819BEE|1.0|BUDGET-OTHER REVENUE|BUD OTH REV|OTRE|Y|CP|
BL|BSTF|014FEE34CBA59BEEE043814FD8819BEE|1.0|BUDGET-STUDENT FEES|BUD STU FEES|STFE|Y|AF|
BL|C&G|014FEE34CBA69BEEE043814FD8819BEE|1.0|CONTRACT & GRANTS (SPONS. PROG)|C&G|OTRE|Y|CV|
BL|CAP|014FEE34CBA79BEEE043814FD8819BEE|1.0|CAPITAL ASSETS|CAP ASSETS|CPTL|Y|MP|
BL|CASH|014FEE34CBA89BEEE043814FD8819BEE|1.0|CASH|CASH|ASST|Y|NK|
BL|COMP|014FEE34CBA99BEEE043814FD8819BEE|1.0|COMPUTING SERVICES|COMP SERV|GENX|Y|JP|
BL|CORE|014FEE34CF7C9BEEE043814FD8819BEE|1.0|ALLOTMENTS & CHARGES OUT|ALLOT/CHR:EX|TRSF|Y|DX|
BL|CORI|014FEE34CF889BEEE043814FD8819BEE|1.0|ALLOTMENTS & CHARGES IN|ALLOT/CHR:IN|TRSF|Y|DT|
BL|COSV|014FEE34CBAA9BEEE043814FD8819BEE|1.0|CONTRACTUAL SERVICES|CONTRACT SRV|GENX|Y|KK|
BL|CREX|014FEE34CBAB9BEEE043814FD8819BEE|1.0|COST RECOVERIES-EXPENSE|COST REC EXP|GENX|Y|JK|
BL|CRIN|014FEE34CBAC9BEEE043814FD8819BEE|1.0|COST RECOVERIES-INCOME|COST REC INC|OTRE|Y|EP|
BL|CSEQ|014FEE34CF4C9BEEE043814FD8819BEE|1.0|CASH EQUIVALENTS|CASH EQUIV|ASST|Y|CQ|
BL|DEBT|014FEE34CBAD9BEEE043814FD8819BEE|1.0|FINANCIAL/DEBT SERVICES|DEBT SERV|GENX|Y|HP|
BL|DEFR|014FEE34CF579BEEE043814FD8819BEE|1.0|DEFERRED REVENUE|DEFERRED REV|LIAB|Y|DE|
BL|DEPR|014FEE34CF409BEEE043814FD8819BEE|1.0|DEPRECIATION|DEPRECIATION|GENX|Y|DR|
BL|DIST|014FEE34CBAE9BEEE043814FD8819BEE|1.0|DISTANCE EDUCATION FEES|DISTANCE ED|STFE|Y|CF|
BL|FINA|014FEE34CBAF9BEEE043814FD8819BEE|1.0|STUDENT FINANCIAL AID|FINANCE AID|SCHL|Y|HA|
BL|FUBL|014FEE34CBB09BEEE043814FD8819BEE|1.0|FUND BALANCE|FUND BALANCE|FDBL|Y|SK|
BL|GIFT|014FEE34CBB19BEEE043814FD8819BEE|1.0|GIFTS|GIFTS|OTRE|Y|DF|
BL|HRCO|014FEE34CBB29BEEE043814FD8819BEE|1.0|HOURLY COMPENSATION|HOURLY COMP|CMPN|Y|GK|
BL|ICOE|014FEE34CBB39BEEE043814FD8819BEE|1.0|INDIRECT COST RECOVERY EXPENSE|IND COST EXP|IDEX|Y|JF|
BL|ICOR|014FEE34CBB49BEEE043814FD8819BEE|1.0|INDIRECT COST RECOVERY INCOME|IND COST INC|IDIN|Y|EA|
BL|INS1|014FEE34CBB59BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL SUMMR 1|INSTRUC SUM1|STFE|Y|AP|
BL|INS2|014FEE34CBB69BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL SUMMR 2|INSTRUC SUM2|STFE|Y|BA|
BL|INSF|014FEE34CBB79BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL-FALL|INSTRUC FALL|STFE|Y|BK|
BL|INSS|014FEE34CBB89BEEE043814FD8819BEE|1.0|STU.FEES INSTRUCTIONAL-SPRING|INSTR SPRING|STFE|Y|BV|
BL|INV|014FEE34CBB99BEEE043814FD8819BEE|1.0|INVENTORY|INVENTORY|ASST|Y|PA|
BL|INVA|014FEE34CBBA9BEEE043814FD8819BEE|1.0|INVESTMENTS|INVEST|ASST|Y|PK|
BL|INVR|014FEE34CBBB9BEEE043814FD8819BEE|1.0|INVESTMENTS|INVEST|OTRE|Y|DA|
BL|NC|014FEE34CBBC9BEEE043814FD8819BEE|1.0|NON-CAPITAL EQUIPMENT|NON-CAPITAL|GENX|Y|LK|
BL|NORE|014FEE34CBBD9BEEE043814FD8819BEE|1.0|NOTES RECEIVABLE|NOTES REC|ASST|Y|NV|
BL|NOTP|014FEE34CBBE9BEEE043814FD8819BEE|1.0|NOTES PAYABLE|NOTES PAY|LIAB|Y|RV|
BL|OASS|014FEE34CBBF9BEEE043814FD8819BEE|1.0|OTHER|OTHER ASSETS|ASST|Y|PF|
BL|OEXP|014FEE34CBC09BEEE043814FD8819BEE|1.0|OTHER SPECIFIC OPERATING EXPENSE|OTHER EXP|GENX|Y|LP|
BL|OLIA|014FEE34CBC19BEEE043814FD8819BEE|1.0|OTHER LIABILITIES|OTHER LIAB|LIAB|Y|SF|
BL|OTH1|014FEE34CBC29BEEE043814FD8819BEE|1.0|STUDENT FEES-OTHER SUMMER 1|OTHER SUM1|STFE|Y|AV|
BL|OTH2|014FEE34CBC39BEEE043814FD8819BEE|1.0|STUDENT FEES-OTHER SUMMER 2|OTHER SUM2|STFE|Y|BF|
BL|OTHF|014FEE34CBC49BEEE043814FD8819BEE|1.0|STUDENT FEES OTHER-FALL|OTHER FALL|STFE|Y|BP|
BL|OTHL|014FEE34CF789BEEE043814FD8819BEE|1.0|OTHER LONG-TERM LIAB|OTH LT LIAB|LIAB|Y|OL|
BL|OTHR|014FEE34CBC59BEEE043814FD8819BEE|1.0|OTHER REVENUE|OTHER REV|OTRE|Y|DP|
BL|OTHS|014FEE34CBC69BEEE043814FD8819BEE|1.0|STUDENT FEES OTHER -SPRING|OTHER SPRING|STFE|Y|CA|
BL|PART|014FEE34CBC79BEEE043814FD8819BEE|1.0|PART-TIME INSTRUCTIONS - NON STUDENT|P-T INSTRUCT|CMPN|Y|FF|
BL|PHON|014FEE34CBC89BEEE043814FD8819BEE|1.0|TELEPHONE & POSTAGE|TELE POST|GENX|Y|JV|
BL|PLNT|014FEE34CBC99BEEE043814FD8819BEE|1.0|PLANT|PLANT|ASST|Y|PP|
BL|PRIN|014FEE34CBCA9BEEE043814FD8819BEE|1.0|PRINTING AND DUPLICATING|PRINT DUPL|GENX|Y|KA|
BL|PRSA|014FEE34CBCB9BEEE043814FD8819BEE|1.0|PROFESSIONAL SALARIES|PROF SAL|CMPN|Y|FP|
BL|R&M|014FEE34CBCC9BEEE043814FD8819BEE|1.0|REPAIRS AND MAINTENANCE|REPAIR MAINT|GENX|Y|KV|
BL|RENT|014FEE34CBCD9BEEE043814FD8819BEE|1.0|RENTS AND NON-CAPITAL LEASES|RENTS|GENX|Y|KP|
BL|RESA|014FEE34CBCE9BEEE043814FD8819BEE|1.0|PURCHASES FOR RESALE|RESALE|GENX|Y|LV|
BL|RESV|014FEE34CBCF9BEEE043814FD8819BEE|1.0|RESERVES|RESERVES|RSRX|Y|NA|
BL|S&E|014FEE34CBD09BEEE043814FD8819BEE|1.0|SUPPLIES AND GENERAL EXPENSE|S&E|GENX|Y|LF|
BL|S&S|014FEE34CBD09BEEE043814FD8819BEX|1.0|SUPPLIES AND GENERAL STUFF|S&S|GENX|Y|LF|
BL|SAAC|014FEE34CBD19BEEE043814FD8819BEE|1.0|SALARY ACCRUAL EXPENSES|SAL ACCRUAL|CMPN|Y|GF|
BL|SAAP|014FEE34CBD29BEEE043814FD8819BEE|1.0|STUDENT ACADEMIC APPOINTEES|STUDENT ACAD|CMPN|Y|FK|
BL|SASV|014FEE34CBD39BEEE043814FD8819BEE|1.0|SALES AND SERVICES|SALESSERV|OTRE|Y|DK|
BL|SERV|014FEE34CBD49BEEE043814FD8819BEE|1.0|OTHER SERVICES|OTHER SERV|GENX|Y|KF|
BL|SINV|014FEE34CF639BEEE043814FD8819BEE|1.0|SHORT-TERM INVESTMENTS|S-T INVEST|ASST|Y|ST|
BL|STAP|014FEE34CBD59BEEE043814FD8819BEE|1.0|STATE APPROPRIATIONS|STATE APPROP|SAPR|Y|CK|
BL|STUF|014FEE34CBD69BEEE043814FD8819BEE|1.0|STUDENT FEES|STUDENT FEES|STFE|Y|AK|
BL|SUPL|014FEE34CBD79BEEE043814FD8819BEE|1.0|SUPPLEMENTAL PAYS|SUPPLMNT PAY|CMPN|Y|GA|
BL|TAX|014FEE34CBD89BEEE043814FD8819BEE|1.0|TAXES|TAXES|GENX|Y|HV|
BL|TAXP|014FEE34CBD99BEEE043814FD8819BEE|1.0|TAXES PAYABLE|TAX PAY|LIAB|Y|RP|
BL|TRAN|014FEE34CBDA9BEEE043814FD8819BEE|1.0|TRANSFER OF FUNDS|TRANSFER|TRSF|Y|SP|
BL|TRAV|014FEE34CBDB9BEEE043814FD8819BEE|1.0|TRAVEL|TRAVEL|TRVL|Y|MK|
BL|TREX|014FEE34CF959BEEE043814FD8819BEE|1.0|TRANSFER - 5199 EXP|TRSF-EXPENSE|TRSF|Y|DZ|
BL|TRFE|014FEE34CBDC9BEEE043814FD8819BEE|1.0|TRANSFER - EXPENSE|TRANSFER-EXP|TFEX|N|MV|
BL|TRFI|014FEE34CBDD9BEEE043814FD8819BEE|1.0|TRANSFER - INCOME|TRANSFER-INC|TFIN|N|EK|
BL|TRIN|014FEE34CBDE9BEEE043814FD8819BEE|1.0|TRANSFER - 1699 INC|TRNSF-INCOME|TRSF|Y|DV|
BL|UTIL|014FEE34CBDF9BEEE043814FD8819BEE|1.0|ENERGY AND UTILITIES|UTILITIES|GENX|Y|HK|
BL|VADJ|014FEE34CBE09BEEE043814FD8819BEE|1.0|VALUATIONS AND ADJUSTMENTS|VAL AND ADJ|GENX|Y|JA|
EA|ACLI|014FEE34CBE19BEEE043814FD8819BEE|1.0|ACCRUED LIABILITIES|ACCR LIAB|LIAB|Y|RK|
EA|ACPA|014FEE34CBE29BEEE043814FD8819BEE|1.0|ACCOUNTS PAYABLE|ACCT PAY|LIAB|Y|RA|
EA|ACPY|014FEE34CBE39BEEE043814FD8819BEE|1.0|ACCRUED PAYROLL|ACCR PAYROLL|LIAB|Y|RF|
EA|ACSA|014FEE34CBE49BEEE043814FD8819BEE|1.0|ACADEMIC SALARIES|ACADEMIC SAL|CMPN|Y|FA|
EA|ADV|014FEE34CBE59BEEE043814FD8819BEE|1.0|ADVERTISING AND PROMOTIONAL EXP|ADVERT PROMO|GENX|Y|LA|
EA|AR|014FEE34CBE69BEEE043814FD8819BEE|1.0|ACCOUNTS RECEIVABLE|ACCT RECV|ASST|Y|NP|
EA|ASSE|014FEE34CBE79BEEE043814FD8819BEE|1.0|ASSESSMENTS|ASSESSMENTS|GENX|Y|MF|
EA|BASE|014FEE34CBE89BEEE043814FD8819BEE|1.0|ASSESMENTS EXPENDITURES|ASSESS EXP|ASEX|Y|MA|
EA|BASR|014FEE34CBE99BEEE043814FD8819BEE|1.0|ASSESMENTS REVENUE|ASSESS REV|ASRE|Y|EF|
EA|BASS|014FEE34CBEA9BEEE043814FD8819BEE|1.0|BUDGET ASSETS|BUD ASSETS|ASST|Y|NF|
EA|BCAS|014FEE34CBEB9BEEE043814FD8819BEE|1.0|BEGINNING CASH|BEGIN CASH|OTRE|Y|AA|
EA|BCOM|014FEE34CBEC9BEEE043814FD8819BEE|1.0|BUDGET COMPENSATION|BUD COMPENSA|CMPN|Y|EV|
EA|BENF|014FEE34CBED9BEEE043814FD8819BEE|1.0|BENEFITS|BENEFITS|CMPN|Y|GP|
EA|BFRE|014FEE34CBEE9BEEE043814FD8819BEE|1.0|BUDGET-FEE REMISSION|BUD FEE REM|SCHL|Y|GV|
EA|BGEX|014FEE34CBEF9BEEE043814FD8819BEE|1.0|BUDGET-GENERAL EXPENSE|BUD GEN EXP|GENX|Y|HF|
EA|BISA|014FEE34CBF09BEEE043814FD8819BEE|1.0|BI-WEEKLY SALARIES|BIWEEK SAL|CMPN|Y|FV|
EA|BLIA|014FEE34CBF19BEEE043814FD8819BEE|1.0|BUDGET-LIABILITY|BUD LIABILIT|LIAB|Y|PV|
EA|BNDP|014FEE34CBF29BEEE043814FD8819BEE|1.0|BONDS PAYABLE|BONDS PAY|LIAB|Y|SA|
EA|BORE|014FEE34CBF39BEEE043814FD8819BEE|1.0|BUDGET-OTHER REVENUE|BUD OTH REV|OTRE|Y|CP|
EA|BSTF|014FEE34CBF49BEEE043814FD8819BEE|1.0|BUDGET-STUDENT FEES|BUD STU FEES|STFE|Y|AF|
EA|C&G|014FEE34CBF59BEEE043814FD8819BEE|1.0|CONTRACT & GRANTS (SPONS. PROG)|C&G|OTRE|Y|CV|
EA|CAP|014FEE34CBF69BEEE043814FD8819BEE|1.0|CAPITAL ASSETS|CAP ASSETS|CPTL|Y|MP|
EA|CASH|014FEE34CBF79BEEE043814FD8819BEE|1.0|CASH|CASH|ASST|Y|NK|
EA|COMP|014FEE34CBF89BEEE043814FD8819BEE|1.0|COMPUTING SERVICES|COMP SERV|GENX|Y|JP|
EA|CORE|014FEE34CF7D9BEEE043814FD8819BEE|1.0|ALLOTMENTS & CHARGES OUT|ALLOT/CHR:EX|TRSF|Y|DX|
