position_nbr|univ_fiscal_yr|ver_nbr|pos_effdt|pos_eff_status|posn_status|budgeted_posn|confidential_posn|pos_std_hrs_dflt|pos_reg_temp|pos_fte|iu_norm_work_months|iu_pay_months|pos_descr|setid_dept|pos_deptid|rc_cd|pos_union_cd|pos_sal_plan_dflt|pos_grade_dflt|setid_jobcode|jobcode|jbcd_descr|setid_salary|iu_dflt_obj_cd|iu_position_type|pos_lock_usr_id|
00005493|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005494|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005495|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005496|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005497|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005498|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005499|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005500|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005501|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005502|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005504|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005506|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005507|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005508|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005509|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005512|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005513|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005514|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005515|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005518|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00007463|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00007960|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00007964|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00008115|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00008146|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00008189|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00008311|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2480|SM||
00008376|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00008993|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00009186|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00009323|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00009324|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00009335|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00009362|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00009529|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00009864|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00011139|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00011884|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00011928|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00012005|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00012017|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00012043|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00012200|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00012392|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00012417|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00012431|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00012703|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00012774|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00013158|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00013299|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00013427|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00013642|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-ARSD|04||SS|0D|||||2500|SB||
00013674|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00013842|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00014462|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00014644|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00014789|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00014806|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00014986|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00015122|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00015209|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00015213|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00015281|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00015441|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00016117|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00016150|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00016310|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00016324|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00016473|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00016603|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00016955|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00017008|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00017031|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00017098|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00017149|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00017313|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00017659|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00017884|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00018034|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00018053|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00018526|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00018590|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00018785|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00019192|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00019196|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00019261|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00019694|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00019760|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00019811|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00019967|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00019971|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00020178|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00020179|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00020271|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00020348|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2480|SM||
00020716|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00020748|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00021184|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00021506|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00021681|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00021694|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00021695|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00021696|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00021697|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00021767|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00022120|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00022258|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022259|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022704|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022769|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022771|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022783|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00022907|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023368|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023485|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023644|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00023732|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00023910|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023941|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023942|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00023943|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00023944|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00024059|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00024173|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00024193|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00026148|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00026159|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00026345|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00026784|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00027131|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00027132|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-VPIT|66||AC1|FTX|||||2000|AC||
00027133|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00027138|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00027316|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00027527|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00028249|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00028294|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00028779|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||PAE|5AD|||||2400|SM||
00029071|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00029072|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00029123|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00029301|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029499|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00029560|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029613|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029655|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029656|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029657|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00029711|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
