fin_coa_cd|account_nbr|obj_id|ver_nbr|account_nm|acct_fsc_ofc_uid|acct_spvsr_unvl_id|acct_mgr_unvl_id|org_cd|acct_typ_cd|acct_phys_cmp_cd|sub_fund_grp_cd|acct_frng_bnft_cd|fin_hgh_ed_func_cd|acct_rstrc_stat_cd|acct_rstrc_stat_dt|acct_city_nm|acct_state_cd|acct_street_addr|acct_zip_cd|rpts_to_fin_coa_cd|rpts_to_acct_nbr|acct_create_dt|acct_effect_dt|acct_expiration_dt|cont_fin_coa_cd|cont_account_nbr|endow_fin_coa_cd|endow_account_nbr|contr_ctrl_fcoa_cd|contr_ctrlacct_nbr|income_fin_coa_cd|income_account_nbr|acct_icr_typ_cd|ac_cstm_icrexcl_cd|fin_series_id|icr_fin_coa_cd|icr_account_nbr|acct_in_fp_cd|bdgt_rec_lvl_cd|acct_sf_cd|acct_pnd_sf_cd|fin_ext_enc_sf_cd|fin_int_enc_sf_cd|fin_pre_enc_sf_cd|fin_obj_prsctrl_cd|cg_cfda_nbr|acct_off_cmp_ind|acct_closed_ind|
BA|9020175|014C92B06BF7A16EE043814FD881A16E|1.0|CAMPUS PARKING LOTS RESURFACE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20021216000000|20021216000000||||||||BA|9020175||||||N|O|N|N|N|N|N|N||N|N|
BA|9020204|014C92B06C2AA16EE043814FD881A16E|1.0|CAMPUS PARK LOT IMPROVEMENT 2004|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040414000000|20040414000000||||||||BA|9020204||||||N|O|N|N|N|N|N|N||N|N|
BA|9020224|014C92B06BBDA16EE043814FD881A16E|1.0|EIGENMANN PARKING LOT IMPROVEMENTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20001127000000|20001127000000||||||||BA|9020224||||||N|O|N|N|N|N|N|N||N|N|
BA|9020391|014C92B06BEAA16EE043814FD881A16E|1.0|HENDERSON PARKING GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020422000000|20020422000000||||||||BA|9020391||||||N|O|N|N|N|N|N|N||N|N|
BA|9020650|014C92B06BE3A16EE043814FD881A16E|1.0|PURPLE LOT PAVE/REINFORCE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||||||||BA|9020650||||||N|O|N|N|N|N|N|N||N|N|
BA|9020805|014C92B06BE2A16EE043814FD881A16E|1.0|COAT/RESTRIPE THREE PARKING LOTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||||||||BA|9020805||||||N|O|N|N|N|N|N|N||N|N|
BA|9020857|014C92B06BE4A16EE043814FD881A16E|1.0|THEATRE ANNEX PARKING LOT IMPROVE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||||||||BA|9020857||||||N|N|N|N|N|N|N|N||N|N|
BA|9020860|014C92B06BF1A16EE043814FD881A16E|1.0|TENTH ST AND LAW LANE PARK GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020812000000|20020812000000||||||||BA|9020860||||||N|O|N|N|N|N|N|N||N|N|
BA|9021004|014C92B06C32A16EE043814FD881A16E|1.0|VARIOUS PARK LOTS STRIPE/CURB REP|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040806000000|20040806000000||||||||BA|9021004||||||N|O|N|N|N|N|N|N||N|N|
BA|9021104|014C92B06BBEA16EE043814FD881A16E|1.0|REC SPORTS & BELL TOWER PARK LOT|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20001127000000|20001127000000||||||||BA|9021104||||||N|O|N|N|N|N|N|N||N|N|
BA|9120656|014C92B069D6A16EE043814FD881A16E|1.0|IU FACILITY REVENUE BONDS 94|5359205388|5557907664|2367402565|PARK|NA|BL|PFRI|N|NA|U||BLOOMINGTON|IN|POPLARS 236|47405|UA|6612160|19960426000000|19960426000000||||||||BA|9120656||||||N|N|N|N|N|N|N|N||N|N|
BA|9120657|014C92B06BBFA16EE043814FD881A16E|1.0|IU FACILITY REVENUE BONDS 2000|5359205388|5557907664|2367402565|PARK|NA|BL|PFRI|N|NA|U||BLOOMINGTON|IN|POPLARS 236|47405|UA|6612160|20001213000000|20001213000000||||||||BA|9120656||||||N|O|N|N|N|N|N|N||N|N|
BA|9244901|014C92B069D7A16EE043814FD881A16E|1.0|PARKING DEBT SERVICE COVERAGE RESERVE|3771403079|4219606069|3771403079|PARK|NA|BL|PFRR|N|NA|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|UA|6612160|19870827000000|19870827000000||||||||BA|9244901||||||N|N|N|N|N|N|N|N||N|N|
BA|9244940|014C92B06BD8A16EE043814FD881A16E|1.0|PARKING LOT MAINT AND MAJOR REPAIR|3771403079|4219606069|3771403079|PARK|NA|BL|PFRR|N|NA|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BA|6044900|20010810000000|20010810000000|||||||||||||||N|N|N|N|N|N|N|N||N|N|
BA|9544900|014C92B069D8A16EE043814FD881A16E|1.0|NET PLANT INVESTMENT - PARKING OPERATION|5273000148|2891402154|4219606069|PARK|NA|BL|PFIP|N|NA|U||BLOOMINGTON|IN|POPLARS 537|47405|BA|6044900|19960321000000|19960322000000||||||||BA|9544900||||||N|N|N|N|N|N|N|N||N|N|
BL|0211101|1D5F9493A2509052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211102|1D5F9493A2519052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211103|1D5F9493A2529052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211104|1D5F9493A2539052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211105|1D5F9493A2549052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211106|1D5F9493A2559052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211107|1D5F9493A2569052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211108|1D5F9493A2579052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211109|1D5F9493A2589052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N|
BL|0211201|1D5F9493A2599052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211202|1D5F9493A25A9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211203|1D5F9493A25B9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211204|1D5F9493A25C9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211205|1D5F9493A25D9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211206|1D5F9493A25E9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211207|1D5F9493A25F9052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211208|1D5F9493A2609052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012555-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211209|1D5F9493A2619052E043814FD8819052|1.0|NIH-NIAAA/ R37 AA012502-05/ XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20000613000000|20000601000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|C|Y|Y|Y|Y|N|93.273|N|N|
BL|0211301|1D5F9493A2629052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211302|1D5F9493A2639052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211303|1D5F9493A2649052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211304|1D5F9493A2659052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211305|1D5F9493A2669052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211306|1D5F9493A2679052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211307|1D5F9493A2689052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211308|1D5F9493A2699052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211309|1D5F9493A26A9052E043814FD8819052|1.0|FAC RES - XXXXX - PSYCHOLOGY|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|Psychology|47405|||19970403000000|19970403000000||BL|2331489|||||BL|1023287||||||N|O|H|Y|N|N|N|N||N|N|
BL|0211401|1D5F9493A26B9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211402|1D5F9493A26C9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211403|1D5F9493A26D9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211404|1D5F9493A26E9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211405|1D5F9493A26F9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211406|1D5F9493A2709052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211407|1D5F9493A2719052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211408|1D5F9493A2729052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211409|1D5F9493A2739052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|H|Y|Y|Y|Y|N|93.242|N|N|
BL|0211501|1D5F9493A2749052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211502|1D5F9493A2759052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211503|1D5F9493A2769052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211504|1D5F9493A2779052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211505|1D5F9493A2789052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211506|1D5F9493A2799052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211507|1D5F9493A27A9052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211508|1D5F9493A27B9052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211509|1D5F9493A27C9052E043814FD8819052|1.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|L|Y|N|N|N|N||N|N|
BL|0211601|1D5F9493A27D9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|L|Y|Y|Y|Y|N|93.242|N|N|
BL|0211602|1D5F9493A27E9052E043814FD8819052|1.0|NIH-NIMH/ R01 MH062555-04/XXXXX|4318506633|3889504703|4318506633|PSY|NA|BL|FEDERJ|Y|IPR|R||BLOOMINGTON|IN|PSYCHOLOGY 122|47405-1301|||20010402000000|20010401000000||BL|2331489|||||UA|6812756|21||092|BL|1023287|N|O|L|Y|Y|Y|Y|N|93.242|N|N|
