univ_fiscal_yr|fin_series_id|awrd_icr_entry_nbr|obj_id|ver_nbr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|trn_debit_crdt_cd|awrd_icr_rate_pct|acct_icr_rate_actv_ind|
2009.0|012|1.0|CCD1C1FA-50F0-52DC-4393-8C5C87D9112B|1.0|@|@|@|5500|---|D|7.64|Y|
2009.0|012|2.0|AE122FFD-88BB-98D8-C193-3324158E97F2|1.0|#|#|-----|1803|---|C|7.64|Y|
2009.0|013|1.0|D4A6856C-C9FF-3F51-1673-0CDCAA249832|1.0|@|@|@|5500|---|D|7.8|Y|
2009.0|013|2.0|3348864A-078E-C03F-67CA-C77D643C7B84|1.0|#|#|-----|1803|---|C|7.8|Y|
2009.0|014|1.0|620391D0-9DED-87DC-E66F-00DBE0A7AC0D|1.0|@|@|@|5500|---|D|8.0|Y|
2009.0|014|2.0|7B1734F7-77B7-5A66-9303-3DE2FE75F8DD|1.0|#|#|-----|1803|---|C|8.0|Y|
2009.0|015|1.0|473C1167-D4AD-3247-11D5-DB8F24A22595|1.0|@|@|@|5500|---|D|8.64|Y|
2009.0|015|2.0|808CA61E-6BD2-795F-89E7-72086E027408|1.0|#|#|-----|1803|---|C|8.64|Y|
2009.0|016|1.0|F8C17B48-0E18-EFE3-ACC2-3BE2517E61CF|1.0|@|@|@|5500|---|D|9.0|Y|
2009.0|016|2.0|C59F477C-13B8-4C9A-4361-BEA1FFF424CB|1.0|#|#|-----|1803|---|C|9.0|Y|
2009.0|017|1.0|2EF37BBE-E0B9-BBF0-97A9-31F51BE1A790|1.0|@|@|@|5500|---|D|9.8|Y|
2009.0|017|2.0|6918398E-7A74-98EE-6C62-C31BD42F7963|1.0|#|#|-----|1803|---|C|9.8|Y|
2009.0|018|1.0|E390D5C5-4E74-8283-C221-DC2EB0902745|1.0|@|@|@|5500|---|D|10.0|Y|
2009.0|018|2.0|B6EF91AF-3E53-6093-576B-622E4019E994|1.0|#|#|-----|1803|---|C|10.0|Y|
2009.0|019|1.0|BE9F5A1C-1214-8B8C-21C1-B5C07514C9E8|1.0|@|@|@|5500|---|D|10.95|Y|
2009.0|019|2.0|EB9F3324-ECC0-A791-97F7-634781A70AED|1.0|#|#|-----|1803|---|C|10.95|Y|
2009.0|020|1.0|C4280A34-5C3B-143B-FF7B-343D4F4B9D52|1.0|@|@|@|5500|---|D|11.0|Y|
2009.0|020|2.0|1E56F39C-6FEE-1407-9652-FA10F61F709A|1.0|#|#|-----|1803|---|C|11.0|Y|
2009.0|021|1.0|9FEE7538-6F5F-103F-A46F-31EA5B8E27AB|1.0|@|@|@|5500|---|D|11.11|Y|
2009.0|021|2.0|D1B7EE0E-1D1C-F94E-C611-B0135C69D392|1.0|#|#|-----|1803|---|C|11.11|Y|
2009.0|022|1.0|1E8ACB63-2E87-027E-1981-D697E7CFEA88|1.0|@|@|@|5500|---|D|11.14|Y|
2009.0|022|2.0|B0F919B2-AB4E-C16B-EB48-C4E3981C567B|1.0|#|#|-----|1803|---|C|11.14|Y|
2009.0|023|1.0|37545918-AC24-F384-CB40-8784521DC568|1.0|@|@|@|5500|---|D|11.5|Y|
2009.0|023|2.0|4B129B4F-D1CC-000E-5E75-99B340399FC0|1.0|#|#|-----|1803|---|C|11.5|Y|
2009.0|024|1.0|7F4504C4-FE29-518A-B1E4-3E069D0C9B5A|1.0|@|@|@|5500|---|D|12.0|Y|
2009.0|024|2.0|C6385A3A-CC3F-154B-F8B1-1698EBA30ACD|1.0|#|#|-----|1803|---|C|12.0|Y|
2009.0|025|1.0|8BD1FDAF-FBDC-B05C-D221-B38F85ACB5A3|1.0|@|@|@|5500|---|D|12.46|Y|
2009.0|025|2.0|C9269100-133C-BAB4-D8C3-BBACF8745295|1.0|#|#|-----|1803|---|C|12.46|Y|
2009.0|026|1.0|E02335ED-AB45-51E2-C58D-8EF76C36FAA8|1.0|@|@|@|5500|---|D|12.5|Y|
2009.0|026|2.0|E856B801-AB96-A506-0C0F-C91397268EBE|1.0|#|#|-----|1803|---|C|12.5|Y|
2009.0|027|1.0|3E61F943-911D-6374-C674-4B8F8CE9CAC4|1.0|@|@|@|5500|---|D|12.54|Y|
2009.0|027|2.0|1C49E7CD-B01D-0385-9FEA-B8EE7616B7EE|1.0|#|#|-----|1803|---|C|12.54|Y|
2009.0|028|1.0|B3AEE523-CFEA-7489-5CFF-1EA3F89A4106|1.0|@|@|@|5500|---|D|12.78|Y|
2009.0|028|2.0|48DCD0E9-A8EF-BF95-963F-3788436C899C|1.0|#|#|-----|1803|---|C|12.78|Y|
2009.0|029|1.0|AF4B85F7-1315-61B1-EE7A-D45B8C855B3C|1.0|@|@|@|5500|---|D|13.0|Y|
2009.0|029|2.0|8CCBA05D-713E-C988-52C1-F8EF1D845138|1.0|#|#|-----|1803|---|C|13.0|Y|
2009.0|030|1.0|9A064E09-684E-B96C-1D0B-353B4DC8A322|1.0|@|@|@|5500|---|D|14.0|Y|
2009.0|030|2.0|17C6BB27-E278-55C6-F0C8-8D4C6F9CF3D7|1.0|#|#|-----|1803|---|C|14.0|Y|
2009.0|031|1.0|E70DEA51-8E18-8FFB-ABBB-07519746406A|1.0|@|@|@|5500|---|D|15.0|Y|
2009.0|031|2.0|FD7DA1C2-E934-0599-A7D1-12A4C1DD3221|1.0|#|#|-----|1803|---|C|15.0|Y|
2009.0|032|1.0|48692E5E-3725-7C05-CC77-879DB442BC9F|1.0|@|@|@|5500|---|D|15.92|Y|
2009.0|032|2.0|E5E8D78D-3BE5-4FA1-CD0F-337F8CC76877|1.0|#|#|-----|1803|---|C|15.92|Y|
2009.0|033|1.0|710DD8A5-F0CA-A042-E0A8-7297FFE06A97|1.0|@|@|@|5500|---|D|16.0|Y|
2009.0|033|2.0|3CC9780A-4B9B-804A-9F96-3AEE0F6C5020|1.0|#|#|-----|1803|---|C|16.0|Y|
2009.0|034|1.0|550192A3-731A-8E21-EB60-18F7E6B2B159|1.0|@|@|@|5500|---|D|16.19|Y|
2009.0|034|2.0|87B9E389-0B36-B83F-F4A3-95029EDA73C5|1.0|#|#|-----|1803|---|C|16.19|Y|
2009.0|035|1.0|BC113868-00A2-447C-00AF-2DF2CDC8574B|1.0|@|@|@|5500|---|D|17.0|Y|
2009.0|035|2.0|03376E18-6C84-A45B-ED34-D7D645E1A830|1.0|#|#|-----|1803|---|C|17.0|Y|
2009.0|036|1.0|1EF2CB6C-41A6-6CE0-D300-5A7839F8CE40|1.0|@|@|@|5500|---|D|17.33|Y|
2009.0|036|2.0|58F39C93-4D2A-7847-E317-6077D73E2A4D|1.0|#|#|-----|1803|---|C|17.33|Y|
2009.0|037|1.0|C32C6347-51A9-9CDD-5EE9-72EB15775C7E|1.0|@|@|@|5500|---|D|17.34|Y|
2009.0|037|2.0|EF185A8F-62B4-7394-FD1D-A6069932FFBE|1.0|#|#|-----|1803|---|C|17.34|Y|
2009.0|038|1.0|5D75AC6C-88D7-3BD5-6C02-A0B08C8C25BA|1.0|@|@|@|5500|---|D|17.44|Y|
2009.0|038|2.0|05A45C68-0625-4826-0978-FE1A384C7558|1.0|#|#|-----|1803|---|C|17.44|Y|
2009.0|039|1.0|9AA0F596-AB92-E2E4-F262-AF11F6B6C493|1.0|@|@|@|5500|---|D|18.0|Y|
2009.0|039|2.0|970F37CF-1675-B966-6F8F-8A0769D43862|1.0|#|#|-----|1803|---|C|18.0|Y|
2009.0|040|1.0|6CEABC95-14C0-87AF-9787-C97C0C4701A5|1.0|@|@|@|5500|---|D|18.18|Y|
2009.0|040|2.0|3B7F5493-697D-0A4A-320B-CE0E0C2C2836|1.0|#|#|-----|1803|---|C|18.18|Y|
2009.0|041|1.0|7A96B5E9-79B9-2634-2E98-631592ECA7E6|1.0|@|@|@|5500|---|D|20.0|Y|
2009.0|041|2.0|37B83B0C-9ADB-0D6C-82C7-7F257348AFA8|1.0|#|#|-----|1803|---|C|20.0|Y|
2009.0|042|1.0|DCC7ED11-B3BC-13DD-A23C-9D7604232378|1.0|@|@|@|5500|---|D|20.12|Y|
2009.0|042|2.0|E7DF3705-8EF8-A09A-20FD-727FFA426555|1.0|#|#|-----|1803|---|C|20.12|Y|
2009.0|043|1.0|1740EC14-34B5-2B1A-0B39-4A3F051EBA00|1.0|@|@|@|5500|---|D|20.6|Y|
2009.0|043|2.0|19E6384C-3B9C-7D51-8E7F-6AD7DA64C077|1.0|#|#|-----|1803|---|C|20.6|Y|
2009.0|044|1.0|8AEF4497-91D3-4AF8-4B2D-FC7F0EFC91BA|1.0|@|@|@|5500|---|D|20.66|Y|
2009.0|044|2.0|576D7136-1A55-D5CE-4A14-79FED0405932|1.0|#|#|-----|1803|---|C|20.66|Y|
2009.0|045|1.0|B4463D5B-6816-8E4F-8188-7E8A8A5A99B1|1.0|@|@|@|5500|---|D|20.73|Y|
2009.0|045|2.0|2F97C753-7DEF-C22E-34D0-82F513A8F8C2|1.0|#|#|-----|1803|---|C|20.73|Y|
2009.0|046|1.0|2EA3DA55-4CEA-CBB1-8E15-505C2813441B|1.0|@|@|@|5500|---|D|21.33|Y|
2009.0|046|2.0|56CEA4BE-53B7-FD08-E4E9-7756F588BB0A|1.0|#|#|-----|1803|---|C|21.33|Y|
2009.0|047|1.0|5CC8ACF9-BD44-BBB0-5638-21B18DB9B168|1.0|@|@|@|5500|---|D|21.8|Y|
2009.0|047|2.0|2EFC9591-B8B9-CBF4-3248-B9EE3AC484A6|1.0|#|#|-----|1803|---|C|21.8|Y|
2009.0|048|1.0|3326B49D-CB05-82C2-29B4-D760470C2A7E|1.0|@|@|@|5500|---|D|22.0|Y|
2009.0|048|2.0|7A407DE5-24DF-5BC2-DC43-A05453FD71F1|1.0|#|#|-----|1803|---|C|22.0|Y|
2009.0|049|1.0|6B31BC9C-EAB0-60E3-CF65-ED171D571732|1.0|@|@|@|5500|---|D|22.26|Y|
2009.0|049|2.0|A77F18DC-5C07-D0EF-6497-673FAC22CA01|1.0|#|#|-----|1803|---|C|22.26|Y|
2009.0|050|1.0|AF884961-A276-3E87-41B8-6A86347B8454|1.0|@|@|@|5500|---|D|23.0|Y|
2009.0|050|2.0|3BEFCE81-4331-3AD3-A597-FD04D47295C7|1.0|#|#|-----|1803|---|C|23.0|Y|
2009.0|051|1.0|844330BE-E70C-FCA6-0DDF-97C79035252E|1.0|@|@|@|5500|---|D|23.5|Y|
2009.0|051|2.0|6E72C99F-87C9-8001-C916-381381CC8B8E|1.0|#|#|-----|1803|---|C|23.5|Y|
2009.0|052|1.0|158B2CA8-835C-F4C7-2458-CB7FAB6CC145|1.0|@|@|@|5500|---|D|23.73|Y|
2009.0|052|2.0|0843165A-2DC2-B621-031E-193169280B4B|1.0|#|#|-----|1803|---|C|23.73|Y|
2009.0|053|1.0|F55A78E5-FFA0-84CB-4AC8-A7316D83FB2C|1.0|@|@|@|5500|---|D|24.2|Y|
2009.0|053|2.0|10C127D1-BFC6-13B2-E26F-B1AA38357FDD|1.0|#|#|-----|1803|---|C|24.2|Y|
2009.0|054|1.0|09CA40C7-5B29-D879-FC33-C647642B3A32|1.0|@|@|@|5500|---|D|25.0|Y|
2009.0|054|2.0|330024D3-A5AD-C209-D279-86F89CF2BBC2|1.0|#|#|-----|1803|---|C|25.0|Y|
2009.0|055|1.0|209DE862-D19E-8A5F-8345-76AB9CC8A96A|1.0|@|@|@|5500|---|D|25.3|Y|
2009.0|055|2.0|C02BDE9A-2FDB-3CD8-F756-A3950D61E128|1.0|#|#|-----|1803|---|C|25.3|Y|
2009.0|056|1.0|A4F6C13E-951C-18D4-CE5B-E12C0C8B5A49|1.0|@|@|@|5500|---|D|26.0|Y|
2009.0|056|2.0|7FBA3D6C-7317-8741-6261-F654E6EB0659|1.0|#|#|-----|1803|---|C|26.0|Y|
2009.0|057|1.0|5B9A4D72-A4A3-D82B-99CF-BB4439D5B852|1.0|@|@|@|5500|---|D|26.2|Y|
2009.0|057|2.0|86A00E46-F8C0-28EF-3D1A-FFCC450186FC|1.0|#|#|-----|1803|---|C|26.2|Y|
2009.0|058|1.0|132A9C83-496E-E7FB-488D-B13DF1118185|1.0|@|@|@|5500|---|D|26.4|Y|
2009.0|058|2.0|7979925E-364E-36A3-6DFF-19474D540914|1.0|#|#|-----|1803|---|C|26.4|Y|
2009.0|059|1.0|B063C189-DFAC-9563-3154-A38EBCA28907|1.0|@|@|@|5500|---|D|26.5|Y|
2009.0|059|2.0|B6F3CF47-8B76-373B-39AE-F39525CD49D8|1.0|#|#|-----|1803|---|C|26.5|Y|
2009.0|060|1.0|0C50E61A-9312-1111-CA53-B2587EDFFEEE|1.0|@|@|@|5500|---|D|27.0|Y|
2009.0|060|2.0|CD5D5163-0C79-7679-4278-F136568B6F0E|1.0|#|#|-----|1803|---|C|27.0|Y|
2009.0|061|1.0|0336A437-12F9-D9E3-FF34-BDB0D80A8596|1.0|@|@|@|5500|---|D|27.3|Y|
2009.0|061|2.0|EF8E63AC-8069-C55D-CDA5-A958DC4BFF4D|1.0|#|#|-----|1803|---|C|27.3|Y|
2009.0|062|1.0|EB18B924-8210-5FA9-C822-AD380E6E20E8|1.0|@|@|@|5500|---|D|27.7|Y|
2009.0|062|2.0|8B3384AE-BDE7-C9C7-024D-4F315526E260|1.0|#|#|-----|1803|---|C|27.7|Y|
2009.0|063|1.0|07D6539D-A9AC-529D-3BC1-87F9E00943D7|1.0|@|@|@|5500|---|D|28.0|Y|
2009.0|063|2.0|A958D169-212D-A8C8-74DD-F48E0E378EE8|1.0|#|#|-----|1803|---|C|28.0|Y|
2009.0|064|1.0|F84C1307-329C-3D6D-90BD-92DDAA0F9678|1.0|@|@|@|5500|---|D|28.66|Y|
2009.0|064|2.0|C83F2736-D314-52CC-4B40-4384372F8EC6|1.0|#|#|-----|1803|---|C|28.66|Y|
2009.0|065|1.0|1294AAA7-09C0-918A-A17D-FD6CA35B15AA|1.0|@|@|@|5500|---|D|28.76|Y|
2009.0|065|2.0|F1598572-9D59-1421-7FFA-32C953252048|1.0|#|#|-----|1803|---|C|28.76|Y|
2009.0|066|1.0|28201DD6-9DA7-BCCF-E1E3-65117DA3CEE1|1.0|@|@|@|5500|---|D|28.8|Y|
2009.0|066|2.0|D3D13A8C-8A06-C224-CD61-E85FB3A61DC2|1.0|#|#|-----|1803|---|C|28.8|Y|
2009.0|067|1.0|96CB6628-74A1-D21F-9FC9-B22D2B891F97|1.0|@|@|@|5500|---|D|29.0|Y|
2009.0|067|2.0|2C1E14EE-0417-35A7-D80A-1B16B63BAFEE|1.0|#|#|-----|1803|---|C|29.0|Y|
2009.0|068|1.0|5D243095-D46A-42A3-621C-93887100F644|1.0|@|@|@|5500|---|D|30.0|Y|
2009.0|068|2.0|4F2EA322-82F0-C480-B645-F18B06607749|1.0|#|#|-----|1803|---|C|30.0|Y|
2009.0|069|1.0|B74A78C7-8600-1C77-7979-D5854E296BE9|1.0|@|@|@|5500|---|D|30.1|Y|
2009.0|069|2.0|56166EBF-6D65-0E7E-73BA-EAF40C47917B|1.0|#|#|-----|1803|---|C|30.1|Y|
2009.0|070|1.0|026434D4-2FB9-7A79-E03C-C5622DD9F324|1.0|@|@|@|5500|---|D|30.2|Y|
2009.0|070|2.0|A0D44E2D-F48B-D60E-7F63-D41E25588BE5|1.0|#|#|-----|1803|---|C|30.2|Y|
2009.0|071|1.0|EE14466B-DE03-0EA6-4EC3-4D40C5CD8460|1.0|@|@|@|5500|---|D|30.7|Y|
2009.0|071|2.0|86FD3464-1F8E-8B56-4CF9-3227F2231562|1.0|#|#|-----|1803|---|C|30.7|Y|
2009.0|072|1.0|77F11A69-DE6D-ED3D-D914-6C4E534192C9|1.0|@|@|@|5500|---|D|31.0|Y|
2009.0|072|2.0|F4D79BF6-AA20-AB92-B225-B3939668992F|1.0|#|#|-----|1803|---|C|31.0|Y|
2009.0|073|1.0|611A8451-3A52-16DC-8842-7AB3DC406FEE|1.0|@|@|@|5500|---|D|31.3|Y|
2009.0|073|2.0|C8FDBB52-8B1A-3063-3FCA-A96A7B573907|1.0|#|#|-----|1803|---|C|31.3|Y|
2009.0|074|1.0|BBE80AE6-3C47-72D8-0F78-699DD976FF89|1.0|@|@|@|5500|---|D|31.33|Y|
2009.0|074|2.0|FB498B92-7B5D-4F75-6312-45325242785E|1.0|#|#|-----|1803|---|C|31.33|Y|
2009.0|075|1.0|E7415B62-7F13-8A80-CDEC-61288E2A64AA|1.0|@|@|@|5500|---|D|31.48|Y|
2009.0|075|2.0|8B58A0C2-3ED8-4E77-CBBE-400B29F8CEBD|1.0|#|#|-----|1803|---|C|31.48|Y|
2009.0|076|1.0|D3BC2DDE-FC35-AB77-FC8A-C63C2A141AFB|1.0|@|@|@|5500|---|D|31.5|Y|
2009.0|076|2.0|9A2311AC-88BE-701C-67A4-6130805DEF1C|1.0|#|#|-----|1803|---|C|31.5|Y|
2009.0|077|1.0|BD921393-809F-2C04-C4FA-B11E7236841A|1.0|@|@|@|5500|---|D|32.0|Y|
2009.0|077|2.0|5A3C413B-F8B1-49F2-6561-502FEA75E7C2|1.0|#|#|-----|1803|---|C|32.0|Y|
2009.0|078|1.0|552AF8F8-1FCF-4057-9414-1E61FA346E29|1.0|@|@|@|5500|---|D|32.57|Y|
2009.0|078|2.0|59D777B0-D9D0-EA77-4C88-6D89DA59FD46|1.0|#|#|-----|1803|---|C|32.57|Y|
2009.0|079|1.0|96720366-527D-2656-F43E-FB2DC5781213|1.0|@|@|@|5500|---|D|32.8|Y|
2009.0|079|2.0|981817D7-897D-6BF2-24DA-88ADEF15A3D5|1.0|#|#|-----|1803|---|C|32.8|Y|
2009.0|080|1.0|43B5DF66-9AA1-2D12-F08E-4BE45D6FB36B|1.0|@|@|@|5500|---|D|37.75|Y|
2009.0|080|2.0|0B4862EF-F16F-4623-7595-D6523DFCFBDB|1.0|#|#|-----|1803|---|C|37.75|Y|
2009.0|081|1.0|51A1FE80-96DF-C9D4-DB2E-68DA7B19D5DF|1.0|@|@|@|5500|---|D|39.2|Y|
2009.0|081|2.0|337FF069-1B63-C3D6-ACAC-5B433B3EE28A|1.0|#|#|-----|1803|---|C|39.2|Y|
2009.0|082|1.0|2A5AA43A-9827-76FB-AB2E-E7ED06BF5F9D|1.0|@|@|@|5500|---|D|40.0|Y|
2009.0|082|2.0|D6CDDB51-BCEE-2B27-6892-6E140C37C4F4|1.0|#|#|-----|1803|---|C|40.0|Y|
2009.0|083|1.0|1738FA9A-10DF-4E2A-FB9A-585B181EE61A|1.0|@|@|@|5500|---|D|41.0|Y|
2009.0|083|2.0|0F85A30E-13AF-4E1B-B875-2CF098FB8A0C|1.0|#|#|-----|1803|---|C|41.0|Y|
2009.0|084|1.0|6B943E7E-BF2C-07BE-C15E-69F63193AF34|1.0|@|@|@|5500|---|D|42.2|Y|
2009.0|084|2.0|854ECAD8-C37A-BB79-7C26-67A07FA47EDF|1.0|#|#|-----|1803|---|C|42.2|Y|
2009.0|085|1.0|49FA29B5-A444-E2B3-CF23-DC440FD73848|1.0|@|@|@|5500|---|D|43.0|Y|
2009.0|085|2.0|1455505F-B3C5-4117-1CD7-74C02DFC5CF5|1.0|#|#|-----|1803|---|C|43.0|Y|
2009.0|086|1.0|4D6125BC-A5AE-933D-F5A2-3793D50EDAFC|1.0|@|@|@|5500|---|D|44.0|Y|
2009.0|086|2.0|63E1338E-7DB7-70D3-FAD6-BBF8DF0CB4D0|1.0|#|#|-----|1803|---|C|44.0|Y|
2009.0|087|1.0|0CD9D2DE-DE09-85A0-F828-3E22F316BD78|1.0|@|@|@|5500|---|D|45.0|Y|
2009.0|087|2.0|D184CDD9-E6D6-311F-7EAD-18BA657D61C8|1.0|#|#|-----|1803|---|C|45.0|Y|
2009.0|088|1.0|3E4BD9AD-5191-1751-8376-D4B2B386EFCF|1.0|@|@|@|5500|---|D|46.0|Y|
2009.0|088|2.0|E49BAF4A-379A-00C9-B7E3-5E75D3F2DA77|1.0|#|#|-----|1803|---|C|46.0|Y|
2009.0|089|1.0|2EE808FF-CE69-CB4E-33D0-7CE823EF4F15|1.0|@|@|@|5500|---|D|47.0|Y|
2009.0|089|2.0|2AAA2B4C-6014-FDCB-81B7-38F899711CEF|1.0|#|#|-----|1803|---|C|47.0|Y|
2009.0|090|1.0|AC6695C0-A8EF-5A9B-49BF-263F5B853CED|1.0|@|@|@|5500|---|D|47.1|Y|
2009.0|090|2.0|35442C84-4447-2E61-E167-1DCECB05F8BF|1.0|#|#|-----|1803|---|C|47.1|Y|
2009.0|091|1.0|BC1AFB59-53D4-A2D4-C755-6E1281DB9EFC|1.0|@|@|@|5500|---|D|47.5|Y|
2009.0|091|2.0|8530CCD0-3A52-2475-FE15-AB452860A220|1.0|#|#|-----|1803|---|C|47.5|Y|
2009.0|092|1.0|53DEDFB2-6B4B-530D-CB84-E8990030AA1C|1.0|@|@|@|5500|---|D|49.0|Y|
2009.0|092|2.0|508C7424-C633-A646-10D7-8118C8BE22B3|1.0|#|#|-----|1803|---|C|49.0|Y|
2009.0|093|1.0|4684BC47-65AF-9257-ADF0-B2089CA412BD|1.0|@|@|@|5500|---|D|50.0|Y|
2009.0|093|2.0|F2A43026-E68A-5E84-870F-5DB4874010C5|1.0|#|#|-----|1803|---|C|50.0|Y|
2009.0|094|1.0|3FB2E2DA-3D6A-A990-1AE9-33F1D9515D6A|1.0|@|@|@|5500|---|D|51.0|Y|
2009.0|094|2.0|B875CD1D-DB37-CEFE-37DC-51661E49B421|1.0|#|#|-----|1803|---|C|51.0|Y|
2009.0|095|1.0|4D3B3A52-B561-A8FE-72EC-4DB497AE9CDF|1.0|@|@|@|5500|---|D|51.25|Y|
2009.0|095|2.0|8C21BD25-B36B-6A6C-D0C7-62078CF3F564|1.0|#|#|-----|1803|---|C|51.25|Y|
2009.0|096|1.0|C902AD42-B158-92BA-9A87-BF57627FECEE|1.0|@|@|@|5500|---|D|51.8|Y|
2009.0|096|2.0|DD53E301-BC1C-EBF3-48D4-F8561CC3DC79|1.0|#|#|-----|1803|---|C|51.8|Y|
2009.0|097|1.0|2A7D73B7-589A-4A3F-A1BD-0A04AD2B6E0C|1.0|@|@|@|5500|---|D|52.0|Y|
2009.0|097|2.0|2E493705-024D-30E0-B07A-DECBC670D1B5|1.0|#|#|-----|1803|---|C|52.0|Y|
2009.0|098|1.0|DF027D13-97E1-F69F-D6A0-3C3F0B901C1E|1.0|@|@|@|5500|---|D|52.5|Y|
2009.0|098|2.0|D66CD033-5091-66C5-0BFC-9B5977F931EB|1.0|#|#|-----|1803|---|C|52.5|Y|
2009.0|099|1.0|8D07CF38-708D-1990-1A8C-C55B19CC7AA7|1.0|@|@|@|5500|---|D|50.0|Y|
2009.0|099|2.0|0FB88B0C-8B31-6315-1B90-B84837530C74|1.0|#|#|-----|1803|---|C|50.0|Y|
2009.0|100|1.0|D98B55D9-98B4-FEBB-D285-46756070B8AE|1.0|@|@|@|5500|---|D|53.0|Y|
2009.0|100|2.0|F841314F-3409-6D9B-17F1-CBD60CAA78D3|1.0|#|#|-----|1803|---|C|53.0|Y|
2009.0|101|1.0|002F7CFC-805D-F3E7-DEC6-812790FCE0B1|1.0|@|@|@|5500|---|D|64.5|Y|
2009.0|101|2.0|9D0799B1-90A3-7D9B-C2D3-258CE21AFED1|1.0|#|#|-----|1803|---|C|64.5|Y|
2009.0|102|1.0|7127CBF6-5BC6-0B5C-1D8B-2CDA63D094C4|1.0|@|@|@|5500|---|D|70.0|Y|
2009.0|102|2.0|D1BFB28F-98B6-CE4C-BA3B-ECCC06C819E9|1.0|#|#|-----|1803|---|C|70.0|Y|
2009.0|103|1.0|AC839AD6-C8B0-2ECD-A852-F3D7125EA204|1.0|@|@|@|5500|---|D|72.6|Y|
2009.0|103|2.0|3BE21D92-47C6-7029-24E1-7D97D825261B|1.0|#|#|-----|1803|---|C|72.6|Y|
2009.0|104|1.0|2ADB542A-1674-946D-73F8-5E81CD385C99|1.0|@|@|@|5500|---|D|33.1|Y|
2009.0|104|2.0|E5FA8212-9F04-90E7-1285-F7DA6AA7674B|1.0|#|#|-----|1803|---|C|33.1|Y|
2009.0|105|1.0|F7EFBD8F-83F6-0901-67E0-9C5596882E0F|1.0|@|@|@|5500|---|D|52.9|Y|
