kemid|sec_id|regis_cd|hldg_lot_nbr|hldg_ip_ind|hldg_units|hldg_cost|hldg_acqd_dt|hldg_prior_acrd_inc|hldg_acrd_inc_due|last_tran_dt|obj_id|ver_nbr|
038P011463|99PLTF013|0CI|1.0|I|75.0|86.94|20060807000000|0.0|0.0|20070223000000|84114A077EA8D38EE0404F8189D83D5B|1.0|
038P011463|99PLTF021|0CP|1.0|P|78.0|99.99|20081025000000|0.0|0.0|20081025000000|84114A077EA9D38EE0404F8189D83D5B|1.0|
038P011463|99PSTF018|0AI|1.0|I|9999.0|9999.0|20091118000000|0.12|0.0|20091118000000|84114A077EAAD38EE0404F8189D83D5B|1.0|
038RPS1012|99PLTF021|0CP|1.0|P|51475.0|51475.0|20051101000000|0.0|0.0|19981203000000|84114A077EABD38EE0404F8189D83D5B|1.0|
038RPS1012|99PSTF018|0AI|1.0|I|15024.0|15024.0|20091201000000|2.01|0.0|20091201000000|84114A077EACD38EE0404F8189D83D5B|1.0|
038RQ04162|99PLTF013|0CI|1.0|I|41203.0|49999.43|20051101000000|0.0|0.0|20000327000000|84114A077EADD38EE0404F8189D83D5B|1.0|
038RQ04162|99PLTF021|0CP|1.0|P|1058317.0|1058282.7|20091125000000|0.0|0.0|20091125000000|84114A077EAED38EE0404F8189D83D5B|1.0|
038RQ04162|99PSTF018|0AI|1.0|I|82768.0|82768.0|20091201000000|10.99|0.0|20091201000000|84114A077EAFD38EE0404F8189D83D5B|1.0|
038RR04087|99PLTF021|0CP|1.0|P|28952.0|28951.94|20051101000000|0.0|0.0|20091025000000|84114A077EB0D38EE0404F8189D83D5B|1.0|
038RR04087|99PSTF018|0AI|1.0|I|4241.0|4241.0|20091201000000|0.42|0.0|20091201000000|84114A077EB1D38EE0404F8189D83D5B|1.0|
038RT04091|99PLTF021|0CP|1.0|P|49193.0|49707.13|20090925000000|0.0|0.0|20090925000000|84114A077EB2D38EE0404F8189D83D5B|1.0|
038RT04091|99PSTF018|0AI|1.0|I|67693.0|67693.0|20091209000000|5.5|0.0|20091209000000|84114A077EB3D38EE0404F8189D83D5B|1.0|
038RV04351|99PLTF021|0CP|1.0|P|139633.0|155930.2|20080225000000|0.0|0.0|20080225000000|84114A077EB4D38EE0404F8189D83D5B|1.0|
038RV04351|99PSTF018|0AI|1.0|I|24021.0|24021.0|20091201000000|1.4|0.0|20091201000000|84114A077EB5D38EE0404F8189D83D5B|1.0|
038SC01010|99PLTF021|0CP|1.0|P|1369.0|1353.41|20081125000000|0.0|0.0|20081125000000|84114A077EB6D38EE0404F8189D83D5B|1.0|
