role_rsp_id|obj_id|ver_nbr|role_id|rsp_id|actv_ind|
KFS1082|KFS1082|1.0|7|1|Y|
KFS1083|KFS1083|1.0|70|51|Y|
KFS1085|KFS1085|1.0|72|41|Y|
KFS1087|KFS1087|1.0|74|22|Y|
KFS1088|KFS1088|1.0|26|75|Y|
KFS1089|KFS1089|1.0|79|76|Y|
KFS1090|KFS1090|1.0|8|5|Y|
KFS1091|KFS1091|1.0|9|19|Y|
KFS1092|KFS1092|1.0|68|83|Y|
KFS1093|KFS1093|1.0|62|94|Y|
KFS1094|KFS1094|1.0|38|95|Y|
KFS1097|KFS1097|1.0|76|97|Y|
KFS1099|KFS1099|1.0|41|99|Y|
KFS1100|KFS1100|1.0|3|100|Y|
KFS1101|KFS1101|1.0|3|101|Y|
KFS1107|KFS1107|1.0|41|107|Y|
KFS1108|KFS1108|1.0|41|108|Y|
KFS1109|KFS1109|1.0|22|109|Y|
KFS1111|KFS1111|1.0|62|111|Y|
KFS1112|KFS1112|1.0|39|112|Y|
KFS1113|KFS1113|1.0|60|113|Y|
KFS1114|KFS1114|1.0|91|114|Y|
KFS1115|KFS1115|1.0|34|16|Y|
KFS1116|KFS1116|1.0|60|115|Y|
KFS1117|KFS1117|1.0|30|116|Y|
KFS1118|KFS1118|1.0|7|117|Y|
KFS1119|KFS1119|1.0|60|118|Y|
KFS1120|KFS1120|1.0|76|119|Y|
KFS1121|KFS1121|1.0|41|120|Y|
KFS1124|KFS1124|1.0|7|123|Y|
KFS1125|KFS1125|1.0|41|124|Y|
KFSCNTRB789-RR1|KFSCNTRB789-RR1|1.0|KFSCNTRB789-ROLE1|KFSCNTRB789-RSP1|Y|
KFSCNTRB789-RR2|KFSCNTRB789-RR2|1.0|KFSCNTRB789-ROLE1|KFSCNTRB789-RSP2|Y|
KFSENDOW1|KFSENDOW1|1.0|KFSENDOW1|125|Y|
KFSFP7037a|KFSFP7037a|1.0|55|126|Y|
KFSMI4553-4|KFSMI4553-4|1.0|KFSMI4553-2|92|Y|
