fin_obj_sub_typ_cd|obj_id|ver_nbr|fin_obj_sub_typ_nm|row_actv_ind|
RE|014F3DAF6F0EA448E043814FD28EA448|1.0|RESERVES|Y|
SA|014F3DAF6F0FA448E043814FD28EA448|1.0|SALARIES|Y|
SC|014F3DAF6F10A448E043814FD28EA448|1.0|STUDENT SCHOLARSHIPS|Y|
SF|014F3DAF6F11A448E043814FD28EA448|1.0|STUDENT FEES|Y|
SS|014F3DAF6F12A448E043814FD28EA448|1.0|SALES AND SERVICE|Y|
ST|014F3DAF6F13A448E043814FD28EA448|1.0|STATE APPROPRIATIONS|Y|
TF|014F3DAF6F14A448E043814FD28EA448|1.0|TRANSFER OF FUNDS|Y|
TN|014F3DAF6F15A448E043814FD28EA448|1.0|TRANSFERS - NONMANDATORY|Y|
TR|014F3DAF6F16A448E043814FD28EA448|1.0|TRAVEL|Y|
UC|014F3DAF6F17A448E043814FD28EA448|1.0|UNIVERSITY CONSTRUCTED|Y|
UF|014F3DAF6F18A448E043814FD28EA448|1.0|UNIVERSITY CONSTRUCTED - FEDERAL FUNDED|Y|
UO|014F3DAF6F19A448E043814FD28EA448|1.0|UNIVERSITY CONSTRUCTED - FEDERAL OWNED|Y|
VA|014F3DAF6F1AA448E043814FD28EA448|1.0|VALUATIONS AND ADJUSTMENTS|Y|
WO|014F3DAF6F1BA448E043814FD28EA448|1.0|WRITE-OFF EXPENSE|Y|
