rc_cd|obj_id|ver_nbr|rc_nm|rc_shrt_nm|rc_active_cd|
83|014A17B043C59D5EE043814FD8819D5E|1.0|ENROLLMENT SERVICES|ENROLL SERV|Y|
84|014A17B043C69D5EE043814FD8819D5E|1.0|INTERCAMPUS TRANSFERS|INTRCMPSXFRE|Y|
85|014A17B043C79D5EE043814FD8819D5E|1.0|FACILITIES DEBT SERVICE|DEBT SERV|Y|
86|014A17B043C89D5EE043814FD8819D5E|1.0|OFFICE OF ACADEMIC SUPPORT & DIVERSITY|ACAD SUPPORT|Y|
87|014A17B043C99D5EE043814FD8819D5E|1.0|HOSPITALS|HOSPITALS|Y|
88|014A17B043CA9D5EE043814FD8819D5E|1.0|PRESIDENT'S OFFICE|PRESIDENT|Y|
89|014A17B043CB9D5EE043814FD8819D5E|1.0|OTHER UNIVERSITY ADMINISTRATION ACCOUNTS|OTHER UA|Y|
90|014A17B043CC9D5EE043814FD8819D5E|1.0|VP FOR ACADEMIC AFFAIRS|ACAD AFFAIRS|Y|
92|014A17B043CD9D5EE043814FD8819D5E|1.0|VP AND CHIEF FINANCIAL OFFICER|VP & CFO|Y|
94|014A17B043CE9D5EE043814FD8819D5E|1.0|VP FOR INFORMATION TECHNOLOGY|VPIT|Y|
96|014A17B043CF9D5EE043814FD8819D5E|1.0|VP FOR UNIV RELATIONS&CORP PARTNERSHIPS|U REL/CORP|Y|
97|014A17B043D59D5EE043814FD8819D5E|1.0|VP FOR GOVERNMENT RELATIONS|GOVT RELTNS|Y|
98|014A17B043D09D5EE043814FD8819D5E|1.0|VP AND CHIEF ADMINISTRATIVE OFFICER|ADMIN|Y|
99|014A17B043D19D5EE043814FD8819D5E|1.0|SYSTEM CONTINGENCIES|CONTING|Y|
AG|014A17B043D29D5EE043814FD8819D5E|1.0|RC AGGREGATION|AGGREGATE|Y|
NO|014A17B043D39D5EE043814FD8819D5E|1.0|NO RESPONSIBILITY CENTER|NO RC|Y|
