role_rsp_actn_id|obj_id|ver_nbr|actn_typ_cd|priority_nbr|actn_plcy_cd|role_mbr_id|role_rsp_id|frc_actn|
10023|KFS-TEM-RSP-ACTN-023|1.0|A|1.0|F|*|10023|Y|
10024|KFS-TEM-RSP-ACTN-024|1.0|A|1.0|F|*|10024|Y|
10025|KFS-TEM-RSP-ACTN-025|1.0|A|1.0|F|*|10025|Y|
10026|KFS-TEM-RSP-ACTN-026|1.0|A|1.0|F|*|10026|Y|
10027|KFS-TEM-RSP-ACTN-027|1.0|A|1.0|F|*|10027|Y|
10028|KFS-TEM-RSP-ACTN-028|1.0|A|1.0|F|*|10028|Y|
10029|KFS-TEM-RSP-ACTN-029|1.0|A|1.0|F|*|10029|Y|
10030|KFS-TEM-RSP-ACTN-030|1.0|A|1.0|F|*|10030|Y|
10031|KFS-TEM-RSP-ACTN-031|1.0|A|1.0|F|*|10031|Y|
KFS101|KFS101|1.0|A|1.0|F|*|KFS1004|Y|
KFS103|KFS103|1.0|A|1.0|F|*|KFS1005|Y|
KFS104|KFS104|1.0|A|1.0|F|*|KFS1066|Y|
KFS105|KFS105|1.0|A|1.0|F|*|KFS1088|N|
KFS106|KFS106|1.0|A|1.0|F|*|KFS1089|Y|
KFS108|KFS108|1.0|A|1.0|F|*|KFS1009|N|
KFS11|KFS11|1.0|A|1.0|F|KFS1291|*|N|
KFS110|KFS110|1.0|A|1.0|F|*|KFS1067|Y|
KFS111|KFS111|1.0|F|1.0|F|*|KFS1006|Y|
KFS113|KFS113|1.0|A|1.0|F|*|KFS1077|Y|
KFS114|KFS114|1.0|A|1.0|F|*|KFS1062|N|
KFS115|KFS115|1.0|F|1.0|F|*|KFS1079|Y|
KFS118|KFS118|1.0|A|1.0|F|*|KFS1093|N|
KFS119|KFS119|1.0|A|1.0|F|*|KFS1094|N|
KFS122|KFS122|1.0|A|1.0|F|*|KFS1097|N|
KFS124|KFS124|1.0|A|1.0|A|*|KFS1099|N|
KFS125|KFS125|1.0|A|1.0|F|*|KFS1100|N|
KFS126|KFS126|1.0|A|1.0|F|*|KFS1101|N|
KFS13|KFS13|1.0|A|1.0|F|KFS1339|*|N|
KFS132|KFS132|1.0|F|1.0|A|*|KFS1107|Y|
KFS133|KFS133|1.0|F|1.0|A|*|KFS1108|Y|
KFS134|KFS134|1.0|A|1.0|F|*|KFS1109|Y|
KFS136|KFS136|1.0|A|1.0|F|*|KFS1111|N|
KFS137|KFS137|1.0|F|1.0|F|*|KFS1112|Y|
KFS138|KFS138|1.0|A|1.0|F|*|KFS1113|Y|
KFS139|KFS139|1.0|A|1.0|F|*|KFS1114|N|
KFS140|KFS140|1.0|A|1.0|F|KFS1678|*|N|
KFS141|KFS141|1.0|A|1.0|F|KFS1679|*|N|
KFS142|KFS142|1.0|A|1.0|F|KFS1680|*|N|
KFS143|KFS143|1.0|A|1.0|F|KFS1681|*|N|
KFS144|KFS144|1.0|A|1.0|F|KFS1682|*|N|
KFS145|KFS145|1.0|A|1.0|F|KFS1683|*|N|
KFS146|KFS146|1.0|K|2.0|F|KFS1684|*|N|
KFS147|KFS147|1.0|A|1.0|F|KFS1685|*|N|
KFS148|KFS148|1.0|A|1.0|F|KFS1686|*|N|
KFS149|KFS149|1.0|A|1.0|F|KFS1687|*|N|
KFS150|KFS150|1.0|A|1.0|F|KFS1688|*|N|
KFS151|KFS151|1.0|A|1.0|F|KFS1689|*|N|
KFS152|KFS152|1.0|A|1.0|F|KFS1690|*|N|
KFS153|KFS153|1.0|K|1.0|F|KFS1691|*|N|
KFS154|KFS154|1.0|A|1.0|F|KFS1692|*|N|
KFS155|KFS155|1.0|K|1.0|F|KFS1693|*|N|
KFS156|KFS156|1.0|A|1.0|F|KFS1694|*|N|
KFS157|KFS157|1.0|A|1.0|F|KFS1695|*|N|
KFS158|KFS158|1.0|A|1.0|F|KFS1696|*|N|
KFS161|KFS161|1.0|A|1.0|F|KFS1699|*|N|
KFS162|KFS162|1.0|K|1.0|F|KFS1700|*|N|
KFS163|KFS163|1.0|A|1.0|F|KFS1701|*|N|
KFS164|KFS164|1.0|A|2.0|F|*|KFS1115|N|
KFS165|KFS165|1.0|A|1.0|F|*|KFS1116|Y|
KFS166|KFS166|1.0|A|1.0|F|*|KFS1117|N|
KFS167|KFS167|1.0|A|1.0|F|*|KFS1119|Y|
KFS168|KFS168|1.0|A|1.0|F|*|KFS1120|N|
KFS169|KFS169|1.0|A|1.0|A|*|KFS1121|Y|
KFS170|KFS170|1.0|A|2.0|F|KFS1705|*|N|
KFS19|KFS19|1.0|K|1.0|F|KFS1292|*|N|
KFS20|KFS20|1.0|F|1.0|F|KFS41|*|N|
KFS200|KFS200|1.0|A|1.0|F|KFS1706|*|N|
KFS201|KFS201|1.0|F|1.0|A|*|KFS1125|Y|
KFS21|KFS21|1.0|F|1.0|F|KFS1293|*|N|
KFS22|KFS22|1.0|F|1.0|F|KFS1294|*|N|
KFS23|KFS23|1.0|F|1.0|F|KFS1295|*|N|
KFS24|KFS24|1.0|A|1.0|F|KFS1296|*|N|
KFS25|KFS25|1.0|A|1.0|F|KFS1297|*|N|
KFS26|KFS26|1.0|A|1.0|F|KFS1298|*|N|
KFS27|KFS27|1.0|A|1.0|F|KFS1299|*|N|
KFS28|KFS28|1.0|A|1.0|F|KFS1300|*|N|
KFS3|KFS3|1.0|K|1.0|F|KFS1285|*|N|
KFS30|KFS30|1.0|K|1.0|F|KFS1302|*|N|
KFS32|KFS32|1.0|F|1.0|F|*|KFS1003|N|
KFS33|KFS33|1.0|A|1.0|F|*|KFS1014|Y|
KFS34|KFS34|1.0|A|1.0|A|*|KFS1037|N|
KFS38|KFS38|1.0|F|1.0|F|*|KFS1064|N|
KFS39|KFS39|1.0|A|1.0|F|*|KFS1010|N|
KFS4|KFS4|1.0|K|1.0|F|KFS1286|*|N|
KFS40|KFS40|1.0|A|1.0|F|*|KFS1040|N|
KFS41|KFS41|1.0|A|1.0|F|*|KFS1091|N|
KFS44|KFS44|1.0|A|1.0|F|*|KFS1087|N|
KFS47|KFS47|1.0|A|1.0|F|*|KFS1015|N|
KFS48|KFS48|1.0|A|2.0|F|*|KFS1068|N|
KFS5|KFS5|1.0|A|1.0|F|KFS1287|*|N|
KFS52|KFS52|1.0|F|1.0|F|*|KFS1017|N|
KFS53|KFS53|1.0|A|2.0|A|*|KFS1070|N|
KFS56|KFS56|1.0|A|1.0|F|*|KFS1024|N|
KFS6|KFS6|1.0|F|1.0|F|KFS1288|*|N|
KFS7|KFS7|1.0|A|1.0|F|KFS1289|*|Y|
KFS71|KFS71|1.0|A|1.0|F|*|KFS1085|Y|
KFS74|KFS74|1.0|A|1.0|F|*|KFS1000|N|
KFS76|KFS76|1.0|A|1.0|F|*|KFS1001|N|
KFS78|KFS78|1.0|A|1.0|F|*|KFS1011|N|
KFS79|KFS79|1.0|A|1.0|F|*|KFS1065|N|
KFS8|KFS8|1.0|A|1.0|F|KFS1290|*|N|
KFS80|KFS80|1.0|A|1.0|F|*|KFS1002|N|
KFS81|KFS81|1.0|A|1.0|F|*|KFS1083|N|
KFSCNTRB789-RRA1|KFSCNTRB789-RRA1|1.0|A|1.0|F|*|KFSCNTRB789-RR1|N|
KFSCNTRB789-RRA2|KFSCNTRB789-RRA2|1.0|A|1.0|F|*|KFSCNTRB789-RR2|N|
KFSENDOW1|KFSENDOW1|1.0|A|1.0|F|*|KFSENDOW1|Y|
KFSFP7037a|KFSFP7037a|1.0|A|1.0|F|*|KFSFP7037a|N|
KFSMI4553-5|KFSMI4553-5|1.0|A|1.0|F|*|KFSMI4553-4|Y|
