cptlast_nbr|obj_id|ver_nbr|cptlast_desc|cptlast_typ_cd|cptlast_cond_cd|cptlast_crt_dt|cptlast_receive_dt|cptlast_ln_rtrn_dt|cptlast_loan_dt|ast_expctreturn_dt|fdoc_post_prd_cd|fdoc_post_yr|org_owner_acct_nbr|org_owner_coa_cd|cptlast_vendor_nm|cptlast_acq_typ_cd|cptlast_totcst_amt|cptlast_rplc_amt|cptlast_sale_prc|ast_est_sell_prc|cptlast_salvag_amt|campus_cd|bldg_cd|bldg_room_nbr|bldg_sub_room_nbr|ast_retir_coa_cd|ast_retir_acct_nbr|ast_retire_reas_cd|ast_retir_prd_cd|ast_retir_fscl_yr|cash_rcpt_fdoc_nbr|ast_depr_mthd1_cd|ast_estfabrcmpl_dt|ast_fabresttot_amt|trnfr_fnd_fdoc_nbr|ast_invn_stat_cd|cptlast_tag_nbr|cptlast_lstinvn_dt|org_invn_nm|cptlast_oldtag_nbr|cptlast_mfr_nm|cptlast_mfrmdl_nbr|cptlast_serial_nbr|ast_rep_unvl_id|cg_agency_nbr|ast_pd_case_nbr|ast_invn_scan_cd|cptl_ast_in_srvc_dt|cptl_ast_gov_tag_nbr|cptl_ast_ntl_stock_nbr|cptl_ast_land_cnty_nm|cptl_ast_land_acrg_sz|cptl_ast_land_prcl_nbr|cptl_ast_depr_dt|fin_obj_sub_typ_cd|ast_fabr_est_retn_yrs|
2385.0|45086F423EADC1AAE043814FD881C1AA|1.0|LASER|304|G|19700619000000|||||07|2009.0|1024797|BL|RIZO CORPORATION|N|5785.0|13299.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011120|20061127000000|FRANKIE D RIZO|500975|RIZO CORPORATION|125|383 J3342||||1|19700619000000||||||19700619000000|||
2391.0|45086F423EAEC1AAE043814FD881C1AA|1.0|DYE LASER|304|G|19790619000000|||||07|2009.0|1024797|BL|SPILLMAN CORPORATION|N|8880.0|6000.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011135|20060719081642|DOMINIQUE Q SPILLMAN|500981|SPILLMAN CORPORATION|37550|648||||1|19790619000000||||||19790619000000|||
2392.0|45086F423EAFC1AAE043814FD881C1AA|1.0|ION LASER W/27SUPPLY|304|G|19790619000000|||||07|2009.0|1024797|BL|MENARD CORPORATION|N|64602.5|36828.0||0.0|0.0|BL|BL071|A140||||||||SL||||A|IU020249|20060719081413|HARRIETT M MENARD|500982|MENARD CORPORATION|17106|461||||1|19790619000000||||||19790619000000|||
2393.0|45086F423EB0C1AAE043814FD881C1AA|1.0|EXCITER|304|G|19790619000000|||||07|2009.0|1024797|BL|HAMES CORPORATION|N|11505.0|13995.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011132|20061127000000|LETHA J HAMES|500983|HAMES CORPORATION|270|610||||1|19790619000000||||||19790619000000|||
2403.0|45086F423EB1C1AAE043814FD881C1AA|1.0|SPECTRUM ANALY|303|G|19790819000000|||||07|2009.0|1024797|BL|WILHOIT CORPORATION|N|14125.0|16602.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011138|20060719080815|NORA Z WILHOIT|770162|WILHOIT CORPORATION|640A-1|3-132||||1|19790819000000||||||19790819000000|||
2419.0|45086F423EB2C1AAE043814FD881C1AA|1.0|TRANSIENT DIGI|401|G|19770619000000|||||07|2009.0|1024797|BL|SEGARRA CORPORATION|N|17041.0|24347.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011137|20060719081812|ULYSSES D SEGARRA|662255|SEGARRA CORPORATION|R7912|B040236||||1|19770619000000||||||19770619000000|||
2459.0|45086F423EB3C1AAE043814FD881C1AA|1.0|LATHE 96IN BEDSWING|665|G|19641019000000|||||07|2009.0|1024797|BL|MCEVOY CORPORATION|N|10245.0|31411.0|||0.0|BL|BL072|A019||||||||SL||||A|IU011112|20060714080643|HENRY B MCEVOY|501050|MCEVOY CORPORATION|2013|45893||||1|19641019000000||||||19641019000000|||
2461.0|45086F42434DC1AAE043814FD881C1AA|1.0|LATHE 48IN BED SWING, ACCT 5324820|665|G|19670619000000|||||07|2009.0|1024797|BL|COZART CORPORATION|N|8116.0|23202.0|||0.0|BL|BL072|A019||||||||SL||||A|IU011149|20060714080726|SYDNEY M COZART|501052|COZART CORPORATION|10INEE|37103||||1|19670619000000||||||19670619000000|||
2470.0|45086F423EB4C1AAE043814FD881C1AA|1.0|LEAK DETECTOR SPECTROMETER|301|G|19750619000000|||||07|2009.0|1024797|BL|MESSER CORPORATION|N|20898.0|33248.0|||0.0|BL|BL072|A019||||||||SL||||A|IU011094|20060714080050|JEANIE D MESSER|501061|MESSER CORPORATION|925-40|W 122||||1|19750619000000||||||19750619000000|||
2518.0|45086F423EB5C1AAE043814FD881C1AA|1.0|LIQUID CHROMATPREPARATION SYSTEM|334|G|19800919000000|||||07|2009.0|1024797|BL|STEPHENS CORPORATION|N|6000.0|6764.0|||0.0|BL|BL071|A340||||||||SL||||A|IU011222|20060713072354|DEVON P STEPHENS|501109|STEPHENS CORPORATION|500|||||1|19800919000000||||||19800919000000|||
2623.0|45086F423EB6C1AAE043814FD881C1AA|1.0|SPECTROMETER UV/VIS|454|G|19800719000000|||||07|2009.0|1024797|BL|HER CORPORATION|N|8409.0|9480.0|||0.0|BL|BL071|133||||||||SL||||A|IU010949|20060717142359|CRUZ Q HER|501216|HER CORPORATION|552|29399||||1|19800719000000||||||19800719000000|||
2637.0|45086F423EB7C1AAE043814FD881C1AA|1.0|CENTRIFUGE ULT|333|G|19810619000000|||||07|2009.0|1024797|BL|FREE CORPORATION|N|16500.0|16880.0|||0.0|BL|BL072|A517||||||||SL||||A|IU011033|20060712071617|NORMAND M FREE|501232|FREE CORPORATION|L5-50|501676||||1|19810619000000||||||19810619000000|||
3512.0|45086F423EB8C1AAE043814FD881C1AA|1.0|DYE LASER|304|G|19770319000000|||||07|2009.0|1024797|BL|WILLE COMPANY|N|5750.0|8634.0|||0.0|BX||||||||||SL||||A|IU011175|20070116000000|DEIDRE B WILLE|721232|WILLE COMPANY|595-01|1108||||1|19770319000000||||||19770319000000|||
6339.0|45086F423EB9C1AAE043814FD881C1AA|1.0|SPECTROMETER  TAG #500058|401|G|19701219000000|||||07|2009.0|1024797|BL|BRADY INDUSTRIES|N|5090.0|12665.0|||0.0|BL|BL071|205||||||||SL||||A|IU010916|20070116000000|QUINCY X BRADY|505030|BRADY INDUSTRIES|1701|2472||||1|19701219000000||||||19701219000000|||
10911.0|45086F423EBAC1AAE043814FD881C1AA|1.0|CENTRIFUGE REFRIGERATED SUPERSPEED|333|G|19800619000000|||||07|2009.0|1024697|BL|ROMINE CORPORATION|N|6063.0|6835.0|||0.0|BL|BL109|099||||||||SL||||A|IU010120|20061110000000|JOEY U ROMINE|509715|ROMINE CORPORATION|RC-5B|||||1|19800619000000||||||19800619000000|||
10921.0|45086F423EBBC1AAE043814FD881C1AA|1.0|MICROSCOPE BINS OBJECTIVE W/POWER SUPPLY LIGHT SOURCE AND 35MM CAMERA|403|G|19720619000000|||||07|2009.0|1024697|BL|BEDELL CORPORATION|N|5093.0|4266.0|||0.0|BL|BL109|099||||||||SL||||A|IU011843|20060910082851|SHAWN W BEDELL|509725|BEDELL CORPORATION||4687880||||1|19720619000000||||||19720619000000|||
11039.0|45086F423EBCC1AAE043814FD881C1AA|1.0|OSCILLOSCOPE  W/7A15A, 7A19, 7B85 &7B80 PLUG INS|410|G|19800419000000|||||07|2009.0|1024797|BL|JOHNSTONE CORPORATION|N|8051.0|9076.0|||0.0|BX||||||||||SL||||A|IU011180|20070116000000|DUDLEY N JOHNSTONE|509844|JOHNSTONE CORPORATION|7704A|B-218891||||1|19800419000000||||||19800419000000|||
11049.0|45086F423EBDC1AAE043814FD881C1AA|1.0|LASER SYSTEM MEXCIMER A REPLACEMENT W/TAG 552156|304|G|19800619000000|||||07|2009.0|1024797|BL|BOWER CORPORATION|N|22575.0|14177.0||0.0|0.0|BX||||||||||SL||||A|IU011171|20070116000000|HAL J BOWER|509854|BOWER CORPORATION|860|4025||||1|19800619000000||||||19800619000000|||
11051.0|45086F423EBEC1AAE043814FD881C1AA|1.0|DYE LASER|304|G|19801119000000|||||07|2009.0|1024797|BL|RAYFORD CORPORATION|N|5301.0|5976.0|||0.0|BX||||||||||SL||||A|IU011187|20070116000000|DAWN U RAYFORD|509856|RAYFORD CORPORATION|375|729||||1|19801119000000||||||19801119000000|||
11057.0|45086F423EBFC1AAE043814FD881C1AA|1.0|LASER ION|304|G|19801119000000|||||07|2009.0|1024797|BL|LO CORPORATION|N|33828.0|30019.0||0.0|0.0|BX||||||||||SL||||A|IU011182|20070116000000|ALONZO O LO|509862|LO CORPORATION|171|825-1003||||1|19801119000000||||||19801119000000|||
11076.0|45086F423EC0C1AAE043814FD881C1AA|1.0|SPECTROMETER U|401|G|19600619000000|||||07|2009.0|1024797|BL|BROWNING CORPORATION|N|7140.0|20460.0|||0.0|BL|BL071|205||||||||SL||||A|IU010919|20070124000000|HANS M BROWNING|509881|BROWNING CORPORATION||||||1|19600619000000||||||19600619000000|||
11174.0|45086F423EC1C1AAE043814FD881C1AA|1.0|CAGE WASHER|457|G|19780419000000|||||07|2009.0|1024697|BL|BUTTERS CORPORATION|N|7605.0|9795.0|||0.0|BL|BL109|099||||||||SL||||A|IU023460|20061110000000|KRISTOPHER B BUTTERS|IU011835|BUTTERS CORPORATION|5000|6955||||0|19780419000000||||||19780419000000|||
11202.0|45086F423EC2C1AAE043814FD881C1AA|1.0|CENTRIFUGE    REFRIGERATED|333|G|19800319000000|||||07|2009.0|1024697|BL|REPP CORPORATION|N|8326.0|6989.0||0.0|0.0|BL|BL101|259||||||||SL||||A|IU011833|20060910140129|RACHAEL F REPP|510010|REPP CORPORATION|RC5B|8000329||||1|19800319000000||||||19800319000000|||
11563.0|45086F423EC3C1AAE043814FD881C1AA|1.0|MICROSCOPE BINSTERO ZOOM W/ARM|403|G|19760219000000|||||07|2009.0|1024697|BL|FRADY CORPORATION|N|5134.0|8210.0|||0.0|BL|BL139|207||||||||SL||||A|IU009723|20061110000000|BROOKS C FRADY|510373|FRADY CORPORATION|42-52-63|9901||||0|19760219000000||||||19760219000000|||
11567.0|45086F423EC4C1AAE043814FD881C1AA|1.0|MICROSCOPE BIN 5 OBJECTIVES W/PHOTO TUBE|403|G|19700619000000|||||07|2009.0|1024697|BL|KHAN CORPORATION|N|13606.0|4266.0||0.0|0.0|BL|BL139|207||||||||SL||||A|IU009726|20061110000000|BARRY R KHAN|510377|KHAN CORPORATION||4645850||||0|19700619000000||||||19700619000000|||
11715.0|45086F423EC5C1AAE043814FD881C1AA|1.0|CENTRIFUGE|333|G|19760619000000|||||07|2009.0|1024697|BL|FERRETTI CORPORATION|N|5266.0|8005.0|||0.0|BL|BL109|099||||||||SL||||A|IU010073|20060910090104|CRYSTAL J FERRETTI|510531|FERRETTI CORPORATION|J2-21|||||1|19760619000000||||||19760619000000|||
11894.0|45086F423EC6C1AAE043814FD881C1AA|1.0|MICROSCOPE BIN 5 OBJ W/POWER SUPPLY LIGHT SOURCE AND 35MM CAMERA    NNER|403|G|19791119000000|||||07|2009.0|1024697|BL|BARRIOS CORPORATION|N|19470.0|25416.0|||0.0|BL|BL101|040||||||||SL||||A|IU010105|20060910123317|WILL F BARRIOS|510710|BARRIOS CORPORATION|UNIVERSA|4730129902||||1|19791119000000||||||19791119000000|||
12010.0|45086F423EC7C1AAE043814FD881C1AA|1.0|CENTRIFUGE|333|G|19761019000000|||||07|2009.0|1024697|BL|KNORR CORPORATION|N|21440.0|16368.0|||0.0|BL|BL609C|100||||||||SL||||A|IU011730|20061114000000|ALISHA W KNORR|510826|KNORR CORPORATION|L5-65|11175||||0|19761019000000||||||19761019000000|||
12072.0|45086F423EC8C1AAE043814FD881C1AA|1.0|CENTRIFUGE|333|G|19790719000000|||||07|2009.0|1024697|BL|NOBLE CORPORATION|N|6930.0|8005.0|||0.0|BL|BL101|059||||||||SL||||A|IU009707|20060910124400|SUSANNE I NOBLE|510888|NOBLE CORPORATION|J2-21|1139||||1|19790719000000||||||19790719000000|||
12268.0|45086F423EC9C1AAE043814FD881C1AA|1.0|BOTTLE WASHER|327|G|19760619000000|||||07|2009.0|1024697|BL|SAUL CORPORATION|N|7925.0|12046.0|||0.0|BL|BL109|099||||||||SL||||A|IU010041|20060910081941|HARVEY B SAUL|511085|SAUL CORPORATION|8887|88934-1||||1|19760619000000||||||19760619000000|||
12269.0|45086F423ECAC1AAE043814FD881C1AA|1.0|AUTOCLAVE FRON24IN DOOR|309|G|19760619000000|||||07|2009.0|1024697|BL|FISH COMPANY|N|6013.0|9141.0|||0.0|BL|BL109|099||||||||SL||||A|IU010045|20060910081718|ALISON I FISH|511086|FISH COMPANY|3FTX5FTX|||||1|19760619000000||||||19760619000000|||
12690.0|45086F423ECBC1AAE043814FD881C1AA|1.0|MICROSCOPE BIN5 OBJECTIVES W/POWER SUPPLY & LIGHT SOURCE|403|G|19810419000000|||||07|2009.0|1024697|BL|STETSON CORPORATION|N|16443.0|16821.0|||0.0|BL|BL109|099||||||||SL||||A|IU010071|20060909095607|BRENDA W STETSON|511509|STETSON CORPORATION|NONE|4733569901||||1|19810419000000||||||19810419000000|||
12810.0|45086F423ECCC1AAE043814FD881C1AA|1.0|GAS CHROMATOGR|334|P|19780619000000|||||07|2009.0|1024697|BL|RATCHFORD CORPORATION|N|8989.0|12005.0|||0.0|BL|BL109|099||||||||SL||||S|IU009669|20060909080301|VICKIE M RATCHFORD|511632|RATCHFORD CORPORATION|5710A|19540||||1|19780619000000||||||19780619000000|||
12859.0|45086F423ECDC1AAE043814FD881C1AA|1.0|LIQUID SCINTILSYSTEM|443|G|19670619000000|||||07|2009.0|1024697|BL|SAULS CORPORATION|N|8760.0|23156.0|||0.0|BL|BL109|099||||5|10|2007.0||SL||||R|IU009679|20060909074312|WESLEY C SAULS|511681|SAULS CORPORATION|LS-233|||||1|19670619000000||||||19670619000000|||
12864.0|45086F423ECEC1AAE043814FD881C1AA|1.0|ULTRACENTRIFUG|333|P|19790619000000|||||07|2009.0|1024697|BL|WALDON CORPORATION|N|13456.0|16368.0|||0.0|BL|BL109|099||||||||SL||||A|IU009677|20061003000000|ABBY L WALDON|511686|WALDON CORPORATION|L5-65|65499||||1|19790619000000||||||19790619000000|||
12865.0|45086F423ECFC1AAE043814FD881C1AA|1.0|ULTRACENTRIFUG|333|G|19810419000000|||||07|2009.0|1024697|BL|VASQUES CORPORATION|N|25112.0|25690.0|||0.0|BL|BL109|099||||||||SL||||A|IU009678|20060909074028|VICENTE S VASQUES|511687|VASQUES CORPORATION|L5-658|652113||||1|19810419000000||||||19810419000000|||
12868.0|45086F423ED0C1AAE043814FD881C1AA|1.0|DENSITOMETER|351|G|19781119000000|||||07|2009.0|1024697|BL|SEAVEY CORPORATION|N|7040.0|8250.0|||0.0|BL|BL109|099||||||||SL||||A|IU009680|20060909074325|VONDA N SEAVEY|511690|SEAVEY CORPORATION|1052|180019||||1|19781119000000||||||19781119000000|||
12873.0|45086F423ED1C1AAE043814FD881C1AA|1.0|VACUM FREEZE D|294|G|19720619000000|||||07|2009.0|1024697|BL|MILLS CORPORATION|N|5551.0|11637.0|||0.0|BL|BL109|099||||||||SL||||A|IU009673|20060909073928|CHRISTOPER E MILLS|511695|MILLS CORPORATION|10-146MR|||||1|19720619000000||||||19720619000000|||
20090.0|45086F423ED2C1AAE043814FD881C1AA|1.0|NITROGEN GENERATOR|489|G|19650619000000|||||07|2009.0|1024797|BL|MAXON COMPANY|N|70000.0|115937.0|||0.0|BL|BL072|A423|J|||||||SL||||A|IU010986|20060712080748|DARIUS N MAXON|522261|MAXON COMPANY|PW7184|35246||||1|19650619000000||||||19650619000000|||
20095.0|45086F423ED3C1AAE043814FD881C1AA|1.0|NITROGEN GENER|489|G|19600619000000|||||07|2009.0|1024797|BL|BECKWITH COMPANY|N|70000.0|115937.0|||0.0|BL|BL072|A423|J|||||||SL||||A|IU010987|20060712080737|SHARI X BECKWITH|522266|BECKWITH COMPANY|TW-7000-|D1341||||1|19600619000000||||||19600619000000|||
20098.0|45086F423ED4C1AAE043814FD881C1AA|1.0|GONIOSTAT INCLMONOCHROMETER|661|G|19700619000000|||||07|2009.0|1024797|BL|BROWN CORPORATION|N|20000.0|25575.0|||0.0|BL|BL072|A423|G|||||||SL||||A|IU011004|20060712080551|DENNY N BROWN|522269|BROWN CORPORATION|3488K|211||||1|19700619000000||||||19700619000000|||
20100.0|45086F423ED5C1AAE043814FD881C1AA|1.0|GONIOSTAT     W/MONOCHROMETER|661|G|19700619000000|||||07|2009.0|1024797|BL|VILLARREAL CORPORATION|N|15000.0|20460.0|||0.0|BL|BL072|A423|E|||||||SL||||A|IU011000|20060712080354|OPAL M VILLARREAL|522271|VILLARREAL CORPORATION|3488K|260||||1|19700619000000||||||19700619000000|||
20104.0|45086F423ED6C1AAE043814FD881C1AA|1.0|DEFRACTOMETER-ELECTRONICS INCLUDINGAMPLIFIER,           PULSE S     HAPING &      HIGH VOLTAGE SUPPLY|401|G|19720619000000|||||07|2009.0|1024797|BL|MILTON CORPORATION|N|12000.0|19125.0|||0.0|BL|BL072|A423G||||||||SL||||A|IU011415|20060816000000|LUPE A MILTON|522276|MILTON CORPORATION|401A|||||1|19720619000000||||||19720619000000|||
20105.0|45086F423ED7C1AAE043814FD881C1AA|1.0|DEFRACTOMETER-ELECTRONICS INCLUDINGAMPLIFIER,           PULSE S     HAPING &      HIGH VOLTAGE SUPPLY|401|G|19720619000000|||||07|2009.0|1024797|BL|CARRIGAN CORPORATION|N|12000.0|19125.0|||0.0|BL|BL072|A423G||||||||SL||||A|IU011440|20060816000000|WILBURN T CARRIGAN|522277|CARRIGAN CORPORATION||||||1|19720619000000||||||19720619000000|||
30057.0|45086F423ED8C1AAE043814FD881C1AA|1.0|CENTRIFUGE WITH ACCESSORIES ROTOR MODEL JA 10 SER # 378 SER JV0931|333|G|19810719000000|||||07|2009.0|1024797|BL|KIMBRELL CORPORATION|N|11160.0|0.0||0.0|0.0|BL|BL071|027|A|||||||SL||||A|IU011051|20060718081919|KATHY E KIMBRELL|545392|KIMBRELL CORPORATION|J221|2457||||1|19810719000000||||||19810719000000|||
30082.0|45086F423ED9C1AAE043814FD881C1AA|1.0|LASER NITROGEN SERIAL NUMBER NONE VISIBLE; Original account number was 53-308-13.  Government Tag Attached.|304|G|19810719000000|||||07|2009.0|1024797|BL|COVERT CORPORATION|N|16608.0|0.0|||0.0|BX||||||||||SL||||A|IU011173|20070116000000|MALINDA E COVERT|721257|COVERT CORPORATION|UV14|156||||1|19810719000000||||||19810719000000|||
30926.0|45086F423EDAC1AAE043814FD881C1AA|1.0|MICROSCOPE WITH ACCESSORIES                                         STEREO|403|G|19810819000000|||||07|2009.0|1024697|BL|GUARINO CORPORATION|N|7308.0|0.0|||0.0|BL|BL109|099||||||||SL||||A|IU011820|20060909095701|MYRTLE X GUARINO|545504|GUARINO CORPORATION|M8|377567||||1|19810819000000||||||19810819000000|||
31150.0|45086F423EDBC1AAE043814FD881C1AA|1.0|DIGITIZER WAVE FORM GOV PROPERTY, Original account number was 53-247-01|163|G|19811019000000|||||07|2009.0|1024797|BL|LAWSON CORPORATION|N|16147.0|0.0|||0.0|BL|BL072|A254||||||||SL||||A|IU011188|20061018000000|RUBY R LAWSON|545613|LAWSON CORPORATION|6500|7974||||1|19811019000000||||||19811019000000|||
31228.0|45086F423EDCC1AAE043814FD881C1AA|1.0|CENTRIFUGE W/ROTOR SN 1045|333|G|19810919000000|||||07|2009.0|1024697|BL|GRIER CORPORATION|N|31227.0|1893.0||0.0|0.0|BL|BL109|099||||||||SL||||A|IU009674|20060909073902|FRANCIS W GRIER|545451|GRIER CORPORATION|L8-55|55871||||1|19810919000000||||||19810919000000|||
31806.0|45086F423EDDC1AAE043814FD881C1AA|1.0|RF GENERATOR 2000D; Original account number was 53-247-56, Owner set to INU in CAMS microfiche title transferred to IU|489|G|19820119000000|||||07|2009.0|1024797|BL|HOCH CORPORATION|N|7734.0|0.0|||0.0|BL|BL071|A140||||||||SL||||A|IU011102|20060719081404|CANDACE K HOCH|538151|HOCH CORPORATION|HFP5000|390||||1|19820119000000||||||19820119000000|||
33896.0|45086F423EDEC1AAE043814FD881C1AA|1.0|SPECTROMETER GIFT FROM HEWLETT PACKARD THIS WAS APPRAISED BY STEVE HAZEL REQ MANAGER|401|G|19821019000000|||||07|2009.0|1024797|BL|SCOFIELD CORPORATION|N|23975.0|0.0|||0.0|BL|BL071|133||||||||SL||||A|IU011457|20070116000000|BRANDY N SCOFIELD|519229|SCOFIELD CORPORATION|8450A|2207A00606||||1|19821019000000||||||19821019000000|||
33969.0|45086F423EDFC1AAE043814FD881C1AA|1.0|SPECTROPHOTOMETER SN LOCATED INSIDE|454|G|19821019000000|||||07|2009.0|1024797|BL|PEAVY CORPORATION|N|24256.0|0.0|||0.0|BL|BL072|A254||||||||SL||||A|IU011168|20060713082300|AUGUSTUS C PEAVY|519222|PEAVY CORPORATION|330|5510 14||||1|19821019000000||||||19821019000000|||
34286.0|45086F423EE0C1AAE043814FD881C1AA|1.0|AMPLIFIER LOCK-IN|319|G|19820719000000|||||07|2009.0|1024797|BL|LANZA COMPANY|N|6546.0|0.0|||0.0|BL|BL072|A254||||||||SL||||A|IU011192|20060713081736|HALLIE Y LANZA|539922|LANZA COMPANY|393|62188||||1|19820719000000||||||19820719000000|||
34452.0|45086F423EE1C1AAE043814FD881C1AA|1.0|CHAMBER ANAEROBIC UNHEATED TAG LOCATED ON FRONT|301|G|19820819000000|||||07|2009.0|1024697|BL|BAIRD COMPANY|N|5511.0|0.0|||0.0|BL|BL109|099||||||||SL||||A|IU010040|20060910081555|RAUL I BAIRD|548793|BAIRD COMPANY|8ATES|AC822902-L||||1|19820819000000||||||19820819000000|||
34713.0|45086F423EE2C1AAE043814FD881C1AA|1.0|ROTOR TOO SENSITIVE FOR TAG PURCHASED BY MEDICAL SCIENCE PROGRAM FOR CHEMISTRY|485|E|19820919000000|||||07|2009.0|1024797|BL|RICHTER CORPORATION|N|5700.0|0.0|||0.0|BL|BL109|099||||||||SL||||A|N|20070124000000|DARRELL N RICHTER||RICHTER CORPORATION|SW 28|1545|||||19820919000000||||||19820919000000|||
