fin_coa_cd|org_cd|obj_id|ver_nbr|org_mgr_unvl_id|org_nm|rc_cd|org_phys_cmp_cd|org_typ_cd|org_dflt_acct_nbr|org_ln1_addr|org_ln2_addr|org_city_nm|org_state_cd|org_zip_cd|org_cntry_cd|org_begin_dt|org_end_dt|rpts_to_fin_coa_cd|rpts_to_org_cd|org_active_cd|org_in_fp_cd|org_plnt_acct_nbr|cmp_plnt_acct_nbr|org_plnt_coa_cd|cmp_plnt_coa_cd|
BA|APTS|014F3DAF7566A448E043814FD28EA448|1.0|3584609748|APARTMENT HOUSING|80|BL|N|6030700|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|HALL|Y|N|9520080|9520000|BL|BL|
BA|ASBR|014F3DAF7567A448E043814FD28EA448|1.0|3570803537|GRAD WOMEN!S RES BLDG REPAIR|80|BL|N|9243201|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20000404000000|BA|HALL|N|N|9530500|9530500|BA|BA|
BA|ASDR|014F3DAF7568A448E043814FD28EA448|1.0|3584609748|ASHTON DINING ROOM|80|BL|N|6030534|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20990329000000|20030703000000|BA|CAFE|N|N|9530534|9530534|BA|BA|
BA|ASER|014F3DAF7569A448E043814FD28EA448|1.0|3570803537|GRAD RES CT EQUIP REPL|80|BL|N|9243220|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530500|9530500|BA|BA|
BA|ASGE|014F3DAF756AA448E043814FD28EA448|1.0|3584609748|RPAS ASSIGNMENTS|80|BL|O|6030000|801 N JORDAN||BLOOMINGTON|IN|47405|US|20991001000000||BA|CAGE|Y|N|9530035|9530035|BA|BA|
BA|ASSH|014F3DAF756BA448E043814FD28EA448|1.0|3584609748|ASHTON - EAST|80|BL|N|6032000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000||BA|ACSH|Y|N|9532000|9532000|BA|BA|
BA|ASSP|014F3DAF756CA448E043814FD28EA448|1.0|3570803537|ASHTON SALAD PREP|80|BL|O|6030535|80L N. JORDAN||BLOOMINGTON|IN|47405|US|20960319000000|20980209000000|BA|CAFE|N|N|9530500|9530500|BA|BA|
BA|AUTM|014F3DAF756DA448E043814FD28EA448|1.0|5949304259|AUDITORIUM|80|BL|E|6041400|IMU||BLOOMINGTON|IN|47405|US|20930701000000||BA|IMAU|Y|N|9541400|9520000|BA|BL|
BA|AWSH|014F3DAF756EA448E043814FD28EA448|1.0|3584609748|ASHTON - WEST|80|BL|O|6030533|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980220000000||BA|ACSH|Y|N|9530500|9530500|BA|BA|
BA|AXOP|014F3DAF756FA448E043814FD28EA448|1.0|4075208273|ADMIN SERVICES AND PROGRAMS OPERATIONS|80|BL|O|6021000|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20970814000000||BL|AXSV|Y|N|9520080|9520000|BL|BL|
BA|BBAH|014F3DAF7570A448E043814FD28EA448|1.0|3584609748|BBHN MARRIED STUDENT APTS 2|80|BL|N|6033000|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|APTS|Y|N|9533000|9533000|BA|BA|
BA|BBBR|014F3DAF7571A448E043814FD28EA448|1.0|3570803537|BBHN BLDG REPAIR|80|BL|N|9243301|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9533000|9533000|BA|BA|
BA|BBER|014F3DAF7572A448E043814FD28EA448|1.0|3570803537|BBHN EQUIP REPL|80|BL|N|9243300|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9533000|9533000|BA|BA|
BA|BCD|014F3DAF8000A448E043814FD28EA448|1.0|5653408083|BOOKSTORE/CARD/DUP|80|BL|O|6020500|10TH AND BYPASS||BLOOMINGTON|IN|47405|US|20010907000000|20010907000000|BA|AXOP|N|N|||||
BA|BHDR|014F3DAF8155A448E043814FD28EA448|1.0|3584609748|BALLANTINE HALL DINING ROOM|80|BL|N|6033540|801 N JORDAN||BLOOMINGTON|IN|47405|US|20030903000000||BA|CAFE|Y|N|9533540|9533540|BA|BA|
BA|BHDU|014F3DAF7573A448E043814FD28EA448|1.0|5653408083|BALLANTINE HALL DUPLICATING CENTER|80|BL|O|6622502|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20010815000000|20010815000000|BA|DSER|N|N|||||
BA|BKAD|014F3DAF8051A448E043814FD28EA448|1.0|5653408083|B/SS ADMINISTRATION|80|BL|O|6020500|2715 E. 10TH STREET||BLOOMINGTON|IN|47405|US|20010807000000||BA|BKST|Y|N|9520400|9520400|BA|BA|
BA|BKST|014F3DAF8046A448E043814FD28EA448|1.0|5653408083|IU BOOKSTORE ~ SERVICE CENTER|80|BL|O|6020500|2715 E. TENTH STREET||BLOOMINGTON|IN|47405|US|20020712000000||BA|AXOP|Y|N|9520500|9520500|BA|BA|
BA|BLDM|014F3DAF7574A448E043814FD28EA448|1.0|4640605151|BUILDING MAINTENANCE|82|BL|O||SERVICE||BLOOMINGTON|IN|47405|US|20930701000000||BA|PHYP|Y|N|9526000|9520000|BA|BL|
BA|BOOK|014F3DAF7575A448E043814FD28EA448|1.0|5653408083|BOOKSTORE OPERATIONS|80|BL|B|6020500|IMU||BLOOMINGTON|IN|47405|US|20020124000000||BA|BKST|Y|N|9520500|9520500|BA|BA|
BA|BRAD|014F3DAF7576A448E043814FD28EA448|1.0|5009908085|BRADFORD WOODS|28|BL|E|6042200|5040 SR 67 NORTH||MARTINSVILLE|IN|46151|US|20930701000000||BL|RPAD|Y|N|9542200|9542200|BA|BA|
BA|BRBR|014F3DAF7577A448E043814FD28EA448|1.0|3570803537|BRISCOE QUAD BLDG REPAIR|80|BL|N|9243251|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9532500|9532500|BA|BA|
BA|BRDR|014F3DAF7578A448E043814FD28EA448|1.0|4075208273|BRISCOE QUAD DINING ROOM|80|BL|N|6032529|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000|20021015000000|BA|CAFE|N|N|9532529|9532529|BA|BA|
BA|BRER|014F3DAF7579A448E043814FD28EA448|1.0|3570803537|BRISCOE QUAD EQUIP REPL|80|BL|N|9243250|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9532500|9532500|BA|BA|
BA|BRFD|014F3DAF757AA448E043814FD28EA448|1.0|3584609748|RPAS CENTRAL FOOD PROD AT BRISCOE|80|BL|O|6030000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000|20030703000000|BA|CNFD|N|N|9542505|9542505|BA|BA|
BA|BRSB|014F3DAF757BA448E043814FD28EA448|1.0|3570803537|BRISCOE SNACK BAR|80|BL|O|6032530|80L N. JORDAN||BLOOMINGTON|IN|47405|US|20960319000000|20980209000000|BA|CAFE|N|N|9532500|9532500|BA|BA|
BA|BRSH|014F3DAF757CA448E043814FD28EA448|1.0|3584609748|BRISCOE QUAD RESIDENCE|80|BL|N|6032528|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|HOUS|Y|N|9532528|9532528|BA|BA|
BA|BUDG|014F3DAF757DA448E043814FD28EA448|1.0|2802202597|BUDGET ~ FISCAL AFFAIRS|80|BL|R|6020000|BRYAN 100||BLOOMINGTON|IN|47405|US|20930701000000||BL|BL|Y|N|9520080|9520000|BL|BL|
BA|BUFE|014F3DAF757EA448E043814FD28EA448|1.0|4075208273|RPAS DINING SRVS CAFETERIA OPERATIONS|80|BL|O|6030534|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000|20000428000000|BA|CAFE|N|N|||||
BA|BUSS|014F3DAF757FA448E043814FD28EA448|1.0|5598104606|CAMPUS BUS|80|BL|T|6042300|120 W.  GRIMES LANE||BLOOMINGTON|IN|47405|US|20970424000000||BA|TRAN|Y|N|9542300|9542300|BA|BA|
BA|BWAC|014F3DAF7580A448E043814FD28EA448|1.0|3584609748|RPAS BRISCOE WELLNESS CENTER|80|BL|O|6047502|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000||BA|ACAC|Y|N|9547502|9547502|BA|BA|
BA|CAFE|014F3DAF7581A448E043814FD28EA448|1.0|3570803537|DINING HALLS|80|BL|N|6030534|80L N. JORDAN||BLOOMINGTON|IN|47405|US|20950221000000||BA|HALL|Y|N|9530400|9530400|BA|BA|
BA|CAGE|014F3DAF7582A448E043814FD28EA448|1.0|3584609748|RPAS CENTRAL ADMINISTRATION|80|BL|O|6030000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000||BA|CENT|Y|N|9530000|9530000|BA|BA|
BA|CAMD|014F3DAF7583A448E043814FD28EA448|1.0|4640605151|CAMPUS DIVISION|82|BL|O||SERVICE||BLOOMINGTON|IN|47405|US|20930701000000||BA|PHYP|Y|N|9526000|9520000|BA|BL|
BA|CARD|014F3DAF7584A448E043814FD28EA448|1.0|5653408083|CARD SERVICES|80|BL|S|6025300|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20011106000000||BA|ACSS|Y|N|9526200|9526200|BA|BA|
BA|CARS|014F3DAF7585A448E043814FD28EA448|1.0|5253907165|HALLS PARKING OPERATIONS|80|BL|O|6039600|80L N. JORDAN||BLOOMINGTON|IN|47405|US|20960319000000|20980211000000|BA|MISC|N|N|9539600|9539600|BA|BA|
BA|CCCC|014F3DAF8163A448E043814FD28EA448|1.0|3584609748|CENTRAL ADMINISTRATION|80|BL|O|6030000|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20040112000000|20040112000000|BA|CAGE|N|N|9530000|9530000|BA|BA|
BA|CENT|014F3DAF7586A448E043814FD28EA448|1.0|3584609748|RPAS CENTRAL SUPPORT|80|BL|O|6030000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20020715000000||BA|RPAS|Y|N|9530004|9530004|BA|BA|
BA|CLER|014F3DAF7587A448E043814FD28EA448|1.0|2802202597|CLEARING ACCOUNTS|80|BL|N|6840010|BRYAN 100||BLOOMINGTON|IN|47405|US|20020830000000||BL|BL|Y|N|9520080|9520000|BL|BL|
BA|CLSH|014F3DAF7588A448E043814FD28EA448|1.0|4075208273|RALPH L COLLINS CENTER|80|BL|O|6030551|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20000407000000||BA|HOUS|Y|N|||||
BA|CMIC|014F3DAF7589A448E043814FD28EA448|1.0|5653408083|MICROGRAPHICS|80|BL|O|6042704|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20930701000000|20010810000000|BA|CODS|N|N|9542704|9520000|BA|BA|
BA|CMOR|014F3DAF758AA448E043814FD28EA448|1.0|5653408083|COPIES AND MORE|80|BL|O|6042702|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20930701000000|20010810000000|BA|CODS|N|N|9542702|9520000|BA|BA|
BA|CMST|014F3DAF758BA448E043814FD28EA448|1.0|1224705693|CHEMISTRY SCIENTIFIC STORES|04|BL|O||CHEMISTRY 111||BLOOMINGTON|IN|47405|US|20930701000000|20001031000000|BL|CHEM|N|N|9520004|9520000|BL|BL|
BA|CNFD|014F3DAF758CA448E043814FD28EA448|1.0|4075208273|RPAS CENTRAL FOOD PRODUCTION|80|BL|O|6042500|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000||BA|RPAS|Y|N|||||
BA|CNFS|014F3DAF80B0A448E043814FD28EA448|1.0|3584609748|RPAS CONFERENCES|80|BL|O|6030055|801 N JORDAN||BLOOMINGTON|IN|47405|US|20020701000000||BA|CAGE|Y|N|9530035|9530035|BA|BA|
BA|COBR|014F3DAF758DA448E043814FD28EA448|1.0|3570803537|HALLS OERATING BLDG REPAIR|80|BL|O|9243051|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20000407000000|BA|HALL|N|N|9530500|9530500|BA|BA|
BA|CODR|014F3DAF758EA448E043814FD28EA448|1.0|3584609748|EDMONSON DINING HALL|80|BL|O|6030552|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|CAFE|Y|N|9530552|9530552|BA|BA|
BA|CODS|014F3DAF758FA448E043814FD28EA448|1.0|5653408083|COPY AND DUPLICATING SERVICES|80|BL|P|6042701|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20010904000000||BA|BKST|Y|N|9500001|9500001|BA|BA|
BA|COER|014F3DAF7590A448E043814FD28EA448|1.0|3570803537|HALLS OERATING EQUIP REPL|80|BL|O|9243050|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530500|9530500|BA|BA|
BA|COIN|014F3DAF7591A448E043814FD28EA448|1.0|5653408083|COPY-COIN OPERATION|80|BL|O|6042701|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20011106000000||BA|AXOP|Y|N|9542700|9520000|BA|BL|
BA|COLL|014F3DAF7592A448E043814FD28EA448|1.0|1731109684|MRC LIVING LEARNING CENTER|80|BL|O|6030554|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|MISC|N|N|9530500|9530500|BA|BA|
BA|COMM|014F3DAF7593A448E043814FD28EA448|1.0|4052406505|COMMUNICATION SERVICES|66|BL|O|6621010|2711 E. 10TH STREET||BLOOMINGTON|IN|47408|US|20930701000000||BL|BCTS|Y|N|9520080|9520000|BL|BL|
BA|CONF|014F3DAF7594A448E043814FD28EA448|1.0|1701107778|CONFERENCE CENTER|80|BL|E|6042612|BRYAN 100||BLOOMINGTON|IN|47405|US|20020722000000||BA|AXOP|Y|N|9542600|9520000|BA|BL|
BA|COPR|014F3DAF7595A448E043814FD28EA448|1.0|3584609748|COMMUNITY INTIIATIVE PROGRAMS|80|BL|O|6047500|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20981030000000|20030320000000|BA|PRGE|N|N|9547500|9547500|BA|BA|
BA|COPY|014F3DAF7596A448E043814FD28EA448|1.0|5653408083|COPY SERVICES|80|BL|O|6042700|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20011106000000||BA|CODS|Y|N|9542700|9542700|BA|BA|
BA|COSH|014F3DAF7597A448E043814FD28EA448|1.0|3584609748|COLLINS CENTER|80|BL|N|6030551|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|CLSH|Y|N|9530551|9530551|BA|BA|
BA|CPUB|014F3DAF7598A448E043814FD28EA448|1.0|5653408083|CUSTOM PUBLISHING|80|BL|O|6042705|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20930701000000|20010810000000|BA|CODS|N|N|9542705|9520000|BA|BA|
BA|CSER|014F3DAF7599A448E043814FD28EA448|1.0|5653408083|COPY SERVICES|80|BL|O|6622503|10TH ~ BYPASS||BLOOMINGTON|IN|47405|US|20950302000000|20961021000000|BL|AXSV|N|N|9520080|9520000|BL|BL|
BA|CUGE|014F3DAF759AA448E043814FD28EA448|1.0|3584609748|RPAS ENVIRONMENTAL OPERATIONS|80|BL|O|6030004|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20990930000000||BA|MANT|Y|N|9530004|9530004|BA|BA|
BA|CVAH|014F3DAF759BA448E043814FD28EA448|1.0|3584609748|CAMPUS VIEW APTS|80|BL|N|6031700|801 N.JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|APTS|Y|N|9531700|9531700|BA|BA|
BA|CVBR|014F3DAF759CA448E043814FD28EA448|1.0|3570803537|CAMPUS VIEW BLDG REPAIR|80|BL|N|9243171|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531700|9531700|BA|BA|
BA|CVER|014F3DAF759DA448E043814FD28EA448|1.0|3570803537|CAMPUS VIEW EQUIP REPL|80|BL|N|9243170|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531700|9531700|BA|BA|
BA|DCPS|014F3DAF759EA448E043814FD28EA448|1.0|3138906213|COPY MACHINES - DEPARTMENTAL|80|BL|O|6622504|BRYAN 100||BLOOMINGTON|IN|47405|US||20010815000000|BA|DSER|N|N|||||
BA|DDDR|014F3DAF7F97A448E043814FD28EA448|1.0|3584609748|CREAM ~ CRIMSON CREATIONS|80|BL|O|6031226|400 FEE LANE||BLOOMINGTON|IN|47405|US|20000612000000||BA|FSDR|Y|N|9531226|9531226|BA|BA|
BA|DOBR|014F3DAF759FA448E043814FD28EA448|1.0|3570803537|DIRECTOR`S OFFICE BLDG REPAIR|80|BL|N|9243010|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530000|9530000|BA|BA|
BA|DOER|014F3DAF75A0A448E043814FD28EA448|1.0|3570803537|DIRECTOR`S OFFICE EQUIPMENT REPLACEMENT|80|BL|N|9243000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530000|9530000|BA|BA|
BA|DOGE|014F3DAF75A1A448E043814FD28EA448|1.0|2539200452|HALLS DIRECTORS OFFICE|80|BL|N|6030000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20000428000000|BA|MISC|N|N|9530000|9530000|BA|BA|
BA|DOSU|014F3DAF75A2A448E043814FD28EA448|1.0|5065306127|HALLS DIRECTORS OFFICE|80|BL|N|6030000|801 N JORDAN||BLOOMINGTON|IN|47405|US|20930701000000|20980211000000|BA|MISC|N|N|9530000|9530000|BA|BA|
BA|DSBL|014F3DAF815EA448E043814FD28EA448|1.0|5240003343|TRAN DISABLED STUDENTS|80|BL|O|6628100|SERVICE BLDG||BLOOMINGTON|IN|47405|US|20031002000000||BA|MOTR|Y|N|9528000|9528000|BA|BA|
BA|DSER|014F3DAF75A3A448E043814FD28EA448|1.0|5653408083|DUPLICATING SERVICES|80|BL|O|6622500|BRYAN 100||BLOOMINGTON|IN|47405|US|20010816000000|20010816000000|BA|CODS|N|N|||||
BA|EIBR|014F3DAF75A4A448E043814FD28EA448|1.0|3570803537|EIGENMANN BUILDING REPAIR|80|BL|O|9243081|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530800|9530800|BA|BA|
BA|EIDR|014F3DAF75A5A448E043814FD28EA448|1.0|3584609748|EIGENMANN DINING ROOM|80|BL|O|6030823|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|CAFE|Y|N|9530823|9530823|BA|BA|
BA|EIER|014F3DAF75A6A448E043814FD28EA448|1.0|3570803537|EIGENMANN EQUIPMENT REPL|80|BL|O|9243080|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9530800|9530800|BA|BA|
BA|EISB|014F3DAF75A7A448E043814FD28EA448|1.0|3570803537|EIGENMANN SNACK BAR|80|BL|O|6030824|801 NORTH JORDAN||BLOOMINGTON|IN|47405|US|20960319000000|20980210000000|BA|CAFE|N|N|9530800|9530800|BA|BA|
BA|EISH|014F3DAF75A8A448E043814FD28EA448|1.0|3584609748|EIGENMANN CENTER|80|BL|O|6030822|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|HOUS|Y|N|9530822|9530822|BA|BA|
BA|ELEC|014F3DAF75A9A448E043814FD28EA448|1.0|4640605151|ELECTRONICS|82|BL|O||SERVICE||BLOOMINGTON|IN|47405|US|20930701000000||BA|PHYP|Y|N|9526000|9520000|BA|BL|
BA|EQRE|014F3DAF75AAA448E043814FD28EA448|1.0|4186602347|EQUIPMENT REPACEMENT AND REPAIRS|80|BL|N|9221000|BRYAN 100||BLOOMINGTON|IN|47405|US|20940523000000||BL|BL|Y|N|9520080|9520000|BL|BL|
BA|EVAH|014F3DAF75ABA448E043814FD28EA448|1.0|3584609748|EVERMANN APTS|80|BL|O|6031000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|APTS|Y|N|9531000|9531000|BA|BA|
BA|EVBR|014F3DAF75ACA448E043814FD28EA448|1.0|3570803537|EVERMANN APTS 3 BLDG REPAIR|80|BL|O|9243201|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531000|9531000|BA|BA|
BA|EVER|014F3DAF75ADA448E043814FD28EA448|1.0|5253907165|EVERMANN APTS 3 EQUIP REPL|80|BL|O|9243100|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531000|9531000|BA|BA|
BA|FAC|014F3DAF8007A448E043814FD28EA448|1.0|4603906716|AUDITORIUM FACILITY|80|BL|O|6041400|IMU||BLOOMINGTON|IN|47405|US|20010205000000||BA|AUTM|Y|N|9541400|9520000|BA|BL|
BA|FOOD|014F3DAF75AEA448E043814FD28EA448|1.0|3584609748|FOOD SERVICES|80|BL|O|6042500|BRYAN 100||BLOOMINGTON|IN|47405|US|20930701000000||BA|CNFD|Y|N|9542500|9542500|BA|BA|
BA|FRAT|014F3DAF75AFA448E043814FD28EA448|1.0|3771403079|PARKING SERVICES FRATERNITY AND SORORITY|80|BL|O|6044900|FRANKLIN HALL||BLOOMINGTON|IN|47405|US|20990211000000||BA|TRAN|Y|N|9544900|9544900|BA|BA|
BA|FRBR|014F3DAF75B0A448E043814FD28EA448|1.0|3570803537|FOREST QUAD BUILDING REPAIR|80|BL|N|9243111|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531100|9531100|BA|BA|
BA|FRDR|014F3DAF75B1A448E043814FD28EA448|1.0|3584609748|FOREST QUAD DINING ROOM|80|BL|O|6031129|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|CAFE|Y|N|9531129|9531129|BA|BA|
BA|FRER|014F3DAF75B2A448E043814FD28EA448|1.0|3570803537|FOREST QUAD EQUIPMENT REPLACEMENT|80|BL|N|9243110|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531100|9531100|BA|BA|
BA|FRSB|014F3DAF75B3A448E043814FD28EA448|1.0|3570803537|FOREST SNACK BAR|80|BL|O|6031130|80L N. JORDAN||BLOOMINGTON|IN|47405|US|20960319000000|20980209000000|BA|CAFE|N|N|9531100|9531100|BA|BA|
BA|FRSH|014F3DAF75B4A448E043814FD28EA448|1.0|3584609748|FOREST QUADRANGLE GEN|80|BL|O|6031128|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|HOUS|Y|N|9531128|9531128|BA|BA|
BA|FSBR|014F3DAF75B5A448E043814FD28EA448|1.0|3570803537|FOSTER QUAD BUILDING REPAIR|80|BL|N|9243121|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531200|9531200|BA|BA|
BA|FSDR|014F3DAF75B6A448E043814FD28EA448|1.0|4075208273|GRESHAM DINING ROOM|80|BL|N|6031226|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|CAFE|Y|N|9531226|9531226|BA|BA|
BA|FSER|014F3DAF75B7A448E043814FD28EA448|1.0|3570803537|FOSTER QUAD EQUIPMENT REPL|80|BL|N|9243120|801 N JORDAN||BLOOMINGTON|IN|47405|US|20940801000000|20980211000000|BA|HALL|N|N|9531200|9531200|BA|BA|
BA|FSSH|014F3DAF75B8A448E043814FD28EA448|1.0|3584609748|FOSTER QUAD RESIDENCE|80|BL|N|6031225|801 N JORDAN||BLOOMINGTON|IN|47405|US|20990329000000||BA|HOUS|Y|N|9531225|9531225|BA|BA|
BA|FURN|014F3DAF75B9A448E043814FD28EA448|1.0|4075208273|RPAS SEWING AND UPHOLSTERY SHOP|80|BL|O|6039400|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000||BA|MANT|Y|N|||||
