role_mbr_id|ver_nbr|obj_id|role_id|mbr_id|mbr_typ_cd|actv_frm_dt|actv_to_dt|last_updt_dt|
KFS1150|1.0|KFS1150|40|4797500314|P|||20121207233025|
KFS1151|1.0|KFS1151|40|1732407799|P|||20121207233025|
KFS1152|1.0|KFS1152|40|4071101475|P|||20121207233025|
KFS1153|1.0|KFS1153|40|4521601311|P|||20121207233025|
KFS1154|1.0|KFS1154|40|5045201884|P|||20121207233025|
KFS1155|1.0|KFS1155|40|5951409987|P|||20121207233025|
KFS1156|1.0|KFS1156|40|2311506822|P|||20121207233025|
KFS1157|1.0|KFS1157|45|3372102879|P|||20121207233025|
KFS1158|1.0|KFS1158|45|3383108331|P|||20121207233025|
KFS1159|1.0|KFS1159|45|1739701101|P|||20121207233025|
KFS116|1.0|KFS116|54|1975509930|P|||20121207233025|
KFS1160|1.0|KFS1160|45|1781003865|P|||20121207233025|
KFS1161|1.0|KFS1161|45|5293405344|P|||20121207233025|
KFS1162|1.0|KFS1162|45|5918604591|P|||20121207233025|
KFS1163|1.0|KFS1163|45|6162502038|P|||20121207233025|
KFS1164|1.0|KFS1164|45|3420506415|P|||20121207233025|
KFS1165|1.0|KFS1165|45|2906405069|P|||20121207233025|
KFS1166|1.0|KFS1166|46|4443702936|P|||20121207233025|
KFS1167|1.0|KFS1167|47|2302909552|P|||20121207233025|
KFS1169|1.0|KFS1169|65|3949401795|P|||20121207233027|
KFS117|1.0|KFS117|54|1183109030|P|||20121207233025|
KFS1170|1.0|KFS1170|49|6162502038|P|||20121207233025|
KFS1171|1.0|KFS1171|49|6185006765|P|||20121207233025|
KFS1172|1.0|KFS1172|49|2133704704|P|||20121207233025|
KFS1173|1.0|KFS1173|49|5721404797|P|||20121207233025|
KFS1174|1.0|KFS1174|51|admin|P|||20121207233025|
KFS1175|1.0|KFS1175|16|6162502038|P|||20121207233024|
KFS1176|1.0|KFS1176|36|6162502038|P|||20121207233025|
KFS1177|1.0|KFS1177|36|1271304676|P|||20121207233025|
KFS1178|1.0|KFS1178|55|6276904397|P|||20121207233027|
KFS118|1.0|KFS118|54|5967802348|P|||20121207233025|
KFS1180|1.0|KFS1180|50|6219408423|P|||20121207233025|
KFS1181|1.0|KFS1181|50|4936104131|P|||20121207233025|
KFS1182|1.0|KFS1182|50|3264700400|P|||20121207233025|
KFS1186|1.0|KFS1186|13|5025501749|P|||20121207233024|
KFS1187|1.0|KFS1187|13|3372102879|P|||20121207233024|
KFS1188|1.0|KFS1188|13|5729300245|P|||20121207233024|
KFS1189|1.0|KFS1189|13|5729300245|P|||20121207233024|
KFS119|1.0|KFS119|54|2254202107|P|||20121207233025|
KFS1190|1.0|KFS1190|18|1545104915|P|||20121207233024|
KFS1191|1.0|KFS1191|18|1290503526|P|||20121207233024|
KFS1192|1.0|KFS1192|18|1975509930|P|||20121207233024|
KFS1193|1.0|KFS1193|18|1183109030|P|||20121207233024|
KFS1194|1.0|KFS1194|18|5967802348|P|||20121207233024|
KFS1195|1.0|KFS1195|18|2254202107|P|||20121207233024|
KFS1196|1.0|KFS1196|18|2726706560|P|||20121207233024|
KFS1197|1.0|KFS1197|18|1998203566|P|||20121207233024|
KFS1198|1.0|KFS1198|18|5561408311|P|||20121207233024|
KFS1199|1.0|KFS1199|25|1959008511|P|||20121207233024|
KFS12|1.0|KFS12|54|3644105427|P|||20121207233025|
KFS120|1.0|KFS120|54|2726706560|P|||20121207233025|
KFS1200|1.0|KFS1200|25|5621906847|P|||20121207233024|
KFS1201|1.0|KFS1201|25|5846500376|P|||20121207233024|
KFS1202|1.0|KFS1202|25|2244704330|P|||20121207233024|
KFS1203|1.0|KFS1203|25|2444607029|P|||20121207233024|
KFS1204|1.0|KFS1204|25|U000000004|P|||20121207233024|
KFS1205|1.0|KFS1205|25|I000000001|P|||20121207233024|
KFS1206|1.0|KFS1206|25|I000000002|P|||20121207233024|
KFS1207|1.0|KFS1207|25|I000000003|P|||20121207233024|
KFS1208|1.0|KFS1208|25|I000000004|P|||20121207233024|
KFS1209|1.0|KFS1209|25|I000000005|P|||20121207233024|
KFS121|1.0|KFS121|54|1998203566|P|||20121207233025|
KFS1210|1.0|KFS1210|25|C000000001|P|||20121207233024|
KFS1211|1.0|KFS1211|25|C000000002|P|||20121207233024|
KFS1212|1.0|KFS1212|25|C000000003|P|||20121207233024|
KFS1213|1.0|KFS1213|25|C000000004|P|||20121207233024|
KFS1214|1.0|KFS1214|25|C000000005|P|||20121207233024|
KFS1215|1.0|KFS1215|25|D000000001|P|||20121207233024|
KFS1216|1.0|KFS1216|25|D000000002|P|||20121207233024|
KFS1217|1.0|KFS1217|25|D000000003|P|||20121207233024|
KFS1218|1.0|KFS1218|25|D000000004|P|||20121207233024|
KFS1219|1.0|KFS1219|25|D000000005|P|||20121207233024|
KFS122|1.0|KFS122|54|5561408311|P|||20121207233025|
KFS1220|1.0|KFS1220|25|A000000001|P|||20121207233024|
KFS1221|1.0|KFS1221|25|A000000002|P|||20121207233024|
KFS1222|1.0|KFS1222|25|A000000003|P|||20121207233024|
KFS1223|1.0|KFS1223|25|A000000004|P|||20121207233024|
KFS1224|1.0|KFS1224|25|A000000005|P|||20121207233024|
KFS1225|1.0|KFS1225|25|M000000001|P|||20121207233024|
KFS1226|1.0|KFS1226|25|M000000002|P|||20121207233024|
KFS1227|1.0|KFS1227|25|M000000003|P|||20121207233024|
KFS1228|1.0|KFS1228|25|M000000004|P|||20121207233024|
KFS1229|1.0|KFS1229|25|M000000005|P|||20121207233024|
KFS123|1.0|KFS123|54|2367402565|P|||20121207233025|
KFS1230|1.0|KFS1230|25|U000000001|P|||20121207233024|
KFS1231|1.0|KFS1231|25|U000000002|P|||20121207233024|
KFS1232|1.0|KFS1232|25|U000000003|P|||20121207233024|
KFS1233|1.0|KFS1233|25|U000000005|P|||20121207233024|
KFS1234|1.0|KFS1234|25|H000000001|P|||20121207233024|
KFS1235|1.0|KFS1235|25|H000000002|P|||20121207233024|
KFS1236|1.0|KFS1236|25|H000000003|P|||20121207233024|
KFS1237|1.0|KFS1237|25|H000000004|P|||20121207233024|
KFS1238|1.0|KFS1238|25|H000000005|P|||20121207233024|
KFS1239|1.0|KFS1239|27|2717708169|P|||20121207233025|
KFS124|1.0|KFS124|54|3264700400|P|||20121207233025|
KFS1240|1.0|KFS1240|27|4440008197|P|||20121207233025|
KFS1241|1.0|KFS1241|37|2168808105|P|||20121207233025|
KFS1242|1.0|KFS1242|37|1872708343|P|||20121207233025|
KFS1243|1.0|KFS1243|37|2868007063|P|||20121207233025|
KFS1244|1.0|KFS1244|37|1271304676|P|||20121207233025|
KFS1245|1.0|KFS1245|37|3771303577|P|||20121207233025|
KFS1246|1.0|KFS1246|37|6269308135|P|||20121207233025|
KFS1247|1.0|KFS1247|37|3771303577|P|||20121207233025|
KFS1248|1.0|KFS1248|37|1739701101|P|||20121207233025|
KFS1249|1.0|KFS1249|37|2615105455|P|||20121207233025|
KFS125|1.0|KFS125|54|3296604185|P|||20121207233025|
KFS1250|1.0|KFS1250|37|3506305224|P|||20121207233025|
KFS1251|1.0|KFS1251|37|5186102229|P|||20121207233025|
KFS1252|1.0|KFS1252|37|4744906489|P|||20121207233025|
KFS1253|1.0|KFS1253|37|1271304676|P|||20121207233025|
KFS1255|1.0|KFS1255|39|2717804241|P|||20121207233025|
KFS1256|1.0|KFS1256|39|4445203670|P|||20121207233025|
KFS1257|1.0|KFS1257|39|2717804241|P|||20121207233025|
KFS1258|1.0|KFS1258|39|6162502038|P|||20121207233025|
KFS1259|1.0|KFS1259|39|6276904397|P|||20121207233025|
KFS126|1.0|KFS126|54|5652205916|P|||20121207233025|
KFS1260|1.0|KFS1260|39|2615708929|P|||20121207233025|
KFS1261|1.0|KFS1261|39|6054309812|P|||20121207233025|
KFS1262|1.0|KFS1262|39|6054309812|P|||20121207233025|
KFS1263|1.0|KFS1263|39|6054309812|P|||20121207233025|
KFS1264|1.0|KFS1264|39|6054309812|P|||20121207233025|
KFS1265|1.0|KFS1265|39|6054309812|P|||20121207233025|
KFS1266|1.0|KFS1266|39|6054309812|P|||20121207233025|
KFS1267|1.0|KFS1267|39|6054309812|P|||20121207233025|
KFS1268|1.0|KFS1268|39|6054309812|P|||20121207233025|
KFS1269|1.0|KFS1269|39|2717804241|P|||20121207233025|
KFS127|1.0|KFS127|54|2532408486|P|||20121207233025|
KFS1270|1.0|KFS1270|39|4445203670|P|||20121207233025|
KFS1271|1.0|KFS1271|39|6054309812|P|||20121207233025|
KFS1272|1.0|KFS1272|39|2717804241|P|||20121207233025|
KFS1273|1.0|KFS1273|39|4445203670|P|||20121207233025|
KFS1274|1.0|KFS1274|39|6054309812|P|||20121207233025|
KFS1275|1.0|KFS1275|39|6054309812|P|||20121207233025|
KFS1276|1.0|KFS1276|39|6054309812|P|||20121207233025|
KFS1277|1.0|KFS1277|39|6054309812|P|||20121207233025|
KFS1278|1.0|KFS1278|56|5752908620|P|||20121207233027|
KFS1279|1.0|KFS1279|56|5614708043|P|||20121207233027|
KFS128|1.0|KFS128|54|4041902980|P|||20121207233025|
KFS1280|1.0|KFS1280|56|5151809337|P|||20121207233027|
KFS1281|1.0|KFS1281|62|2|P|||20121207233027|
KFS1285|1.0|KFS1285|7|2422606713|P|||20121207233027|
KFS1286|1.0|KFS1286|7|5759504722|P|||20121207233027|
KFS1287|1.0|KFS1287|7|2210608902|P|||20121207233027|
KFS1288|1.0|KFS1288|7|3075402167|P|||20121207233027|
KFS1289|1.0|KFS1289|24|4146202628|P|||20121207233024|
KFS129|1.0|KFS129|54|3709601315|P|||20121207233025|
KFS1290|1.0|KFS1290|24|4124805803|P|||20121207233024|
KFS1291|1.0|KFS1291|28|4269702290|P|||20121207233025|
KFS1292|1.0|KFS1292|28|3432106365|P|||20121207233025|
KFS1293|1.0|KFS1293|8|1668303757|P|||20121207233027|
KFS1294|1.0|KFS1294|8|3082302550|P|||20121207233027|
KFS1295|1.0|KFS1295|8|4657500196|P|||20121207233027|
KFS1296|1.0|KFS1296|23|3570803537|P|||20121207233024|
KFS1297|1.0|KFS1297|23|5331201785|P|||20121207233024|
KFS1298|1.0|KFS1298|23|4004609468|P|||20121207233024|
KFS1299|1.0|KFS1299|23|3414509376|P|||20121207233024|
KFS13|1.0|KFS13|54|3736906932|P|||20121207233025|
KFS130|1.0|KFS130|54|1335003222|P|||20121207233025|
KFS1300|1.0|KFS1300|48|3679505261|P|||20121207233025|
KFS1302|1.0|KFS1302|48|2687501556|P|||20121207233025|
KFS1306|1.0|KFS1306|6|5|R|||20121207232901|
KFS1307|1.0|KFS1307|3|31|R|||20121207232901|
KFS1308|1.0|KFS1308|17|45|R|||20121207232901|
KFS1309|1.0|KFS1309|19|45|R|||20121207232901|
KFS131|1.0|KFS131|54|5949304259|P|||20121207233025|
KFS1310|1.0|KFS1310|22|29|R|||20121207232901|
KFS1311|1.0|KFS1311|26|47|R|||20121207232901|
KFS1312|1.0|KFS1312|35|34|R|||20121207232901|
KFS1313|1.0|KFS1313|35|46|R|||20121207232901|
KFS1314|1.0|KFS1314|44|45|R|||20121207232901|
KFS1315|1.0|KFS1315|44|31|R|||20121207232901|
KFS1316|1.0|KFS1316|44|35|R|||20121207232901|
KFS1317|1.0|KFS1317|44|38|R|||20121207232901|
KFS1318|1.0|KFS1318|44|29|R|||20121207232901|
KFS1319|1.0|KFS1319|44|47|R|||20121207232901|
KFS132|1.0|KFS132|54|5518608449|P|||20121207233025|
KFS1324|1.0|KFS1324|63|51|R|||20121207232901|
KFS1325|1.0|KFS1325|44|36|R|||20121207232901|
KFS1326|1.0|KFS1326|18|20|R|||20121207232901|
KFS1327|1.0|KFS1327|18|47|R|||20121207232901|
KFS1328|1.0|KFS1328|18|47|R|||20121207232901|
KFS1329|1.0|KFS1329|18|47|R|||20121207232901|
KFS133|1.0|KFS133|54|3998400688|P|||20121207233025|
KFS1330|1.0|KFS1330|18|47|R|||20121207232901|
KFS1331|1.0|KFS1331|18|47|R|||20121207232901|
KFS1332|1.0|KFS1332|18|47|R|||20121207232901|
KFS1333|1.0|KFS1333|18|47|R|||20121207232901|
KFS1334|1.0|KFS1334|18|47|R|||20121207232901|
KFS1337|1.0|KFS1337|56|22|R|||20121207232901|
KFS1338|1.0|KFS1338|81|36|R|||20121207232901|
KFS1339|1.0|KFS1339|28|36|R|||20121207232901|
KFS134|1.0|KFS134|54|2057006123|P|||20121207233025|
KFS1340|1.0|KFS1340|81|65|R|||20121207232901|
KFS1341|1.0|KFS1341|81|65|R|||20121207232901|
KFS1342|1.0|KFS1342|81|65|R|||20121207232901|
KFS1343|1.0|KFS1343|81|65|R|||20121207232901|
KFS1344|1.0|KFS1344|81|65|R|||20121207232901|
KFS1345|1.0|KFS1345|8|39|R|||20121207232901|
KFS1348|1.0|KFS1348|70|22|R|||20121207232901|
KFS1349|1.0|KFS1349|70|16|R|||20121207232901|
KFS135|1.0|KFS135|54|4263602369|P|||20121207233025|
KFS1351|1.0|KFS1351|5|34|R|||20121207232901|
KFS1352|1.0|KFS1352|6|35|R|||20121207232901|
KFS1354|1.0|KFS1354|26|25|R|||20121207232901|
KFS1355|1.0|KFS1355|44|53|R|||20121207232901|
KFS136|1.0|KFS136|54|2724700273|P|||20121207233025|
KFS137|1.0|KFS137|54|5594206387|P|||20121207233025|
KFS138|1.0|KFS138|54|3106006335|P|||20121207233025|
KFS139|1.0|KFS139|54|2244704330|P|||20121207233025|
KFS14|1.0|KFS14|54|5068701724|P|||20121207233025|
KFS140|1.0|KFS140|54|2885908053|P|||20121207233025|
KFS141|1.0|KFS141|54|4182202259|P|||20121207233025|
KFS142|1.0|KFS142|54|4154408215|P|||20121207233025|
KFS143|1.0|KFS143|54|6182208707|P|||20121207233025|
KFS144|1.0|KFS144|54|4553801458|P|||20121207233025|
KFS145|1.0|KFS145|54|3241801877|P|||20121207233025|
KFS146|1.0|KFS146|54|3083208092|P|||20121207233025|
KFS147|1.0|KFS147|54|1701107778|P|||20121207233025|
KFS148|1.0|KFS148|54|1680308253|P|||20121207233025|
KFS149|1.0|KFS149|54|4545405888|P|||20121207233025|
KFS15|1.0|KFS15|54|4971403958|P|||20121207233025|
KFS150|1.0|KFS150|54|6269308135|P|||20121207233025|
KFS151|1.0|KFS151|54|6272309454|P|||20121207233025|
KFS152|1.0|KFS152|54|5065906725|P|||20121207233025|
KFS153|1.0|KFS153|54|5121105659|P|||20121207233025|
KFS154|1.0|KFS154|54|1781104312|P|||20121207233025|
KFS155|1.0|KFS155|54|5598104606|P|||20121207233025|
KFS156|1.0|KFS156|54|4835307856|P|||20121207233025|
KFS157|1.0|KFS157|54|5370700381|P|||20121207233025|
KFS158|1.0|KFS158|54|2871205128|P|||20121207233025|
KFS159|1.0|KFS159|54|1110101123|P|||20121207233025|
KFS16|1.0|KFS16|54|5430509566|P|||20121207233025|
KFS160|1.0|KFS160|54|4809905701|P|||20121207233025|
KFS1602|1.0|KFS1602|75|41|R|||20121207232901|
KFS1603|1.0|KFS1603|75|81|R|||20121207232901|
KFS1604|1.0|KFS1604|80|41|R|||20121207232901|
KFS1605|1.0|KFS1605|80|81|R|||20121207232901|
KFS1606|1.0|KFS1606|84|22|R|||20121207232901|
KFS1607|1.0|KFS1607|84|26|R|||20121207232901|
KFS1608|1.0|KFS1608|84|27|R|||20121207232901|
KFS1609|1.0|KFS1609|84|85|R|||20121207232901|
KFS161|1.0|KFS161|54|4797306442|P|||20121207233025|
KFS1610|1.0|KFS1610|84|54|R|||20121207232901|
KFS1611|1.0|KFS1611|84|32|R|||20121207232901|
KFS1612|1.0|KFS1612|81|2595801199|P|||20121207233027|
KFS1613|1.0|KFS1613|81|2566903942|P|||20121207233027|
KFS1614|1.0|KFS1614|81|1184605262|P|||20121207233027|
KFS1615|1.0|KFS1615|81|1271304676|P|||20121207233027|
KFS1616|1.0|KFS1616|81|3153306089|P|||20121207233027|
KFS1617|1.0|KFS1617|81|3712704766|P|||20121207233027|
KFS1618|1.0|KFS1618|81|1106901514|P|||20121207233027|
KFS1619|1.0|KFS1619|81|1529707192|P|||20121207233027|
KFS162|1.0|KFS162|54|5469103838|P|||20121207233025|
KFS1620|1.0|KFS1620|81|5331201785|P|||20121207233027|
KFS1621|1.0|KFS1621|81|2620008671|P|||20121207233027|
KFS1622|1.0|KFS1622|81|3879106523|P|||20121207233027|
KFS1623|1.0|KFS1623|81|1271001025|P|||20121207233027|
KFS1624|1.0|KFS1624|81|3736906932|P|||20121207233027|
