cg_cfda_nbr|obj_id|ver_nbr|cg_cfda_pgm_ttl_nm|cg_cfda_maint_typ_id|row_actv_ind|
10.075|237D10FAA51AC0B0E043814FD881C0B0|1.0|Special Apple Program|AUTOMATIC|Y|
10.076|237D10FAA51BC0B0E043814FD881C0B0|1.0|Emergency Loan for Seed Producers|AUTOMATIC|Y|
10.077|237D10FAA51CC0B0E043814FD881C0B0|1.0|Livestock Compensation Program|AUTOMATIC|Y|
10.078|237D10FAA51DC0B0E043814FD881C0B0|1.0|Bioenergy Program|AUTOMATIC|Y|
10.079|237D10FAA51EC0B0E043814FD881C0B0|1.0|Bill Emerson Humanitarian Trust|AUTOMATIC|Y|
10.080|237D10FAAB47C0B0E043814FD881C0B0|1.0|Milk Income Loss Contract Program|AUTOMATIC|Y|
10.081|237D10FAAB48C0B0E043814FD881C0B0|1.0|Lamb Meat Adjustment Assistance Program|AUTOMATIC|Y|
10.082|237D10FAAB49C0B0E043814FD881C0B0|1.0|Tree Assistance Program|AUTOMATIC|Y|
10.083|237D10FAAB4AC0B0E043814FD881C0B0|1.0|Tobacco Loss Assistance Program|AUTOMATIC|Y|
10.153|237D10FAA51FC0B0E043814FD881C0B0|1.0|Market News|AUTOMATIC|Y|
10.155|237D10FAA520C0B0E043814FD881C0B0|1.0|Marketing Agreements and Orders|AUTOMATIC|Y|
10.156|237D10FAA521C0B0E043814FD881C0B0|1.0|Federal-State Marketing Improvement Program|AUTOMATIC|Y|
10.162|237D10FAA522C0B0E043814FD881C0B0|1.0|Inspection Grading and Standardization|AUTOMATIC|Y|
10.163|237D10FAA523C0B0E043814FD881C0B0|1.0|Market Protection and Promotion|AUTOMATIC|Y|
10.164|237D10FAA524C0B0E043814FD881C0B0|1.0|Wholesale Market Development|AUTOMATIC|Y|
10.165|237D10FAA525C0B0E043814FD881C0B0|1.0|Perishable Agricultural Commodities Act|AUTOMATIC|Y|
10.167|237D10FAA526C0B0E043814FD881C0B0|1.0|Transportation Services|AUTOMATIC|Y|
10.200|237D10FAA527C0B0E043814FD881C0B0|1.0|Grants for Agricultural Research, Special Research Grants|AUTOMATIC|Y|
10.202|237D10FAA528C0B0E043814FD881C0B0|1.0|Cooperative Forestry Research|AUTOMATIC|Y|
10.203|237D10FAA529C0B0E043814FD881C0B0|1.0|Payments to Agricultural Experiment Stations Under the Hatch Act|AUTOMATIC|Y|
10.205|237D10FAA52AC0B0E043814FD881C0B0|1.0|Payments to 1890 Land-Grant Colleges and Tuskegee University|AUTOMATIC|Y|
10.206|237D10FAA52BC0B0E043814FD881C0B0|1.0|Grants for Agricultural Research_Competitive Research Grants|AUTOMATIC|Y|
10.207|237D10FAA52CC0B0E043814FD881C0B0|1.0|Animal Health and Disease Research|AUTOMATIC|Y|
10.210|237D10FAA52DC0B0E043814FD881C0B0|1.0|Food and Agricultural Sciences National Needs Graduate Fellowship Grants|AUTOMATIC|Y|
10.212|237D10FAA52EC0B0E043814FD881C0B0|1.0|Small Business Innovation Research|AUTOMATIC|Y|
10.215|237D10FAA52FC0B0E043814FD881C0B0|1.0|Sustainable Agriculture Research and Education|AUTOMATIC|Y|
10.216|237D10FAA530C0B0E043814FD881C0B0|1.0|1890 Institution Capacity Building Grants|AUTOMATIC|Y|
10.217|237D10FAA531C0B0E043814FD881C0B0|1.0|Higher Education Challenge Grants|AUTOMATIC|Y|
10.218|237D10FAA532C0B0E043814FD881C0B0|1.0|Buildings and Facilities Program|AUTOMATIC|Y|
10.219|237D10FAA533C0B0E043814FD881C0B0|1.0|Biotechnology Risk Assessment Research|AUTOMATIC|Y|
10.220|237D10FAA534C0B0E043814FD881C0B0|1.0|Higher Education Multicultural Scholars Program|AUTOMATIC|Y|
10.221|237D10FAA535C0B0E043814FD881C0B0|1.0|Tribal Colleges Education Equity Grants|AUTOMATIC|Y|
10.222|237D10FAA536C0B0E043814FD881C0B0|1.0|Tribal Colleges Endowment Program|AUTOMATIC|Y|
10.223|237D10FAA537C0B0E043814FD881C0B0|1.0|Hispanic Serving Institutions Education Grants|AUTOMATIC|Y|
10.224|237D10FAA538C0B0E043814FD881C0B0|1.0|Fund for Rural America_Research, Education, and Extension Activities|AUTOMATIC|Y|
10.225|237D10FAA539C0B0E043814FD881C0B0|1.0|Community Food Projects|AUTOMATIC|Y|
10.226|237D10FAA53AC0B0E043814FD881C0B0|1.0|Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants|AUTOMATIC|Y|
10.227|237D10FAA53BC0B0E043814FD881C0B0|1.0|1994 Institutions Research Program|AUTOMATIC|Y|
10.228|237D10FAA53CC0B0E043814FD881C0B0|1.0|Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants|AUTOMATIC|Y|
10.250|237D10FAA53DC0B0E043814FD881C0B0|1.0|Agricultural and Rural Economic Research|AUTOMATIC|Y|
10.302|237D10FAA53EC0B0E043814FD881C0B0|1.0|Initiative for Future Agriculture and Food Systems|AUTOMATIC|Y|
10.303|237D10FAA53FC0B0E043814FD881C0B0|1.0|Integrated Programs|AUTOMATIC|Y|
10.304|237D10FAA540C0B0E043814FD881C0B0|1.0|Homeland Security_Agricultural|AUTOMATIC|Y|
10.350|237D10FAA541C0B0E043814FD881C0B0|1.0|Technical Assistance to Cooperatives|AUTOMATIC|Y|
10.353|237D10FAA542C0B0E043814FD881C0B0|1.0|National Rural Development Partnership|AUTOMATIC|Y|
10.404|237D10FAA543C0B0E043814FD881C0B0|1.0|Emergency Loans|AUTOMATIC|Y|
10.405|237D10FAA544C0B0E043814FD881C0B0|1.0|Farm Labor Housing Loans and Grants|AUTOMATIC|Y|
10.406|237D10FAA545C0B0E043814FD881C0B0|1.0|Farm Operating Loans|AUTOMATIC|Y|
10.407|237D10FAA546C0B0E043814FD881C0B0|1.0|Farm Ownership Loans|AUTOMATIC|Y|
10.410|237D10FAA547C0B0E043814FD881C0B0|1.0|Very Low to Moderate Income Housing Loans|AUTOMATIC|Y|
10.411|237D10FAA548C0B0E043814FD881C0B0|1.0|Rural Housing Site Loans and Self_Help Housing Land Development Loans|AUTOMATIC|Y|
10.415|237D10FAA549C0B0E043814FD881C0B0|1.0|Rural Rental Housing Loans|AUTOMATIC|Y|
10.417|237D10FAA54AC0B0E043814FD881C0B0|1.0|Very Low-Income Housing Repair Loans and Grants|AUTOMATIC|Y|
10.420|237D10FAA54BC0B0E043814FD881C0B0|1.0|Rural Self-Help Housing Technical Assistance|AUTOMATIC|Y|
10.421|237D10FAA54CC0B0E043814FD881C0B0|1.0|Indian Tribes and Tribal Corporation Loans|AUTOMATIC|Y|
10.427|237D10FAA54DC0B0E043814FD881C0B0|1.0|Rural Rental Assistance Payments|AUTOMATIC|Y|
10.433|237D10FAA54EC0B0E043814FD881C0B0|1.0|Rural Housing Preservation Grants|AUTOMATIC|Y|
10.435|237D10FAA54FC0B0E043814FD881C0B0|1.0|State Mediation Grants|AUTOMATIC|Y|
10.437|237D10FAA550C0B0E043814FD881C0B0|1.0|Interest Assistance Program|AUTOMATIC|Y|
10.438|237D10FAA551C0B0E043814FD881C0B0|1.0|Section 538 Rural Rental Housing Guaranteed Loans|AUTOMATIC|Y|
10.441|237D10FAA552C0B0E043814FD881C0B0|1.0|Technical and Supervisory Assistance Grants|AUTOMATIC|Y|
10.442|237D10FAA553C0B0E043814FD881C0B0|1.0|Housing Application Packaging Grants|AUTOMATIC|Y|
10.443|237D10FAA554C0B0E043814FD881C0B0|1.0|Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers|AUTOMATIC|Y|
10.444|237D10FAA555C0B0E043814FD881C0B0|1.0|Direct Housing_Natural Disaster Loans and Grants|AUTOMATIC|Y|
10.445|237D10FAA556C0B0E043814FD881C0B0|1.0|Direct Housing_Natural Disaster|AUTOMATIC|Y|
10.446|237D10FAA557C0B0E043814FD881C0B0|1.0|Rural Community Development Initiative|AUTOMATIC|Y|
10.449|237D10FAA558C0B0E043814FD881C0B0|1.0|Boll Weevil Eradication Loan Program|AUTOMATIC|Y|
10.450|237D10FAA559C0B0E043814FD881C0B0|1.0|Crop Insurance|AUTOMATIC|Y|
10.451|237D10FAA55AC0B0E043814FD881C0B0|1.0|Noninsured Assistance|AUTOMATIC|Y|
10.452|237D10FAA55BC0B0E043814FD881C0B0|1.0|Disaster Reserve Assistance|AUTOMATIC|Y|
10.454|237D10FAA55CC0B0E043814FD881C0B0|1.0|Dairy Options Pilot Program|AUTOMATIC|Y|
10.455|237D10FAAB4BC0B0E043814FD881C0B0|1.0|Community Outreach and Assistance Partnership Program|AUTOMATIC|Y|
10.456|237D10FAAB4CC0B0E043814FD881C0B0|1.0|Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers)|AUTOMATIC|Y|
10.457|237D10FAAB4DC0B0E043814FD881C0B0|1.0|Commodity Partnerships for Risk Management Education|AUTOMATIC|Y|
10.458|237D10FAAB4EC0B0E043814FD881C0B0|1.0|Crop Insurance Education in Targeted States|AUTOMATIC|Y|
10.475|237D10FAA55DC0B0E043814FD881C0B0|1.0|Cooperative Agreements with States for Intrastate Meat and Poultry Inspection|AUTOMATIC|Y|
10.477|237D10FAA55EC0B0E043814FD881C0B0|1.0|Meat, Poultry, and Egg Products Inspection|AUTOMATIC|Y|
10.500|237D10FAA55FC0B0E043814FD881C0B0|1.0|Cooperative Extension Service|AUTOMATIC|Y|
10.550|237D10FAA560C0B0E043814FD881C0B0|1.0|Food Donation|AUTOMATIC|Y|
10.551|237D10FAA561C0B0E043814FD881C0B0|1.0|Food Stamps|AUTOMATIC|Y|
10.553|237D10FAA562C0B0E043814FD881C0B0|1.0|School Breakfast Program|AUTOMATIC|Y|
10.555|237D10FAA563C0B0E043814FD881C0B0|1.0|National School Lunch Program|AUTOMATIC|Y|
10.556|237D10FAA564C0B0E043814FD881C0B0|1.0|Special Milk Program for Children|AUTOMATIC|Y|
10.557|237D10FAA565C0B0E043814FD881C0B0|1.0|Special Supplemental Nutrition Program for Women, Infants, and Children|AUTOMATIC|Y|
10.558|237D10FAA566C0B0E043814FD881C0B0|1.0|Child and Adult Care Food Program|AUTOMATIC|Y|
10.559|237D10FAA567C0B0E043814FD881C0B0|1.0|Summer Food Service Program for Children|AUTOMATIC|Y|
10.560|237D10FAA568C0B0E043814FD881C0B0|1.0|State Administrative Expenses for Child Nutrition|AUTOMATIC|Y|
10.561|237D10FAA569C0B0E043814FD881C0B0|1.0|State Administrative Matching Grants for Food Stamp Program|AUTOMATIC|Y|
10.565|237D10FAA56AC0B0E043814FD881C0B0|1.0|Commodity Supplemental Food Program|AUTOMATIC|Y|
10.566|237D10FAA56BC0B0E043814FD881C0B0|1.0|Nutrition Assistance For Puerto Rico|AUTOMATIC|Y|
10.567|237D10FAA56CC0B0E043814FD881C0B0|1.0|Food Distribution Program on Indian Reservations|AUTOMATIC|Y|
10.568|237D10FAA56DC0B0E043814FD881C0B0|1.0|Emergency Food Assistance Program (Administrative Costs)|AUTOMATIC|Y|
10.569|237D10FAA56EC0B0E043814FD881C0B0|1.0|Emergency Food Assistance Program (Food Commodities)|AUTOMATIC|Y|
10.570|237D10FAA56FC0B0E043814FD881C0B0|1.0|Nutrition Services Incentive|AUTOMATIC|Y|
10.572|237D10FAA570C0B0E043814FD881C0B0|1.0|WIC Farmers' Market Nutrition Program (FMNP)|AUTOMATIC|Y|
10.574|237D10FAA571C0B0E043814FD881C0B0|1.0|Team Nutrition Grants|AUTOMATIC|Y|
10.576|237D10FAAB4FC0B0E043814FD881C0B0|1.0|Senior Farmers Market Nutrition Program|AUTOMATIC|Y|
10.578|237D10FAAB50C0B0E043814FD881C0B0|1.0|WIC Grants To States (WGS)|AUTOMATIC|Y|
10.579|237D10FAAB51C0B0E043814FD881C0B0|1.0|Child Nutrition Discretionary Grants Limited Availability|AUTOMATIC|Y|
10.580|237D10FAAB52C0B0E043814FD881C0B0|1.0|Food Stamp Program Research Grants to Improve Access Through New Technology and Partnerships|AUTOMATIC|Y|
10.600|237D10FAA572C0B0E043814FD881C0B0|1.0|Foreign Market Development Cooperator Program|AUTOMATIC|Y|
10.601|237D10FAA573C0B0E043814FD881C0B0|1.0|Market Access Program|AUTOMATIC|Y|
10.603|237D10FAA574C0B0E043814FD881C0B0|1.0|Emerging Markets Program|AUTOMATIC|Y|
10.604|237D10FAAB53C0B0E043814FD881C0B0|1.0|Technical Assistance for Specialty Crops Program|AUTOMATIC|Y|
10.605|237D10FAAB54C0B0E043814FD881C0B0|1.0|Quality Samples Program|AUTOMATIC|Y|
10.606|237D10FAA575C0B0E043814FD881C0B0|1.0|Food for Progress|AUTOMATIC|Y|
10.607|237D10FAA576C0B0E043814FD881C0B0|1.0|Section 416(b)|AUTOMATIC|Y|
10.608|237D10FAA577C0B0E043814FD881C0B0|1.0|Food for Education|AUTOMATIC|Y|
10.609|237D10FAAB55C0B0E043814FD881C0B0|1.0|Trade Adjustment Assistance|AUTOMATIC|Y|
10.652|237D10FAA578C0B0E043814FD881C0B0|1.0|Forestry Research|AUTOMATIC|Y|
10.664|237D10FAA579C0B0E043814FD881C0B0|1.0|Cooperative Forestry Assistance|AUTOMATIC|Y|
10.665|237D10FAA57AC0B0E043814FD881C0B0|1.0|Schools and Roads_Grants to States|AUTOMATIC|Y|
10.666|237D10FAA57BC0B0E043814FD881C0B0|1.0|Schools and Roads_Grants to Counties|AUTOMATIC|Y|
10.670|237D10FAA57CC0B0E043814FD881C0B0|1.0|National Forest_Dependent Rural Communities|AUTOMATIC|Y|
10.671|237D10FAA57DC0B0E043814FD881C0B0|1.0|Southeast Alaska Economic Disaster Fund|AUTOMATIC|Y|
10.672|237D10FAA57EC0B0E043814FD881C0B0|1.0|Rural Development, Forestry, and Communities|AUTOMATIC|Y|
10.673|237D10FAA57FC0B0E043814FD881C0B0|1.0|Wood In Transportation Program|AUTOMATIC|Y|
10.674|237D10FAAB56C0B0E043814FD881C0B0|1.0|Technology Marketing Unit|AUTOMATIC|Y|
10.675|237D10FAA580C0B0E043814FD881C0B0|1.0|Urban and Community Forestry Program|AUTOMATIC|Y|
10.676|237D10FAA581C0B0E043814FD881C0B0|1.0|Forest Legacy Program|AUTOMATIC|Y|
10.677|237D10FAA582C0B0E043814FD881C0B0|1.0|Forest Land Enhancement Program|AUTOMATIC|Y|
10.678|237D10FAA583C0B0E043814FD881C0B0|1.0|Forest Stewardship Program|AUTOMATIC|Y|
10.700|237D10FAA584C0B0E043814FD881C0B0|1.0|National Agricultural Library|AUTOMATIC|Y|
10.760|237D10FAA585C0B0E043814FD881C0B0|1.0|Water and Waste Disposal Systems for Rural Communities|AUTOMATIC|Y|
10.761|237D10FAA586C0B0E043814FD881C0B0|1.0|Technical Assistance and Training Grants|AUTOMATIC|Y|
10.762|237D10FAA587C0B0E043814FD881C0B0|1.0|Solid Waste Management Grants|AUTOMATIC|Y|
10.763|237D10FAA588C0B0E043814FD881C0B0|1.0|Emergency Community Water Assistance Grants|AUTOMATIC|Y|
10.766|237D10FAA589C0B0E043814FD881C0B0|1.0|Community Facilities Loans and Grants|AUTOMATIC|Y|
10.767|237D10FAA58AC0B0E043814FD881C0B0|1.0|Intermediary Relending Program|AUTOMATIC|Y|
10.768|237D10FAA58BC0B0E043814FD881C0B0|1.0|Business and Industry Loans|AUTOMATIC|Y|
10.769|237D10FAA58CC0B0E043814FD881C0B0|1.0|Rural Business Enterprise Grants|AUTOMATIC|Y|
10.770|237D10FAA58DC0B0E043814FD881C0B0|1.0|Water and Waste Disposal Loans and Grants (Section 306C)|AUTOMATIC|Y|
10.771|237D10FAA58EC0B0E043814FD881C0B0|1.0|Rural Cooperative Development Grants|AUTOMATIC|Y|
10.772|237D10FAA58FC0B0E043814FD881C0B0|1.0|Empowerment Zones Program|AUTOMATIC|Y|
10.773|237D10FAA590C0B0E043814FD881C0B0|1.0|Rural Business Opportunity Grants|AUTOMATIC|Y|
10.774|237D10FAA591C0B0E043814FD881C0B0|1.0|National Sheep Industry Improvement Center|AUTOMATIC|Y|
10.775|237D10FAA592C0B0E043814FD881C0B0|1.0|Renewable Energy Systems and Energy Efficiency Improvements Program|AUTOMATIC|Y|
10.800|237D10FAA593C0B0E043814FD881C0B0|1.0|Livestock, Meat and Poultry Market Supervision|AUTOMATIC|Y|
10.850|237D10FAA594C0B0E043814FD881C0B0|1.0|Rural Electrification Loans and Loan Guarantees|AUTOMATIC|Y|
10.851|237D10FAA595C0B0E043814FD881C0B0|1.0|Rural Telephone Loans and Loan Guarantees|AUTOMATIC|Y|
10.852|237D10FAA596C0B0E043814FD881C0B0|1.0|Rural Telephone Bank Loans|AUTOMATIC|Y|
10.853|237D10FAAB57C0B0E043814FD881C0B0|1.0|LOCAL Television Loan Guarantee Program|AUTOMATIC|Y|
10.854|237D10FAA597C0B0E043814FD881C0B0|1.0|Rural Economic Development Loans and Grants|AUTOMATIC|Y|
10.855|237D10FAA598C0B0E043814FD881C0B0|1.0|Distance Learning and Telemedicine Loans and Grants|AUTOMATIC|Y|
10.856|237D10FAAB58C0B0E043814FD881C0B0|1.0|1890 Land Grant Institutions Rural Entrepreneurial Outreach Program|AUTOMATIC|Y|
10.857|237D10FAA599C0B0E043814FD881C0B0|1.0|State Bulk Fuel Revolving Fund Grants|AUTOMATIC|Y|
10.858|237D10FAA59AC0B0E043814FD881C0B0|1.0|RUS Denali Commission Grants and Loans|AUTOMATIC|Y|
10.859|237D10FAA59BC0B0E043814FD881C0B0|1.0|Assistance to High Energy Cost_Rural Communities|AUTOMATIC|Y|
10.863|237D10FAAB59C0B0E043814FD881C0B0|1.0|Community Connect Grant Program|AUTOMATIC|Y|
10.900|237D10FAA59CC0B0E043814FD881C0B0|1.0|Great Plains Conservation|AUTOMATIC|Y|
10.901|237D10FAA59DC0B0E043814FD881C0B0|1.0|Resource Conservation and Development|AUTOMATIC|Y|
10.902|237D10FAA59EC0B0E043814FD881C0B0|1.0|Soil and Water Conservation|AUTOMATIC|Y|
10.903|237D10FAA59FC0B0E043814FD881C0B0|1.0|Soil Survey|AUTOMATIC|Y|
10.904|237D10FAA5A0C0B0E043814FD881C0B0|1.0|Watershed Protection and Flood Prevention|AUTOMATIC|Y|
10.905|237D10FAA5A1C0B0E043814FD881C0B0|1.0|Plant Materials for Conservation|AUTOMATIC|Y|
10.906|237D10FAA5A2C0B0E043814FD881C0B0|1.0|Watershed Surveys and Planning|AUTOMATIC|Y|
10.907|237D10FAA5A3C0B0E043814FD881C0B0|1.0|Snow Survey and Water Supply Forecasting|AUTOMATIC|Y|
10.910|237D10FAA5A4C0B0E043814FD881C0B0|1.0|Rural Abandoned Mine Program|AUTOMATIC|Y|
10.912|237D10FAA5A5C0B0E043814FD881C0B0|1.0|Environmental Quality Incentives Program|AUTOMATIC|Y|
10.913|237D10FAA5A6C0B0E043814FD881C0B0|1.0|Farm and Ranch Lands Protection Program|AUTOMATIC|Y|
10.914|237D10FAA5A7C0B0E043814FD881C0B0|1.0|Wildlife Habitat Incentive Program|AUTOMATIC|Y|
10.916|237D10FAA5A8C0B0E043814FD881C0B0|1.0|Watershed Rehabilitation Program|AUTOMATIC|Y|
10.917|237D10FAAB5AC0B0E043814FD881C0B0|1.0|Agricultural Management Assistance|AUTOMATIC|Y|
10.918|237D10FAAB5BC0B0E043814FD881C0B0|1.0|Ground and Surface Water Conservation_ Environmental Quality Incentives Program|AUTOMATIC|Y|
10.919|237D10FAAB5CC0B0E043814FD881C0B0|1.0|Klamath Basin _ Environmental Quality Incentives Program|AUTOMATIC|Y|
10.920|237D10FAAB5DC0B0E043814FD881C0B0|1.0|Grassland Reserve Program|AUTOMATIC|Y|
10.921|237D10FAAB5EC0B0E043814FD881C0B0|1.0|Conservation Security Program|AUTOMATIC|Y|
10.950|237D10FAA5A9C0B0E043814FD881C0B0|1.0|Agricultural Statistics Reports|AUTOMATIC|Y|
10.960|237D10FAA5AAC0B0E043814FD881C0B0|1.0|Technical Agricultural Assistance|AUTOMATIC|Y|
10.961|237D10FAA5ABC0B0E043814FD881C0B0|1.0|Scientific Cooperation and Research|AUTOMATIC|Y|
10.962|237D10FAA5ACC0B0E043814FD881C0B0|1.0|International Training_Foreign Participant|AUTOMATIC|Y|
11.|237D10FAAB19C0B0E043814FD881C0B0|1.0||MANUAL|Y|
11.001|237D10FAA5ADC0B0E043814FD881C0B0|1.0|Census Bureau Data Products|AUTOMATIC|Y|
11.002|237D10FAA5AEC0B0E043814FD881C0B0|1.0|Census Customer Services|AUTOMATIC|Y|
11.003|237D10FAA5AFC0B0E043814FD881C0B0|1.0|Census Geography|AUTOMATIC|Y|
11.004|237D10FAA5B0C0B0E043814FD881C0B0|1.0|Census Intergovernmental Services|AUTOMATIC|Y|
11.005|237D10FAA5B1C0B0E043814FD881C0B0|1.0|Census Special Tabulations and Services|AUTOMATIC|Y|
11.006|237D10FAA5B2C0B0E043814FD881C0B0|1.0|Personal Census Search|AUTOMATIC|Y|
11.025|237D10FAA5B3C0B0E043814FD881C0B0|1.0|Measures and Analyses of the U.S. Economy|AUTOMATIC|Y|
11.026|237D10FAA5B4C0B0E043814FD881C0B0|1.0|National Trade Data Bank (NTDB)|AUTOMATIC|Y|
11.027|237D10FAA5B5C0B0E043814FD881C0B0|1.0|State of the Nation|AUTOMATIC|Y|
11.106|237D10FAA5B6C0B0E043814FD881C0B0|1.0|Remedies for Unfair Foreign Trade Practices_Antidumping and Countervailing Duty Investigations|AUTOMATIC|Y|
11.108|237D10FAA5B7C0B0E043814FD881C0B0|1.0|Commercial Service|AUTOMATIC|Y|
11.110|237D10FAA5B8C0B0E043814FD881C0B0|1.0|Trade Development|AUTOMATIC|Y|
11.111|237D10FAA5B9C0B0E043814FD881C0B0|1.0|Foreign-Trade Zones in the United States|AUTOMATIC|Y|
11.112|237D10FAA5BAC0B0E043814FD881C0B0|1.0|Export Promotion Market Development Cooperation|AUTOMATIC|Y|
11.113|237D10FAA5BBC0B0E043814FD881C0B0|1.0|ITA Special Projects|AUTOMATIC|Y|
11.114|237D10FAA5BCC0B0E043814FD881C0B0|1.0|Special American Business Internship Training Program|AUTOMATIC|Y|
11.150|237D10FAA5BDC0B0E043814FD881C0B0|1.0|Export Licensing Service and Information|AUTOMATIC|Y|
11.300|237D10FAA5BEC0B0E043814FD881C0B0|1.0|Grants for Public Works and Economic Development Facilities|AUTOMATIC|Y|
11.302|237D10FAA5BFC0B0E043814FD881C0B0|1.0|Economic Development_Support for Planning Organizations|AUTOMATIC|Y|
11.303|237D10FAA5C0C0B0E043814FD881C0B0|1.0|Economic Development_Technical Assistance|AUTOMATIC|Y|
11.307|237D10FAA5C1C0B0E043814FD881C0B0|1.0|Economic Adjustment Assistance|AUTOMATIC|Y|
11.312|237D10FAA5C2C0B0E043814FD881C0B0|1.0|Research and Evaluation Program|AUTOMATIC|Y|
11.313|237D10FAA5C3C0B0E043814FD881C0B0|1.0|Trade Adjustment Assistance|AUTOMATIC|Y|
11.400|237D10FAA5C4C0B0E043814FD881C0B0|1.0|Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System)|AUTOMATIC|Y|
11.405|237D10FAA5C5C0B0E043814FD881C0B0|1.0|Anadromous Fish Conservation Act Program|AUTOMATIC|Y|
11.407|237D10FAA5C6C0B0E043814FD881C0B0|1.0|Interjurisdictional Fisheries Act of 1986|AUTOMATIC|Y|
11.408|237D10FAA5C7C0B0E043814FD881C0B0|1.0|Fishermen's Contingency Fund|AUTOMATIC|Y|
11.413|237D10FAA5C8C0B0E043814FD881C0B0|1.0|Fishery Products Inspection and Certification|AUTOMATIC|Y|
11.415|237D10FAA5C9C0B0E043814FD881C0B0|1.0|Fisheries Finance Program|AUTOMATIC|Y|
11.417|237D10FAA5CAC0B0E043814FD881C0B0|1.0|Sea Grant Support|AUTOMATIC|Y|
11.419|237D10FAA5CBC0B0E043814FD881C0B0|1.0|Coastal Zone Management Administration Awards|AUTOMATIC|Y|
11.420|237D10FAA5CCC0B0E043814FD881C0B0|1.0|Coastal Zone Management Estuarine Research Reserves|AUTOMATIC|Y|
11.426|237D10FAA5CDC0B0E043814FD881C0B0|1.0|Financial Assistance for National Centers for Coastal Ocean Science|AUTOMATIC|Y|
11.427|237D10FAA5CEC0B0E043814FD881C0B0|1.0|Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program|AUTOMATIC|Y|
11.428|237D10FAA5CFC0B0E043814FD881C0B0|1.0|Intergovernmental Climate_Program (NESDIS)|AUTOMATIC|Y|
11.429|237D10FAA5D0C0B0E043814FD881C0B0|1.0|Marine Sanctuary Program|AUTOMATIC|Y|
11.430|237D10FAA5D1C0B0E043814FD881C0B0|1.0|Undersea Research|AUTOMATIC|Y|
11.431|237D10FAA5D2C0B0E043814FD881C0B0|1.0|Climate and Atmospheric Research|AUTOMATIC|Y|
11.432|237D10FAA5D3C0B0E043814FD881C0B0|1.0|Office of Oceanic and Atmospheric Research (OAR) Joint and Cooperative Institutes|AUTOMATIC|Y|
11.433|237D10FAA5D4C0B0E043814FD881C0B0|1.0|Marine Fisheries Initiative|AUTOMATIC|Y|
11.434|237D10FAA5D5C0B0E043814FD881C0B0|1.0|Cooperative Fishery Statistics|AUTOMATIC|Y|
11.435|237D10FAA5D6C0B0E043814FD881C0B0|1.0|Southeast Area Monitoring and Assessment Program|AUTOMATIC|Y|
11.436|237D10FAA5D7C0B0E043814FD881C0B0|1.0|Columbia River Fisheries Development Program|AUTOMATIC|Y|
11.437|237D10FAA5D8C0B0E043814FD881C0B0|1.0|Pacific Fisheries Data Program|AUTOMATIC|Y|
11.438|237D10FAA5D9C0B0E043814FD881C0B0|1.0|Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program|AUTOMATIC|Y|
