cptlast_typ_cd|obj_id|ver_nbr|cptlast_typ_desc|cptlast_deprlf_lmt|cptlast_moving_cd|cptlast_rqdbldg_cd|row_actv_ind|
07316|44F39C4730AE409CE043814FD881409C|1.0|BATH, ALL LABORATORY /CIRCULATOR (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07320|44F39C473061409CE043814FD881409C|1.0|MONITOR, MEDICAL/SCIENTIFIC (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07321|44F39C4730B8409CE043814FD881409C|1.0|COUNTER, BLOOD CELL (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07322|44F39C4730AC409CE043814FD881409C|1.0|ANALYZER, BLOOD GAS (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07333|44F39C4730B5409CE043814FD881409C|1.0|CENTRIFUGE (FY 07 AHA REVIEW )|7.0|Y|N|Y|
07334|44F39C473050409CE043814FD881409C|1.0|GAS CHROMATOGRAPH (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07337|44F39C4730B7409CE043814FD881409C|1.0|COLORIMETER (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07338|44F39C4730A9409CE043814FD881409C|1.0|AIR COMPRESSOR (FY 07 AHA REVIEW)|12.0|Y|N|Y|
07339|44F39C473071409CE043814FD881409C|1.0|TESTER, CONDUCTIVITY (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07343|44F39C4730B9409CE043814FD881409C|1.0|CRYOSTAT (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07350|44F39C4730BB409CE043814FD881409C|1.0|DEFIBRILLATOR (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07351|44F39C4730BC409CE043814FD881409C|1.0|DENSITOMETER (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07357|44F39C4730C2409CE043814FD881409C|1.0|DISTILLING APPARATUS (FY 07 AHA REVIEW)|15.0|Y|N|Y|
07360|44F39C4730C5409CE043814FD881409C|1.0|ELECTROCARDIOGRAPH (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07361|44F39C4730C6409CE043814FD881409C|1.0|ELECTROENCEPHALOGRAPH (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07362|44F39C4730C8409CE043814FD881409C|1.0|ELECTROMYOGRAPHY (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07363|44F39C4730C9409CE043814FD881409C|1.0|ELECTROPHORESIS UNIT (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07364|44F39C47304C409CE043814FD881409C|1.0|ELECTROSURGICAL UNIT (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07374|44F39C473054409CE043814FD881409C|1.0|HEMOGLBINOMETER (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07375|44F39C473053409CE043814FD881409C|1.0|HEMODIALYSIS UNIT (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07382|44F39C473056409CE043814FD881409C|1.0|ILLUMINATOR UNIT, MULTIFILM OR SINGLE (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07388|44F39C473057409CE043814FD881409C|1.0|INHALATOR (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07390|44F39C4730BF409CE043814FD881409C|1.0|KIDNEY DIALYZER (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07391|44F39C473058409CE043814FD881409C|1.0|KILN (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07399|44F39C47305A409CE043814FD881409C|1.0|LIFTER, PATIENT (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07405|44F39C47305F409CE043814FD881409C|1.0|MICROTOME (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07411|44F39C473062409CE043814FD881409C|1.0|OSMOMETER (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07414|44F39C473064409CE043814FD881409C|1.0|OVEN, LABORATORY (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07418|44F39C47304F409CE043814FD881409C|1.0|EQUIPMENT PATIENT MONITORING/AIDING (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07426|44F39C473065409CE043814FD881409C|1.0|POWER SUPPLY (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07428|44F39C473073409CE043814FD881409C|1.0|TIMER, AUTOMATED  (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07429|44F39C47304D409CE043814FD881409C|1.0|EQUIP., PULMONARY FUNCTION (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07437|44F39C47306D409CE043814FD881409C|1.0|REFRIGERATOR/FREEZERS, LAB TYPE (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07446|44F39C47305E409CE043814FD881409C|1.0|MACHINE, SHAKING (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07451|44F39C47306F409CE043814FD881409C|1.0|STRAINER, SLIDE LABORATORY (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07467|44F39C473072409CE043814FD881409C|1.0|THERMOMETER, ELECTRONIC (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07468|44F39C473068409CE043814FD881409C|1.0|PROCESSOR, TISSUE (FY 07 AHA REVIEW)|7.0|Y|N|Y|
07472|44F39C473074409CE043814FD881409C|1.0|TUBE TESTER (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07477|44F39C473069409CE043814FD881409C|1.0|PURIFIER OR SOFTENER, WATER (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07478|44F39C4730BE409CE043814FD881409C|1.0|X RAY DEVELOPER (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07482|44F39C473076409CE043814FD881409C|1.0|X RAY UNIT, ALL (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07489|44F39C473051409CE043814FD881409C|1.0|GENERATOR, INDUSTRIAL (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07515|44F39C4730C1409CE043814FD881409C|1.0|DISPENSER, ALL (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07658|44F39C4730C3409CE043814FD881409C|1.0|DRYING OVEN, PAINT SHOP (FY 07 AHA REVIEW)|10.0|Y|N|Y|
07660|44F39C47305B409CE043814FD881409C|1.0|MACHINE, FLOOR, ALL INDUS (FY 07 AHA REVIEW)|5.0|Y|N|Y|
07677|44F39C4730B3409CE043814FD881409C|1.0|CLEANER, VACUUM (FY 07 AHA REVIEW)|8.0|Y|N|Y|
07679|44F39C4730AB409CE043814FD881409C|1.0|AIR VENTILATING SYSTEMS (FY 07 AHA REVIEW)|20.0|Y|N|Y|
07681|44F39C47305C409CE043814FD881409C|1.0|MILLING MACHINE (FY 07 AHA REVIEW)|15.0|Y|N|Y|
07686|44F39C4730D0409CE043814FD881409C|1.0|WATER HEATER, COMMERCIAL (FY 07 AHA)|10.0|Y|N|Y|
07708|44F39C4730CE409CE043814FD881409C|1.0|STORAGE TRAILERS AND TRAILER-MOUNTED CONTAINERS  IRS FY 07|6.0|N|N|Y|
07709|44F39C4730CF409CE043814FD881409C|1.0|SIGNAGE, MOVEABLE (FY 07 AHA)|10.0|Y|N|Y|
07711|44F39C4730AA409CE043814FD881409C|1.0|AIR PLANE (FY 07 AHA REVIEW)|6.0|Y|N|Y|
100|44F39C472F12409CE043814FD881409C|1.0|EQUIPMENT, GENERAL OFFICE|5.0|Y|N|Y|
1000|44F39C472F13409CE043814FD881409C|1.0|CONTROL ASSET (GEC)|0.0|Y|N|Y|
10000|44F39C472F14409CE043814FD881409C|1.0|LAND|0.0|N|N|Y|
10001|44F39C473083409CE043814FD881409C|1.0|LI YARD/FENCING/BARRIERS|10.0|N|N|Y|
10002|44F39C473084409CE043814FD881409C|1.0|LI LANDSCAPING IMPROVEMENTS|20.0|N|N|Y|
10003|44F39C473085409CE043814FD881409C|1.0|LI SEPTIC SYSTEMS|40.0|N|N|Y|
10004|44F39C473080409CE043814FD881409C|1.0|LI SEAL & STRIPE PARKING LOTS|5.0|N|N|Y|
101|44F39C472F15409CE043814FD881409C|1.0|BENCH, METAL OR WOOD|15.0|Y|N|Y|
103|44F39C472F16409CE043814FD881409C|1.0|BOOKCASE, METAL/WOOD, ALL|20.0|Y|N|Y|
104|44F39C472F17409CE043814FD881409C|1.0|CABINET, METAL OR WOOD/FILE|15.0|Y|N|Y|
105|44F39C472F18409CE043814FD881409C|1.0|SOFA|12.0|Y|N|Y|
107|44F39C472F19409CE043814FD881409C|1.0|CHAIR, METAL OR WOOD, ALL|15.0|Y|N|Y|
108|44F39C472F1A409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW DESK, METAL OR WOOD, ALL|15.0|Y|N|N|
109|44F39C472F1B409CE043814FD881409C|1.0|FURNISHINGS, LIBRARY|20.0|Y|N|Y|
110|44F39C472F1C409CE043814FD881409C|1.0|MISC. FURNISHINGS|15.0|Y|N|Y|
111|44F39C472F1D409CE043814FD881409C|1.0|SAFE|20.0|Y|N|Y|
112|44F39C472F1E409CE043814FD881409C|1.0|SHELVING|20.0|Y|N|Y|
113|44F39C472F1F409CE043814FD881409C|1.0|STOOL, METAL OR WOOD|20.0|Y|N|Y|
114|44F39C472F20409CE043814FD881409C|1.0|TABLE, ALL|20.0|Y|N|Y|
115|44F39C472F21409CE043814FD881409C|1.0|MISC. LAWN & GARDEN EQUIP.|4.0|Y|N|Y|
116|44F39C472F22409CE043814FD881409C|1.0|TABLE, DRAFTING/GRAPHIC|15.0|Y|N|Y|
151|44F39C472F23409CE043814FD881409C|1.0|FURNITURE AND FIXTURES, HOSPITAL|15.0|Y|N|Y|
153|44F39C472F24409CE043814FD881409C|1.0|SCIENTIFIC EQUIP. (VIBRATING)|10.0|Y|N|Y|
154|44F39C472F25409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW BED, ELECTRICAL OR MANUAL|15.0|Y|N|N|
155|44F39C472F26409CE043814FD881409C|1.0|MISC. OPTOMETRY EQUIPMENT|7.0|Y|N|Y|
156|44F39C472F27409CE043814FD881409C|1.0|DOZER BLADES, SNOW PLOWS AND AUTO. PARTS AND ACCESSORIES|3.0|Y|N|Y|
157|44F39C472F28409CE043814FD881409C|1.0|CHAIR, SPECIALIST, I.E. DENTAL/OPT/BARBER|15.0|Y|N|Y|
158|44F39C472F29409CE043814FD881409C|1.0|MISC. DENTAL EQUIPMENT|10.0|Y|N|Y|
160|44F39C472F2A409CE043814FD881409C|1.0|REFRIGERATED TRAP AND CONCENTRATOR|10.0|Y|N|Y|
161|44F39C472F2B409CE043814FD881409C|1.0|LOCKERS, ALL|15.0|Y|N|Y|
162|44F39C472F2C409CE043814FD881409C|1.0|LABOPHOT STAND|12.0|Y|N|Y|
163|44F39C472F2D409CE043814FD881409C|1.0|PLOTTER, GRAPHICS|7.0|Y|N|Y|
165|44F39C472F2E409CE043814FD881409C|1.0|LIGHT, GENERAL USAGE|10.0|Y|N|Y|
174|44F39C472F2F409CE043814FD881409C|1.0|STAND, IRRIGATING|15.0|Y|N|Y|
176|44F39C472F30409CE043814FD881409C|1.0|TABLE, AUTOPSY/CADAVER|20.0|Y|N|Y|
177|44F39C472F31409CE043814FD881409C|1.0|TABLE, EXAMINING|15.0|Y|N|Y|
179|44F39C472F32409CE043814FD881409C|1.0|TABLE OPERATING|15.0|Y|N|Y|
180|44F39C472F33409CE043814FD881409C|1.0|CANISTERS/CYLINDERS|10.0|Y|N|Y|
181|44F39C472F34409CE043814FD881409C|1.0|TABLE, THERAPY AND REFRIGERATED|15.0|Y|N|Y|
182|44F39C472F35409CE043814FD881409C|1.0|AUTOMOTIVE, INDUSTRIAL|12.0|Y|N|Y|
183|44F39C472F36409CE043814FD881409C|1.0|CHAIR, SPECIALIST, I.E. DENTAL|10.0|Y|N|Y|
2|44F39C472F37409CE043814FD881409C|1.0|SCIENTIFIC EQUIP. (MIXING)|7.0|Y|N|Y|
200|44F39C4730A7409CE043814FD881409C|1.0|PROJECTORS, ALL/PC VIEWER|5.0|Y|N|Y|
20000|44F39C472F38409CE043814FD881409C|1.0|BUILDING OLD BASE|40.0|N|Y|Y|
20001|44F39C472F39409CE043814FD881409C|1.0|BUILDING ELECTRICAL|20.0|N|Y|Y|
20002|44F39C472F3A409CE043814FD881409C|1.0|BUILDING MECHANICAL|20.0|N|Y|Y|
20003|44F39C472F3B409CE043814FD881409C|1.0|BUILDING STRUCTURAL|40.0|N|Y|Y|
20004|44F39C472F3C409CE043814FD881409C|1.0|BUILDING TELECOM|20.0|N|Y|Y|
20005|44F39C472F3D409CE043814FD881409C|1.0|BUILDING OTHER COMPONENTS|15.0|N|Y|Y|
20006|44F39C47308A409CE043814FD881409C|1.0|BUILDING BETTERMENTS|10.0|N|Y|Y|
20007|44F39C47308B409CE043814FD881409C|1.0|BUILDING MODULAR|5.0|N|Y|Y|
20008|44F39C47308D409CE043814FD881409C|1.0|BOND ISSUANCE COST|20.0|N|N|Y|
201|44F39C472F3E409CE043814FD881409C|1.0|MACHINES, OFFICE|5.0|Y|N|Y|
202|44F39C472F3F409CE043814FD881409C|1.0|COPIER ACCOUNTANT/CARD TERMINAL|5.0|Y|N|Y|
203|44F39C472F40409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW CENTRIFUGE, BENCH MODEL|10.0|Y|N|N|
204|44F39C472F41409CE043814FD881409C|1.0|AIR CONDITIONER|5.0|Y|N|Y|
205|44F39C472F42409CE043814FD881409C|1.0|AMPLIFIER, SOUND SYSTEM|10.0|Y|N|Y|
206|44F39C4730A8409CE043814FD881409C|1.0|SUPER COMPUTER/SERVER|5.0|Y|N|Y|
207|44F39C472F43409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  CAMERA, STILL|8.0|Y|N|N|
208|44F39C472F44409CE043814FD881409C|1.0|RECORDERS, TAPE, AUDIO|5.0|Y|N|Y|
209|44F39C472F45409CE043814FD881409C|1.0|SORTER, COIN/CHANGER|10.0|Y|N|Y|
210|44F39C472F46409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  CASH REGISTER|10.0|Y|N|N|
211|44F39C472F47409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW WORKSTATION TABLE|15.0|Y|N|N|
212|44F39C472F48409CE043814FD881409C|1.0|CHECK SIGNER|10.0|Y|N|Y|
213|44F39C472F49409CE043814FD881409C|1.0|COLLATOR, ELECTRIC|10.0|Y|N|Y|
214|44F39C472F4A409CE043814FD881409C|1.0|COMPUTER (INACTIVE FY 2006) USE ASSET TYPE 223, OR 206|5.0|Y|N|N|
215|44F39C472F4B409CE043814FD881409C|1.0|MULTIPLEXER, T MUX, T BOX, S MUX|5.0|Y|N|Y|
216|44F39C473066409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW PRINTER|8.0|Y|N|N|
217|44F39C472F4C409CE043814FD881409C|1.0|TERMINAL, MODEM|5.0|Y|N|Y|
218|44F39C472F4D409CE043814FD881409C|1.0|STORAGE UNIT, MECHANICAL/UNMECHANICAL|15.0|Y|N|Y|
219|44F39C472F4E409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW DISK DRIVES, CONTROLLERS|8.0|Y|N|N|
220|44F39C472F4F409CE043814FD881409C|1.0|MISC. COMPUTER EQUIPMENT|5.0|Y|N|Y|
221|44F39C472F50409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW DUPLICATOR|10.0|Y|N|N|
222|44F39C472F51409CE043814FD881409C|1.0|DISCRIMINATORS|10.0|Y|N|Y|
223|44F39C4730A5409CE043814FD881409C|1.0|COMPUTER (PERSONAL)DESKTOP|3.0|Y|N|Y|
224|44F39C473097409CE043814FD881409C|1.0|MAILING MACHINE|5.0|Y|N|Y|
225|44F39C472F52409CE043814FD881409C|1.0|MAILING MACHINE|10.0|Y|N|Y|
226|44F39C472F53409CE043814FD881409C|1.0|MARKING MACHINE|10.0|Y|N|Y|
227|44F39C473077409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW COPY MACHINE/PHOTOCOPIER|5.0|Y|N|N|
228|44F39C472F54409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW PIANOS, ORGANS, HARPSICHORDS|20.0|Y|N|N|
229|44F39C472F55409CE043814FD881409C|1.0|(INACTIVE FY 2007) USE ASSET TYPE 200 PROJECTORS, ALL/PC VIEWER|10.0|Y|N|N|
230|44F39C472F56409CE043814FD881409C|1.0|MISC. PHOTO EQUIPMENT|8.0|Y|N|Y|
231|44F39C472F57409CE043814FD881409C|1.0|READER PRINTERS NON COMPUTER, MICRO FILM/ MICROFICHE|8.0|Y|N|Y|
232|44F39C472F58409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  SCALES, ALL|12.0|Y|N|N|
235|44F39C472F59409CE043814FD881409C|1.0|MACHINE, STENCIL|10.0|Y|N|Y|
236|44F39C472F5A409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  CAMERA, MOVIE OR TV|8.0|Y|N|N|
237|44F39C472F5B409CE043814FD881409C|1.0|EQUIP., TIME RECORDING|10.0|Y|N|Y|
238|44F39C472F5C409CE043814FD881409C|1.0|TRANSCRIBING EQUIPMENT|5.0|Y|N|Y|
239|44F39C472F5D409CE043814FD881409C|1.0|TYPEWRITER|5.0|Y|N|Y|
240|44F39C472F5E409CE043814FD881409C|1.0|LABEL OR LETTERING SYSTEMS|10.0|Y|N|Y|
242|44F39C472F5F409CE043814FD881409C|1.0|PRESS, OFFSET, PRINTING|10.0|Y|N|Y|
243|44F39C472F60409CE043814FD881409C|1.0|DRILL, PAPER|11.0|Y|N|Y|
244|44F39C472F61409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW CUTTER/SHREDDER, PAPER|10.0|Y|N|N|
245|44F39C472F62409CE043814FD881409C|1.0|MISC. DARKROOM EQUIP., ENLARGERS, DRYERS|10.0|Y|N|Y|
246|44F39C472F63409CE043814FD881409C|1.0|SHEET FEEDER|10.0|Y|N|Y|
248|44F39C472F64409CE043814FD881409C|1.0|FOLDER|15.0|Y|N|Y|
249|44F39C472F65409CE043814FD881409C|1.0|WRAPPER/SHRINKER, PACKAGING SYSTEMS|10.0|Y|N|Y|
250|44F39C472F66409CE043814FD881409C|1.0|MISC. GRAPHICS, FINE ARTS EQUIP.|5.0|Y|N|Y|
251|44F39C472F67409CE043814FD881409C|1.0|LENS, CAMERA/TV|8.0|Y|N|Y|
252|44F39C472F68409CE043814FD881409C|1.0|RECEIVER OR MONITOR, TV|5.0|Y|N|Y|
253|44F39C47306A409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW RECORDER, TV VIDEO, CAMCORDER|8.0|Y|N|N|
254|44F39C472F69409CE043814FD881409C|1.0|TELEVISION|5.0|Y|N|Y|
260|44F39C472F6A409CE043814FD881409C|1.0|MISC. AUDIO VISUAL|8.0|Y|N|Y|
261|44F39C472F6B409CE043814FD881409C|1.0|RADIO RECEIVERS, TRANSMITTERS|10.0|Y|N|Y|
262|44F39C472F6C409CE043814FD881409C|1.0|TRANSFORMER|14.0|Y|N|Y|
263|44F39C4730A1409CE043814FD881409C|1.0|TELECOM MOVABLE EQUIPMENT|10.0|Y|N|Y|
264|44F39C4730A4409CE043814FD881409C|1.0|TELEPHONE SWITCH(USED)|3.0|Y|N|Y|
293|44F39C472F6D409CE043814FD881409C|1.0|COUNTERS, ELECTRONIC|8.0|Y|N|Y|
294|44F39C472F6E409CE043814FD881409C|1.0|FREEZE DRY APPARATUS|10.0|Y|N|Y|
295|44F39C472F6F409CE043814FD881409C|1.0|VACUUM SYSTEMS, MEDICAL /LAB|14.0|Y|N|Y|
296|44F39C472F70409CE043814FD881409C|1.0|STEROTAXIC INSTRUMENTS|10.0|Y|N|Y|
297|44F39C472F71409CE043814FD881409C|1.0|ANIMAL CAGES|10.0|Y|N|Y|
298|44F39C472F72409CE043814FD881409C|1.0|MISC. INDUSTRIAL/CONSTRUCTION EQUIP|10.0|Y|N|Y|
299|44F39C472F73409CE043814FD881409C|1.0|SURVEYING EQUIPMENT|7.0|Y|N|Y|
3|44F39C472F74409CE043814FD881409C|1.0|BENDING MAGNET|15.0|Y|N|Y|
300|44F39C472F75409CE043814FD881409C|1.0|ENVIRONMENTAL CHAMBERS, FLOW HOODS, GLOVE BOX, ECT.|15.0|Y|N|Y|
30000|44F39C472F76409CE043814FD881409C|1.0|LIBRARY BOOKS|10.0|N|N|Y|
301|44F39C472F77409CE043814FD881409C|1.0|MISC. EQUIP., SCIENTIFIC|7.0|Y|N|Y|
302|44F39C472F78409CE043814FD881409C|1.0|DETECTORS|14.0|Y|N|Y|
303|44F39C472F79409CE043814FD881409C|1.0|ANALYZER|10.0|Y|N|Y|
304|44F39C472F7A409CE043814FD881409C|1.0|LASER, SCIENTIFIC|3.0|Y|N|Y|
305|44F39C472F7B409CE043814FD881409C|1.0|ANESTHESIA UNIT|10.0|Y|N|Y|
306|44F39C4730A3409CE043814FD881409C|1.0|DNA ANALYZER|5.0|Y|N|Y|
308|44F39C472F7C409CE043814FD881409C|1.0|AUDIOMETER|10.0|Y|N|Y|
309|44F39C472F7D409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW AUTOCLAVE|20.0|Y|N|N|
311|44F39C472F7E409CE043814FD881409C|1.0|ASPIRATOR|10.0|Y|N|Y|
312|44F39C472F7F409CE043814FD881409C|1.0|BALANCE|7.0|Y|N|Y|
314|44F39C472F80409CE043814FD881409C|1.0|LABORATORY PRESSES|15.0|Y|N|Y|
315|44F39C472F81409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  BLOOD PRESSURE UNIT|10.0|Y|N|N|
316|44F39C472F82409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW BATH, ALL LABORATORY /CIRCULATOR|10.0|Y|N|N|
318|44F39C472F83409CE043814FD881409C|1.0|OSCILLOSCOPE ACCESSORIES|10.0|Y|N|Y|
319|44F39C472F84409CE043814FD881409C|1.0|SCIENTIFIC EQUIP. (AMPLIFYING)|7.0|Y|N|Y|
320|44F39C473060409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW MONITOR, MEDICAL/SCIENTIFIC|7.0|Y|N|N|
321|44F39C472F85409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW COUNTER, BLOOD CELL|10.0|Y|N|N|
322|44F39C472F86409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW  ANALYZER, BLOOD GAS|10.0|Y|N|N|
325|44F39C472F87409CE043814FD881409C|1.0|SCIENTIFIC EQUIP. (COLLECTING)|10.0|Y|N|Y|
327|44F39C472F88409CE043814FD881409C|1.0|WASHER, BOTTLE|8.0|Y|N|Y|
328|44F39C472F89409CE043814FD881409C|1.0|BREATHING UNIT|8.0|Y|N|Y|
330|44F39C472F8A409CE043814FD881409C|1.0|EQUIP., ALL CARDIO|8.0|Y|N|Y|
332|44F39C472F8B409CE043814FD881409C|1.0|EVAPORATORS, ROTAVAPORS|7.0|Y|N|Y|
333|44F39C472F8C409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW CENTRIFUGE|10.0|Y|N|N|
334|44F39C472F8D409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW GAS CHROMATOGRAPH|10.0|Y|N|N|
336|44F39C472F8E409CE043814FD881409C|1.0|COLD PACK UNIT, FLOOR|10.0|Y|N|Y|
337|44F39C472F8F409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW COLORIMETER|8.0|Y|N|N|
338|44F39C472F90409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW AIR COMPRESSOR|15.0|Y|N|N|
339|44F39C473070409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW TESTER, CONDUCTIVITY|8.0|Y|N|N|
341|44F39C472F91409CE043814FD881409C|1.0|PHOTOMULTIPLIER TUBE|3.0|Y|N|Y|
342|44F39C472F92409CE043814FD881409C|1.0|CRYOSURGICAL UNIT|10.0|Y|N|Y|
343|44F39C472F93409CE043814FD881409C|1.0|INACTIVE FY 07 AHA REVIEW CRYOSTAT|10.0|Y|N|N|
