cust_nbr|obj_id|ver_nbr|cust_nm|cust_parent_co_nbr|cust_typ_cd|cust_addr_chg_dt|cust_rec_add_dt|cust_lst_actv_dt|cust_active_cd|cust_phone_nbr|cust_800_phone_nbr|cust_cntct_nm|cust_cntct_phn_nbr|cust_fax_nbr|cust_birth_dt|cust_tax_exmpt_ind|cust_crdt_lmt_amt|cust_crdt_aprv_nm|cust_email_addr|cust_tax_typ_cd|cust_tax_nbr|bnkrptcy_typ_cd|bnkrptcy_dt|bnkrptcy_review_dt|stop_wrk_ind|stop_wrk_reason_txt|cust_inv_tmplt_cd|
ALL17610|48A7ED7FBDE4FC83E0404F8189D860FE|1.0|TOBIAS COMPANY|||20040902082221|20040902082221||Y||||||||||||||||N|||
ALV23403|48A7ED7FBE93FC83E0404F8189D860FE|1.0|SEGARRA CORPORATION|||20070910080403|20070910080403||Y||||||||||||||||N|||
AME17925|48A7ED7FBDF3FC83E0404F8189D860FE|1.0|BINKLEY CORPORATION|||20070711131034|20041014091118||Y||||||||||||||||N|||
AME207|48A7ED7FBD5DFC83E0404F8189D860FE|1.0|LOWELL CORPORATION|||20051013081227||19990724000000|Y|123-456-7890||||555-666-7777||F|||||||||N|||
AME23319|48A7ED7FBE86FC83E0404F8189D860FE|1.0|HAMES CORPORATION|||20070906125523|20070906125523||Y||||||||||||||||N|||
AMI21274|48A7ED7FBE5EFC83E0404F8189D860FE|1.0|SCANLON CORPORATION|||20060913124609|20060913124609||Y||||||||||||||||N|||
ANT7297|48A7ED7FBD5EFC83E0404F8189D860FE|1.0|LEWELLEN CORPORATION|||20060405124948|19990819152652||Y||||||||||||||||N|||
APE21086|48A7ED7FBE30FC83E0404F8189D860FE|1.0|IVES SYSTEMS|||20060811095237|20060811095237||Y||||||||||||||||N|||
APP19363|48A7ED7FBE06FC83E0404F8189D860FE|1.0|LINDHOLM CORPORATION|||20060908154409|20050722125606||Y|123-456-7890|||||||||||||||N|||
APR22454|48A7ED7FBE7DFC83E0404F8189D860FE|1.0|BONHAM CORPORATION|||20070501131016|20070501131016||Y||||||||||||||||N|||
ART21131|48A7ED7FBE4BFC83E0404F8189D860FE|1.0|PROPST COMPANY|||20060815160212|20060815160212||Y||||||||||||||||N|||
ART362|48A7ED7FBD5FFC83E0404F8189D860FE|1.0|SOBEL CORPORATION|||20060130164527||19990724000000|Y|123-456-7890||GENEVIEVE O SOBEL||555-666-7777||F|||||||||N|||
ARV18487|48A7ED7FBDFEFC83E0404F8189D860FE|1.0|HENDRICKSON CORPORATION|||20070515131225|20050119143354||Y||||||||||||||||N|||
ATA407|48A7ED7FBD60FC83E0404F8189D860FE|1.0|PLUMMER CORPORATION|||20060815111042||19990724000000|Y|||||||F|||||||||N|||
AVA12979|48A7ED7FBD95FC83E0404F8189D860FE|1.0|WERTZ CORPORATION|||20060913124528|20020508144141||Y||||||||||||||||N|||
BAN10454|48A7ED7FBD8FFC83E0404F8189D860FE|1.0|ETHRIDGE BANK|||20071112122944|20010116143223||Y||||||||||||||||N|||
BAT19499|48A7ED7FBE07FC83E0404F8189D860FE|1.0|BORN COMPANY|||20061006130032|20050826135836||Y||||||||||||||||N|||
BAX516|48A7ED7FBD61FC83E0404F8189D860FE|1.0|HOULIHAN CORPORATION|||20040917155341||19990724000000|Y|||||||F|||||||||N|||
BEA17416|48A7ED7FBDCEFC83E0404F8189D860FE|1.0|ANGUS COMPANY|||20060811103705|20040729084158||Y||||||||||||||||N|||
BEA21378|48A7ED7FBE64FC83E0404F8189D860FE|1.0|WHITING CORPORATION|||20061002112717|20061002112717||Y||||||||||||||||N|||
BEC17386|48A7ED7FBDD2FC83E0404F8189D860FE|1.0|MINK COMPANY|||20070910075724|20040729084800||Y||||||||||||||||N|||
BEC20257|48A7ED7FBE2AFC83E0404F8189D860FE|1.0|YON CORPORATION|||20060125142038|20060125142038||Y|||EUGENIO P YON|||||||customer@domain.com||||||N|||
BES17387|48A7ED7FBDD3FC83E0404F8189D860FE|1.0|BORST CORPORATION|||20040729084826|20040729084826||Y||||||||||||||||N|||
BKD17502|48A7ED7FBDDAFC83E0404F8189D860FE|1.0|GAMBOA CORPORATION|||20040913165101|20040819150757||Y|123-456-7890|||||||||||||||N|||
BLA23404|48A7ED7FBE9CFC83E0404F8189D860FE|1.0|POHL CORPORATION|||20070910084040|20070910084040||Y||||||||||||||||N|||
BLU23320|48A7ED7FBE80FC83E0404F8189D860FE|1.0|RIZO INTERNATIONAL|||20070906123022|20070906123022||Y||||||||||||||||N|||
BLU665|48A7ED7FBD62FC83E0404F8189D860FE|1.0|ROSSI COMPANY|||20051012154502||19990724000000|Y|123-456-7890||||||F|||||||||N|||
BMO21087|48A7ED7FBE2FFC83E0404F8189D860FE|1.0|RUNYON CORPORATION|||20070906144942|20060811095213||Y||||||||||||||||N|||
BON21102|48A7ED7FBE49FC83E0404F8189D860FE|1.0|DEBOER STORES|||20060811160753|20060811160753||Y||||||||||||||||N|||
BOR17697|48A7ED7FBDEAFC83E0404F8189D860FE|1.0|LAYNE GROUP|||20040908151420|20040908151420||Y||||||||||||||||N|||
BOS21717|48A7ED7FBE72FC83E0404F8189D860FE|1.0|JOSEPH CORPORATION|||20061213163218|20061213163218||Y||||||||||||||||N|||
BPE17237|48A7ED7FBDA5FC83E0404F8189D860FE|1.0|SIKORA CORPORATION|||20060406114256|20040708083547||Y|123-456-7890|||||||||||||||N|||
BRA17694|48A7ED7FBDE8FC83E0404F8189D860FE|1.0|SEVIER CORPORATION|||20040908143508|20040908143508||Y||||||||||||||||N|||
BRI17239|48A7ED7FBDA7FC83E0404F8189D860FE|1.0|SIMONE CORPORATION|||20040819090933|20040708084827||Y|123-456-7890|||||||||||||||N|||
BRI21088|48A7ED7FBE35FC83E0404F8189D860FE|1.0|LEHMANN GROUP|||20060811103739|20060811103739||Y||||||||||||||||N|||
BRO21109|48A7ED7FBE3BFC83E0404F8189D860FE|1.0|THOMASON COMPANY|||20060811151757|20060811151757||Y||||||||||||||||N|||
CAM23613|48A7ED7FBEA5FC83E0404F8189D860FE|1.0|BLAND CORPORATION|||20071022125444|20071022125444||Y||||||||||||||||N|||
CAP23322|48A7ED7FBE8BFC83E0404F8189D860FE|1.0|HALBERT CORPORATION|||20070906131428|20070906131428||Y||||||||||||||||N|||
CAR15297|48A7ED7FBDA0FC83E0404F8189D860FE|1.0|GORDON HEALTH|||20060913124731|20030929074501||Y||||||||||||||||N|||
CAR23323|48A7ED7FBE8AFC83E0404F8189D860FE|1.0|MCCLURG SOLUTIONS|||20070906130210|20070906130210||Y||||||||||||||||N|||
CAR23612|48A7ED7FBEA6FC83E0404F8189D860FE|1.0|SNOOK CORPORATION|||20071022125503|20071022125503||Y||||||||||||||||N|||
CBI17242|48A7ED7FBDA9FC83E0404F8189D860FE|1.0|KAYSER COMPANY|||20040708085111|20040708085111||Y|123-456-7890|||||||||||||||N|||
CDW17258|48A7ED7FBDADFC83E0404F8189D860FE|1.0|MAHAN CORPORATION|||20040713162716|20040713162716||Y|123-456-7890|||||||||||||||N|||
CEN22075|48A7ED7FBE7BFC83E0404F8189D860FE|1.0|BETHUNE SOLUTIONS|||20070219111356|20070219111356||Y||||||||||||||||N|||
CER18335|48A7ED7FBDF8FC83E0404F8189D860FE|1.0|LAROSE CORPORATION|||20041208102549|20041208102549||Y||||||||||||||||N|||
CHA1031|48A7ED7FBD63FC83E0404F8189D860FE|1.0|OTTE COMPANY|||20070910084025||19990724000000|Y|||MOHAMMED I OTTE|222-333-4444|||F|||||||||N|||
CHI22074|48A7ED7FBE7AFC83E0404F8189D860FE|1.0|DUGGAN GROUP|||20070219111338|20070219111338||Y||||||||||||||||N|||
CHI23864|48A7ED7FBEAAFC83E0404F8189D860FE|1.0|COZART COMPANY|||20071220083949|20071220083949||Y||||||||||||||||N|||
CHR17241|48A7ED7FBDA3FC83E0404F8189D860FE|1.0|VALE CORPORATION|||20050909132810|20040708080526||Y||800-999-8888||||||||||||||N|||
CIB19331|48A7ED7FBE04FC83E0404F8189D860FE|1.0|GIBBS ENTERPRISES|||20060912144825|20050714110731||Y||||||||||||||||N|||
CIG17259|48A7ED7FBDACFC83E0404F8189D860FE|1.0|DELGADILLO CORPORATION|||20050615104524|20040713155416||Y|123-456-7890|||||||||||||||N|||
CIN1106|48A7ED7FBD64FC83E0404F8189D860FE|1.0|MOREHOUSE CORPORATION|||20070108113736||19990724000000|Y|123-456-7890||EVA O MOREHOUSE|222-333-4444|555-666-7777||T|||||||||N|||
CIN1110|48A7ED7FBD65FC83E0404F8189D860FE|1.0|KNUTH CORPORATION|||20070907101548||19990724000000|Y|123-456-7890||LISA H KNUTH||||F|||||||||N|||
CIT23405|48A7ED7FBE9DFC83E0404F8189D860FE|1.0|DUNTON SOLUTIONS|||20070910084106|20070910084106||Y||||||||||||||||N|||
CLA21283|48A7ED7FBE60FC83E0404F8189D860FE|1.0|SHEPARD GROUP|||20070703155631|20060913124833||Y||||||||||||||||N|||
CLE21284|48A7ED7FBE5CFC83E0404F8189D860FE|1.0|HARTSELL COMPANY|||20060913124116|20060913124116||N||||||||||||||||N|||
CLI17261|48A7ED7FBDABFC83E0404F8189D860FE|1.0|PINKSTON CORPORATION|||20040713155335|20040713155335||Y|123-456-7890|||||||||||||||N|||
CNA17389|48A7ED7FBDCDFC83E0404F8189D860FE|1.0|MICHAEL CORPORATION|||20070906133210|20040729083830||Y||||||||||||||||N|||
COC23337|48A7ED7FBE81FC83E0404F8189D860FE|1.0|MCCARRON COMPANY|||20070906123840|20070906123840||Y||||||||||||||||N|||
COL21091|48A7ED7FBE31FC83E0404F8189D860FE|1.0|PROVINCE CORPORATION|||20060912124854|20060811103230||Y||||||||||||||||N|||
COL21463|48A7ED7FBE68FC83E0404F8189D860FE|1.0|LEVERETT COMPANY|||20061213163423|20061016105227||Y||||||||||||||||N|||
COM20471|48A7ED7FBE2EFC83E0404F8189D860FE|1.0|CROCKETT COMPANY|||20060912105112|20060307103229||Y||||||||||||||||N|||
CON1370|48A7ED7FBD66FC83E0404F8189D860FE|1.0|ARNETTE COMPANY|||20040602085456||19990724000000|Y|123-456-7890||||555-666-7777||F|||||||||N|||
CON17715|48A7ED7FBDEBFC83E0404F8189D860FE|1.0|MODICA COMPANY|||20070305154100|20040910154120||Y||||||||||||||||N|||
CON19567|48A7ED7FBE09FC83E0404F8189D860FE|1.0|SANTORO COMPANY|||20060907150857|20050909130324||Y||||||||||||||||N|||
CON21277|48A7ED7FBE5BFC83E0404F8189D860FE|1.0|TOLLEY COMPANY|||20060913124032|20060913124032||N||||||||||||||||N|||
COR19568|48A7ED7FBE0FFC83E0404F8189D860FE|1.0|SOLIZ CORPORATION|||20050909133127|20050909133127||Y||||||||||||||||N|||
COU23406|48A7ED7FBE9EFC83E0404F8189D860FE|1.0|SCHLEICHER CORPORATION|||20070910084137|20070910084137||Y||||||||||||||||N|||
COV1435|48A7ED7FBD67FC83E0404F8189D860FE|1.0|GOETZ COMPANY|||20071105155641||19990724000000|Y|||||||F|||||||||N|||
COY23324|48A7ED7FBE7FFC83E0404F8189D860FE|1.0|DOSS COMPANY|||20070906122812|20070906122812||Y||||||||||||||||N|||
CRE17262|48A7ED7FBDAAFC83E0404F8189D860FE|1.0|ROAN CORPORATION|||20060811161831|20040713155309||Y|123-456-7890|||||||||||||||N|||
CRO1480|48A7ED7FBD68FC83E0404F8189D860FE|1.0|AUGUSTIN COMPANY|||20060915080426||19990724000000|Y|123-456-7890||||555-666-7777||F|||||||||N|||
CSS23407|48A7ED7FBE9FFC83E0404F8189D860FE|1.0|GREENWOOD CORPORATION|||20070910084244|20070910084244||Y||||||||||||||||N|||
CUM1496|48A7ED7FBD69FC83E0404F8189D860FE|1.0|BLOCKER COMPANY|||20070823090239||19990724000000|Y|123-456-7890||||555-666-7777||F|||||||||N|||
DAI19599|48A7ED7FBE1BFC83E0404F8189D860FE|1.0|BUNNELL CORPORATION|||20060912144541|20050913132509||Y||||||||||||||||N|||
DAN21090|48A7ED7FBE34FC83E0404F8189D860FE|1.0|LEFLORE CORPORATION|||20070910084310|20060811103453||Y||||||||||||||||N|||
DAU17266|48A7ED7FBDB4FC83E0404F8189D860FE|1.0|RAYNER COMPANY|||20060811153047|20040714134801||Y|123-456-7890|||||||||||||||N|||
DAV17392|48A7ED7FBDC8FC83E0404F8189D860FE|1.0|HAYASHI COMPANY|||20040729075735|20040729075735||Y||||||||||||||||N|||
DAV17411|48A7ED7FBDC2FC83E0404F8189D860FE|1.0|KEYS COMPANY|||20040728151231|20040728151231||Y||||||||||||||||N|||
DAV17492|48A7ED7FBDD6FC83E0404F8189D860FE|1.0|BURD COMPANY|||20060811103632|20040819091910||Y|123-456-7890|||||||||||||||N|||
DEC21269|48A7ED7FBE57FC83E0404F8189D860FE|1.0|HASS SERVICES|||20060913123516|20060913123516||N||||||||||||||||N|||
DEF1580|48A7ED7FBD6AFC83E0404F8189D860FE|1.0|FITCH COMPANY|||20070906081430||19990724000000|Y|||||||F|||||||||N|||
DEL14011|48A7ED7FBD97FC83E0404F8189D860FE|1.0|ARCINIEGA CORPORATION|||20060815103609|20021126095517||Y||||||||||||||||N|||
DEL14448|48A7ED7FBD9BFC83E0404F8189D860FE|1.0|PEASE CORPORATION|||20070823120243|20030304085522||Y|123-456-7890||NOLA E PEASE||555-666-7777|||||||||||N|||
DEL20274|48A7ED7FBE2CFC83E0404F8189D860FE|1.0|ARRIAGA SYSTEMS|||20071008094628|20060130090217||Y||||||||||||||||N|||
DEN1628|48A7ED7FBD6BFC83E0404F8189D860FE|1.0|CHEW INTERNATIONAL|||20061213163431||19990724000000|Y|||||||T|||||||||N|||
DEU20221|48A7ED7FBE27FC83E0404F8189D860FE|1.0|FANG SECURITIES|||20060118161551|20060118161551||Y||||||||||||||||N|||
DIC19654|48A7ED7FBE1EFC83E0404F8189D860FE|1.0|BLACKWOOD CORPORATION|||20060925081744|20050920125452||Y||||||||||||||||N|||
DIL23326|48A7ED7FBE8FFC83E0404F8189D860FE|1.0|WEXLER STORES|||20070906135300|20070906135300||Y||||||||||||||||N|||
DIS19365|48A7ED7FBE05FC83E0404F8189D860FE|1.0|WEIS COMPANY|||20050722123504|20050722123504||Y|123-456-7890|||||||||||||||N|||
DOM21275|48A7ED7FBE5DFC83E0404F8189D860FE|1.0|RIFFLE ENTERPRISES|||20060913124454|20060913124454||N||||||||||||||||N|||
DOW1686|48A7ED7FBD6CFC83E0404F8189D860FE|1.0|CALFEE COMPANY|||20080109104127||19990724000000|Y|||||||F|||||||||N|||
DOW23327|48A7ED7FBE90FC83E0404F8189D860FE|1.0|FINKELSTEIN CORPORATION|||20070906135412|20070906135412||Y||||||||||||||||N|||
DRE18334|48A7ED7FBDF7FC83E0404F8189D860FE|1.0|BOWSER INVESTMENTS|||20041208102116|20041208102116||Y||||||||||||||||N|||
DRW21089|48A7ED7FBE32FC83E0404F8189D860FE|1.0|GAYDEN GROUP|||20060811103300|20060811103300||Y||||||||||||||||N|||
DSW23325|48A7ED7FBE8DFC83E0404F8189D860FE|1.0|DRUMM CORPORATION|||20070906133348|20070906133348||Y||||||||||||||||N|||
DUF21092|48A7ED7FBE33FC83E0404F8189D860FE|1.0|CARVAJAL CORPORATION|||20070906122956|20060811103359||Y||||||||||||||||N|||
EAT17609|48A7ED7FBDE1FC83E0404F8189D860FE|1.0|GALLARDO CORPORATION|||20040901152146|20040901152146||Y||||||||||||||||N|||
ECO21273|48A7ED7FBE53FC83E0404F8189D860FE|1.0|HAWS COMPANY|||20060913123320|20060913123320||Y||||||||||||||||N|||
EDI17692|48A7ED7FBDE7FC83E0404F8189D860FE|1.0|BUNTON SYSTEMS|||20040908143156|20040908143156||Y||||||||||||||||N|||
EDW9917|48A7ED7FBD8EFC83E0404F8189D860FE|1.0|TSOSIE INVESTMENTS|||20060120135528|20001012134715||Y|||SHEILA P TSOSIE|222-333-4444||||||||||||N|||
ELI1805|48A7ED7FBD6DFC83E0404F8189D860FE|1.0|HARDER COMPANY|||20071107094303||19990724000000|Y|123-456-7890||||||F|||||||||N|||
EME19607|48A7ED7FBE1CFC83E0404F8189D860FE|1.0|MICHELS COMPANY|||20050913132603|20050913132603||Y||||||||||||||||N|||
ENT10522|48A7ED7FBD90FC83E0404F8189D860FE|1.0|HAIRSTON ENTERPRISES|||20070716141026|20010129073946||Y|123-456-7890||JONAH U HAIRSTON||555-666-7777|||||customer@domain.com||||||N|||
EPI20012|48A7ED7FBE24FC83E0404F8189D860FE|1.0|RAMBO SYSTEMS|||20060811104024|20051202123913||Y|||NAPOLEON U RAMBO|||||||||||||N|||
ERN1888|48A7ED7FBD6EFC83E0404F8189D860FE|1.0|COSTON CORPORATION|||20040826082111||19990724000000|Y|123-456-7890||ROSCOE K COSTON|222-333-4444|555-666-7777||F|||||||||N|||
ETH21093|48A7ED7FBE36FC83E0404F8189D860FE|1.0|NEILSON GROUP|||20060811105208|20060811105208||N||||||||||||||||N|||
EXX17750|48A7ED7FBDEDFC83E0404F8189D860FE|1.0|KEE CORPORATION|||20070910084346|20040915080223||Y||||||||||||||||N|||
FAC17395|48A7ED7FBDC4FC83E0404F8189D860FE|1.0|WINCHESTER CORPORATION|||20070306142823|20040728151449||Y||||||||||||||||N|||
FBO17394|48A7ED7FBDC5FC83E0404F8189D860FE|1.0|CAULEY BANK|||20061023111739|20040728154110||Y||||||||||||||||N|||
FED15354|48A7ED7FBDA1FC83E0404F8189D860FE|1.0|ABBOTT CORPORATION|||20060118161838|20031006141409||N|123-456-7890||HOLLIE F ABBOTT|222-333-4444|555-666-7777|||||||||||N|||
FED17397|48A7ED7FBDD0FC83E0404F8189D860FE|1.0|BURCHAM BANK|||20040729084704|20040729084704||Y||||||||||||||||N|||
FED21094|48A7ED7FBE39FC83E0404F8189D860FE|1.0|WETMORE COMPANY|||20060811105424|20060811105424||Y||||||||||||||||N|||
FIF11723|48A7ED7FBD92FC83E0404F8189D860FE|1.0|WELBORN BANK|||20070910083656|20010830161913||Y|||MARJORIE J WELBORN|222-333-4444||||||||||||N|||
FIN19600|48A7ED7FBE16FC83E0404F8189D860FE|1.0|THEISS CORPORATION|||20050913131442|20050913131441||N||||||||||||||||N|||
FIN21351|48A7ED7FBE62FC83E0404F8189D860FE|1.0|ALBRITTON CORPORATION|||20060925081827|20060925081827||N||||||||||||||||N|||
FIN23328|48A7ED7FBE8CFC83E0404F8189D860FE|1.0|PERRON GROUP|||20070906132657|20070906132657||Y||||||||||||||||N|||
FLA22934|48A7ED7FBE7EFC83E0404F8189D860FE|1.0|LAMKIN BANK|||20070907101210|20070814130656||Y|123-456-7890|||||||||||||||N|||
FOR2028|48A7ED7FBD6FFC83E0404F8189D860FE|1.0|EADS COMPANY|||20061213163437||19990724000000|Y|||ESTELLE J EADS||||F|||||||||N|||
FRI21379|48A7ED7FBE65FC83E0404F8189D860FE|1.0|JOHNSTONE ASSOCIATES|||20061002112756|20061002112756||N||||||||||||||||N|||
FTI19569|48A7ED7FBE10FC83E0404F8189D860FE|1.0|JARMON COMPANY|||20060908154347|20050909133145||Y||||||||||||||||N|||
FTN19570|48A7ED7FBE08FC83E0404F8189D860FE|1.0|ELY CORPORATION|||20050909130201|20050909130201||Y||||||||||||||||N|||
GAP17272|48A7ED7FBDAEFC83E0404F8189D860FE|1.0|NIX CORPORATION|||20040714132539|20040714132539||Y|123-456-7890|||||||||||||||N|||
GEI17271|48A7ED7FBDB5FC83E0404F8189D860FE|1.0|PEERY COMPANY|||20070907101233|20040714134953||Y|123-456-7890|||||||||||||||N|||
GEN14021|48A7ED7FBD9AFC83E0404F8189D860FE|1.0|KOSTER CORPORATION|||20060913125000|20021202074933||Y|||JAMAL V KOSTER|222-333-4444||||||||||||N|||
GEN2154|48A7ED7FBD70FC83E0404F8189D860FE|1.0|SALTER CORPORATION|||20070906123049||19990724000000|Y|123-456-7890||||||F|||||||||N|||
GEN2161|48A7ED7FBD71FC83E0404F8189D860FE|1.0|SYMONS CORPORATION|||20070906125815||19990724000000|Y|||||||F|||||||||N|||
GLA21459|48A7ED7FBE6AFC83E0404F8189D860FE|1.0|ODELL CORPORATION|||20061016105324|20061016105324||N||||||||||||||||N|||
GOL17503|48A7ED7FBDD7FC83E0404F8189D860FE|1.0|MOATS COMPANY|||20071219111759|20040819150448||Y|123-456-7890|||||||||||||||N|||
GOO21095|48A7ED7FBE3AFC83E0404F8189D860FE|1.0|BUTTERS COMPANY|||20060811105503|20060811105503||Y||||||||||||||||N|||
GRA17504|48A7ED7FBDD9FC83E0404F8189D860FE|1.0|HEADLEY CORPORATION|||20040830151929|20040819150639||Y|123-456-7890|||||||||||||||N|||
GRA23491|48A7ED7FBEA1FC83E0404F8189D860FE|1.0|MOOREFIELD CORPORATION|||20070925143846|20070925143846||Y||||||||||||||||N|||
GRE17695|48A7ED7FBDE9FC83E0404F8189D860FE|1.0|DUGGINS COMPANY|||20040908143533|20040908143533||Y||||||||||||||||N|||
GRE21265|48A7ED7FBE5FFC83E0404F8189D860FE|1.0|LAMPE GROUP|||20060913124752|20060913124752||Y||||||||||||||||N|||
GRO23421|48A7ED7FBEA0FC83E0404F8189D860FE|1.0|RENFRO CORPORATION|||20070910151142|20070910151142||Y||||||||||||||||N|||
GUL23408|48A7ED7FBE97FC83E0404F8189D860FE|1.0|PLOTT COMPANY|||20070910083525|20070910083525||Y||||||||||||||||N|||
HAM21461|48A7ED7FBE69FC83E0404F8189D860FE|1.0|GRUBB COMPANY|||20061016105307|20061016105307||N||||||||||||||||N|||
HAN9178|48A7ED7FBD72FC83E0404F8189D860FE|1.0|WEATHERLY COMPANY|||20040824094749|20000531155647||N|||FELIX A WEATHERLY|||||||||||||N|||
HIL22195|48A7ED7FBE7CFC83E0404F8189D860FE|1.0|VANDERPOOL GROUP|||20070314150336|20070314150336||Y||||||||||||||||N|||
HIL23409|48A7ED7FBE96FC83E0404F8189D860FE|1.0|BRENNAN INTERNATIONAL|||20070910083503|20070910083503||Y||||||||||||||||N|||
HIL2523|48A7ED7FBD73FC83E0404F8189D860FE|1.0|MAJORS CORPORATION|||20040406131731||19990724000000|Y|||||||F|||||||||N|||
HIT17722|48A7ED7FBDECFC83E0404F8189D860FE|1.0|STANSBERRY COMPANY|||20040913163311|20040913163311||Y||||||||||||||||N|||
HOL2555|48A7ED7FBD74FC83E0404F8189D860FE|1.0|UNDERWOOD CORPORATION|||||19990724000000|Y|||||||F|||||||||N|||
HOU21111|48A7ED7FBE43FC83E0404F8189D860FE|1.0|ALBANESE CORPORATION|||20070906124829|20060811154754||Y||||||||||||||||N|||
HUB21264|48A7ED7FBE52FC83E0404F8189D860FE|1.0|SEAGRAVES GROUP|||20060913123156|20060913123156||Y||||||||||||||||N|||
HUM17615|48A7ED7FBDE5FC83E0404F8189D860FE|1.0|ELGIN CORPORATION|||20070129151230|20040902082251||N||||||||||||||||N|||
HUM2630|48A7ED7FBD75FC83E0404F8189D860FE|1.0|BYLER CORPORATION|||20061212113826||19990724000000|Y|||||||F|||||||||N|||
HUN21518|48A7ED7FBE6FFC83E0404F8189D860FE|1.0|ALCORN CORPORATION|||20061023103117|20061023103117||N||||||||||||||||N|||
HUR18383|48A7ED7FBDF9FC83E0404F8189D860FE|1.0|MARVEL COMPANY|||20041216135539|20041216135539||Y||||||||||||||||N|||
HYA19675|48A7ED7FBE1FFC83E0404F8189D860FE|1.0|BARTH CORPORATION|||20050923132419|20050923132419||Y||||||||||||||||N|||
IBM2655|48A7ED7FBD76FC83E0404F8189D860FE|1.0|WESTFALL CORPORATION|||20080116082159||19990724000000|Y|123-456-7890||HENRY F WESTFALL||||F|||||||||N|||
ICM17608|48A7ED7FBDE0FC83E0404F8189D860FE|1.0|MACKINNON CORPORATION|||20060811105557|20040901152128||N||||||||||||||||N|||
IKO2665|48A7ED7FBD77FC83E0404F8189D860FE|1.0|FERLAND SOLUTIONS|||20070906135527||19990724000000|Y|||ROBERTA L FERLAND||||F|||||||||N|||
ILL18485|48A7ED7FBDFCFC83E0404F8189D860FE|1.0|FIGUEROA CORPORATION|||20050923125155|20050119142707||Y||||||||||||||||N|||
IMP23726|48A7ED7FBEA8FC83E0404F8189D860FE|1.0|LING NETWORK|||20071115114840|20071115114840||Y||||||||||||||||N|||
IND145|48A7ED7FBD78FC83E0404F8189D860FE|1.0|FELKER CORPORATION|||20071015152650||19990724000000|Y|123-456-7890||||||F|||||||||N|||
IND2923|48A7ED7FBD79FC83E0404F8189D860FE|1.0|MARTIN FOUNDATION|||20071029110254||19990724000000|Y|123-456-7890||||||F|||||||||N|||
IND2949|48A7ED7FBD7AFC83E0404F8189D860FE|1.0|STERNER FOUNDATION|||||19990724000000|Y|123-456-7890|||222-333-4444|||F|||||||||N|||
INF17623|48A7ED7FBDE2FC83E0404F8189D860FE|1.0|CEBALLOS SYSTEMS|||20060822115103|20040901165849||Y||||||||||||||||N|||
