sec_id|sec_desc|sec_tkr_symb|sec_cls_cd|sec_subcls_cd|sec_mat_dt|sec_unit_val|sec_units_held|sec_val_dt|unit_val_src|prev_unit_val|prev_unit_val_dt|sec_cval|last_tran_dt|sec_inc_pay_freq|sec_inc_next_pay_dt|sec_rt|sec_inc_chg_dt|sec_iss_dt|sec_dvdnd_rec_dt|sec_ex_dvdnd_dt|sec_dvdnd_pay_dt|sec_dvdnd_amt|cmtmnt_amt|row_actv_ind|obj_id|ver_nbr|nxt_fscl_yr_dstrb_amt|sec_val_by_mkt|
1568847G7|Certificates Accrual Tr Secs0.000% Due 08/15/2008||025||20080815000000|100.0|0.0|20080815000000|FTI|100.0|20080815000000|0.0|19960319000000|||0.0||||||0.0||Y|8529CD484A39060AE0404F8189D81C0B|1.0|0.0||
1568847H5|Certificates Accrual Tr Secs0.000% Due 02/15/2009||025||20090215000000|100.0|0.0|20090217000000|FTI|99.998|20090212000000|0.0|20000525000000|||0.0||||||0.0||Y|8529CD484A3A060AE0404F8189D81C0B|1.0|0.0||
156884E79|Certificates Accrual Tr Secs0.000% Due 02/15/2009||025||20090215000000|100.0|0.0|20090217000000|FTI|99.998|20090212000000|0.0|20000525000000|||0.0||||||0.0||Y|8529CD484A32060AE0404F8189D81C0B|1.0|0.0||
165167107|Chesapeake Energy Corpcom|CHK|400|||28.65|20000.0|20100106000000|FTI|28.97|20100105000000|173670.64|20030930000000||20100115000000|0.3|20091222000000||20100104000000|20091230000000|20100115000000|0.075||Y|8529CD484A0C060AE0404F8189D81C0B|1.0|0.0||
17275R102|Cisco Systems Incorporated|CSCO|400|||24.42|25000.0|20100106000000|FTI|24.58|20100105000000|216658.88|20050901000000|||0.0||||||0.0||Y|8529CD484A3B060AE0404F8189D81C0B|1.0|0.0||
177376100|Citrix|CTXS|400|||24.16|0.0|20090406000000|FTI|24.35|20090403000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A0D060AE0404F8189D81C0B|1.0|0.0||
21036P108|Constellation Brands|STZ|400|||16.13|35000.0|20100106000000|FTI|15.92|20100105000000|520331.5|20050629000000|||0.0||||||0.0||Y|8529CD484A3C060AE0404F8189D81C0B|1.0|0.0||
251566105|Deutsche Telekom Ag|DT|400|||14.68|50000.0|20100106000000|FTI|15.04|20100105000000|815480.0|20041029000000|||0.635|||20050428000000|20050422000000|20050503000000|0.8049||Y|8529CD484A0E060AE0404F8189D81C0B|1.0|0.0||
254687106|Walt Disney Company|DIS|400|||31.82|25000.0|20100106000000|FTI|31.99|20100105000000|543916.5|20050729000000||20100119000000|1.4|20091204000000||20091214000000|20091210000000|20100119000000|0.35||Y|8529CD484A0F060AE0404F8189D81C0B|1.0|0.0||
26439RAF3|Duke Cap Corp7.500% Due 10/01/2009||200||20091001000000|100.0|0.0|20091001000000|FTI|100.0|20091001000000|0.0|20000202000000|IA01|20091001000000|0.075||||||0.0||Y|8529CD484A3D060AE0404F8189D81C0B|1.0|0.0||
26874Q100|Ensco Intl Inccom|ZZZZ|400|||41.93|15000.0|20101223000000|FTI|41.93|20101223000000|275727.5|20050817000000||20091218000000|0.1|20091105000000||20091207000000|20091203000000|20091218000000|0.025||Y|8529CD484A3E060AE0404F8189D81C0B|1.0|0.0||
26874R108|ENI Spa|E|400|||64.38|0.0|20080122000000|FTI|67.93|20080118000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A3F060AE0404F8189D81C0B|1.0|0.0||
278642103|Ebay Inc|EBAY|400|||27.13|0.0|20080122000000|FTI|28.33|20080118000000|0.0|20050901000000|||0.0||||||0.0||Y|8529CD484A10060AE0404F8189D81C0B|1.0|0.0||
30231G102|Exxon Mobil Corporation|XOM|400|||70.02|0.0|20100106000000|FTI|69.42|20100105000000|0.0|20050822000000||20070309000000|1.28|20070201000000||20070209000000|20070207000000|20070309000000|0.32||Y|8529CD484A40060AE0404F8189D81C0B|1.0|0.0||
31331RMX0|Fedl Farm Cr Bksdtd 01/12/985.830% Due 01/14/2008|FFCB08|025||20080114000000|100.0|0.0|20080114000000|FTI|100.0|20080114000000|0.0|19980814000000|IJ14|20080114000000|0.0583||||||0.0||Y|8529CD484A41060AE0404F8189D81C0B|1.0|0.0||
3133X8AS1|Federal Home Loan Bank 5.125% due 8/15/2019|FHLB19|025||20190815000000|106.125|525000.0|20100106000000|FTI|106.594|20100105000000|557675.99||IF15|20100215000000|0.05125||||||0.0|0.0|Y|8529CD484A42060AE0404F8189D81C0B|1.0|0.0||
3133XGTN4|Federal Home Loan Bank 5.50% due 9/8/2011|FHLB11|025||20080908000000|100.0|0.0|20080908000000|FTI|100.0|20080908000000|0.0||IM08|20080908000000|0.055||||||0.0|0.0|Y|8529CD484A43060AE0404F8189D81C0B|1.0|0.0||
3133XKQW8|Federal Home Loan Bank 5.25% Due 5/9/2011|FHLB11|025||20080509000000|100.0|0.0|20080509000000|FTI|100.0|20080509000000|0.0||IY09|20080509000000|0.0525||||||0.0|0.0|Y|8529CD484A44060AE0404F8189D81C0B|1.0|0.0||
3133XLDW0|Federal Home Loan Bank 6.00% due 6/21/2017|FHLB17|025||20170621000000|102.563|350000.0|20100106000000|FTI|102.563|20100105000000|350000.0||IU21|20100621000000|0.06||||||0.0|0.0|Y|8529CD484A45060AE0404F8189D81C0B|1.0|0.0||
3133XLTH6|Federal Home Loan Bank 5.78% Due 8/7/2014|FHLB14|025||20090807000000|100.0|0.0|20090807000000|FTI|100.0|20090807000000|0.0||IF07|20090807000000|0.0578||||||0.0|0.0|Y|8529CD484A46060AE0404F8189D81C0B|1.0|0.0||
3136F7X77|Federal Natl Mtg Assn 6.00% due 8/28/2013|FNMA13|025||20071128000000|100.0|0.0|20071128000000|FTI|100.0|20071128000000|0.0||IF28|20080228000000|0.06||||||0.0|0.0|Y|8529CD484A47060AE0404F8189D81C0B|1.0|0.0||
32054R108|First Indiana Corporation|ZZZZ|400|||0.0|0.0|20080103000000|FTI|0.0|20080103000000|0.0|20050224000000||20060315000000|0.8|20060120000000||20060306000000|20060302000000|20060315000000|0.2||Y|8529CD484A48060AE0404F8189D81C0B|1.0|0.0||
368710406|Genentech Inc|DNA Z|400|||0.0|0.0|20090327000000|FTI|94.97|20090326000000|0.0|20040113000000|||0.0||||||0.0||Y|8529CD484A11060AE0404F8189D81C0B|1.0|0.0||
369604103|General Electric Company|GE|400|||15.45|0.0|20100106000000|FTI|15.53|20100105000000|0.0|20050906000000||20100125000000|0.4|20091217000000||20091228000000|20091223000000|20100125000000|0.1||Y|8529CD484A12060AE0404F8189D81C0B|1.0|0.0||
36966RV94|General Electric Capital Corp 4.00% due 2/15/12||200||20120215000000|102.835|440000.0|20100106000000|FTI|102.811|20100105000000|440000.0||IF15|20100215000000|0.04||||||0.0|0.0|Y|8529CD484A49060AE0404F8189D81C0B|1.0|0.0||
374276103|Getty Images Inc.|GYI Z|400|||0.0|0.0|20080703000000|FTI|0.0|20080703000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A13060AE0404F8189D81C0B|1.0|0.0||
375558103|Gilead Sciences|GILD|400|||44.76|0.0|20100106000000|FTI|43.26|20100105000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A14060AE0404F8189D81C0B|1.0|0.0||
37733W105|Glaxo Smithkline Plc|GSK|400|||46.97|0.0|20080829000000|FTI|47.09|20080828000000|0.0||||0.0||||||0.0||Y|8529CD484A4A060AE0404F8189D81C0B|1.0|0.0||
38141G104|Goldman Sachs|GS|400|||174.26|5000.0|20100106000000|FTI|176.14|20100105000000|989750.0|||20091230000000|1.4|20091017000000||20091202000000|20091130000000|20091230000000|0.35|0.0|Y|8529CD484A4B060AE0404F8189D81C0B|1.0|0.0||
38259P508|Google Incorporated|GOOG|400|||608.26|0.0|20100106000000|FTI|623.99|20100105000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A4C060AE0404F8189D81C0B|1.0|0.0||
40414L109|HCP Incorporated|HCP|400|||29.81|20000.0|20100106000000|FTI|29.99|20100105000000|291471.89|||20091124000000|1.84|20091031000000||20091109000000|20091105000000|20091124000000|0.46|0.0|Y|8529CD484A4D060AE0404F8189D81C0B|1.0|0.0||
421915109|Health Care Ppty Invs Inccom|HCP|400|||31.2|0.0|20070911000000|FTI|29.82|20070910000000|0.0|20060228000000||20070821000000|1.78|20070728000000||20070806000000|20070802000000|20070821000000|0.445||Y|8529CD484A15060AE0404F8189D81C0B|1.0|0.0||
432848109|Hilton Hotels Corporation|ZZZZ|400|||0.0|0.0|20071025000000|FTI|0.0|20071025000000|0.0|20010910000000||20070921000000|0.16|20070727000000||20070907000000|20070905000000|20070921000000|0.04||Y|8529CD484A16060AE0404F8189D81C0B|1.0|0.0||
436440101|Hologic Inc.|HOLX|400|||15.01|30000.0|20100106000000|FTI|14.94|20100105000000|845332.55||||0.0||||||0.0|0.0|Y|8529CD484A17060AE0404F8189D81C0B|1.0|0.0||
437076102|Home Depot Inc.|HD|400|||28.78|20000.0|20100106000000|FTI|28.88|20100105000000|735296.5|20050215000000||20091217000000|0.9|20091121000000||20091203000000|20091201000000|20091217000000|0.225||Y|8529CD484A18060AE0404F8189D81C0B|1.0|0.0||
44181EBS6|Household Fin Dtd 07/06/01mtn 06.125 08||200|||100.0|0.0|20080715000000|FTI|100.0|20080715000000|0.0|20010717000000|IJ15|20080715000000|0.06125||||||0.0||Y|8529CD484A4E060AE0404F8189D81C0B|1.0|0.0||
449934108|IMS Health Inc.|RX|400|||21.32|30000.0|20100106000000|FTI|21.25|20100105000000|621243.5|||20091204000000|0.12|20091022000000||20091106000000|20091104000000|20091204000000|0.03|0.0|Y|8529CD484A19060AE0404F8189D81C0B|1.0|0.0||
459902102|International Game Technolog|IGT|400|||18.86|30000.0|20100106000000|FTI|19.19|20100105000000|788174.01|20050415000000||20100115000000|0.24|20091216000000||20091229000000|20091224000000|20100115000000|0.06||Y|8529CD484A1A060AE0404F8189D81C0B|1.0|0.0||
46120E602|Intuitive Surgical New|ISRG|400|||311.84|4000.0|20100106000000|FTI|307.38|20100105000000|463328.5||||0.0||||||0.0|0.0|Y|8529CD484A4F060AE0404F8189D81C0B|1.0|0.0||
464287176|Ishares Trus Tips Bd Fd|TIP|498|||104.24|29000.0|20100106000000|FTI|104.51|20100105000000|3067039.5|20051025000000||20090102000000|0.0|20081230000000|||||0.0||Y|8529CD484A1B060AE0404F8189D81C0B|1.0|0.0||
464287440|Ishares Tr7-10 Yr Trs Bd|IEF|498|||88.85|10000.0|20100106000000|FTI|89.21|20100105000000|869305.66|20051025000000||20091106000000|2.03594|20091103000000||20091104000000|20091102000000|20091106000000|0.509||Y|8529CD484A1C060AE0404F8189D81C0B|1.0|0.0||
464287457|Ishares Tr1-3 Yr Trs Bd|SHY|498|||83.18|15000.0|20100106000000|FTI|83.17|20100105000000|1235949.1|20051025000000||20091207000000|1.98129|20091202000000||20091203000000|20091201000000|20091207000000|0.4953||Y|8529CD484A1D060AE0404F8189D81C0B|1.0|0.0||
464287465|Ishares MSCI EAFE|EFA|495|||42.96|0.0|20081226000000|FTI|42.76|20081224000000|0.0|||20080630000000|5.23328|20080626000000||20080627000000|20080625000000|20080630000000|1.3083|0.0|Y|8529CD484A1E060AE0404F8189D81C0B|1.0|0.0||
464287648|IShares Russell 2000 Growth Index Fund|IWO|495|||52.78|0.0|20090430000000|FTI|42.83|20090226000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A1F060AE0404F8189D81C0B|1.0|0.0||
464287655|Ishares Trrussell 2000|IWM|498|||79.75|0.0|20070904000000|FTI|78.74|20070831000000|0.0|20050822000000||20070705000000|0.63598|20070629000000||20070702000000|20070628000000|20070705000000|0.159||Y|8529CD484A20060AE0404F8189D81C0B|1.0|0.0||
46625H100|J P Morgan Chase & Company|JPM|400|||43.92|0.0|20100106000000|FTI|43.68|20100105000000|0.0|20051018000000||20090131000000|1.52|20081211000000||20090106000000|20090102000000|20090131000000|0.38||Y|8529CD484A50060AE0404F8189D81C0B|1.0|0.0||
532457108|Lilly Eli & Company|LLY|400|||35.45|15000.0|20100106000000|FTI|35.19|20100105000000|895200.0|20051031000000||20100310000000|1.96|20091216000000||20100212000000|20100210000000|20100310000000|0.49||Y|8529CD484A21060AE0404F8189D81C0B|1.0|0.0||
534187109|Lincoln National Corporation|LNC|400|||7.03|0.0|20081124000000|FTI|6.36|20081121000000|0.0|20050225000000||20081101000000|1.66|20080808000000||20081010000000|20081008000000|20081101000000|0.415||Y|8529CD484A22060AE0404F8189D81C0B|1.0|0.0||
594918104|Microsoft Corporation|MSFT|400|||30.77|40000.0|20100106000000|FTI|30.96|20100105000000|1034795.53|20050622000000||20091210000000|0.52|20090922000000||20091119000000|20091117000000|20091210000000|0.13||Y|8529CD484A23060AE0404F8189D81C0B|1.0|0.0||
610313108|Monroe Bancorp Inc.|MROE|400|||5.82|284072.0|20100106000000|FTI|6.06|20100105000000|1073159.9|20050114000000||20091231000000|0.04|20091202000000||20091217000000|20091215000000|20091231000000|0.01||Y|8529CD484A24060AE0404F8189D81C0B|1.0|0.0||
61166W101|Monsanto Co New|MON|400|||86.27|12000.0|20100106000000|FTI|85.27|20100105000000|874758.6|20051004000000||20100129000000|1.06|20091208000000||20100108000000|20100106000000|20100129000000|0.265||Y|8529CD484A51060AE0404F8189D81C0B|1.0|0.0||
620076109|Motorola Inccom|MOT|400|||3.55|0.0|20081124000000|FTI|3.28|20081121000000|0.0|20050125000000||20090115000000|0.2|20081113000000||20081215000000|20081211000000|20090115000000|0.05||Y|8529CD484A25060AE0404F8189D81C0B|1.0|0.0||
62886E108|NCR Corporation|NCR|400|||11.56|10000.0|20100106000000|FTI|11.32|20100105000000|231439.14||||0.0||||||0.0||Y|8529CD484A33060AE0404F8189D81C0B|1.0|0.0||
63910B102|Nautilus Inc.|NLS|400|||5.12|0.0|20071127000000|FTI|4.94|20071126000000|0.0|||20070910000000|0.4|20070809000000||20070820000000|20070816000000|20070910000000|0.1|0.0|Y|8529CD484A52060AE0404F8189D81C0B|1.0|0.0||
650094CD5|New York Tel Co Dtd 01/21/1998 6.125% Due 01/15/2010|VZ  10|200|||99.8|400000.0|20100106000000|FTI|99.8|20100105000000|395848.0|19980520000000|IJ15|20100115000000|0.06125||||||0.0||Y|8529CD484A53060AE0404F8189D81C0B|1.0|0.0||
65473P105|Nisource Inccom|NI|400|||16.11|0.0|20080915000000|FTI|16.61|20080912000000|0.0|20050127000000||20071120000000|0.92|20070830000000||20071031000000|20071029000000|20071120000000|0.23||Y|8529CD484A54060AE0404F8189D81C0B|1.0|0.0||
713448108|Pepsico Inc.|PEP|400|||61.36|14000.0|20100106000000|FTI|61.98|20100105000000|348226.46|20050415000000||20100104000000|1.8|20091114000000||20091204000000|20091202000000|20100104000000|0.45||Y|8529CD484A26060AE0404F8189D81C0B|1.0|0.0||
717081AR4|Pfizer Inc. 4.50% due 2/15/14|PFE 14|200||20140215000000|105.5|380000.0|20100513000000|FTI|105.5|20100513000000|393345.6||IF15|20100215000000|0.045||||||0.0|0.0|Y|8529CD484A55060AE0404F8189D81C0B|1.0|0.0||
71713UAL6|Pharmacia Corp Dtd 12/18/898.875% Due 12/15/2009||200|||100.0|100000.0|20091215000000|FTI|100.0|20091215000000|118937.5|20001129000000|IU15|20091215000000|0.08875||||||0.0||Y|8529CD484A56060AE0404F8189D81C0B|1.0|0.0||
73935X740|Powershares Zacks Micro Cap Portfolio|PZI|495|||9.98|35000.0|20100106000000|FTI|10.01|20100105000000|452276.0|||20091231000000|0.06588|20091219000000||20091222000000|20091218000000|20091231000000|0.0165|0.0|Y|8529CD484A57060AE0404F8189D81C0B|1.0|0.0||
742718109|Procter & Gamble Company|PG|400|||60.85|12000.0|20100106000000|FTI|61.14|20100105000000|364800.0|20051025000000||20091116000000|1.76|20091016000000||20091023000000|20091021000000|20091116000000|0.44||Y|8529CD484A27060AE0404F8189D81C0B|1.0|0.0||
755111119|Raytheon Company Warrants 16-JUN-11|RTN X|400|||17.02|0.0|20090116000000|FTI|16.02|20090115000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A28060AE0404F8189D81C0B|1.0|0.0||
755111507|Raytheon Company|RTN|400|||50.73|10000.0|20100106000000|FTI|51.45|20100105000000|391200.0|20031231000000||20091105000000|1.24|20090925000000||20091006000000|20091002000000|20091105000000|0.31||Y|8529CD484A29060AE0404F8189D81C0B|1.0|0.0||
78112T107|Rubicon Technology Inc.|RBCN|400|||19.32|0.0|20100106000000|FTI|19.71|20100105000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A58060AE0404F8189D81C0B|1.0|0.0||
803111103|Sara Lee Corporation|SLE|400|||14.42|0.0|20080204000000|FTI|13.93|20080122000000|0.0|20050610000000||20070406000000|0.4|20070126000000||20070301000000|20070227000000|20070406000000|0.1||Y|8529CD484A2A060AE0404F8189D81C0B|1.0|0.0||
80311TCC4|Sara Lee Corporation Medium Termnotes 6.00% Due 1/15/2008||200||20080115000000|100.0|0.0|20080115000000|FTI|100.0|20080115000000|0.0|19980424000000|IM15|20080115000000|0.06||||||0.0||Y|8529CD484A59060AE0404F8189D81C0B|1.0|0.0||
811804988|Seagate Technology||400|||0.0|0.0|19010101000000|ssbruce|0.0||0.0|20051025000000|||0.0||||||0.0||Y|8529CD484A2B060AE0404F8189D81C0B|1.0|0.0||
812350106|Sears Holdings Corporation|SHLD|400|||49.21|0.0|20090116000000|FTI|47.23|20090115000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A2C060AE0404F8189D81C0B|1.0|0.0||
842587107|Southern Cocom|SO|400|||34.73|0.0|20090120000000|FTI|35.03|20090116000000|0.0|||20090306000000|1.68|20090117000000||20090202000000|20090129000000|20090306000000|0.42||Y|8529CD484A2D060AE0404F8189D81C0B|1.0|0.0||
8447HBAC6|Southtrust Bk Aldtd 12/12/976.565% Due 12/15/2027||200||20271215000000|103.485|400000.0|20100106000000|FTI|104.368|20100105000000|393000.0|20010228000000|IU15|20100615000000|0.06565||||||0.0||Y|8529CD484A5A060AE0404F8189D81C0B|1.0|0.0||
88076W103|Teradata Corporation|TDC|400|||31.19|20000.0|20091230000000|FTI|31.05|20091229000000|469206.86||||0.0||||||0.0|0.0|Y|8529CD484A5B060AE0404F8189D81C0B|1.0|0.0||
911312106|United Parcel Service Inc|UPS|400|||57.85|15000.0|20100106000000|FTI|58.28|20100105000000|1011059.5|20050415000000||20090909000000|1.8|20090815000000||20090824000000|20090820000000|20090909000000|0.45||Y|8529CD484A2E060AE0404F8189D81C0B|1.0|0.0||
9128273E0|U S Treas Notes Dtd 08/15/976.125% Due 08/15/2007|USN 07|025||20070815000000|100.0|0.0|20070815000000|FTI|100.0|20070815000000|0.0|19971024000000|IF15|20070815000000|0.06125||||||0.0||Y|8529CD484A06060AE0404F8189D81C0B|1.0|0.0||
931422109|Walgreen Company|WAG|400|||36.72|15000.0|20100106000000|FTI|37.0|20100105000000|522271.5|20050228000000||20091212000000|0.55|20091017000000||20091116000000|20091112000000|20091212000000|0.1375||Y|8529CD484A2F060AE0404F8189D81C0B|1.0|0.0||
934488AL1|Warner Lambert Co6.000% Due 01/15/2008||200||20080115000000|100.0|0.0|20080115000000|FTI|100.0|20080115000000|0.0|20010910000000|IJ15|20080115000000|0.06||||||0.0||Y|8529CD484A5C060AE0404F8189D81C0B|1.0|0.0||
94106L109|Waste Management Inc.|WM|400|||34.0|20000.0|20100106000000|FTI|34.01|20100105000000|601388.0|||20091218000000|1.16|20091112000000||20091202000000|20091130000000|20091218000000|0.29||Y|8529CD484A5D060AE0404F8189D81C0B|1.0|0.0||
94973V107|Wellpoint Inc|WLP|400|||61.38|15000.0|20100106000000|FTI|60.4|20100105000000|585345.0|20050531000000|||0.0||||||0.0||Y|8529CD484A5E060AE0404F8189D81C0B|1.0|0.0||
982526105|Wrigley Wm Jr Co|WWY|400|||79.52|0.0|20081001000000|FTI|79.4|20080930000000|0.0|20040106000000|||0.94|||20050114000000|19010101000000|20050201000000|0.235||Y|8529CD484A30060AE0404F8189D81C0B|1.0|0.0||
984332106|Yahoo Incorporated|YHOO|400|||28.17|0.0|20080415000000|FTI|27.8|20080414000000|0.0||||0.0||||||0.0||Y|8529CD484A31060AE0404F8189D81C0B|1.0|0.0||
99ADVAN10|Faculty & Staff Advances||936|||1.0|0.0|19010101000000|CONVERSION|0.0||0.0|20050912000000|||0.0||||||0.0||Y|8529CD484A61060AE0404F8189D81C0B|1.0|0.0||
99ALPHTL4|Bgi Alpha Tilts Fund B||495|||0.7166|7.987124244E7|20091031000000|khopkins|0.7043|20090831000000|7.987124244E7|20050608000000|||0.0||||||0.0||Y|8529CD484A62060AE0404F8189D81C0B|1.0|0.0||
99ARTIS28|Artisan Funds||495|||1.1684|3.212913248E7|20091031000000|khopkins|1.2077|20090930000000|3.212913247E7|20050608000000|||0.0||||||0.0||Y|8529CD484A66060AE0404F8189D81C0B|1.0|0.0||
99BERNST8|Bernstein Investment Research||495|||1.8792|4.1E7|20091031000000|khopkins|1.8843|20090930000000|4.1E7|20050615000000|||0.0||||||0.0||Y|8529CD484A69060AE0404F8189D81C0B|1.0|0.0||
99BGI0014|Bgi - Institutional Funds||495|||0.0522|3.423344471E7|20091031000000|khopkins|0.0532|20090930000000|3.423345037E7|20051031000000|||0.0||||||0.0||Y|8529CD484A6A060AE0404F8189D81C0B|1.0|0.0||
99BTIP011|Bond Trust Investment Pool||300|||9.9269|0.0|20091031000000|PFVD|9.9406|20090930000000|0.0|20051011000000|||0.2448|20091104000000|||||0.0||Y|8529CD484B0B060AE0404F8189D81C0B|1.0|0.0||
99CHAMP14|Champlain Investment Partners -  Accrued Income||922|||1.0|16264.0|20090227000000|khopkins|0.0||16264.0||||0.0||||||0.0|0.0|Y|8529CD484A73060AE0404F8189D81C0B|1.0|0.0||
99CHAMP22|Champlain Investment Partners||400|||1.0|3.12107546E7|20090227000000|khopkins|0.0||3.12107546E7||||0.0||||||0.0|0.0|Y|8529CD484A74060AE0404F8189D81C0B|1.0|0.0||
99CHAMPL0|Champlain Investment Partners - Cash and Equivalents||702|||1.0|2732685.08|20090227000000|khopkins|0.0||2732685.08||||0.0||||||0.0|0.0|Y|8529CD484A75060AE0404F8189D81C0B|1.0|0.0||
99CLIFTN0|Clifton Group||702|||0.2932|1.4017797E7|20091031000000|khopkins|0.3368|20090930000000|1.4017797E7|20040331000000|||0.0||||||0.0||Y|8529CD484A77060AE0404F8189D81C0B|1.0|0.0||
99COMFND7|Common Fund - Institutional Funds||495|||0.6543|0.0|20090131000000|khopkins|0.7072|20081130000000|0.0|20051024000000|||0.0||||||0.0||Y|8529CD484A7E060AE0404F8189D81C0B|1.0|0.0||
99CRM0014|Crm - Stocks||495|||0.7717|4.249434559E7|20081130000000|khopkins|1.0798|20080831000000|4.249434559E7|20051026000000|||0.0||||||0.0||Y|8529CD484A80060AE0404F8189D81C0B|1.0|0.0||
99CRM0022|Crm - Cash & Equivalents||702|||1.0|2879503.23|20081130000000|khopkins|1.71722|20071031000000|2879503.23|20051026000000|||0.0||||||0.0||Y|8529CD484A81060AE0404F8189D81C0B|1.0|0.0||
99CRM0030|Crm - Accrued Income||922|||1.0|14860.0|20081130000000|khopkins|0.42629|20071031000000|14860.0|20051026000000|||0.0||||||0.0||Y|8529CD484A82060AE0404F8189D81C0B|1.0|0.0||
99CRUSI31|Credit Suisse - Accrued Income||922|||0.0|0.0|20080630000000|khopkins|1.01791|20071031000000|0.0|20051026000000|||0.0||||||0.0||Y|8529CD484A83060AE0404F8189D81C0B|1.0|0.0||
99CSVLIF6|Cash Surrender Value-life Insurance||910|||1.0|4865.42|19010101000000|CONVERSION|0.0||4865.42|19960425000000|||0.0||||||0.0||Y|8529CD484A85060AE0404F8189D81C0B|1.0|0.0||
99DFAEME0|DFA Emerging Markets Value Strategy Fund||495|||0.8586|1.0E7|20091031000000|khopkins|0.8794|20090930000000|1.0E7||||0.0||||||0.0|0.0|Y|8529CD484A87060AE0404F8189D81C0B|1.0|0.0||
99DIMFND9|Dimensional Fund Advisors||495|||1.2061|5.8E7|20091031000000|khopkins|1.2514|20090930000000|5.8E7|20050608000000|||0.0||||||0.0||Y|8529CD484A88060AE0404F8189D81C0B|1.0|0.0||
99ETIP018|Equity Trust Investment Pool||310|||11.4398|0.0|20091031000000|PFVD|11.7043|20090930000000|0.0|20051011000000|||0.1176|20091104000000|||||0.0||Y|8529CD484B0C060AE0404F8189D81C0B|1.0|0.0||
99ITRCIF3|Interest Receivable - Interfund||926|||1.0|5244.59|20060131000000|khopkins|0.0||5244.59||||0.0||||||0.0|0.0|Y|8529CD484AA1060AE0404F8189D81C0B|1.0|0.0||
