kemid|bene_org_seq|bene_org_cd|bene_pct|row_actv_ind|ver_nbr|obj_id|bene_org_strt_dt|bene_org_chg_dt|bene_chrt_cd|
037G003785|1.0|OOT|1.0|Y|1.0|8529CD484C88060AE0404F8189D81C0B|20051101000000||UA|
037G003BD9|1.0|OOT|1.0|Y|1.0|8529CD484C89060AE0404F8189D81C0B|20051101000000||UA|
037G030812|1.0|OOT|1.0|Y|1.0|8529CD484C8A060AE0404F8189D81C0B|20081201000000||UA|
037H004261|1.0|HPER|1.0|Y|1.0|8529CD484C8B060AE0404F8189D81C0B|20051101000000||BL|
037I002512|1.0|MUS|1.0|Y|1.0|8529CD484C8C060AE0404F8189D81C0B|20051101000000||BL|
037K008284|1.0|LAW|1.0|Y|1.0|8529CD484C8D060AE0404F8189D81C0B|20051101000000||IN|
037L006493|1.0|LAWS|1.0|Y|1.0|8529CD484C8E060AE0404F8189D81C0B|20051101000000||BL|
037L006709|1.0|LAWS|1.0|Y|1.0|8529CD484C8F060AE0404F8189D81C0B|20060804000000||BL|
037MDER022|1.0|DERM|1.0|Y|1.0|8529CD484C90060AE0404F8189D81C0B|20051101000000||IN|
037MDSL103|1.0|MED|1.0|Y|1.0|8529CD484C91060AE0404F8189D81C0B|20051101000000||IN|
037MMED197|1.0|DMED|1.0|Y|1.0|8529CD484C92060AE0404F8189D81C0B|20051101000000||IN|
037MPHC132|1.0|PSYC|1.0|Y|1.0|8529CD484C93060AE0404F8189D81C0B|20060427000000||IN|
037O009148|1.0|OPT|1.0|Y|1.0|8529CD484C94060AE0404F8189D81C0B|20051101000000||BL|
037P003108|1.0|ENGT|1.0|Y|1.0|8529CD484C95060AE0404F8189D81C0B|20051101000000||IN|
037P004148|1.0|HERR|1.0|Y|1.0|8529CD484C96060AE0404F8189D81C0B|20051101000000||IN|
037P011291|1.0|LART|1.0|Y|1.0|8529CD484C97060AE0404F8189D81C0B|20051101000000||IN|
037RQ04222|1.0|GEOS|1.0|Y|1.0|8529CD484C98060AE0404F8189D81C0B|20051101000000||NW|
037RT04333|1.0|SAID|1.0|Y|1.0|8529CD484C99060AE0404F8189D81C0B|20051101000000||KO|
037S012056|1.0|SPEA|1.0|Y|1.0|8529CD484C9A060AE0404F8189D81C0B|20051101000000||BL|
037SC00501|1.0|SAID|1.0|Y|1.0|8529CD484C9B060AE0404F8189D81C0B|20051101000000||BL|
037V009140|1.0|LCL|1.0|Y|1.0|8529CD484C9C060AE0404F8189D81C0B|20051101000000||BL|
037V010080|1.0|SLIS|1.0|Y|1.0|8529CD484C9D060AE0404F8189D81C0B|20051101000000||BL|
037WHMM024|1.0|MMUS|1.0|Y|1.0|8529CD484C9E060AE0404F8189D81C0B|20051101000000||BL|
037X002044|1.0|LLIB|1.0|Y|1.0|8529CD484C9F060AE0404F8189D81C0B|20051101000000||BL|
038A017011|1.0|ATHL|1.0|Y|1.0|8529CD484CA0060AE0404F8189D81C0B|20051101000000||BL|
038AS00057|1.0|ARSC|1.0|Y|1.0|8529CD484CA1060AE0404F8189D81C0B|20051101000000||BL|
038AS06237|1.0|CHEM|1.0|Y|1.0|8529CD484CA2060AE0404F8189D81C0B|20051101000000||BL|
038AS17028|1.0|GEOL|1.0|Y|1.0|8529CD484CA3060AE0404F8189D81C0B|20051101000000||BL|
038AS53023|1.0|THTR|1.0|Y|1.0|8529CD484CA4060AE0404F8189D81C0B|20051101000000||BL|
038B011179|1.0|BUS|1.0|Y|1.0|8529CD484CA5060AE0404F8189D81C0B|20051101000000||BL|
038CC00118|1.0|INTP|1.0|Y|1.0|8529CD484CA6060AE0404F8189D81C0B|20051101000000||BL|
038D008041|1.0|DENT|1.0|Y|1.0|8529CD484CA7060AE0404F8189D81C0B|20051101000000||IN|
038E009022|1.0|EDUC|1.0|Y|1.0|8529CD484CA8060AE0404F8189D81C0B|20051101000000||BL|
038F002075|1.0|AMUS|1.0|Y|1.0|8529CD484CA9060AE0404F8189D81C0B|20051101000000||BL|
038G003452|1.0|OOT|1.0|Y|1.0|8529CD484CAA060AE0404F8189D81C0B|20051101000000||UA|
038IU09022|1.0|WSCH|1.0|Y|1.0|8529CD484CAB060AE0404F8189D81C0B|20051101000000||BL|
038K008027|1.0|LAW|1.0|Y|1.0|8529CD484CAC060AE0404F8189D81C0B|20051101000000||IN|
038L006228|1.0|LAWS|1.0|Y|1.0|8529CD484CAD060AE0404F8189D81C0B|20051101000000||BL|
038MCCC134|1.0|CANC|1.0|Y|1.0|8529CD484CAE060AE0404F8189D81C0B|20051101000000||IN|
038MDSL325|1.0|MED|1.0|Y|1.0|8529CD484CAF060AE0404F8189D81C0B|20070124000000||IN|
038MPHC072|1.0|PSYC|1.0|Y|1.0|8529CD484CB0060AE0404F8189D81C0B|20080124000000||IN|
038MSCI011|1.0|MSCI|1.0|Y|1.0|8529CD484CB1060AE0404F8189D81C0B|20051101000000||IN|
038N008222|1.0|NURS|1.0|Y|1.0|8529CD484CB2060AE0404F8189D81C0B|20051101000000||IN|
038P003213|1.0|ENGT|1.0|Y|1.0|8529CD484CB3060AE0404F8189D81C0B|20051101000000||IN|
038P011463|1.0|LART|1.0|Y|1.0|8529CD484CB4060AE0404F8189D81C0B|20060731000000||IN|
038RPS1012|1.0|HALL|1.0|Y|1.0|8529CD484CB5060AE0404F8189D81C0B|20051101000000||BA|
038RQ04162|1.0|SAID|1.0|Y|1.0|8529CD484CB6060AE0404F8189D81C0B|20051101000000||NW|
038RR04087|1.0|FAID|1.0|Y|1.0|8529CD484CB7060AE0404F8189D81C0B|20051101000000||SB|
038RT04091|1.0|CHOF|1.0|Y|1.0|8529CD484CB8060AE0404F8189D81C0B|20051101000000||KO|
038RV04351|1.0|BUS|1.0|Y|1.0|8529CD484CB9060AE0404F8189D81C0B|20060809000000||SE|
038SC01010|1.0|SAID|1.0|Y|1.0|8529CD484CBA060AE0404F8189D81C0B|20051101000000||IN|
046G007720|1.0|OOT|1.0|Y|1.0|8529CD484CBB060AE0404F8189D81C0B|20051101000000||UA|
046G007CD0|1.0|OOT|1.0|Y|1.0|8529CD484CBC060AE0404F8189D81C0B|20060223000000||UA|
099PLTF013|1.0|TREA|1.0|Y|1.0|8529CD484CBD060AE0404F8189D81C0B|20051101000000||UA|
099PLTF021|1.0|TREA|1.0|Y|1.0|8529CD484CBE060AE0404F8189D81C0B|20051101000000||UA|
099PLTF997|1.0|TREA|1.0|Y|1.0|8529CD484CBF060AE0404F8189D81C0B|20070112000000||UA|
099PMKT010|1.0|TREA|1.0|Y|1.0|8529CD484CC4060AE0404F8189D81C0B|20051101000000||UA|
099PSTF018|1.0|TREA|1.0|Y|1.0|8529CD484CC2060AE0404F8189D81C0B|20051101000000||UA|
099PSTF034|1.0|TREA|1.0|Y|1.0|8529CD484CC3060AE0404F8189D81C0B|20051101000000||UA|
909BTIP011|1.0|TREA|1.0|Y|1.0|8529CD484CC0060AE0404F8189D81C0B|20051101000000||UA|
909ETIP018|1.0|TREA|1.0|Y|1.0|8529CD484CC1060AE0404F8189D81C0B|20051101000000||UA|
