kim_typ_id|obj_id|ver_nbr|nm|srvc_nm|actv_ind|nmspc_cd|
28|28|1.0|Organization: Optionally Hierarchical|{http://kfs.kuali.org/kfs/v5_0}organizationOptionalHierarchyQualifierRoleTypeService|Y|KFS-SYS|
29|29|1.0|Organization: Always Hierarchical & Document Type|{http://kfs.kuali.org/kfs/v5_0}organizationHierarchyReviewRoleTypeService|Y|KFS-SYS|
3|5ADF18B6D4AC7954E0404F8189D85002|1.0|Document Type (Permission)|documentTypePermissionTypeService|Y|KR-SYS|
30|30|1.0|Organization: Always Hierarchical, Document Type & Accounting|{http://kfs.kuali.org/kfs/v5_0}accountingOrganizationHierarchyReviewRoleTypeService|Y|KFS-SYS|
31|31|1.0|Sub-Fund & Document Type|{http://kfs.kuali.org/kfs/v5_0}subFundReviewRoleTypeService|Y|KFS-COA|
32|32|1.0|Customer|{http://kfs.kuali.org/kfs/v5_0}customerRoleTypeService|Y|KFS-PDP|
33|33|1.0|Commodity & Document Type|{http://kfs.kuali.org/kfs/v5_0}commodityReviewRoleTypeService|Y|KFS-VND|
34|34|1.0|Contract Manager|{http://kfs.kuali.org/kfs/v5_0}contractManagerRoleTypeService|Y|KFS-VND|
35|35|1.0|Sensitive Data|{http://kfs.kuali.org/kfs/v5_0}sensitiveDataRoleTypeService|Y|KFS-PURAP|
36|36|1.0|Financial System User|{http://kfs.kuali.org/kfs/v5_0}financialSystemUserRoleTypeService|Y|KFS-SYS|
37|37|1.0|Vendor Type|{http://kfs.kuali.org/kfs/v5_0}vendorTypeRoleTypeService|Y|KFS-VND|
38|38|1.0|Derived Role: Accounts Receivable Organization|{http://kfs.kuali.org/kfs/v5_0}accountsReceivableOrganizationDerivedRoleTypeService|Y|KFS-AR|
39|39|1.0|Derived Role: Account|{http://kfs.kuali.org/kfs/v5_0}accountDerivedRoleTypeService|Y|KFS-COA|
4|5ADF18B6D4B57954E0404F8189D85002|1.0|Action Request Type|actionRequestTypePermissionTypeService|Y|KR-WKFLW|
40|40|1.0|Derived Role: Chart|{http://kfs.kuali.org/kfs/v5_0}chartDerivedRoleTypeService|Y|KFS-COA|
41|41|1.0|Derived Role: Employee|{http://kfs.kuali.org/kfs/v5_0}employeeDerivedRoleTypeService|Y|KFS-SYS|
42|5ADF18B6D53B7954E0404F8189D85002|1.0|Derived Role: Action Request|actionRequestDerivedRoleTypeService|Y|KR-WKFLW|
43|5ADF18B6D53C7954E0404F8189D85002|1.0|Derived Role: Route Log|routeLogDerivedRoleTypeService|Y|KR-WKFLW|
45|5B6013B3AD131A9CE0404F8189D87094|1.0|Derived Role: Permission (Edit Document)|documentEditorRoleTypeService|Y|KR-NS|
46|46|1.0|Payment Method|{http://kfs.kuali.org/kfs/v5_0}paymentMethodRoleTypeService|Y|KFS-FP|
47|47|1.0|Sub-Account & Document Type|{http://kfs.kuali.org/kfs/v5_0}subAccountReviewRoleTypeService|Y|KFS-COA|
48|48|1.0|Derived Role: Purchasing Document|{http://kfs.kuali.org/kfs/v5_0}relatedDocumentDerivedRoleTypeService|Y|KFS-PURAP|
5|5ADF18B6D4B87954E0404F8189D85002|1.0|Ad Hoc Review|adhocReviewPermissionTypeService|Y|KR-WKFLW|
50|50|1.0|Derived Role: Asset Document|{http://kfs.kuali.org/kfs/v5_0}assetDerivedRoleTypeService|Y|KFS-CAM|
51|51|1.0|Financial System Document Type|{http://kfs.kuali.org/kfs/v5_0}financialSystemDocumentTypePermissionTypeService|Y|KFS-SYS|
52|5C997D14EAC2FE40E0404F8189D87DC5|1.0|Document Type, Routing Node & Field(s)|documentTypeAndNodeAndFieldsPermissionTypeService|Y|KR-SYS|
53|53|1.0|Derived Role: Budget Construction Document|{http://kfs.kuali.org/kfs/v5_0}budgetConstructionDocumentDerivedRoleTypeService|Y|KFS-BC|
54|60432A73A6A29F65E0404F8189D86AA4|1.0|Document Type (Responsibility)|documentTypeResponsibilityTypeService|Y|KR-KEW|
56|603B735FA6B9FE21E0404F8189D8083B|1.0|Document Type & Existing Records Only|documentTypeAndExistingRecordsOnlyPermissionTypeService|Y|KR-NS|
57|603B735FA6BDFE21E0404F8189D8083B|1.0|Component Section|componentSectionPermissionTypeService|Y|KR-NS|
58|58|1.0|Derived Role: Permission (Modify Batch Job)|{http://kfs.kuali.org/kfs/v5_0}batchJobModifierRoleTypeService|Y|KFS-SYS|
59|606763510FBB96D3E0404F8189D857A2|1.0|Document Type & Relationship to Note Author|documentTypeAndRelationshipToNoteAuthorPermissionTypeService|Y|KR-NS|
6|6|1.0|Account Organization Hierarchy|{http://kfs.kuali.org/kfs/v5_0}budgetConstructionAccountOrganizationHierarchyRoleTypeService|Y|KFS-BC|
60|606763510FBC96D3E0404F8189D857A2|1.0|Derived Role: Permission (Open Document)|documentOpenerRoleTypeService|Y|KR-NS|
61|61|1.0|Derived Role: Payment Request Hold / Cancel Initiator|{http://kfs.kuali.org/kfs/v5_0}paymentRequestHoldCancelInitiatorDerivedRoleTypeService|Y|KFS-PURAP|
62|62|1.0|Sensitive Document Indicator|{http://kfs.kuali.org/kfs/v5_0}potentiallySensitiveDocumentRoleTypeService|Y|KFS-PURAP|
64|64|1.0|Derived Role: Invoice Recurrence|{http://kfs.kuali.org/kfs/v5_0}invoiceRecurrenceDerivedRoleTypeService|Y|KFS-AR|
65|65|1.0|Derived Role: Cash Receipt Initiator|{http://kfs.kuali.org/kfs/v5_0}cashReceiptInitiatorDerivedRoleTypeService|Y|KFS-FP|
66|67F145466E8A9160E0404F8189D86771|1.0|Derived Role: Permission (Initiate Document)|documentInitiatorRoleTypeService|Y|KR-SYS|
67|67F145466E8F9160E0404F8189D86771|1.0|Namespace|namespacePermissionTypeService|Y|KR-NS|
68|B7DBFABEFD378CBFE0402E0AA9D757C9|1.0|View|viewPermissionTypeService|Y|KR-KRAD|
69|B7DBFABEFD388CBFE0402E0AA9D757C9|1.0|View Edit Mode|viewEditModePermissionTypeService|Y|KR-KRAD|
7|5ADF18B6D4C07954E0404F8189D85002|1.0|Document Type, Routing Node & Action Information|reviewResponsibilityTypeService|Y|KR-WKFLW|
70|B7DBFABEFD398CBFE0402E0AA9D757C9|1.0|View Field|viewFieldPermissionTypeService|Y|KR-KRAD|
71|B7DBFABEFD3A8CBFE0402E0AA9D757C9|1.0|View Group|viewGroupPermissionTypeService|Y|KR-KRAD|
72|B7DBFABEFD3B8CBFE0402E0AA9D757C9|1.0|View Widget|viewWidgetPermissionTypeService|Y|KR-KRAD|
73|B7DBFABEFD3C8CBFE0402E0AA9D757C9|1.0|View Action|viewActionPermissionTypeService|Y|KR-KRAD|
74|B7DBFABEFD3D8CBFE0402E0AA9D757C9|1.0|View Line Field|viewLineFieldPermissionTypeService|Y|KR-KRAD|
75|B7DBFABEFD3E8CBFE0402E0AA9D757C9|1.0|View Line Action|viewLineActionPermissionTypeService|Y|KR-KRAD|
76|BD82F716EFEEF706E0402E0AA9D70A27|1.0|Derived Role: Permission (Route Document)|documentRouterRoleTypeService|Y|KR-WKFLW|
8|5ADF18B6D4C67954E0404F8189D85002|1.0|Document Type & Routing Node or State|documentTypeAndNodeOrStatePermissionTypeService|Y|KR-SYS|
9|5ADF18B6D4CD7954E0404F8189D85002|1.0|Document Type & Attachment Type|documentTypeAndAttachmentTypePermissionTypeService|Y|KR-NS|
KFS68|KFS68|1.0|Organization Group|{http://kfs.kuali.org/kfs/v5_0}organizationGroupTypeService|Y|KFS-COA|
KFS69|KFS69|1.0|Derived Role: Accounts Payable Document Reviewer|{http://kfs.kuali.org/kfs/v5_0}accountsPayableDocumentDerivedRoleTypeService|Y|KFS-PURAP|
KFSCNTRB199-TYP1|KFSCNTRB199-TYP1|1.0|Namespace or File Path|{http://kfs.kuali.org/kfs/v5_0}namespaceOrFilePathPermissionTypeService|Y|KFS-SYS|
KFSMI4553-1|KFSMI4553-1|1.0|Exclude Single Actor Separation Of Duties|{http://kfs.kuali.org/kfs/v5_0}excludeSingleActorSeparationOfDutiesRoleTypeService|Y|KFS-SYS|
KFSMI6886-TYP|KFSMI6886-TYP|1.0|Payee ACH Account|{http://kfs.kuali.org/kfs/v5_0}payeeACHAccountRoleTypeService|Y|KFS-PDP|
KFSSEC1|KFSSEC1|1.0|Attribute Name & Document Type|{http://kfs.kuali.org/kfs/v5_0}securityAttributeDocTypePermissionTypeService|Y|KFS-SEC|
KFSSEC2|KFSSEC2|1.0|Attribute Name|{http://kfs.kuali.org/kfs/v5_0}securityAttributePermissionTypeService|Y|KFS-SEC|
KFSSEC3|KFSSEC3|1.0|Attribute Name & Namespace|{http://kfs.kuali.org/kfs/v5_0}securityAttributeNamespacePermissionTypeService|Y|KFS-SEC|
KFSSEC4|KFSSEC4|1.0|Constraint, Operator, & Value|{http://kfs.kuali.org/kfs/v5_0}securityAttributeRoleTypeService|Y|KFS-SEC|
KR1000|CBA9C0DFF5FFE80EE040F90A05B97BE4|1.0|Document Type, Route Node, and Route Status|documentTypeAndNodeAndRouteStatusPermissionTypeService|Y|KR-SYS|
