NMSPC_CD,PARM_DTL_TYP_CD,PARM_NM,PARM_TYP_CD,TXT,PARM_DESC_TXT,CONS_CD,APPL_NMSPC_CD,OBJ_ID
KFS-FP,CreditCardReceipt,OBJECT_TYPES,VALID,IC;ES,Object Types restricted from use on the Credit Card Receipt document,D,KFS,C3BE6F87-5601-46C9-9A35-5ED284CDAC44
KFS-FP,SalesTax,POSTAL_CODE_DIGITS_PASSED_TO_SALES_TAX_REGION_SERVICE,CONFG,5,"This determines the number of digits from the start that the Tax Service will use from the Postal Code to determine what Tax Regions to use For example, this is commonly set to 5 in the US, in order to ignore the dash and +4 digits in the ZIP+4 formatted postal codes This value can be set to blank to indicate to the system not to truncate the postal codes",A,KFS,2B56C5F5-F6BD-4ECB-A9CA-4231628CF199
KFS-GL,ScrubberStep,CAPITALIZATION_OFFSET_CODE,CONFG,,This overrides the Chart Fund Balance object code for Capitalization.,A,KFS,E9811296-77F2-4B0F-BE8D-BD516B3A4BDB
KFS-GL,ScrubberStep,LIABILITY_OFFSET_CODE,CONFG,,This overrides the Chart Fund Balance object code for Liability.,A,KFS,E8993960-41FD-4412-BA75-FFFB5B8E23AC
KFS-GL,ScrubberStep,PLANT_INDEBTEDNESS_OFFSET_CODE,CONFG,,This overrides the Chart Fund Balance object code for Plant Indebtedness.,A,KFS,3269D6BC-82BC-4859-8CFF-CAB740987CC0
KFS-LD,LaborScrubberStep,DEMERGE_DOCUMENT_TYPES,CONFG,BT;YEBT;ST;YEST,Document type(s) that will demerge (remove entire document from processing) all entries with the same document number when an error is detected on one entry with that document number. Document types not listed here will only have error entries removed from processing; no other records will be demerged.,A,KFS,CA94DFF2-3E8B-4D21-B461-85C83BCD901C
KFS-PURAP,Document,PDF_IMAGE_LOCATION_URL,CONFG,,The URL used by the pdf generation process to find the images managed by Purchasing.,A,KFS,3D8ACD1E-25DB-40E1-9BFB-F65E54F1239D
KFS-PURAP,Document,TRADE_IN_OBJECT_CODE_FOR_CAPITAL_ASSET,CONFG,7070,the object code to be used for the trade in item accounts if the object code subtype of the account is one of the given set of Capital Asset subtypes,A,KFS,65964C87-CDF2-4A99-B148-373D7CD950B2
KFS-PURAP,Document,TRADE_IN_OBJECT_CODE_FOR_CAPITAL_LEASE,CONFG,7099,the object code to be used for the trade in item accounts if the object code subtype of the account is Capital Lease,A,KFS,5A30D26F-E7D8-4F3B-BBFE-EEFB11BA8747
KFS-PURAP,ElectronicInvoiceReject,OVERRIDE_DOCUMENT_TITLE_IND,CONFG,N,"Indicator related default document titles. Set to ""N"" if accepting the Kuali default document title, related to Contract Manager Assignment, as listed in the Document Search results.",A,KFS,5928A41D-F497-45D4-8C51-44EB26365139
KFS-PURAP,ElectronicInvoiceReject,SUPPRESS_REJECT_REASON_CODES_ON_EIRT_APPROVAL,CONFG,AGUV,Specifies which types of EIRT reject reasons should be ignored when an EIRT document is Approved.,A,KFS,3F116DBE-0C28-4B36-9B7D-17016AE71946
KFS-SYS,AutoDisapproveDocumentsStep,YEAR_END_AUTO_DISAPPROVE_ANNOTATION,CONFG,This document has been automatically disapproved as part of year-end closing.  If these are valid  transactions they should be recreated using a year-end closing document.,The annotation that will be added to the route log when a document is auto disapproved.,A,KFS,C84B601F-ED91-4D1B-8EF8-878F1E92B817
KFS-SYS,AutoDisapproveDocumentsStep,YEAR_END_AUTO_DISAPPROVE_DOCUMENT_CREATE_DATE,CONFG,6/30/2010,The automatic disapproval job will disapprove enroute documents with a create date equal to or earlier than this date.,A,KFS,87459DB6-7B3C-4F56-A56E-45443011FB0C
KFS-SYS,AutoDisapproveDocumentsStep,YEAR_END_AUTO_DISAPPROVE_DOCUMENT_RUN_DATE,CONFG,6/30/2010,Controls the date on which the auto disapproval step should run.,A,KFS,7EECC656-9B4A-4D65-8DD6-463D51E8E77C
KFS-SYS,AutoDisapproveDocumentsStep,YEAR_END_AUTO_DISAPPROVE_DOCUMENT_TYPES,CONFG,AV;CR;ND;PCDO;DV;CCR;AD;CMD,The document type(s) that are not allowed to be automatically disapproved.,D,KFS,CEAD7525-147B-4C7D-8F41-9704474FFF17
KFS-SYS,AutoDisapproveDocumentsStep,YEAR_END_AUTO_DISAPPROVE_PARENT_DOCUMENT_TYPE,CONFG,FP,Documents that are children of this document type are eligible for automatic disapproval.,A,KFS,97D2E5F9-E3BC-4AD1-B3F7-12869BBE5E09
KFS-SYS,BatchUpload,BATCH_UPLOAD_HELP_URL,HELP,customerLoadInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm;procurementCardInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm;collectorFlatFileInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm;collectorXmlInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm;enterpriseFeederFileSetType=default.htm?turl=WordDocuments%2Fbatch.htm;laborEnterpriseFeederFileSetType=default.htm?turl=WordDocuments%2Fbatch.htm;assetBarcodeInventoryInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm;paymentInputFileType=default.htm?turl=WordDocuments%2Fbatch.htm,A Parameter to provide customizing the help URL for the Batch Upload help page,A,KFS,1289A446-DB90-4674-A6EF-A5F24FC183F7
KR-NS,All,SENSITIVE_DATA_PATTERNS_WARNING_IND,CONFG,N,If set to 'Y' when sensitive data is found the user will be prompted to continue the action or cancel. If this is set to 'N' the user will be presented with an error message and will not be allowed to continue with the action until the sensitive data is removed.,A,KFS,11F3AC22-ED47-481D-8EDB-4781C50E022E
KR-NS,All,STRING_TO_DATE_FORMATS,CONFG,yyyy-MM-dd;MM/dd/yy;MM/dd/yyyy;MM-dd-yy;MMddyy;MMMM dd;yyyy;MM/dd/yy HH:mm:ss;MM/dd/yyyy HH:mm:ss;MM-dd-yy HH:mm:ss;MMddyy HH:mm:ss;MMMM dd HH:mm:ss;yyyy HH:mm:ss;MM/dd/yyyy hh:mm a,"A semi-colon delimted list of strings representing date formats that the DateTimeService will use to parse dates when DateTimeServiceImpl.convertToSqlDate(String) or DateTimeServiceImpl.convertToDate(String) is called. Note that patterns will be applied in the order listed (and the first applicable one will be used). For a more technical description of how characters in the parameter value will be interpreted, please consult the javadocs for java.text.SimpleDateFormat. Any changes will be applied when the application is restarted.",A,KFS,F5C0CEE6-6F54-4C19-A8ED-7AB7B5CC0B86
KR-NS,Batch,ACTIVE_FILE_TYPES,CONFG,collectorInputFileType;procurementCardInputFileType;enterpriseFeederFileSetType;assetBarcodeInventoryInputFileType;customerLoadInputFileType,Batch file types that are active options for the file upload screen.,A,KFS,BD010673-1896-4005-9F04-BD2661A8EFE9
KR-NS,PurgePendingAttachmentsStep,MAX_AGE,CONFG,86400,"Pending attachments are attachments that do not yet have a permanent link with the associated Business Object (BO). These pending attachments are stored in the attachments.pending.directory (defined in the configuration service). If the BO is never persisted, then this attachment will become orphaned (i.e. not associated with any BO), but will remain in this directory. The PurgePendingAttachmentsStep batch step deletes these pending attachment files that are older than the value of this parameter. The unit of this value is seconds. Do not set this value too short, as this will cause problems attaching files to BOs.",A,KFS,D96A4AA2-8CDF-467F-B344-195DF76B3126
KR-NS,PurgeSessionDocumentsStep,NUMBER_OF_DAYS_SINCE_LAST_UPDATE,CONFG,1,"Determines the age of the session document records that the the step will operate on, e.g. if this param is set to 4, the rows with a last update timestamp older that 4 days prior to when the job is running will be deleted.",A,KFS,522C1A90-5F2A-405E-AE45-C0BFD3874855
KR-NS,ScheduleStep,CUTOFF_TIME,CONFG,02:00:00:AM,Controls when the daily batch schedule should terminate. The scheduler service implementation compares the start time of the schedule job from quartz with this time on day after the schedule job started running.,A,KFS,C8A63842-813E-4002-B948-9F232DAE618A
KR-NS,ScheduleStep,CUTOFF_TIME_NEXT_DAY_IND,CONFG,Y,"Controls whether when the system is comparing the schedule start day & time with the scheduleStep_CUTOFF_TIME parameter, it considers the specified time to apply to the day after the schedule starts.",A,KFS,F92FA020-DF89-4842-B355-B8A69CE0B21D
KR-NS,ScheduleStep,STATUS_CHECK_INTERVAL,CONFG,30000,Time in milliseconds that the scheduleStep should wait between iterations.,A,KFS,8986138F-36D4-466A-9E9F-9E6EC5A660B1
KR-WKFLW,All,KIM_PRIORITY_ON_DOC_TYP_PERMS_IND,CONFG,Y,Flag for enabling/disabling document type permission checks to use KIM Permissions as priority over Document Type policies.,A,KFS,30A404FB-5958-4344-822C-83834685A91E
