etran_cd|etran_cd_desc|etran_typ_cd|obj_id|ver_nbr|corpus_ind|row_actv_ind|
42160|Tax Exempt - Interest|I|8529CD484892060AE0404F8189D81C0B|1.0|N|Y|
42190|Mortgage Contracts - Interest|I|8529CD484893060AE0404F8189D81C0B|1.0|N|Y|
42200|Pooled Equity Dividends|I|8529CD484894060AE0404F8189D81C0B|1.0|N|Y|
42210|Equity TIP Dividends|I|8529CD484895060AE0404F8189D81C0B|1.0|N|Y|
42270|Pooled Long-Term Dividends|I|8529CD484896060AE0404F8189D81C0B|1.0|N|Y|
42300|Pooled Fixed Income Interest|I|8529CD484897060AE0404F8189D81C0B|1.0|N|Y|
42320|Bond TIP Interest|I|8529CD484898060AE0404F8189D81C0B|1.0|N|Y|
42415|Student Loans - Interest|I|8529CD484899060AE0404F8189D81C0B|1.0|N|Y|
45000|Rent Income|I|8529CD48489A060AE0404F8189D81C0B|1.0|N|Y|
45100|Interest Income - Interfund|I|8529CD48489B060AE0404F8189D81C0B|1.0|N|Y|
74000|Interest Expense|E|8529CD48489C060AE0404F8189D81C0B|1.0|N|Y|
74100|Interest Expense - Interfund related to IU|E|8529CD48489D060AE0404F8189D81C0B|1.0|N|Y|
75010|PEF - Distrib to Accounts|E|8529CD48489E060AE0404F8189D81C0B|1.0|N|Y|
75020|Equity TIP - Distribution to Accounts - ONLY FUND 99|E|8529CD48489F060AE0404F8189D81C0B|1.0|N|Y|
75720|PLTIF - Distribution to Accounts|E|8529CD4848A5060AE0404F8189D81C0B|1.0|N|Y|
76010|PFI - Distrib to Accounts|E|8529CD4848A0060AE0404F8189D81C0B|1.0|N|Y|
76020|Bond TIP - Distribution to Accounts|E|8529CD4848A1060AE0404F8189D81C0B|1.0|N|Y|
77000|Separately Held Management Fees|E|8529CD4848A3060AE0404F8189D81C0B|1.0|N|Y|
78100|Pooled Fund Dist. Gain/loss|E|8529CD4848A2060AE0404F8189D81C0B|1.0|N|Y|
