kemid|sec_id|regis_cd|hldg_lot_nbr|hldg_ip_ind|hldg_units|hldg_cost|hldg_annl_inc_est|hldg_fy_rem_est_inc|hldg_next_fy_est_inc|sec_unit_val|hldg_acqd_dt|hldg_prior_acrd_inc|hldg_acrd_inc_due|last_tran_dt|hldg_mval|obj_id|ver_nbr|
032L006015|99PLTF013|0CI|1.0|I|264110.0|297207.27|14578.87|6074.53|0.0|0.90484|20070425000000|0.0|0.0|20070425000000|238977.29|8529CD4863D5060AE0404F8189D81C0B|1.0|
032L006015|99PSTF018|0AI|1.0|I|112930.0|112930.0|0.0|0.0|0.0|1.0|20091210000000|21.87|0.0|20091210000000|112930.0|8529CD4863D6060AE0404F8189D81C0B|1.0|
032L006098|99PSTF018|0AI|1.0|I|22461.0|22461.0|0.0|0.0|0.0|1.0|20091130000000|4.21|0.0|20091130000000|22461.0|8529CD4863D7060AE0404F8189D81C0B|1.0|
032P002085|99PSTF018|0AI|1.0|I|4109.0|4109.0|0.0|0.0|0.0|1.0|20091120000000|0.84|0.0|20091120000000|4109.0|8529CD4863D8060AE0404F8189D81C0B|1.0|
032P002101|99PSTF018|0AI|1.0|I|227.0|227.0|0.0|0.0|0.0|1.0|20091120000000|0.03|0.0|20091120000000|227.0|8529CD4863D9060AE0404F8189D81C0B|1.0|
032P011045|99PLTF013|0CI|1.0|I|2651.0|2773.24|146.34|60.98|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|2398.73|8529CD4863DA060AE0404F8189D81C0B|1.0|
032P011045|99PSTF018|0AI|1.0|I|11.0|11.0|0.0|0.0|0.0|1.0|20091201000000|0.06|0.0|20091201000000|11.0|8529CD4863DB060AE0404F8189D81C0B|1.0|
037A014184|99PLTF021|0CP|1.0|P|25914.0|25973.99|1430.45|596.02|0.0|0.90484|20090325000000|0.0|0.0|20090325000000|23448.02|8529CD4863DC060AE0404F8189D81C0B|1.0|
037A017013|99PLTF013|0CI|1.0|I|74918.0|88391.25|4135.47|1723.11|0.0|0.90484|20051101000000|0.0|0.0|20001127000000|67788.8|8529CD4863DD060AE0404F8189D81C0B|1.0|
037A017013|99PLTF021|0CP|1.0|P|2.0578908E7|2.10864529E7|1135955.72|473314.88|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|1.862061911E7|8529CD4863DE060AE0404F8189D81C0B|1.0|
037A017013|99PSTF018|0AI|1.0|I|2578445.0|2578445.0|0.0|0.0|0.0|1.0|20091205000000|440.45|0.0|20091206000000|2578445.0|8529CD4863DF060AE0404F8189D81C0B|1.0|
037AS12302|99PLTF021|0CP|1.0|P|253822.0|301006.95|14010.97|5837.9|0.0|0.90484|20090925000000|0.0|0.0|20090925000000|229668.3|8529CD4863E0060AE0404F8189D81C0B|1.0|
037AS12302|99PSTF018|0AI|1.0|I|32464.0|32464.0|0.0|0.0|0.0|1.0|20091201000000|5.92|0.0|20091201000000|32464.0|8529CD4863E1060AE0404F8189D81C0B|1.0|
037AS34082|99PLTF021|0CP|1.0|P|113013.0|140388.55|6238.32|2599.3|0.0|0.90484|20081025000000|0.0|0.0|20081025000000|102258.68|8529CD4863E2060AE0404F8189D81C0B|1.0|
037AS34082|99PSTF018|0AI|1.0|I|19352.0|19352.0|0.0|0.0|0.0|1.0|20091201000000|3.64|0.0|20091201000000|19352.0|8529CD4863E3060AE0404F8189D81C0B|1.0|
037AS35022|99PLTF021|0CP|1.0|P|6147.0|6147.0|339.31|141.38|0.0|0.90484|20051101000000|0.0|0.0|19980128000000|5562.05|8529CD4863E4060AE0404F8189D81C0B|1.0|
037AS35022|99PSTF018|0AI|1.0|I|633.0|633.0|0.0|0.0|0.0|1.0|20091201000000|0.11|0.0|20091201000000|633.0|8529CD4863E5060AE0404F8189D81C0B|1.0|
037AS36012|99PLTF021|0CP|1.0|P|3927.0|3949.18|216.77|90.32|0.0|0.90484|20081125000000|0.0|0.0|20081125000000|3553.31|8529CD4863E6060AE0404F8189D81C0B|1.0|
037AS36012|99PSTF018|0AI|1.0|I|987.0|987.0|0.0|0.0|0.0|1.0|20091201000000|0.19|0.0|20091201000000|987.0|8529CD4863E7060AE0404F8189D81C0B|1.0|
037AS38026|99PLTF013|0CI|1.0|I|4479.0|4479.0|247.24|103.02|0.0|0.90484|20051101000000|0.0|0.0|20030919000000|4052.78|8529CD4863E8060AE0404F8189D81C0B|1.0|
037AS38026|99PLTF021|0CP|1.0|P|1023447.0|1046592.08|56494.27|23539.28|0.0|0.90484|20051101000000|0.0|0.0|20030919000000|926055.78|8529CD4863E9060AE0404F8189D81C0B|1.0|
037AS38026|99PSTF018|0AI|1.0|I|128155.0|128155.0|0.0|0.0|0.0|1.0|20091201000000|23.3|0.0|20091201000000|128155.0|8529CD4863EA060AE0404F8189D81C0B|1.0|
037AS54239|99PLTF021|0CP|1.0|P|40049.0|52541.76|2210.7|921.13|0.0|0.90484|20090825000000|0.0|0.0|20090825000000|36237.94|8529CD4863EB060AE0404F8189D81C0B|1.0|
037AS54239|99PSTF018|0AI|1.0|I|4743.0|4743.0|0.0|0.0|0.0|1.0|20091201000000|0.86|0.0|20091201000000|4743.0|8529CD4863EC060AE0404F8189D81C0B|1.0|
037B011AG1|99PLTF021|0CP|1.0|P|9337.0|9579.73|515.4|214.75|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|8448.49|8529CD4863ED060AE0404F8189D81C0B|1.0|
037B012161|99PLTF021|0CP|1.0|P|692005.0|599999.5|38198.68|15916.12|0.0|0.90484|20051101000000|0.0|0.0|20030528000000|626153.8|8529CD4863EE060AE0404F8189D81C0B|1.0|
037B012161|99PSTF018|0AI|1.0|I|261487.0|261487.0|0.0|0.0|0.0|1.0|20091201000000|51.58|0.0|20091201000000|261487.0|8529CD4863EF060AE0404F8189D81C0B|1.0|
037E009701|99PLTF021|0CP|1.0|P|16506.0|21004.07|911.13|379.64|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|14935.29|8529CD4863F0060AE0404F8189D81C0B|1.0|
037E009701|99PSTF018|0AI|1.0|I|11562.0|11562.0|0.0|0.0|0.0|1.0|20091201000000|2.32|0.0|20091201000000|11562.0|8529CD4863F1060AE0404F8189D81C0B|1.0|
037E009727|99PLTF021|0CP|1.0|P|128280.0|107956.85|7081.06|2950.44|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|116072.88|8529CD4863F2060AE0404F8189D81C0B|1.0|
037E009727|99PSTF018|0AI|1.0|I|18854.0|18854.0|0.0|0.0|0.0|1.0|20091201000000|3.88|0.0|20091206000000|18854.0|8529CD4863F3060AE0404F8189D81C0B|1.0|
037F002010|99PLTF021|0CP|1.0|P|19149.0|19149.0|1057.02|440.43|0.0|0.90484|20051101000000|0.0|0.0|20030424000000|17326.78|8529CD4863F4060AE0404F8189D81C0B|1.0|
037F002010|99PSTF018|0AI|1.0|I|20417.0|20417.0|0.0|0.0|0.0|1.0|20091201000000|4.17|0.0|20091208000000|20417.0|8529CD4863F5060AE0404F8189D81C0B|1.0|
037G003785|99PLTF021|0CP|1.0|P|538900.0|574655.72|29747.28|12394.7|0.0|0.90484|20051101000000|0.0|0.0|20011226000000|487618.28|8529CD4863F6060AE0404F8189D81C0B|1.0|
037G030812|99PLTF021|0CP|1.0|P|29294.0|27359.31|1617.03|673.76|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|26506.38|8529CD4863F7060AE0404F8189D81C0B|1.0|
037G030812|99PSTF018|0AI|1.0|I|9251.0|9251.0|0.0|0.0|0.0|1.0|20091201000000|1.82|0.0|20091201000000|9251.0|8529CD4863F8060AE0404F8189D81C0B|1.0|
037H004261|99PLTF021|0CP|1.0|P|24760.0|26898.5|1366.75|569.48|0.0|0.90484|20090925000000|0.0|0.0|20090925000000|22403.84|8529CD4863F9060AE0404F8189D81C0B|1.0|
037H004261|99PSTF018|0AI|1.0|I|2928.0|2928.0|0.0|0.0|0.0|1.0|20091201000000|0.42|0.0|20091201000000|2928.0|8529CD4863FA060AE0404F8189D81C0B|1.0|
037I002512|99PLTF021|0CP|1.0|P|55650.0|57724.64|3071.88|1279.95|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|50354.35|8529CD4863FB060AE0404F8189D81C0B|1.0|
037I002512|99PSTF018|0AI|1.0|I|4634.0|4634.0|0.0|0.0|0.0|1.0|20091201000000|0.79|0.0|20091201000000|4634.0|8529CD4863FC060AE0404F8189D81C0B|1.0|
037K008284|99PLTF013|0CI|1.0|I|2050.0|2050.0|113.16|47.15|0.0|0.90484|20051101000000|0.0|0.0|20040726000000|1854.92|8529CD4863FD060AE0404F8189D81C0B|1.0|
037K008284|99PLTF021|0CP|1.0|P|310135.0|318280.87|17119.45|7133.1|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|280622.55|8529CD4863FE060AE0404F8189D81C0B|1.0|
037K008284|99PSTF018|0AI|1.0|I|14665.0|14665.0|0.0|0.0|0.0|1.0|20091201000000|2.11|0.0|20091201000000|14665.0|8529CD4863FF060AE0404F8189D81C0B|1.0|
037L006493|99OTHER14|MAP|1.0|P|13500.0|13500.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|13500.0|8529CD486400060AE0404F8189D81C0B|1.0|
037L006493|99PLTF013|0CI|1.0|I|53330.0|55986.89|2943.82|1226.59|0.0|0.90484|20051101000000|0.0|0.0|20080425000000|48255.12|8529CD486401060AE0404F8189D81C0B|1.0|
037L006493|99PLTF021|0CP|1.0|P|221721.0|221721.0|12239.0|5099.58|0.0|0.90484|20051101000000|0.0|0.0|19980224000000|200622.03|8529CD486402060AE0404F8189D81C0B|1.0|
037L006493|99PSTF018|0AI|1.0|I|27230.0|27230.0|0.0|0.0|0.0|1.0|20091201000000|4.79|0.0|20091201000000|27230.0|8529CD486403060AE0404F8189D81C0B|1.0|
037L006709|99PLTF021|0CP|1.0|P|105147.0|121954.51|5804.11|2418.38|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|95141.21|8529CD486404060AE0404F8189D81C0B|1.0|
037MDER022|99PLTF013|0CI|1.0|I|37652.0|46192.32|2078.39|866.0|0.0|0.90484|20080325000000|0.0|0.0|20080325000000|34069.04|8529CD486405060AE0404F8189D81C0B|1.0|
037MDER022|99PLTF021|0CP|1.0|P|404406.0|427205.56|22323.21|9301.34|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|365922.73|8529CD486406060AE0404F8189D81C0B|1.0|
037MDER022|99PSTF018|0AI|1.0|I|26225.0|26225.0|0.0|0.0|0.0|1.0|20091201000000|4.25|0.0|20091201000000|26225.0|8529CD486407060AE0404F8189D81C0B|1.0|
037MDSL103|99PLTF013|0CI|1.0|I|1697.0|1862.39|93.67|39.03|0.0|0.90484|20060825000000|0.0|0.0|20060825000000|1535.51|8529CD486408060AE0404F8189D81C0B|1.0|
037MDSL103|99PLTF021|0CP|1.0|P|143821.0|146260.1|7938.92|3307.88|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|130134.99|8529CD486409060AE0404F8189D81C0B|1.0|
037MDSL103|99PSTF018|0AI|1.0|I|9902.0|9902.0|0.0|0.0|0.0|1.0|20091201000000|2.41|0.0|20091202000000|9902.0|8529CD48640A060AE0404F8189D81C0B|1.0|
037MMED197|99PLTF013|0CI|1.0|I|34623.0|36172.59|1911.19|796.33|0.0|0.90484|20051101000000|0.0|0.0|20040628000000|31328.28|8529CD48640B060AE0404F8189D81C0B|1.0|
037MMED197|99PLTF021|0CP|1.0|P|118959.0|130998.13|6566.54|2736.06|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|107638.86|8529CD48640C060AE0404F8189D81C0B|1.0|
037MMED197|99PSTF018|0AI|1.0|I|26184.0|26184.0|0.0|0.0|0.0|1.0|20091201000000|4.93|0.0|20091201000000|26184.0|8529CD48640D060AE0404F8189D81C0B|1.0|
037MPHC132|99PLTF021|0CP|1.0|P|87955.0|99124.57|4855.12|2022.97|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|79585.2|8529CD48640E060AE0404F8189D81C0B|1.0|
037MPHC132|99PSTF018|0AI|1.0|I|11016.0|11016.0|0.0|0.0|0.0|1.0|20091201000000|2.13|0.0|20091204000000|11016.0|8529CD48640F060AE0404F8189D81C0B|1.0|
037O009148|99PLTF013|0CI|1.0|I|19.0|19.78|1.05|0.44|0.0|0.90484|20051101000000|0.0|0.0|20020128000000|17.19|8529CD486410060AE0404F8189D81C0B|1.0|
037O009148|99PLTF021|0CP|1.0|P|11660.0|12032.68|643.63|268.18|0.0|0.90484|20090925000000|0.0|0.0|20090925000000|10550.43|8529CD486411060AE0404F8189D81C0B|1.0|
037O009148|99PSTF018|0AI|1.0|I|1591.0|1591.0|0.0|0.0|0.0|1.0|20091201000000|0.4|0.0|20091201000000|1591.0|8529CD486412060AE0404F8189D81C0B|1.0|
037P003108|99PLTF021|0CP|1.0|P|19347.0|23651.98|1067.95|444.98|0.0|0.90484|20081125000000|0.0|0.0|20081125000000|17505.94|8529CD486413060AE0404F8189D81C0B|1.0|
037P003108|99PSTF018|0AI|1.0|I|1553.0|1553.0|0.0|0.0|0.0|1.0|20091201000000|0.26|0.0|20091201000000|1553.0|8529CD486414060AE0404F8189D81C0B|1.0|
037P004148|99PLTF021|0CP|1.0|P|412307.0|434271.91|22759.35|9483.06|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|373071.87|8529CD486415060AE0404F8189D81C0B|1.0|
037P004148|99PSTF018|0AI|1.0|I|43603.0|43603.0|0.0|0.0|0.0|1.0|20091201000000|8.13|0.0|20091201000000|43603.0|8529CD486416060AE0404F8189D81C0B|1.0|
037P011291|99PLTF013|0CI|1.0|I|209.0|238.74|11.54|4.81|0.0|0.90484|20061127000000|0.0|0.0|20061127000000|189.11|8529CD486417060AE0404F8189D81C0B|1.0|
037P011291|99PLTF021|0CP|1.0|P|18937.0|20084.02|1045.32|435.55|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|17134.96|8529CD486418060AE0404F8189D81C0B|1.0|
037P011291|99PSTF018|0AI|1.0|I|1360.0|1360.0|0.0|0.0|0.0|1.0|20091201000000|0.22|0.0|20091201000000|1360.0|8529CD486419060AE0404F8189D81C0B|1.0|
037P011291|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20091116000000|0.01|0.0|20091125000000|0.0|8529CD48641A060AE0404F8189D81C0B|1.0|
037RQ04222|99PLTF021|0CP|1.0|P|12647.0|12927.67|698.11|290.88|0.0|0.90484|20081125000000|0.0|0.0|20081125000000|11443.51|8529CD48641B060AE0404F8189D81C0B|1.0|
037RQ04222|99PSTF018|0AI|1.0|I|1202.0|1202.0|0.0|0.0|0.0|1.0|20091201000000|0.21|0.0|20091201000000|1202.0|8529CD48641C060AE0404F8189D81C0B|1.0|
037RQ04222|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20070329000000|0.41|0.0|20070501000000|0.0|8529CD48641D060AE0404F8189D81C0B|1.0|
037RT04333|99PLTF021|0CP|1.0|P|9266.0|9777.2|511.48|213.12|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|8384.25|8529CD48641E060AE0404F8189D81C0B|1.0|
037RT04333|99PSTF018|0AI|1.0|I|1922.0|1922.0|0.0|0.0|0.0|1.0|20091201000000|0.37|0.0|20091201000000|1922.0|8529CD48641F060AE0404F8189D81C0B|1.0|
037RT04333|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20091209000000|0.05|0.0|20091225000000|0.0|8529CD486420060AE0404F8189D81C0B|1.0|
037S012056|99PLTF021|0CP|1.0|P|42285.0|40968.99|2334.13|972.55|0.0|0.90484|20090425000000|0.0|0.0|20090425000000|38261.16|8529CD486421060AE0404F8189D81C0B|1.0|
037S012056|99PSTF018|0AI|1.0|I|6813.0|6813.0|0.0|0.0|0.0|1.0|20091201000000|1.27|0.0|20091201000000|6813.0|8529CD486422060AE0404F8189D81C0B|1.0|
037S012056|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20090330000000|0.12|0.0|20090501000000|0.0|8529CD486423060AE0404F8189D81C0B|1.0|
037SC00501|99PLTF021|0CP|1.0|P|125014.0|121292.51|6900.77|2875.32|0.0|0.90484|20090725000000|0.0|0.0|20090725000000|113117.67|8529CD486424060AE0404F8189D81C0B|1.0|
037SC00501|99PSTF018|0AI|1.0|I|10472.0|10472.0|0.0|0.0|0.0|1.0|20091201000000|1.79|0.0|20091201000000|10472.0|8529CD486425060AE0404F8189D81C0B|1.0|
037SC00501|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20090720000000|0.23|0.0|20090801000000|0.0|8529CD486426060AE0404F8189D81C0B|1.0|
037V009140|99PLTF013|0CI|1.0|I|312.0|350.66|17.22|7.18|0.0|0.90484|20051101000000|0.0|0.0|20010626000000|282.31|8529CD486427060AE0404F8189D81C0B|1.0|
037V009140|99PLTF021|0CP|1.0|P|10484.0|11269.78|578.72|241.13|0.0|0.90484|20081225000000|0.0|0.0|20081225000000|9486.34|8529CD486428060AE0404F8189D81C0B|1.0|
037V009140|99PSTF018|0AI|1.0|I|3342.0|3342.0|0.0|0.0|0.0|1.0|20091201000000|0.65|0.0|20091201000000|3342.0|8529CD486429060AE0404F8189D81C0B|1.0|
037V009140|99PSTF034|0AP|1.0|P|0.0|0.0|0.0|0.0|0.0|1.0|20081222000000|0.02|0.0|20090101000000|0.0|8529CD48642A060AE0404F8189D81C0B|1.0|
037V010080|99PLTF013|0CI|1.0|I|7422.0|8166.89|409.69|170.7|0.0|0.90484|20071025000000|0.0|0.0|20071025000000|6715.72|8529CD48642B060AE0404F8189D81C0B|1.0|
037V010080|99PLTF021|0CP|1.0|P|86528.0|100320.0|4776.35|1990.15|0.0|0.90484|20051101000000|0.0|0.0|20010926000000|78294.0|8529CD48642C060AE0404F8189D81C0B|1.0|
037V010080|99PSTF018|0AI|1.0|I|3512.0|3512.0|0.0|0.0|0.0|1.0|20091201000000|1.27|0.0|20091201000000|3512.0|8529CD48642D060AE0404F8189D81C0B|1.0|
037WHMM024|99PLTF021|0CP|1.0|P|269322.0|320334.58|14866.57|6194.4|0.0|0.90484|20060225000000|0.0|0.0|20060226000000|243693.32|8529CD48642E060AE0404F8189D81C0B|1.0|
037WHMM024|99PSTF018|0AI|1.0|I|27447.0|27447.0|0.0|0.0|0.0|1.0|20091201000000|4.85|0.0|20091201000000|27447.0|8529CD48642F060AE0404F8189D81C0B|1.0|
037X002044|99PLTF013|0CI|1.0|I|239.0|283.19|13.19|5.5|0.0|0.90484|20051101000000|0.0|0.0|20070625000000|216.26|8529CD486430060AE0404F8189D81C0B|1.0|
037X002044|99PLTF021|0CP|1.0|P|586760.0|586760.0|32389.15|13495.48|0.0|0.90484|20051101000000|0.0|0.0|19980128000000|530923.92|8529CD486431060AE0404F8189D81C0B|1.0|
037X002044|99PSTF018|0AI|1.0|I|17964.0|17964.0|0.0|0.0|0.0|1.0|20091201000000|1.99|0.0|20091201000000|17964.0|8529CD486432060AE0404F8189D81C0B|1.0|
038A017011|99MMKT013|0AI|1.0|I|401512.0|401512.0|0.0|0.0|0.0|1.0|20091123000000|0.0|0.0|20091123000000|401512.0|8529CD486433060AE0404F8189D81C0B|1.0|
038A017011|99PLTF021|0CP|1.0|P|4717403.0|5820548.38|260400.65|108500.27|0.0|0.90484|20080825000000|0.0|0.0|20080825000000|4268494.93|8529CD486434060AE0404F8189D81C0B|1.0|
038A017011|99PSTF018|0AI|1.0|I|53943.0|53943.0|0.0|0.0|0.0|1.0|20091205000000|5.43|0.0|20091207000000|53943.0|8529CD486435060AE0404F8189D81C0B|1.0|
038AS00057|99PLTF021|0CP|1.0|P|321504.0|359216.53|17747.02|7394.59|0.0|0.90484|20091125000000|0.0|0.0|20091125000000|290909.68|8529CD486436060AE0404F8189D81C0B|1.0|
038AS00057|99PSTF018|0AI|1.0|I|175299.0|175299.0|0.0|0.0|0.0|1.0|20091201000000|38.18|0.0|20091201000000|175299.0|8529CD486437060AE0404F8189D81C0B|1.0|
038AS06237|99PLTF021|0CP|1.0|P|23960.0|25099.62|1322.59|551.08|0.0|0.90484|20090125000000|0.0|0.0|20090125000000|21679.97|8529CD486438060AE0404F8189D81C0B|1.0|
038AS06237|99PSTF018|0AI|1.0|I|2388.0|2388.0|0.0|0.0|0.0|1.0|20091201000000|0.42|0.0|20091201000000|2388.0|8529CD486439060AE0404F8189D81C0B|1.0|
038AS17028|99PETTY12|MAI|1.0|I|250.0|250.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|250.0|8529CD48643A060AE0404F8189D81C0B|1.0|
038AS17028|99PLTF021|0CP|1.0|P|191365.0|222020.21|10563.35|4401.4|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|173154.71|8529CD48643B060AE0404F8189D81C0B|1.0|
038AS17028|99PSTF018|0AI|1.0|I|7034.0|7034.0|0.0|0.0|0.0|1.0|20091201000000|0.28|0.0|20091210000000|7034.0|8529CD48643C060AE0404F8189D81C0B|1.0|
038AS53023|99PLTF021|0CP|1.0|P|7.0|7.0|0.39|0.16|0.0|0.90484|20051101000000|0.0|0.0|20030826000000|6.33|8529CD48643D060AE0404F8189D81C0B|1.0|
038AS53023|REBROWN17|REP|1.0|P|122000.0|122000.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|122000.0|8529CD48643E060AE0404F8189D81C0B|1.0|
038B011179|99PLTF013|0CI|1.0|I|3114.0|3298.44|171.89|71.62|0.0|0.90484|20051101000000|0.0|0.0|20050826000000|2817.67|8529CD48643F060AE0404F8189D81C0B|1.0|
038B011179|99PLTF021|0CP|1.0|P|384528.0|483812.05|21225.95|8844.15|0.0|0.90484|20080225000000|0.0|0.0|20091025000000|347936.32|8529CD486440060AE0404F8189D81C0B|1.0|
038B011179|99PSTF018|0AI|1.0|I|54713.0|54713.0|0.0|0.0|0.0|1.0|20091201000000|10.09|0.0|20091201000000|54713.0|8529CD486441060AE0404F8189D81C0B|1.0|
038CC00118|99PLTF021|0CP|1.0|P|10894.0|12898.52|601.35|250.56|0.0|0.90484|20070525000000|0.0|0.0|20070525000000|9857.33|8529CD486442060AE0404F8189D81C0B|1.0|
038CC00118|99PSTF018|0AI|1.0|I|5426.0|5426.0|0.0|0.0|0.0|1.0|20091201000000|1.08|0.0|20091201000000|5426.0|8529CD486443060AE0404F8189D81C0B|1.0|
038CC00118|99STULN13|MAI|1.0|I|2000.0|2000.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|2000.0|8529CD486444060AE0404F8189D81C0B|1.0|
038D008041|99PLTF021|0CP|1.0|P|8479.0|9308.07|468.04|195.02|0.0|0.90484|20091225000000|0.0|0.0|20091225000000|7672.14|8529CD486445060AE0404F8189D81C0B|1.0|
038D008041|99PSTF018|0AI|1.0|I|7321.0|7321.0|0.0|0.0|0.0|1.0|20091201000000|1.47|0.0|20091201000000|7321.0|8529CD486446060AE0404F8189D81C0B|1.0|
038D008041|99STULN13|MAI|1.0|I|15500.0|15500.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20090618000000|15500.0|8529CD486447060AE0404F8189D81C0B|1.0|
038E009022|99PLTF013|0CI|1.0|I|1053807.0|1245630.56|58170.15|24237.56|0.0|0.90484|20080925000000|0.0|0.0|20080925000000|953526.73|8529CD486448060AE0404F8189D81C0B|1.0|
038E009022|99PLTF021|0CP|1.0|P|3585772.0|3597865.72|197934.61|82472.75|0.0|0.90484|20080725000000|0.0|0.0|20080725000000|3244549.94|8529CD486449060AE0404F8189D81C0B|1.0|
038E009022|99PSTF018|0AI|1.0|I|554077.0|554077.0|0.0|0.0|0.0|1.0|20091211000000|90.29|0.0|20091211000000|554077.0|8529CD48644A060AE0404F8189D81C0B|1.0|
038E009022|REBURREL4|REP|1.0|P|7600.0|7600.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|7600.0|8529CD48644B060AE0404F8189D81C0B|1.0|
038F002075|99PLTF021|0CP|1.0|P|328809.0|349823.58|18150.26|7562.61|0.0|0.90484|20051101000000|0.0|0.0|20030826000000|297519.54|8529CD48644C060AE0404F8189D81C0B|1.0|
038F002075|99PSTF018|0AI|1.0|I|10670.0|10670.0|0.0|0.0|0.0|1.0|20091201000000|7.06|0.0|20091201000000|10670.0|8529CD48644D060AE0404F8189D81C0B|1.0|
038G003452|99ITRCIF3|MAI|1.0|I|5244.59|5244.59|0.0|0.0|0.0|1.0|20091123000000|0.0|0.0|20091123000000|5244.59|8529CD48644E060AE0404F8189D81C0B|1.0|
038G003452|99NTRCIF7|MAI|1.0|I|14000.0|14000.0|0.0|0.0|0.0|1.0|20090731000000|0.0|0.0|20090731000000|14000.0|8529CD48644F060AE0404F8189D81C0B|1.0|
038G003452|99PLTF021|0CP|1.0|P|267707.0|289597.4|14777.43|6157.26|0.0|0.90484|20081025000000|0.0|0.0|20081025000000|242232.0|8529CD486450060AE0404F8189D81C0B|1.0|
