ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
TEM-10020,KFS-TEM-ATTR-DATA-054,1,TEM-10012,11,5,TravelerDetailEmergencyContact
TEM-10021,KFS-TEM-ATTR-DATA-055,1,TEM-10013,11,6,contactRelationTypeCode
TEM-10022,KFS-TEM-ATTR-DATA-056,1,TEM-10013,11,5,TemProfileEmergencyContact
TEM-10023,KFS-TEM-ATTR-DATA-057,1,TEM-10014,11,6,contactName
TEM-10024,KFS-TEM-ATTR-DATA-058,1,TEM-10014,11,5,TemProfileEmergencyContact
TEM-10025,KFS-TEM-ATTR-DATA-059,1,TEM-10015,11,6,phoneNumber
TEM-10026,KFS-TEM-ATTR-DATA-060,1,TEM-10015,11,5,TemProfileEmergencyContact
TEM-10027,KFS-TEM-ATTR-DATA-061,1,TEM-10016,11,6,emailAddress
TEM-10028,KFS-TEM-ATTR-DATA-062,1,TEM-10016,11,5,TemProfileEmergencyContact
TEM-10029,KFS-TEM-ATTR-DATA-063,1,TEM-10017,52,13,TA
TEM-10030,KFS-TEM-ATTR-DATA-064,1,TEM-10019,52,13,TTP
TEM-10031,KFS-TEM-ATTR-DATA-065,1,TEM-10023,10003,13,TTP
TEM-10032,KFS-TEM-ATTR-DATA-066,1,TEM-10024,10003,13,TTP
TEM-10033,KFS-TEM-ATTR-DATA-067,1,TEM-10025,11,6,dateOfBirth
TEM-10034,KFS-TEM-ATTR-DATA-068,1,TEM-10025,11,5,TEMProfile
TEM-10035,KFS-TEM-ATTR-DATA-069,1,TEM-10026,11,6,gender
TEM-10036,KFS-TEM-ATTR-DATA-070,1,TEM-10026,11,5,TEMProfile
TEM-10037,KFS-TEM-ATTR-DATA-071,1,TEM-10027,11,6,driversLicenseNumber
TEM-10038,KFS-TEM-ATTR-DATA-072,1,TEM-10027,11,5,TEMProfile
TEM-10039,KFS-TEM-ATTR-DATA-073,1,TEM-10028,11,6,driversLicenseExpDate
TEM-10040,KFS-TEM-ATTR-DATA-074,1,TEM-10028,11,5,TEMProfile
TEM-10041,KFS-TEM-ATTR-DATA-075,1,TEM-10029,11,6,driversLicenseState
TEM-10042,KFS-TEM-ATTR-DATA-076,1,TEM-10029,11,5,TEMProfile
TEM-10043,KFS-TEM-ATTR-DATA-077,1,TEM-10030,11,6,accountNumber
TEM-10044,KFS-TEM-ATTR-DATA-078,1,TEM-10030,11,5,TEMProfileAccount
TEM-10045,KFS-TEM-ATTR-DATA-079,1,TEM-10031,15,1,perDiemTxtInputFileType
TEM-10046,KFS-TEM-ATTR-DATA-080,1,TEM-10032,15,1,perDiemXmlInputFileType
TEM-10047,KFS-TEM-ATTR-DATA-081,1,TEM-10023,10004,13,TTP
TEM-10048,KFS-TEM-ATTR-DATA-082,1,TEM-10024,10004,13,TTP
TEM-10049,KFS-TEM-ATTR-DATA-083,1,TEM-10034,15,1,agencyDataXmlInputFileType
TEM-10050,KFS-TEM-ATTR-DATA-084,1,TEM-10035,15,1,creditCardDataXmlInputFileType
TEM-10051,KFS-TEM-ATTR-DATA-085,1,TEM-10036,52,13,TR
TEM-10052,KFS-TEM-ATTR-DATA-086,1,TEM-10036,52,16,Account
TEM-10053,KFS-TEM-ATTR-DATA-087,1,TEM-10036,52,6,sourceAccountingLines
TEM-10054,KFS-TEM-ATTR-DATA-088,1,TEM-10037,52,13,TR
TEM-10055,KFS-TEM-ATTR-DATA-089,1,TEM-10037,52,16,APTravel
TEM-10056,KFS-TEM-ATTR-DATA-090,1,TEM-10037,52,6,sourceAccountingLines
TEM-10090,KFS-TEM-ATTR-DATA-091,1,TEM-10051,3,13,CRM
