PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
KFS10300,KFS-TEM-PERM-018,1,1,KFS-TEM,Create TEM Profile,Authorizes users to create TEM Profile Document.,Y
KFS10301,KFS-TEM-PERM-019,1,10,KFS-TEM,Initiate Own TEM Profile,Authorizes users to create their own TEM Profile Document.,Y
KFS10302,KFS-TEM-PERM-020,1,1,KFS-TEM,Inactivate TEM Profile,Authorizes users to inactivate a TEM Profile.,Y
KFS10303,KFS-TEM-PERM-021,1,1,KFS-TEM,Edit TEM Profile,Authorizes users to edit TEM Profile Documents.,Y
KFS10304,KFS-TEM-PERM-022,1,44,KFS-TEM,Modify Maintenance Document Section TEMProfile TEMProfileAdministrator,Allows users access to the Administration Only Tab.,Y
KFS10307,KFS-TEM-PERM-025,1,27,KFS-TEM,Full Unmask Field TEMProfile dateOfBirth,Allows users to view unmasked the birth date in the TEM Profile maintenance document.,Y
KFS10308,KFS-TEM-PERM-026,1,27,KFS-TEM,Full Unmask Field TEMProfile gender,Allows users to view unmasked the gender in the TEM Profile maintenance document.,Y
KFS10309,KFS-TEM-PERM-027,1,27,KFS-TEM,Full Unmask Field TEMProfile driversLicenseNumber,Allows users to view unmasked the drivers license number in the TEM Profile maintenance document.,Y
KFS10310,KFS-TEM-PERM-028,1,27,KFS-TEM,Full Unmask Field TEMProfile driversLicenseExpDate,Allows users to view unmasked the drivers license expiration date in the TEM Profile maintenance document.,Y
KFS10311,KFS-TEM-PERM-029,1,27,KFS-TEM,Full Unmask Field TEMProfile driversLicenseState,Allows users to view unmasked the drivers license state in the TEM Profile maintenance document.,Y
KFS10312,KFS-TEM-PERM-030,1,27,KFS-TEM,Full Unmask Field TEMProfile accountNumber,Allows users to view unmasked the account number in the Administrator Tab on the TEM Profile maintenance document.,Y
KFS10313,KFS-TEM-PERM-031,1,33,KFS-TEM,Upload Batch Input File(s) perDiemTxtInputFileType,Authorizes user to access the Per Diem TXT Batch Upload page.,Y
KFS10314,KFS-TEM-PERM-032,1,33,KFS-TEM,Upload Batch Input File(s) perDiemXmlInputFileType,Authorizes user to access the Per Diem XML Batch Upload page.,Y
KFS10315,KFS-TEM-PERM-033,1,1,KFS-TEM,Edit Taxable Indicator,Authorizes users to edit Taxable indicator for other expenses.,Y
KFS10316,KFS-TEM-PERM-034,1,33,KFS-TEM,Upload Batch Input File(s) agencyDataXmlInputFileType,Authorizes user to access the Travel Agency Data Upload page.,Y
KFS10317,KFS-TEM-PERM-035,1,33,KFS-TEM,Upload Batch Input File(s) creditCardDataXmlInputFileType,Authorizes user to access the Credit Card Data Upload page.,Y
KFS10318,KFS-TEM-PERM-036,1,41,KFS-TEM,Modify Accounting Lines TR Account sourceAccountingLines,Allows access to Modify the Accounting Lines on a TR doc,Y
KFS10319,KFS-TEM-PERM-037,1,41,KFS-TEM,Modify Accounting Lines TR Travel sourceAccountingLines,Allows access to Modify the Accounting Lines on a TR doc,Y
KFS10320,KFS-TEM-PERM-038,1,41,KFS-TEM,Modify Accounting Lines TA Travel sourceAccountingLines,Allows access to Modify the Accounting Lines on a TA doc,Y
KFS10321,KFS-TEM-PERM-045,1,4,KFS-TEM,Blanket Approve Document TXRF,Allows access to the Blanket Approval button on Taxable Ramification Documents.,Y
KFS10322,KFS-TEM-PERM-046,1,10,KFS-TEM,Initiate Document TXRF,Authorizes the initiation of Taxable Ramification Documents.,Y
KFS10323,KFS-TEM-PERM-047,1,10,KFS-TEM,Initiate Document TAAR,Authorizes the initiation of Travel Agency Audit Report.,Y
KFS10325,KFS-TEM-PERM-049,1,41,KFS-TEM,Modify Accounting Lines ENT EntertainmentManager sourceAccountingLines,Allows access to Modify the Accounting Lines on a ENT doc,Y
KFS10326,KFS-TEM-PERM-050,1,41,KFS-TEM,Modify Accounting Lines RELO MovingAndRelocationManager sourceAccountingLines,Allows access to Modify the Accounting Lines on a RELO doc,Y
KFS10327,KFS-TEM-PERM-051,1,10,KFS-AR,Initiate Document CRM,Authorizes the initiation of the Customer Credit Memo Document.,Y
KFS10328,KFS-TEM-PERM-052,1,40,KFS-TEM,Open Document TT,Authorizes users to open TT TEM Transactional Documents.,Y
KFS10329,KFS-TEM-PERM-053,1,41,KFS-TEM,Modify Accounting Lines TT PreRoute sourceAccountingLines,Allows access to Modify the Accounting Lines on a TT doc that has not yet been submitted for routing.,Y
KFS10330,KFS-TEM-PERM-054,1,16,KFS-TEM,Edit Document TT PreRoute,Edit permission for the TT document in PreRoute status.,Y
KFS10331,KFS-TEM-PERM-055,1,41,KFS-TEM,Modify Accounting Lines TR PreRoute sourceAccountingLines,Allows access to Modify the Accounting Lines on a TR doc that has not yet been submitted for routing.,Y
KFS10332,KFS-TEM-PERM-056,1,1,KFS-TEM,Full Edit Agency Data,Allows full edit on Agency Data,Y
KFS10333,KFS-TEM-PERM-057,1,44,KFS-TEM,Modify Maintenance Document Section AgencyStagingData airline,Authorizes users to see and edit the airline section on Agency Audit Maintenance Document.,Y
KFS10334,KFS-TEM-PERM-058,1,44,KFS-TEM,Modify Maintenance Document Section AgencyStagingData lodging,Authorizes users to see and edit the lodging section on Agency Audit Maintenance Document.,Y
KFS10335,KFS-TEM-PERM-059,1,44,KFS-TEM,Modify Maintenance Document Section AgencyStagingData rentalcar,Authorizes users to see and edit the car rental section on Agency Audit Maintenance Document.,Y
KFS10336,KFS-TEM-PERM-060,1,23,KFS-TEM,Look Up Records TEMProfileAccount,Authorizes specific roles to view the TEM Profile lookup.,Y
KFS10337,KFS-TEM-PERM-061,1,40,KFS-TEM,Open Document ENT,Authorizes users to open ENT documents.,Y
KFS10338,KFS-TEM-PERM-062,1,16,KFS-TEM,Edit Document ENT PreRoute,Edit permission for the ENT document in PreRoute status.,Y
KFS10339,KFS-TEM-PERM-063,1,40,KFS-TEM,Open Document RELO,Authorizes users to open RELO documents.,Y
KFS10340,KFS-TEM-PERM-064,1,16,KFS-TEM,Edit Document RELO PreRoute,Edit permission for the RELO document in PreRoute status.,Y
KFS10341,KFS-TEM-PERM-065,1,10,KFS-TEM,Initiate CTS Card Application,Authorizes users to initiate a CTS Card Application.,Y
KFS10342,KFS-TEM-PERM-066,1,10,KFS-TEM,Initiate Credit Card Imported Expense Clearing Document,Authorizes users to initiate a Credit Card Imported Expense Clearing Document.,Y
KFS10372,KFS-TEM-PERM-067,1,4,KFS-AR,Blanket Approve Document INV,Authorizes users to blanket approve an Invoice document.,Y
KFS10373,KFS-TEM-PERM-068,1,4,KFS-AR,Blanket Approve Document CRM,Authorizes users to blanket approve a Customer Credit Memo document.,Y
KFS10387,KFS-TEM-PERM-069,1,31,KFS-TEM,Use Transactional Document TA advancePolicyEntry,An edit mode which provides the ability to select the Travel Advance policy checkbox.,Y
KFS10397,KFS-TEM-PERM-071,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData importBy,Grants the ability to edit the importBy field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10398,KFS-TEM-PERM-072,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData agencyDataId,Grants the ability to edit the agencyDataId field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10399,KFS-TEM-PERM-073,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData otherCompanyName,Grants the ability to edit the otherCompanyName field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10400,KFS-TEM-PERM-074,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData tripTravelerTypeId,Grants the ability to edit the tripTravelerTypeId field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10401,KFS-TEM-PERM-075,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData otherAmount,Grants the ability to edit the otherAmount field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10402,KFS-TEM-PERM-076,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData travelerName,Grants the ability to edit the travelerName field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10403,KFS-TEM-PERM-077,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData travelerNetworkId,Grants the ability to edit the travelerNetworkId field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10404,KFS-TEM-PERM-078,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData tripExpenseAmount,Grants the ability to edit the tripExpenseAmount field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10405,KFS-TEM-PERM-079,1,26,KFS-TEM,Modify Maintenance Document Field AgencyStagingData tripArrangerName,Grants the ability to edit the tripArrangerName field on the Travel Agency Audit Report (Agency Staging Data) maintenence document.,Y
KFS10445,KFS-TEM-PERM-080,1,KFS10444,KFS-TEM,View Record TravelerProfileForLookup,The ability to view a profile record being selected to act as a traveler.,Y
KFS10451,KFS-TEM-PERM-081,1,10,KFS-TEM,Initiate Document TMCP,Permission to initiate a TEM Correction Process document.,Y
KFS10454,KFS-TEM-PERM-082,1,10,KFS-TEM,Initiate Document TT,Permission to initiate a travel document.,Y
KFS10462,KFS-TEM-PERM-084,1,10,KFS-TEM,Initiate Document RELO,Permission to initiate a Moving and Relocation document.,Y
KFS10466,KFS-TEM-PERM-085,1,10,KFS-TEM,Initiate Document ENT,Permission to initiate an Entertainment document.,Y
KFS10470,KFS-TEM-PERM-086,1,31,KFS-TEM,Use Transactional Document TT actualExpenseTaxableEntry,Allows access to modify the taxable indicator on travel documents.,Y
KFS10503,KFS-TEM-PERM-091,1,41,KFS-TEM,Modify Accounting Lines TA Account advanceAccountingLines,"The ability to modify accounting lines associated with the travel advance on travel authorization documents (though, if the parameters to fill in the accounting line is set, the line will still be ineditable).",Y
KFS10508,KFS-TEM-PERM-092,1,41,KFS-TEM,Modify Accounting Lines TA Travel advanceAccountingLines,"The ability to modify accounting lines associated with the travel advance on travel authorization documents (though, if the parameters to fill in the accounting line is set, the line will still be ineditable).",Y
KFS10513,KFS-TEM-PERM-093,1,41,KFS-TEM,Modify Accounting Lines TT Travel sourceAccountingLines,The ability to modify accounting lines associated with expenses on travel documents at the Travel node.,Y
KFS10518,KFS-TEM-PERM-094,1,42,KFS-TEM,Create / Maintain Record(s) TEMProfile FALSE,The ability to edit an existing TEMProfile record.,Y
KFS10544,KFS-TEM-PERM-095,1,2,KFS-TEM,Copy Document TA,The ability to copy a TA document.,Y
KFS10668,KFS-TEM-PERM-096,1,10,KFS-TEM,Initiate Document TTA,Permission to initiate a Travel Arranger Document,Y
KFS10676,KFS-TEM-PERM-097,1,42,KFS-TEM,Create / Maintain Record(s) TEMProfile TRUE,The ability to edit an existing TEMProfile record.,Y
KFS10698,KFS-TEM-PERM-098,1,31,KFS-TEM,Use Transactional Document TTA travelerEntry,The ability for a traveler to edit the checkboxes on a TTA document,Y
